Date,Open,High,Low,Close,Volume
2025-03-13,0.68,0.74,0.6,0.68,222361
2025-03-12,0.68,0.71,0.56,0.67,171500
2025-03-11,0.52,0.65,0.48,0.6,311600
2025-03-10,0.5,0.66,0.46,0.53,259600
2025-03-07,0.5,0.5,0.45,0.5,18900
2025-03-06,0.46,0.5,0.46,0.5,35200
2025-03-05,0.48,0.48,0.44,0.44,21400
2025-03-04,0.49,0.5,0.45,0.45,84000
2025-03-03,0.53,0.63,0.45,0.47,181500
2025-02-28,0.58,0.6,0.5,0.51,80400
2025-02-27,0.62,0.64,0.6,0.61,13700
2025-02-26,0.63,0.64,0.56,0.6,49300
2025-02-25,0.72,0.72,0.56,0.6,88200
2025-02-24,0.77,0.77,0.67,0.67,40400
2025-02-21,0.75,0.8,0.69,0.76,15600
2025-02-20,0.75,0.78,0.69,0.73,46400
2025-02-19,0.79,0.81,0.72,0.75,33500
2025-02-18,0.79,0.81,0.75,0.79,29800
2025-02-14,0.78,0.82,0.74,0.79,18100
2025-02-13,0.78,0.82,0.73,0.79,19900
2025-02-12,0.75,0.83,0.73,0.77,10000
2025-02-11,0.75,0.85,0.75,0.77,182800
2025-02-10,0.72,0.84,0.72,0.77,165300
2025-02-07,0.79,0.8,0.72,0.73,48800
2025-02-06,0.79,0.81,0.66,0.79,75100
2025-02-05,0.82,0.83,0.76,0.79,39800
2025-02-04,0.83,0.84,0.76,0.8,29300
2025-02-03,0.83,0.86,0.76,0.82,47400
2025-01-31,0.84,0.85,0.79,0.85,32100
2025-01-30,0.81,0.85,0.79,0.82,60000
2025-01-29,0.8,0.84,0.79,0.81,13100
2025-01-28,0.8,0.86,0.8,0.8,58700
2025-01-27,0.79,0.83,0.79,0.8,44900
2025-01-24,0.83,0.84,0.76,0.8,230300
2025-01-23,0.8,0.9,0.78,0.84,65200
2025-01-22,0.78,0.8,0.78,0.79,31300
2025-01-21,0.8,0.83,0.76,0.78,40400
2025-01-17,0.8,0.81,0.77,0.8,16100
2025-01-16,0.78,0.81,0.75,0.76,32300
2025-01-15,0.79,0.82,0.76,0.78,15000
2025-01-14,0.85,0.85,0.77,0.79,28500
2025-01-13,0.87,0.87,0.83,0.83,23700
2025-01-10,0.9,0.94,0.82,0.87,77200
2025-01-08,0.94,0.98,0.88,0.88,30500
2025-01-07,0.92,0.97,0.9,0.94,53500
2025-01-06,0.92,0.92,0.87,0.9,20300
2025-01-03,0.97,0.97,0.85,0.88,110900
2025-01-02,0.95,1.03,0.95,0.95,51600
2024-12-31,0.81,0.98,0.81,0.95,186300
2024-12-30,0.82,0.86,0.81,0.83,100700
2024-12-27,0.86,0.86,0.76,0.84,124300
2024-12-26,0.91,0.91,0.86,0.89,40000
2024-12-24,0.87,0.89,0.87,0.87,14200
2024-12-23,0.83,0.93,0.83,0.87,151200
2024-12-20,0.79,0.83,0.76,0.83,98400
2024-12-19,0.8,0.81,0.77,0.79,57200
2024-12-18,0.86,0.88,0.76,0.76,106200
2024-12-17,0.87,0.87,0.8,0.81,116900
2024-12-16,0.93,0.95,0.86,0.87,89700
2024-12-13,0.9,0.96,0.86,0.93,74600
2024-12-12,0.91,0.94,0.9,0.91,56300
2024-12-11,0.98,0.98,0.91,0.91,89500
2024-12-10,0.96,0.99,0.91,0.98,76200
2024-12-09,0.95,0.99,0.91,0.94,54300
2024-12-06,0.98,1.0,0.92,0.94,105900
2024-12-05,0.99,1.01,0.93,0.93,43000
2024-12-04,1.0,1.03,0.97,1.02,167700
2024-12-03,1.02,1.04,0.99,1.02,71400
2024-12-02,1.09,1.1,0.99,1.01,98500
2024-11-29,1.02,1.1,0.99,1.07,78700
2024-11-27,1.02,1.07,0.99,1.0,100500
2024-11-26,0.99,1.03,0.92,1.01,115000
2024-11-25,1.03,1.09,0.96,0.99,231100
2024-11-22,0.95,1.03,0.92,1.02,198700
2024-11-21,0.95,0.97,0.8,0.95,237300
2024-11-20,1.03,1.04,0.92,0.93,366600
2024-11-19,1.01,1.05,0.79,0.9,676300
2024-11-18,1.15,1.25,1.04,1.13,474800
2024-11-15,1.01,1.56,0.96,1.13,7634500
2024-11-14,0.98,1.96,0.96,1.03,7244700
2024-11-13,1.16,1.18,0.88,0.92,112000
2024-11-12,1.04,1.18,1.01,1.14,115600
2024-11-11,1.06,1.08,1.0,1.01,20900
2024-11-08,1.03,1.07,0.95,1.02,56100
2024-11-07,1.17,1.2,1.04,1.05,25800
2024-11-06,1.24,1.24,1.11,1.15,43200
2024-11-05,1.17,1.2,1.11,1.12,44100
2024-11-04,1.15,1.23,1.12,1.15,21800
2024-11-01,1.17,1.17,1.1,1.13,22700
2024-10-31,1.24,1.25,1.11,1.14,32300
2024-10-30,1.06,1.21,1.06,1.17,34600
2024-10-29,1.11,1.14,1.06,1.07,36000
2024-10-28,1.23,1.23,1.13,1.14,21700
2024-10-25,1.22,1.25,1.18,1.22,26900
2024-10-24,1.13,1.29,1.12,1.25,24100
2024-10-23,1.16,1.19,1.0,1.13,110500
2024-10-22,1.21,1.21,1.12,1.15,35600
2024-10-21,1.24,1.24,1.11,1.18,60000
2024-10-18,1.26,1.28,1.22,1.24,29700
2024-10-17,1.29,1.32,1.25,1.25,16400
2024-10-16,1.26,1.32,1.23,1.3,85000
2024-10-15,1.33,1.33,1.25,1.29,20400
2024-10-14,1.28,1.35,1.28,1.3,35600
2024-10-11,1.34,1.4,1.29,1.31,33200
2024-10-10,1.34,1.43,1.27,1.31,82800
2024-10-09,1.39,1.43,1.35,1.35,99200
2024-10-08,1.41,1.45,1.37,1.37,46900
2024-10-07,1.4,1.41,1.37,1.41,17100
2024-10-04,1.42,1.43,1.38,1.4,23700
2024-10-03,1.4,1.43,1.38,1.42,26300
2024-10-02,1.41,1.41,1.37,1.38,13100
2024-10-01,1.47,1.47,1.38,1.39,43600
2024-09-30,1.49,1.56,1.48,1.5,26800
2024-09-27,1.46,1.47,1.45,1.47,18600
2024-09-26,1.4,1.49,1.38,1.44,101000
2024-09-25,1.47,1.5,1.37,1.41,34800
2024-09-24,1.52,1.54,1.5,1.51,20500
2024-09-23,1.55,1.55,1.5,1.53,14500
2024-09-20,1.66,1.66,1.52,1.52,32800
2024-09-19,1.64,1.65,1.55,1.63,101000
2024-09-18,1.62,1.85,1.57,1.61,175400
2024-09-17,1.54,1.75,1.45,1.56,87100
2024-09-16,1.68,1.87,1.43,1.49,57800
2024-09-13,1.49,1.49,1.39,1.4,47200
2024-09-12,1.48,1.54,1.44,1.45,27900
2024-09-11,1.45,1.48,1.44,1.45,23800
2024-09-10,1.6,1.6,1.42,1.45,27800
2024-09-09,1.54,1.54,1.42,1.45,32100
2024-09-06,1.64,1.64,1.49,1.5,61300
2024-09-05,1.65,1.67,1.59,1.59,22600
2024-09-04,1.69,1.8,1.61,1.65,36800
2024-09-03,1.65,1.74,1.63,1.69,69100
2024-08-30,1.72,1.72,1.62,1.71,114200
2024-08-29,1.76,1.76,1.65,1.69,46800
2024-08-28,1.82,1.92,1.71,1.73,81100
2024-08-27,1.85,1.9,1.78,1.81,63800
2024-08-26,1.94,1.98,1.75,1.75,58300
2024-08-23,1.91,2.02,1.89,1.96,8900
2024-08-22,1.81,1.97,1.81,1.95,21300
2024-08-21,1.89,2.02,1.87,1.9,26800
2024-08-20,2.07,2.07,1.79,1.8,69700
2024-08-19,2.2,2.26,2.01,2.07,33200
2024-08-16,1.75,2.57,1.75,2.18,61800
2024-08-15,2.47,2.5,2.28,2.43,36900
2024-08-14,2.43,2.43,2.3,2.36,9000
2024-08-13,2.31,2.55,2.28,2.49,8800
2024-08-12,2.29,2.41,2.29,2.35,22800
2024-08-09,2.31,2.32,2.26,2.29,13900
2024-08-08,2.27,2.34,2.24,2.33,16800
2024-08-07,2.4,2.65,2.27,2.27,12200
2024-08-06,2.43,2.52,2.34,2.38,47200
2024-08-05,2.64,2.71,2.24,2.44,73500
2024-08-02,2.84,2.84,2.54,2.58,49400
2024-08-01,2.92,2.96,2.75,2.9,25200
2024-07-31,3.07,3.09,2.94,2.99,28400
2024-07-30,3.18,3.28,2.96,3.1,8900
2024-07-29,3.16,3.26,3.05,3.26,10900
2024-07-26,3.06,3.27,3.06,3.23,16400
2024-07-25,2.96,3.21,2.82,3.05,18500
2024-07-24,3.23,3.44,2.9,2.92,59100
2024-07-23,3.32,3.54,3.12,3.24,23200
2024-07-22,3.38,3.5,3.22,3.45,50600
2024-07-19,3.25,3.44,3.22,3.44,12800
2024-07-18,3.33,3.34,3.22,3.23,8100
2024-07-17,3.2,3.36,3.2,3.33,35300
2024-07-16,3.34,3.56,3.28,3.3,40000
2024-07-15,3.1,3.45,3.09,3.43,74100
2024-07-12,3.0,3.12,2.87,3.12,28500
2024-07-11,2.73,3.1,2.67,2.96,42100
2024-07-10,2.54,2.85,2.54,2.78,32000
2024-07-09,2.55,2.59,2.51,2.51,14900
2024-07-08,2.86,2.86,2.46,2.58,40000
2024-07-05,2.73,2.9,2.73,2.9,4800
2024-07-03,2.76,2.79,2.7,2.78,12800
2024-07-02,2.84,2.84,2.72,2.75,15300
2024-07-01,2.54,2.82,2.46,2.81,34700
2024-06-28,2.56,2.63,2.24,2.54,1234500
2024-06-27,2.93,2.93,2.46,2.58,109600
2024-06-26,2.9,3.0,2.88,2.95,46300
2024-06-25,3.05,3.05,2.82,2.9,38500
2024-06-24,3.2,3.22,3.01,3.01,38900
2024-06-21,3.31,3.34,3.23,3.23,44200
2024-06-20,3.2,3.34,3.2,3.3,48000
2024-06-18,3.22,3.37,3.22,3.28,36900
2024-06-17,3.14,3.35,2.97,3.3,92300
2024-06-14,3.29,3.31,3.13,3.17,29400
2024-06-13,3.64,3.64,3.25,3.29,38400
2024-06-12,3.63,3.75,3.5,3.62,21100
2024-06-11,3.45,3.7,3.45,3.65,102700
2024-06-10,3.35,3.57,3.35,3.52,87400
2024-06-07,3.43,3.47,3.28,3.37,24000
2024-06-06,3.51,3.59,3.48,3.5,17900
2024-06-05,3.43,3.65,3.41,3.6,39200
2024-06-04,3.61,3.67,3.44,3.53,18300
2024-06-03,3.48,3.77,3.35,3.64,26000
2024-05-31,3.49,3.56,3.38,3.56,19900
2024-05-30,3.4,3.51,3.38,3.44,15000
2024-05-29,3.35,3.57,3.35,3.37,25900
2024-05-28,3.43,3.65,3.41,3.42,29500
2024-05-24,3.43,3.51,3.4,3.48,17900
2024-05-23,3.65,3.65,3.4,3.41,47000
2024-05-22,3.62,3.72,3.5,3.7,38200
2024-05-21,3.73,3.74,3.5,3.57,23400
2024-05-20,3.71,3.81,3.5,3.75,46400
2024-05-17,3.68,3.73,3.57,3.66,15200
2024-05-16,3.38,3.69,3.38,3.66,40100
2024-05-15,3.75,3.75,3.54,3.66,32800
2024-05-14,3.83,3.9,3.67,3.83,38900
2024-05-13,3.8,3.88,3.64,3.71,22000
2024-05-10,3.47,3.87,3.39,3.73,92900
2024-05-09,4.0,4.0,3.79,3.91,19600
2024-05-08,3.75,3.99,3.68,3.99,29100
2024-05-07,3.61,3.86,3.59,3.81,23000
2024-05-06,3.7,3.72,3.54,3.64,18500
2024-05-03,3.66,3.86,3.66,3.73,22700
2024-05-02,3.55,3.78,3.42,3.74,40100
2024-05-01,3.55,3.91,3.4,3.76,71000
2024-04-30,3.3,3.54,3.3,3.54,66400
2024-04-29,3.45,3.59,3.3,3.36,32300
2024-04-26,3.39,3.58,3.34,3.44,36300
2024-04-25,3.37,3.45,3.2,3.4,32800
2024-04-24,3.46,3.48,3.4,3.44,26900
2024-04-23,3.62,3.63,3.38,3.48,24300
2024-04-22,3.46,3.63,3.37,3.55,26600
2024-04-19,3.47,3.63,3.29,3.57,74800
2024-04-18,3.27,3.71,3.27,3.5,69500
2024-04-17,3.53,3.53,3.24,3.27,85800
2024-04-16,3.55,3.65,3.4,3.53,51700
2024-04-15,3.65,3.68,3.5,3.65,56600
2024-04-12,3.76,3.8,3.64,3.68,32000
2024-04-11,3.89,4.03,3.77,3.83,20900
2024-04-10,3.9,4.06,3.73,3.82,33000
2024-04-09,3.78,4.06,3.78,4.03,19400
2024-04-08,3.83,3.9,3.69,3.76,37400
2024-04-05,3.83,3.97,3.79,3.83,27400
