Date,Open,High,Low,Close,Volume
2025-03-19,28.8,29.01,28.49,28.82,4604570
2025-03-18,28.76,28.87,28.54,28.7,5001500
2025-03-17,28.4,28.96,28.38,28.91,6395200
2025-03-14,28.25,28.54,28.12,28.41,5385800
2025-03-13,28.5,28.85,27.67,27.91,6882700
2025-03-12,28.51,28.59,27.82,28.47,9173400
2025-03-11,29.53,29.59,28.28,28.33,10783600
2025-03-10,30.0,30.19,29.3,29.68,8851100
2025-03-07,29.53,30.3,29.33,30.23,10995500
2025-03-06,28.95,29.72,28.94,29.67,10136400
2025-03-05,29.2,29.51,28.89,29.22,8940100
2025-03-04,29.62,29.83,28.89,28.99,9602500
2025-03-03,30.77,31.11,29.61,29.74,8299700
2025-02-28,31.11,31.11,29.68,30.56,23233200
2025-02-27,33.35,33.56,32.78,32.8,10360100
2025-02-26,33.63,33.73,33.25,33.49,7037800
2025-02-25,34.43,34.66,33.67,33.76,7036100
2025-02-24,34.49,34.92,34.32,34.32,7142600
2025-02-21,34.56,34.6,34.13,34.28,7214100
2025-02-20,34.5,34.55,34.03,34.37,5006900
2025-02-19,33.84,34.51,33.75,34.33,5666000
2025-02-18,33.53,33.88,33.26,33.85,5309500
2025-02-14,33.04,33.47,33.0,33.3,4183400
2025-02-13,32.77,33.0,32.58,32.96,5393300
2025-02-12,32.5,32.91,32.18,32.71,4312300
2025-02-11,32.33,32.95,32.19,32.82,4384500
2025-02-10,32.26,32.77,32.05,32.49,5424200
2025-02-07,32.52,32.64,31.82,31.94,4382900
2025-02-06,32.26,32.41,32.06,32.27,6197100
2025-02-05,31.69,32.25,31.69,32.24,5517900
2025-02-04,31.64,32.03,31.46,31.69,5050600
2025-02-03,31.39,32.05,30.74,31.68,8205500
2025-01-31,32.65,32.99,32.09,32.17,6179200
2025-01-30,32.69,32.75,32.36,32.47,3611700
2025-01-29,32.72,32.73,32.23,32.28,4039400
2025-01-28,32.85,32.86,31.96,32.41,5955800
2025-01-27,32.2,33.02,31.98,32.99,10177000
2025-01-24,33.17,33.18,32.3,32.4,4048900
2025-01-23,32.75,33.19,32.43,33.04,4623500
2025-01-22,32.71,33.23,32.51,32.8,5184300
2025-01-21,32.09,32.65,31.89,32.62,7758200
2025-01-17,32.39,32.67,32.17,32.18,8455700
2025-01-16,32.39,32.4,32.01,32.02,7973500
2025-01-15,33.03,33.21,32.37,32.46,7227000
2025-01-14,32.57,32.82,32.04,32.34,5518000
2025-01-13,32.76,32.76,32.14,32.29,7062900
2025-01-10,32.78,33.11,32.56,32.86,6222500
2025-01-08,33.16,33.21,32.67,33.11,4891900
2025-01-07,33.68,34.1,33.11,33.33,5343700
2025-01-06,33.19,33.82,33.07,33.53,7757500
2025-01-03,32.5,32.82,32.25,32.81,5451500
2025-01-02,32.36,32.5,31.95,32.14,4660500
2024-12-31,32.5,32.59,32.11,32.3,4126600
2024-12-30,32.51,32.54,31.88,32.3,4242800
2024-12-27,32.95,33.05,32.64,32.94,4423500
2024-12-26,33.0,33.31,32.93,33.09,3061100
2024-12-24,32.99,33.13,32.84,33.1,2128100
2024-12-23,32.51,32.92,32.32,32.89,5241600
2024-12-20,31.96,32.85,31.82,32.61,17752800
2024-12-19,32.24,32.81,31.94,32.13,7615500
2024-12-18,33.64,33.73,32.11,32.16,10393100
2024-12-17,33.18,34.01,32.99,33.5,8290800
2024-12-16,34.05,34.43,33.71,33.84,8182200
2024-12-13,34.71,34.73,34.0,34.2,5101500
2024-12-12,34.12,34.79,33.91,34.63,5143600
2024-12-11,34.5,34.55,34.0,34.2,8183400
2024-12-10,35.49,35.61,34.26,34.3,8015800
2024-12-09,35.62,36.14,35.46,35.78,6308200
2024-12-06,35.78,35.93,35.24,35.54,6583500
2024-12-05,35.91,35.95,35.37,35.51,8251100
2024-12-04,36.22,36.25,35.3,35.7,8736000
2024-12-03,35.71,36.24,35.23,36.12,7311400
2024-12-02,35.1,35.93,34.58,35.78,11320900
2024-11-29,33.62,35.22,33.62,34.78,8300900
2024-11-27,35.89,36.81,32.92,34.03,27423800
2024-11-26,38.53,38.9,38.23,38.39,12112400
2024-11-25,37.79,39.07,37.52,38.58,14160200
2024-11-22,37.27,37.94,37.19,37.43,6961100
2024-11-21,36.1,37.27,36.06,37.22,5969400
2024-11-20,36.2,36.3,35.75,36.01,4929000
2024-11-19,36.39,36.56,36.03,36.2,4665400
2024-11-18,36.24,37.04,36.18,36.75,7624800
2024-11-15,35.71,36.26,35.67,36.05,7278600
2024-11-14,36.18,36.42,35.8,35.82,6044500
2024-11-13,36.46,36.56,36.06,36.14,6087800
2024-11-12,36.77,37.24,36.42,36.43,6793800
2024-11-11,36.31,37.96,36.13,36.98,10160600
2024-11-08,36.52,36.64,36.01,36.15,5489400
2024-11-07,36.14,36.91,36.05,36.66,5801700
2024-11-06,36.76,36.84,35.23,36.24,9571100
2024-11-05,35.34,35.99,35.28,35.97,4162800
2024-11-04,35.61,35.79,35.15,35.33,9533900
2024-11-01,34.84,35.91,34.84,35.62,6360400
2024-10-31,35.7,35.74,34.74,34.87,6620900
2024-10-30,36.36,36.58,35.86,35.87,5687600
2024-10-29,36.75,36.75,36.36,36.38,4937600
2024-10-28,36.32,36.95,36.29,36.74,5286100
2024-10-25,35.81,36.58,35.81,36.21,5018400
2024-10-24,35.29,35.86,35.0,35.8,5931100
2024-10-23,35.35,35.62,34.92,35.19,4664800
2024-10-22,35.66,35.7,35.24,35.57,4919200
2024-10-21,36.66,36.86,35.78,35.79,5593900
2024-10-18,37.01,37.12,36.48,36.6,4726600
2024-10-17,36.61,37.18,36.38,36.89,7099600
2024-10-16,36.36,36.61,36.36,36.5,3413800
2024-10-15,36.86,37.28,36.18,36.29,6502100
2024-10-14,36.32,36.78,36.24,36.76,5060100
2024-10-11,36.26,36.79,36.19,36.33,5832200
2024-10-10,35.89,36.19,35.75,36.08,4763400
2024-10-09,35.32,36.15,35.2,35.91,5376400
2024-10-08,35.15,35.5,34.57,35.34,8667100
2024-10-07,35.31,35.57,35.07,35.25,4302100
2024-10-04,35.34,35.45,34.91,35.33,5116900
2024-10-03,34.43,34.96,34.34,34.95,7227100
2024-10-02,34.15,34.83,33.83,34.54,8804100
2024-10-01,34.4,34.55,33.53,34.12,10361100
2024-09-30,34.85,35.33,34.85,35.21,8303700
2024-09-27,35.11,35.42,34.47,34.76,9961700
2024-09-26,35.81,36.25,35.41,36.18,6278200
2024-09-25,35.34,35.74,35.27,35.39,6622000
2024-09-24,34.62,35.22,34.61,35.18,6576900
2024-09-23,34.15,34.6,34.0,34.47,7951700
2024-09-20,34.08,34.28,33.76,34.12,37215900
2024-09-19,34.46,34.58,34.16,34.18,7466700
2024-09-18,33.97,34.34,33.67,33.9,7077800
2024-09-17,33.43,34.27,33.37,33.8,10054200
2024-09-16,32.58,33.23,32.53,33.14,7775900
