Date,Open,High,Low,Close,Volume
2025-03-19,29.77,29.91,29.6,29.69,1069527
2025-03-18,30.07,30.25,29.79,29.94,2408800
2025-03-17,29.61,30.2,29.54,29.96,2412500
2025-03-14,29.29,29.67,29.22,29.54,2700600
2025-03-13,29.3,29.75,29.22,29.49,2376200
2025-03-12,29.43,29.72,29.12,29.22,2912600
2025-03-11,30.2,30.22,29.73,29.92,3360000
2025-03-10,30.2,31.08,30.12,30.27,3639500
2025-03-07,28.88,30.31,28.88,29.94,2855000
2025-03-06,28.86,29.15,28.59,29.0,1970200
2025-03-05,28.68,29.17,28.59,28.76,2029200
2025-03-04,29.75,29.87,28.89,28.9,2826700
2025-03-03,28.63,29.51,28.48,29.48,3583400
2025-02-28,28.65,28.77,28.18,28.63,6051400
2025-02-27,28.56,28.72,27.59,28.38,4641800
2025-02-26,29.27,29.31,28.56,28.73,4349500
2025-02-25,29.36,29.69,29.26,29.42,2754700
2025-02-24,29.58,29.76,29.16,29.23,4401700
2025-02-21,28.92,29.8,28.77,29.65,2828400
2025-02-20,28.45,28.85,28.42,28.85,2183200
2025-02-19,28.41,28.72,28.23,28.56,2681400
2025-02-18,28.35,28.44,28.03,28.29,4050200
2025-02-14,28.67,28.85,28.37,28.46,2791100
2025-02-13,28.53,28.63,28.27,28.54,3037500
2025-02-12,28.63,28.9,28.53,28.53,2661300
2025-02-11,28.8,29.01,28.6,29.0,2422900
2025-02-10,29.23,29.26,28.83,28.87,2224000
2025-02-07,29.28,29.28,28.82,29.2,3772300
2025-02-06,29.65,29.66,29.13,29.18,1796300
2025-02-05,29.25,29.59,29.11,29.27,4301300
2025-02-04,29.77,29.82,29.38,29.39,2235600
2025-02-03,29.77,29.95,29.16,29.6,2914400
2025-01-31,30.24,30.34,29.93,29.98,11604200
2025-01-30,30.48,30.5,30.17,30.43,1736400
2025-01-29,30.54,30.55,30.04,30.18,2098900
2025-01-28,31.29,31.45,30.36,30.46,2449200
2025-01-27,31.38,31.95,31.24,31.45,2775600
2025-01-24,30.78,31.03,30.66,30.88,1518600
2025-01-23,30.3,30.93,30.18,30.86,2138400
2025-01-22,30.89,30.89,30.28,30.35,2217800
2025-01-21,29.91,30.89,29.87,30.86,3362300
2025-01-17,29.75,30.0,29.7,29.93,2515100
2025-01-16,29.45,29.94,29.12,29.89,2894800
2025-01-15,30.14,30.19,29.36,29.6,2851200
2025-01-14,29.95,30.32,29.72,30.01,2150300
2025-01-13,29.95,30.39,29.8,30.26,3314200
2025-01-10,29.99,30.3,29.53,29.76,3194500
2025-01-08,29.89,30.18,29.7,30.15,2030000
2025-01-07,30.56,30.94,29.79,29.85,2262500
2025-01-06,31.02,31.03,30.22,30.38,2071300
2025-01-03,31.03,31.26,30.89,31.06,1817400
2025-01-02,31.19,31.41,31.08,31.22,1452200
2024-12-31,30.91,31.11,30.71,31.07,1529000
2024-12-30,31.44,31.46,30.81,30.9,1626300
2024-12-27,31.18,31.69,31.18,31.54,1718600
2024-12-26,31.15,31.46,31.08,31.37,1253000
2024-12-24,31.19,31.45,31.05,31.3,844000
2024-12-23,31.18,31.4,31.04,31.25,1845800
2024-12-20,31.33,31.58,31.22,31.37,4859800
2024-12-19,31.34,31.63,31.15,31.28,2889300
2024-12-18,31.44,31.85,31.04,31.59,4278500
2024-12-17,31.91,32.38,31.73,31.84,2710000
2024-12-16,32.56,32.8,32.02,32.03,2665000
2024-12-13,32.68,32.79,32.32,32.62,2508600
2024-12-12,33.0,33.0,32.49,32.72,1633600
2024-12-11,33.44,33.47,32.81,32.81,3725900
2024-12-10,32.87,33.43,32.61,33.23,2393700
2024-12-09,32.07,32.99,32.07,32.86,2633100
2024-12-06,32.66,32.73,32.13,32.16,2147600
2024-12-05,31.83,32.6,31.69,32.54,3162900
2024-12-04,30.72,31.72,30.54,31.68,4124700
2024-12-03,31.74,31.87,31.38,31.51,2999400
2024-12-02,32.17,32.17,31.54,31.83,3020800
2024-11-29,31.59,32.18,31.54,32.12,1904800
2024-11-27,31.47,31.75,31.37,31.61,2220600
2024-11-26,31.06,31.4,30.93,31.31,2312200
2024-11-25,30.68,31.16,30.65,31.13,4316800
2024-11-22,30.27,30.57,30.23,30.37,1999900
2024-11-21,29.9,30.27,29.72,30.21,2093500
2024-11-20,29.4,29.95,29.38,29.93,2590200
2024-11-19,28.87,29.48,28.81,29.44,1809100
2024-11-18,29.19,29.28,28.8,29.12,2885200
2024-11-15,30.04,30.38,28.9,28.93,4146000
2024-11-14,30.18,30.74,30.09,30.12,2596900
2024-11-13,30.1,30.14,29.75,30.1,2638600
2024-11-12,30.32,30.6,30.08,30.1,1898500
