Date,Open,High,Low,Close,Volume
2025-03-19,0.33,0.33,0.29,0.3,208122
2025-03-18,0.33,0.33,0.31,0.31,161000
2025-03-17,0.34,0.36,0.31,0.32,181100
2025-03-14,0.33,0.35,0.33,0.34,56400
2025-03-13,0.38,0.38,0.31,0.33,150700
2025-03-12,0.38,0.39,0.35,0.36,65300
2025-03-11,0.34,0.37,0.34,0.36,56000
2025-03-10,0.36,0.38,0.35,0.35,73000
2025-03-07,0.36,0.38,0.36,0.38,32100
2025-03-06,0.36,0.38,0.36,0.36,84500
2025-03-05,0.36,0.38,0.36,0.36,72000
2025-03-04,0.37,0.38,0.32,0.36,219800
2025-03-03,0.41,0.41,0.35,0.35,124100
2025-02-28,0.41,0.41,0.39,0.39,119100
2025-02-27,0.4,0.42,0.39,0.4,107300
2025-02-26,0.38,0.41,0.37,0.41,210100
2025-02-25,0.38,0.41,0.36,0.38,203700
2025-02-24,0.41,0.42,0.39,0.39,164700
2025-02-21,0.41,0.43,0.38,0.41,242600
2025-02-20,0.42,0.43,0.41,0.41,130200
2025-02-19,0.44,0.46,0.43,0.43,102400
2025-02-18,0.4,0.45,0.4,0.44,421700
2025-02-14,0.44,0.44,0.41,0.43,317400
2025-02-13,0.47,0.48,0.43,0.44,238200
2025-02-12,0.47,0.5,0.46,0.46,78900
2025-02-11,0.48,0.49,0.46,0.48,156900
2025-02-10,0.5,0.53,0.47,0.47,164200
2025-02-07,0.53,0.55,0.5,0.52,214900
2025-02-06,0.5,0.54,0.47,0.52,545600
2025-02-05,0.47,0.5,0.44,0.5,300300
2025-02-04,0.46,0.47,0.44,0.46,175900
2025-02-03,0.5,0.5,0.44,0.46,154400
2025-01-31,0.47,0.52,0.44,0.5,506100
2025-01-30,0.43,0.47,0.41,0.42,116900
2025-01-29,0.44,0.45,0.42,0.45,104800
2025-01-28,0.47,0.48,0.42,0.44,230600
2025-01-27,0.5,0.5,0.4,0.44,651500
2025-01-24,0.54,0.54,0.49,0.5,331700
2025-01-23,0.52,0.54,0.51,0.53,139700
2025-01-22,0.51,0.52,0.5,0.52,114200
2025-01-21,0.52,0.54,0.47,0.5,378300
2025-01-17,0.55,0.55,0.5,0.53,183000
2025-01-16,0.53,0.55,0.51,0.54,276600
2025-01-15,0.52,0.55,0.5,0.53,180000
2025-01-14,0.58,0.58,0.51,0.53,204000
2025-01-13,0.6,0.61,0.53,0.54,310800
2025-01-10,0.55,0.65,0.55,0.63,380700
2025-01-08,0.64,0.64,0.53,0.56,503200
2025-01-07,0.66,0.7,0.6,0.62,646500
2025-01-06,0.73,0.77,0.64,0.68,804100
2025-01-03,0.69,0.81,0.65,0.73,1900700
2025-01-02,0.58,0.73,0.57,0.71,1450400
2024-12-31,0.53,0.66,0.52,0.56,1323100
2024-12-30,0.53,0.55,0.51,0.53,412200
2024-12-27,0.56,0.57,0.52,0.55,451300
2024-12-26,0.6,0.61,0.5,0.57,714300
2024-12-24,0.54,0.65,0.53,0.62,874300
2024-12-23,0.48,0.59,0.47,0.57,1422300
2024-12-20,0.47,0.49,0.44,0.48,305200
2024-12-19,0.48,0.52,0.46,0.48,461400
2024-12-18,0.56,0.56,0.48,0.49,811600
2024-12-17,0.48,0.59,0.48,0.54,1229800
2024-12-16,0.44,0.56,0.44,0.47,1567600
2024-12-13,0.49,0.49,0.42,0.45,809600
2024-12-12,0.53,0.53,0.45,0.48,1196800
2024-12-11,0.56,0.57,0.5,0.52,948400
2024-12-10,0.5,0.6,0.47,0.58,1470400
2024-12-09,0.56,0.56,0.47,0.5,1726600
2024-12-06,0.46,0.62,0.46,0.56,8445200
2024-12-05,0.44,0.51,0.42,0.48,5391600
2024-12-04,0.42,0.75,0.36,0.52,279776200
2024-12-03,0.34,0.35,0.31,0.32,19850300
2024-12-02,0.35,0.35,0.31,0.34,506000
2024-11-29,0.31,0.33,0.29,0.33,372400
2024-11-27,0.33,0.34,0.3,0.31,869700
2024-11-26,0.31,0.32,0.3,0.31,451400
2024-11-25,0.32,0.32,0.29,0.31,392200
2024-11-22,0.31,0.32,0.29,0.32,470300
2024-11-21,0.31,0.32,0.28,0.29,504900
2024-11-20,0.33,0.34,0.31,0.31,292200
2024-11-19,0.36,0.37,0.3,0.34,645700
2024-11-18,0.37,0.38,0.31,0.34,565900
2024-11-15,0.45,0.45,0.36,0.38,805900
2024-11-14,0.38,0.81,0.36,0.51,6035300
2024-11-13,0.54,0.56,0.32,0.38,1228400
2024-11-12,0.52,0.61,0.52,0.61,213900
2024-11-11,0.52,0.55,0.51,0.54,188600
2024-11-08,0.54,0.55,0.52,0.53,93200
2024-11-07,0.58,0.59,0.54,0.55,206300
2024-11-06,0.59,0.64,0.55,0.59,228500
2024-11-05,0.63,0.65,0.6,0.61,92400
2024-11-04,0.64,0.64,0.6,0.63,75600
2024-11-01,0.62,0.67,0.62,0.62,112100
2024-10-31,0.62,0.65,0.58,0.64,80700
2024-10-30,0.66,0.68,0.6,0.64,60400
2024-10-29,0.69,0.69,0.64,0.65,39300
2024-10-28,0.59,0.69,0.57,0.67,229000
2024-10-25,0.6,0.6,0.57,0.59,174000
2024-10-24,0.66,0.66,0.57,0.6,212800
2024-10-23,0.7,0.7,0.62,0.64,117300
2024-10-22,0.7,0.76,0.69,0.71,191700
2024-10-21,0.72,0.73,0.62,0.69,187900
2024-10-18,0.86,0.86,0.65,0.74,710500
2024-10-17,0.61,0.87,0.56,0.79,1951800
2024-10-16,0.53,0.6,0.53,0.58,92100
2024-10-15,0.54,0.56,0.52,0.52,69700
2024-10-14,0.51,0.56,0.51,0.54,98700
2024-10-11,0.51,0.53,0.5,0.52,103200
2024-10-10,0.51,0.53,0.5,0.52,44100
2024-10-09,0.51,0.55,0.51,0.54,58900
2024-10-08,0.56,0.56,0.5,0.53,149800
2024-10-07,0.53,0.56,0.51,0.56,168900
2024-10-04,0.54,0.55,0.48,0.55,96800
2024-10-03,0.49,0.56,0.49,0.54,235000
2024-10-02,0.49,0.49,0.46,0.47,145700
2024-10-01,0.53,0.53,0.47,0.5,236400
2024-09-30,0.53,0.55,0.49,0.51,269100
2024-09-27,0.53,0.54,0.48,0.53,289000
2024-09-26,0.52,0.54,0.5,0.5,183800
2024-09-25,0.55,0.55,0.52,0.52,140500
2024-09-24,0.52,0.56,0.52,0.55,98300
2024-09-23,0.53,0.54,0.51,0.52,153300
2024-09-20,0.56,0.58,0.53,0.54,89600
2024-09-19,0.57,0.59,0.56,0.57,61400
2024-09-18,0.59,0.59,0.53,0.55,133700
2024-09-17,0.56,0.59,0.53,0.59,146400
2024-09-16,0.59,0.61,0.55,0.57,171400
2024-09-13,0.6,0.6,0.58,0.58,86400
2024-09-12,0.7,0.7,0.58,0.6,339000
2024-09-11,0.62,0.65,0.61,0.64,44600
2024-09-10,0.67,0.67,0.61,0.61,35900
2024-09-09,0.6,0.65,0.6,0.63,16700
2024-09-06,0.64,0.66,0.59,0.61,42500
2024-09-05,0.68,0.69,0.63,0.66,73600
2024-09-04,0.61,0.66,0.59,0.66,78100
2024-09-03,0.6,0.63,0.58,0.63,85600
2024-08-30,0.58,0.59,0.57,0.57,58600
2024-08-29,0.6,0.61,0.57,0.58,291600
2024-08-28,0.64,0.65,0.6,0.61,70900
2024-08-27,0.62,0.65,0.61,0.65,125600
2024-08-26,0.62,0.65,0.62,0.64,77800
2024-08-23,0.65,0.65,0.62,0.63,97300
2024-08-22,0.64,0.67,0.62,0.64,79900
2024-08-21,0.64,0.66,0.62,0.66,101900
2024-08-20,0.65,0.67,0.63,0.64,57200
2024-08-19,0.66,0.67,0.63,0.66,101400
2024-08-16,0.67,0.68,0.62,0.66,89900
2024-08-15,0.7,0.72,0.67,0.67,77100
2024-08-14,0.7,0.73,0.7,0.7,65900
2024-08-13,0.71,0.73,0.68,0.7,70600
2024-08-12,0.69,0.72,0.68,0.7,46800
2024-08-09,0.72,0.74,0.69,0.69,46600
2024-08-08,0.72,0.77,0.69,0.71,53600
2024-08-07,0.73,0.79,0.7,0.74,74400
2024-08-06,0.73,0.75,0.72,0.73,32700
2024-08-05,0.75,0.76,0.7,0.73,62300
2024-08-02,0.81,0.82,0.71,0.78,97300
2024-08-01,0.84,0.84,0.79,0.81,53000
2024-07-31,0.82,0.84,0.81,0.82,33800
2024-07-30,0.82,0.84,0.8,0.82,22900
2024-07-29,0.84,0.84,0.81,0.82,48600
2024-07-26,0.86,0.88,0.8,0.85,74300
2024-07-25,0.87,0.88,0.86,0.87,47600
2024-07-24,0.87,0.88,0.87,0.88,59100
2024-07-23,0.89,0.92,0.85,0.88,90600
2024-07-22,0.9,0.94,0.88,0.88,33600
2024-07-19,0.91,0.97,0.88,0.92,26000
2024-07-18,0.94,1.0,0.92,0.93,73600
2024-07-17,0.97,1.02,0.92,0.93,147400
2024-07-16,0.96,0.99,0.93,0.98,151700
2024-07-15,0.93,0.95,0.89,0.95,171900
2024-07-12,0.85,0.93,0.83,0.93,113800
2024-07-11,0.84,0.87,0.82,0.83,179600
2024-07-10,0.86,0.86,0.82,0.85,99300
2024-07-09,0.85,0.87,0.83,0.86,79900
2024-07-08,0.83,0.88,0.8,0.85,172000
2024-07-05,0.83,0.83,0.82,0.82,74200
2024-07-03,0.82,0.85,0.81,0.83,58700
2024-07-02,0.82,0.85,0.81,0.83,78300
2024-07-01,0.88,0.88,0.8,0.82,49300
2024-06-28,0.91,0.92,0.84,0.88,69600
2024-06-27,0.86,0.88,0.81,0.85,72500
2024-06-26,0.93,0.94,0.85,0.86,137400
2024-06-25,0.95,0.96,0.93,0.93,67700
2024-06-24,0.96,0.96,0.91,0.93,63000
2024-06-21,0.99,0.99,0.94,0.94,40800
2024-06-20,0.97,0.97,0.94,0.94,114500
2024-06-18,1.0,1.01,0.94,0.99,68500
2024-06-17,1.0,1.07,0.95,1.02,126600
2024-06-14,1.07,1.1,1.0,1.01,120600
2024-06-13,1.08,1.09,1.06,1.07,57900
2024-06-12,1.12,1.12,1.04,1.1,80200
2024-06-11,1.13,1.13,1.07,1.12,77200
2024-06-10,1.2,1.21,1.12,1.14,86600
2024-06-07,1.13,1.18,1.12,1.16,160600
2024-06-06,1.13,1.22,1.12,1.13,181200
2024-06-05,1.27,1.28,1.13,1.16,223600
2024-06-04,1.35,1.36,1.22,1.22,138000
2024-06-03,1.25,1.36,1.24,1.33,103500
2024-05-31,1.22,1.23,1.17,1.23,100100
2024-05-30,1.12,1.22,1.11,1.15,88600
2024-05-29,1.13,1.15,1.1,1.14,47700
2024-05-28,1.19,1.2,1.12,1.14,53800
2024-05-24,1.17,1.22,1.16,1.18,53900
2024-05-23,1.2,1.22,1.17,1.19,50100
2024-05-22,1.17,1.2,1.14,1.2,113000
2024-05-21,1.15,1.19,1.15,1.17,50400
2024-05-20,1.17,1.2,1.13,1.16,88900
2024-05-17,1.21,1.23,1.13,1.17,189900
2024-05-16,1.26,1.26,1.19,1.22,89100
2024-05-15,1.3,1.31,1.21,1.24,181600
2024-05-14,1.22,1.37,1.22,1.3,268100
2024-05-13,1.22,1.26,1.15,1.21,126100
2024-05-10,1.25,1.28,1.15,1.16,84400
2024-05-09,1.29,1.29,1.22,1.27,42100
2024-05-08,1.29,1.3,1.22,1.29,36900
2024-05-07,1.29,1.33,1.25,1.29,31000
2024-05-06,1.32,1.34,1.29,1.31,29800
2024-05-03,1.26,1.29,1.22,1.27,55100
2024-05-02,1.34,1.34,1.26,1.27,34000
2024-05-01,1.25,1.31,1.22,1.3,45600
2024-04-30,1.29,1.34,1.23,1.25,69200
2024-04-29,1.33,1.36,1.2,1.29,78800
2024-04-26,1.25,1.32,1.24,1.27,48500
2024-04-25,1.2,1.26,1.18,1.25,32500
2024-04-24,1.2,1.27,1.2,1.23,45700
2024-04-23,1.2,1.29,1.2,1.22,59600
2024-04-22,1.27,1.28,1.19,1.21,86300
2024-04-19,1.28,1.32,1.25,1.27,51700
2024-04-18,1.31,1.33,1.28,1.31,69600
2024-04-17,1.28,1.32,1.28,1.3,56100
2024-04-16,1.22,1.31,1.22,1.28,96800
2024-04-15,1.38,1.38,1.19,1.24,207500
2024-04-12,1.45,1.45,1.39,1.4,83700
2024-04-11,1.45,1.49,1.41,1.45,73600
2024-04-10,1.49,1.53,1.43,1.46,111600
2024-04-09,1.45,1.53,1.45,1.47,120800
2024-04-08,1.47,1.49,1.4,1.42,140000
2024-04-05,1.53,1.53,1.46,1.49,61400
2024-04-04,1.48,1.54,1.48,1.53,56000
2024-04-03,1.55,1.57,1.41,1.51,162000
2024-04-02,1.63,1.65,1.56,1.58,101800
2024-04-01,1.7,1.7,1.56,1.63,91300
2024-03-28,1.71,1.75,1.65,1.69,132500
2024-03-27,1.61,1.7,1.56,1.7,105500
2024-03-26,1.57,1.64,1.56,1.58,123800
2024-03-25,1.62,1.66,1.54,1.56,178300
2024-03-22,1.67,1.71,1.6,1.68,174200
2024-03-21,1.8,1.8,1.66,1.69,93600
2024-03-20,1.6,1.84,1.6,1.79,338900
2024-03-19,1.57,1.64,1.54,1.6,85400
2024-03-18,1.51,1.7,1.5,1.65,191200
2024-03-15,1.45,1.51,1.4,1.48,137600
2024-03-14,1.63,1.65,1.49,1.51,248500
2024-03-13,1.67,1.68,1.6,1.64,161000
2024-03-12,1.63,1.66,1.56,1.64,122300
2024-03-11,1.77,1.77,1.55,1.63,245000
2024-03-08,1.71,1.84,1.66,1.75,136200
2024-03-07,1.84,1.96,1.73,1.75,261000
2024-03-06,1.8,1.93,1.7,1.93,726900
2024-03-05,1.73,1.8,1.53,1.65,454100
2024-03-04,1.43,1.83,1.39,1.71,865300
2024-03-01,1.64,1.65,1.29,1.29,731100
2024-02-29,1.55,1.81,1.55,1.57,397900
2024-02-28,1.84,1.84,1.52,1.53,489500
2024-02-27,1.9,1.93,1.82,1.85,203800
2024-02-26,1.61,1.96,1.59,1.91,527900
2024-02-23,1.84,1.91,1.56,1.7,679900
2024-02-22,2.15,2.22,1.91,1.94,627800
2024-02-21,2.34,2.48,2.2,2.3,840200
2024-02-20,2.14,2.55,1.94,2.48,3267800
2024-02-16,4.12,4.65,2.2,2.28,83081600
2024-02-15,1.17,1.25,1.1,1.2,188100
2024-02-14,1.17,1.24,1.06,1.14,52800
2024-02-13,1.21,1.29,1.15,1.2,212700
2024-02-12,1.14,1.28,1.13,1.24,152900
2024-02-09,1.01,1.15,1.01,1.11,59100
2024-02-08,0.97,1.11,0.97,1.02,93100
2024-02-07,1.05,1.05,0.96,0.99,67500
2024-02-06,1.1,1.11,1.0,1.02,69000
2024-02-05,1.05,1.11,1.02,1.07,35600
2024-02-02,1.07,1.13,1.0,1.07,35200
2024-02-01,1.17,1.2,1.05,1.07,46900
2024-01-31,1.11,1.14,1.06,1.14,40700
2024-01-30,1.08,1.18,1.05,1.11,60700
2024-01-29,1.07,1.07,1.02,1.06,24300
2024-01-26,1.06,1.1,1.0,1.04,65300
2024-01-25,1.01,1.06,1.0,1.01,21100
2024-01-24,0.95,0.96,0.9,0.96,18300
2024-01-23,0.88,0.94,0.88,0.92,34300
2024-01-22,0.89,0.9,0.82,0.88,65400
2024-01-19,0.89,0.93,0.89,0.9,18000
2024-01-18,0.93,0.95,0.89,0.89,36000
2024-01-17,0.92,0.94,0.9,0.93,38300
2024-01-16,1.1,1.1,0.9,0.95,135700
2024-01-12,1.05,1.08,1.03,1.04,20600
2024-01-11,1.03,1.07,1.01,1.04,43100
2024-01-10,1.1,1.17,1.07,1.07,32100
2024-01-09,1.13,1.17,1.12,1.12,28300
2024-01-08,1.17,1.19,1.13,1.14,35000
2024-01-05,1.12,1.17,1.1,1.13,46100
2024-01-04,1.06,1.11,1.06,1.09,49400
2024-01-03,1.13,1.13,1.02,1.04,91600
2024-01-02,1.17,1.18,1.0,1.04,110100
2023-12-29,1.18,1.22,1.12,1.12,83600
2023-12-28,1.26,1.31,1.16,1.2,81700
2023-12-27,1.27,1.34,1.25,1.26,75300
2023-12-26,1.21,1.36,1.21,1.29,72500
2023-12-22,1.3,1.33,1.26,1.28,74100
2023-12-21,1.25,1.39,1.24,1.3,81400
2023-12-20,1.23,1.25,1.18,1.24,47600
2023-12-19,1.28,1.47,1.22,1.23,148700
2023-12-18,1.11,1.23,1.08,1.22,154800
2023-12-15,1.06,1.1,1.06,1.08,49200
2023-12-14,1.03,1.11,1.03,1.07,106700
2023-12-13,0.98,1.05,0.91,1.03,81300
2023-12-12,0.97,1.18,0.94,0.96,174800
2023-12-11,1.07,1.07,0.93,0.93,164800
2023-12-08,1.07,1.08,1.04,1.07,75400
2023-12-07,1.07,1.14,1.02,1.04,165000
2023-12-06,1.12,1.21,1.09,1.1,115500
2023-12-05,1.27,1.36,1.15,1.18,206300
2023-12-04,1.07,1.56,1.05,1.23,874800
2023-12-01,1.32,1.32,1.01,1.1,577900
2023-11-30,1.48,1.59,1.32,1.39,564000
2023-11-29,1.2,1.8,1.18,1.64,1626000
2023-11-28,0.97,1.34,0.94,1.22,2150300
2023-11-27,0.65,1.04,0.61,0.89,1511900
2023-11-24,0.54,0.62,0.53,0.62,106100
2023-11-22,0.51,0.53,0.51,0.53,62000
2023-11-21,0.54,0.55,0.51,0.52,84100
2023-11-20,0.56,0.57,0.52,0.55,84100
2023-11-17,0.56,0.62,0.55,0.56,61300
2023-11-16,0.71,0.71,0.55,0.59,140300
2023-11-15,0.55,0.66,0.54,0.63,190200
2023-11-14,0.52,0.55,0.5,0.52,164400
2023-11-13,0.52,0.53,0.5,0.5,105400
2023-11-10,0.57,0.57,0.51,0.52,156600
2023-11-09,0.57,0.58,0.57,0.57,95400
2023-11-08,0.63,0.66,0.55,0.59,184300
2023-11-07,0.66,0.67,0.59,0.6,205100
2023-11-06,0.71,0.73,0.65,0.66,78600
2023-11-03,0.71,0.75,0.7,0.73,158900
2023-11-02,0.69,0.73,0.69,0.71,49100
2023-11-01,0.7,0.71,0.67,0.68,63000
2023-10-31,0.73,0.73,0.7,0.71,55500
2023-10-30,0.73,0.78,0.72,0.73,32300
2023-10-27,0.78,0.78,0.72,0.75,37300
2023-10-26,0.75,0.79,0.74,0.75,51200
2023-10-25,0.79,0.81,0.75,0.77,39800
2023-10-24,0.78,0.8,0.75,0.77,65300
