Date,Open,High,Low,Close,Volume
2025-03-19,338.1,339.05,336.24,337.98,35373
2025-03-18,341.49,341.49,335.71,336.38,381384
2025-03-17,338.97,348.11,338.97,344.06,369384
2025-03-14,339.85,343.75,336.08,340.82,605022
2025-03-13,333.82,336.22,330.32,331.8,708840
2025-03-12,348.14,352.22,333.98,334.69,911248
2025-03-11,336.94,344.11,332.97,340.42,1078206
2025-03-10,347.0,347.45,337.21,337.68,1205562
2025-03-07,345.39,357.23,343.59,354.47,1078895
2025-03-06,343.97,349.18,337.97,346.28,863903
2025-03-05,353.94,360.02,351.36,353.85,969461
2025-03-04,348.23,359.63,340.38,351.79,955228
2025-03-03,372.21,374.18,351.91,354.95,724620
2025-02-28,367.3,371.7,364.8,371.59,550784
2025-02-27,376.7,379.4,367.33,367.95,486397
2025-02-26,376.65,382.03,373.94,376.04,697487
2025-02-25,364.37,374.32,363.33,370.88,779638
2025-02-24,377.15,379.9,365.42,367.93,916596
2025-02-21,388.33,390.33,374.79,376.13,639038
2025-02-20,391.27,394.05,383.61,388.03,443368
2025-02-19,391.52,392.13,387.47,390.98,330246
2025-02-18,394.29,397.13,390.98,394.14,572103
2025-02-14,393.63,395.61,387.9,388.75,655544
2025-02-13,391.66,393.04,386.25,391.82,642032
2025-02-12,387.27,393.18,385.09,389.81,635241
2025-02-11,395.12,399.23,392.79,395.65,657139
2025-02-10,402.04,404.46,397.03,398.37,742494
2025-02-07,397.15,401.7,394.55,399.5,639127
2025-02-06,401.01,401.56,389.92,393.58,963201
2025-02-05,404.28,404.36,396.72,398.64,661776
2025-02-04,410.36,414.15,392.18,399.48,1522155
2025-02-03,405.6,412.17,396.38,407.27,1063397
2025-01-31,426.18,429.21,418.81,421.5,497521
2025-01-30,423.3,428.07,417.84,425.05,481399
2025-01-29,413.5,420.92,410.64,416.22,605976
2025-01-28,418.02,420.07,403.72,411.88,896819
2025-01-27,427.81,428.66,406.74,413.05,1280856
2025-01-24,454.36,459.32,451.46,453.63,470149
2025-01-23,452.81,455.23,449.96,452.17,496531
2025-01-22,461.59,475.7,454.78,455.23,883494
2025-01-21,441.14,449.14,440.02,448.77,365649
2025-01-17,437.18,437.18,430.54,435.82,375904
2025-01-16,430.96,433.83,427.54,432.37,446923
2025-01-15,438.46,439.63,423.22,427.4,704578
2025-01-14,425.0,430.24,422.42,426.68,549220
2025-01-13,412.19,419.11,407.64,419.01,693525
2025-01-10,422.54,427.84,417.31,418.75,571707
2025-01-08,429.18,433.73,422.55,433.22,333073
2025-01-07,438.98,439.49,426.77,432.41,376482
2025-01-06,435.2,440.05,432.2,438.98,328763
2025-01-03,421.27,430.39,420.17,429.42,343400
2025-01-02,421.72,426.02,415.64,418.49,253009
2024-12-31,418.04,420.71,416.11,417.39,197933
2024-12-30,416.3,419.71,411.21,417.69,194028
2024-12-27,425.25,428.55,420.16,421.6,280292
2024-12-26,429.19,432.24,427.7,428.92,313521
2024-12-24,424.78,431.58,424.78,430.5,168146
2024-12-23,424.97,426.28,421.25,424.38,203799
2024-12-20,419.81,430.34,417.32,425.27,821461
2024-12-19,430.47,430.47,419.38,423.03,493283
2024-12-18,440.46,443.27,423.78,423.9,419054
2024-12-17,450.11,450.24,435.86,437.96,561240
2024-12-16,450.33,454.93,448.0,454.19,339265
2024-12-13,455.75,458.3,450.15,452.0,233620
2024-12-12,455.37,456.28,450.15,453.71,299313
2024-12-11,454.32,459.04,448.03,455.37,365012
2024-12-10,449.36,452.26,444.53,446.99,329466
2024-12-09,459.47,459.47,445.1,450.6,345440
2024-12-06,468.43,469.84,458.0,460.32,429505
2024-12-05,467.61,469.55,463.57,465.45,330711
2024-12-04,456.17,468.28,456.17,467.7,460161
2024-12-03,457.95,457.95,452.87,456.18,231299
2024-12-02,461.99,461.99,453.29,455.6,297676
2024-11-29,461.64,463.25,457.74,458.45,198409
2024-11-27,457.18,462.79,452.69,455.89,253964
2024-11-26,454.56,461.97,448.87,457.77,489183
2024-11-25,460.69,461.99,453.91,460.87,579322
2024-11-22,454.04,458.72,452.19,457.84,343665
2024-11-21,446.84,461.6,443.77,453.54,455040
2024-11-20,449.53,449.98,440.39,442.71,422929
2024-11-19,437.73,452.17,437.56,449.46,433777
2024-11-18,435.74,445.83,432.39,442.06,550768
2024-11-15,436.17,442.08,434.58,434.79,403882
2024-11-14,449.9,450.26,436.68,437.26,365660
2024-11-13,451.45,455.21,448.49,450.87,539228
2024-11-12,462.56,462.82,447.49,449.12,483872
2024-11-11,468.4,470.83,459.47,463.01,535536
2024-11-08,464.99,465.45,460.71,464.92,387617
2024-11-07,468.98,472.18,462.76,463.97,483089
2024-11-06,456.4,478.24,448.22,469.08,783561
2024-11-05,426.15,437.48,426.15,436.81,365969
2024-11-04,421.77,428.05,419.61,422.18,333001
2024-11-01,422.03,425.24,416.79,422.96,539193
2024-10-31,425.27,427.15,420.57,424.28,447984
2024-10-30,433.72,439.63,426.96,428.88,469699
2024-10-29,421.9,440.81,417.4,437.29,653335
2024-10-28,447.02,451.01,445.9,446.77,598695
2024-10-25,451.12,451.12,440.43,441.66,376674
2024-10-24,441.95,448.86,440.51,447.28,338220
2024-10-23,444.85,446.88,437.69,441.86,273657
2024-10-22,449.64,450.26,444.17,445.48,209942
2024-10-21,456.12,456.12,451.25,453.76,150627
2024-10-18,456.12,457.6,451.7,453.87,450937
2024-10-17,455.25,456.64,449.29,454.56,277750
2024-10-16,451.34,454.43,449.34,451.14,313610
2024-10-15,458.8,458.8,446.53,448.48,385197
2024-10-14,454.81,458.78,452.14,457.53,264371
2024-10-11,440.5,454.06,440.5,453.63,326409
2024-10-10,433.69,441.83,428.84,440.59,456074
2024-10-09,439.99,446.9,438.16,446.52,398928
2024-10-08,437.63,439.51,433.19,438.27,330107
2024-10-07,423.11,436.33,421.84,435.61,491275
2024-10-04,429.41,429.41,423.64,426.95,261580
2024-10-03,424.88,426.16,419.51,423.16,257177
2024-10-02,420.56,425.84,419.44,424.95,327289
2024-10-01,426.27,427.72,419.03,424.54,281742
2024-09-30,424.02,428.77,422.62,425.59,468445
2024-09-27,426.04,430.16,424.43,425.72,299122
2024-09-26,427.86,429.87,421.93,425.19,308496
2024-09-25,425.75,425.75,417.99,421.4,456953
2024-09-24,423.34,426.04,417.23,422.12,322846
2024-09-23,424.43,430.24,420.37,423.84,258181
