Date,Open,High,Low,Close,Volume
2025-03-14,125.0,126.75,123.13,126.51,2564100
2025-03-13,127.0,128.0,121.6,122.77,3882500
2025-03-12,129.0,129.37,125.09,127.93,2474000
2025-03-11,122.47,126.89,122.38,125.5,4067200
2025-03-10,121.0,123.31,120.32,122.31,4430500
2025-03-07,123.46,125.01,119.03,124.4,5132400
2025-03-06,127.61,129.12,123.73,124.49,3090100
2025-03-05,127.61,131.72,126.78,130.3,3285000
2025-03-04,127.66,129.94,123.03,127.02,5528600
2025-03-03,137.93,139.25,130.87,131.02,3224100
2025-02-28,133.39,136.77,132.6,136.6,4362900
2025-02-27,133.53,135.59,131.84,133.42,2760100
2025-02-26,131.63,135.23,131.18,131.98,2720300
2025-02-25,129.96,131.61,126.69,130.23,2614800
2025-02-24,131.38,133.21,127.68,129.56,3562500
2025-02-21,138.77,138.87,129.54,129.83,3518800
2025-02-20,139.3,139.53,135.12,138.44,3030100
2025-02-19,136.53,140.55,136.53,139.39,2902900
2025-02-18,136.25,137.41,134.1,136.67,3219000
2025-02-14,128.87,133.92,126.89,133.42,4278500
2025-02-13,125.64,128.69,122.72,128.08,4829400
2025-02-12,127.69,129.95,127.61,128.09,3334400
2025-02-11,128.38,129.57,126.81,129.32,1522400
2025-02-10,128.42,128.73,126.72,128.2,1759900
2025-02-07,129.26,129.69,127.34,127.7,1560700
2025-02-06,127.9,128.9,126.92,128.9,2342600
2025-02-05,126.13,128.19,125.75,127.7,1838600
2025-02-04,127.3,127.57,124.64,125.38,1901100
2025-02-03,124.25,126.95,123.4,126.28,1907500
2025-01-31,127.9,128.21,125.83,126.48,2363100
2025-01-30,126.82,127.65,125.41,127.27,2419400
2025-01-29,126.28,127.05,125.68,126.26,1958700
2025-01-28,124.42,126.54,123.9,126.31,3629400
2025-01-27,122.6,124.62,119.8,121.99,3448800
2025-01-24,126.9,127.45,126.14,126.93,2102600
2025-01-23,127.36,129.0,126.83,127.64,3093100
2025-01-22,127.93,128.23,125.74,126.61,2605800
2025-01-21,127.55,129.0,126.03,127.06,3341000
2025-01-17,123.93,126.16,122.6,125.2,3921400
2025-01-16,122.9,123.45,121.39,122.88,2895900
2025-01-15,122.71,124.05,120.36,121.77,4736700
2025-01-14,116.19,119.19,115.71,119.1,3202300
2025-01-13,110.91,114.9,110.7,114.66,2205600
2025-01-10,113.71,114.64,112.43,112.55,2474000
2025-01-08,111.72,115.07,111.02,114.96,2318800
2025-01-07,112.43,112.79,109.7,111.57,2574400
2025-01-06,113.63,114.27,111.9,112.38,2115600
2025-01-03,111.08,113.59,110.5,112.67,2132600
2025-01-02,110.11,112.37,109.42,110.7,2068800
2024-12-31,110.54,110.68,108.79,109.29,1330300
2024-12-30,109.25,110.67,108.08,110.19,1199800
2024-12-27,111.61,112.43,110.13,111.14,1363200
2024-12-26,111.56,112.6,110.88,112.44,755300
2024-12-24,110.46,112.01,109.97,111.95,616900
2024-12-23,109.94,110.69,108.8,110.45,1537000
2024-12-20,108.25,111.3,108.25,110.74,5806200
2024-12-19,109.49,110.71,108.45,109.27,2915800
2024-12-18,112.11,112.22,107.45,107.61,2448500
2024-12-17,111.9,112.49,110.43,111.84,2764700
2024-12-16,113.91,114.22,112.47,113.19,1917600
2024-12-13,114.15,114.71,113.03,113.34,1565500
2024-12-12,116.06,116.3,113.61,113.61,2119100
2024-12-11,115.33,116.24,114.82,115.99,2399400
2024-12-10,113.67,115.17,113.43,113.99,2009100
