Date,Open,High,Low,Close,Volume
2025-03-12,0.04,0.04,0.0,0.0,1833
2025-03-11,0.04,0.04,0.0,0.0,5400
2025-03-10,0.0,0.05,0.0,0.04,4176
2025-03-07,0.01,0.04,0.0,0.01,5243
2025-03-06,0.01,0.01,0.0,0.0,1113
2025-03-05,0.0,0.0,0.0,0.0,1108
2025-03-04,0.04,0.04,0.0,0.0,29098
2025-03-03,0.04,0.04,0.0,0.04,3226
2025-02-28,0.0,0.04,0.0,0.04,1727
2025-02-27,0.04,0.04,0.0,0.04,12956
2025-02-26,0.05,0.05,0.0,0.0,1185
2025-02-25,0.02,0.05,0.01,0.05,6305
2025-02-24,0.03,0.05,0.02,0.05,24940
2025-02-21,0.02,0.02,0.02,0.02,1644
2025-02-20,0.03,0.04,0.03,0.03,2152
2025-02-19,0.04,0.06,0.03,0.05,191672
2025-02-18,0.05,0.06,0.02,0.04,58419
2025-02-14,0.02,0.05,0.02,0.05,86132
2025-02-13,0.01,0.06,0.01,0.06,62190
2025-02-12,0.03,0.03,0.03,0.03,0
2025-02-11,0.0,0.04,0.0,0.03,43750
2025-02-10,0.01,0.1,0.01,0.01,32776
2025-02-07,0.0,0.01,0.0,0.01,7715
2025-02-06,0.0,0.04,0.0,0.02,6516
2025-02-05,0.0,0.04,0.0,0.01,12271
2025-02-04,0.0,0.05,0.0,0.0,9177
2025-02-03,0.0,0.02,0.0,0.0,8079
2025-01-31,0.0,0.0,0.0,0.0,1729
2025-01-30,0.0,0.05,0.0,0.01,9033
2025-01-29,0.0,0.0,0.0,0.0,1550
2025-01-28,0.0,0.05,0.0,0.01,73543
2025-01-27,0.01,0.03,0.01,0.01,7373
2025-01-24,0.0,0.01,0.0,0.01,2781
2025-01-23,0.0,0.02,0.0,0.0,8627
2025-01-22,0.0,0.11,0.0,0.0,74808
2025-01-21,0.0,0.05,0.0,0.01,6244
2025-01-17,0.0,0.01,0.0,0.01,11120
2025-01-16,0.0,0.05,0.0,0.05,3495
2025-01-15,0.0,0.05,0.0,0.05,50043
2025-01-14,0.0,0.0,0.0,0.0,2182
2025-01-13,0.0,0.0,0.0,0.0,1494
2025-01-10,0.0,0.01,0.0,0.0,5337
2025-01-08,0.0,0.0,0.0,0.0,2091
2025-01-07,0.0,0.02,0.0,0.0,54034
2025-01-06,0.02,0.02,0.0,0.0,27342
2025-01-03,0.01,0.02,0.0,0.02,79367
2025-01-02,0.0,0.05,0.0,0.05,233125
2024-12-31,0.0,0.07,0.0,0.01,184394
2024-12-30,0.0,0.03,0.0,0.0,35977
2024-12-27,0.0,0.07,0.0,0.0,63304
2024-12-26,0.01,0.03,0.01,0.01,15292
2024-12-24,0.01,0.06,0.01,0.01,74774
2024-12-23,0.01,0.07,0.01,0.01,43530
2024-12-20,0.0,0.05,0.0,0.0,118917
2024-12-19,0.01,0.05,0.0,0.01,14803
2024-12-18,0.0,0.08,0.0,0.01,32227
2024-12-17,0.01,0.1,0.0,0.0,24156
2024-12-16,0.0,0.1,0.0,0.0,205036
2024-12-13,0.01,0.02,0.0,0.0,12031
2024-12-12,0.01,0.01,0.0,0.01,24012
2024-12-11,0.01,0.01,0.0,0.01,81948
2024-12-10,0.01,0.01,0.0,0.01,47401
2024-12-09,0.03,0.1,0.0,0.01,776750
2024-12-06,0.07,0.08,0.02,0.02,110651
2024-12-05,0.2,0.25,0.05,0.07,1145723
2024-12-04,0.06,0.29,0.06,0.27,25161
2024-12-03,0.05,0.29,0.05,0.2,13411
2024-12-02,0.15,0.35,0.04,0.3,33941
2024-11-29,0.11,0.39,0.05,0.22,5564
2024-11-27,0.19,0.24,0.19,0.2,16666
2024-11-26,0.18,0.39,0.18,0.25,9247
2024-11-25,0.1,0.32,0.1,0.2,19308
2024-11-22,0.05,0.29,0.04,0.2,21487
2024-11-21,0.1,0.4,0.1,0.25,38757
2024-11-20,0.08,0.26,0.04,0.14,68178
2024-11-19,0.05,0.2,0.05,0.1,9996
2024-11-18,0.04,0.4,0.03,0.06,47054
2024-11-15,0.04,0.2,0.03,0.1,10344
2024-11-14,0.04,0.2,0.02,0.03,6958
2024-11-13,0.05,0.2,0.03,0.03,20300
2024-11-12,0.02,0.26,0.02,0.08,11844
2024-11-11,0.04,0.2,0.04,0.08,9171
2024-11-08,0.1,0.27,0.08,0.1,8521
2024-11-07,0.03,0.19,0.03,0.08,7645
2024-11-06,0.02,0.08,0.02,0.08,4651
2024-11-05,0.1,0.3,0.02,0.11,6210
2024-11-04,0.1,0.11,0.1,0.11,2169
2024-11-01,0.1,0.34,0.08,0.08,4913
2024-10-31,0.0,0.1,0.0,0.1,3010
2024-10-30,0.07,0.2,0.07,0.15,2535
2024-10-29,0.2,0.25,0.05,0.08,131211
2024-10-28,0.05,0.35,0.05,0.2,7372
2024-10-25,0.25,0.42,0.2,0.42,12500
2024-10-24,0.12,0.4,0.12,0.28,33967
2024-10-23,0.0,0.32,0.0,0.12,4449
2024-10-22,0.17,0.32,0.11,0.2,25756
2024-10-21,0.18,0.27,0.12,0.14,15849
2024-10-18,0.1,0.25,0.0,0.12,10701
2024-10-17,0.0,0.14,0.0,0.1,36250
2024-10-16,0.08,0.27,0.08,0.2,23943
2024-10-15,0.12,0.27,0.12,0.27,42697
2024-10-14,0.0,0.25,0.0,0.25,152463
2024-10-11,0.0,0.2,0.0,0.2,24007
2024-10-10,0.15,0.2,0.1,0.12,42721
2024-10-09,0.1,0.18,0.09,0.14,17492
2024-10-08,0.08,0.17,0.08,0.08,2475
2024-10-07,0.04,0.11,0.04,0.1,4100
2024-10-04,0.04,0.17,0.04,0.04,11962
2024-10-03,0.07,0.07,0.07,0.07,2731
2024-10-02,0.04,0.1,0.04,0.08,3312
2024-10-01,0.04,0.13,0.04,0.1,2821
2024-09-30,0.04,0.18,0.04,0.18,8346
2024-09-27,0.04,0.18,0.04,0.07,3238
2024-09-26,0.18,0.18,0.06,0.1,23001
2024-09-25,0.08,0.18,0.04,0.07,7737
2024-09-24,0.04,0.2,0.04,0.08,45838
2024-09-23,0.1,0.2,0.04,0.19,15517
2024-09-20,0.13,0.13,0.11,0.12,3183
2024-09-19,0.0,0.18,0.0,0.18,43711
2024-09-18,0.0,0.18,0.0,0.1,18103
2024-09-17,0.05,0.2,0.04,0.19,25505
2024-09-16,0.05,0.19,0.04,0.08,4385
2024-09-13,0.05,0.2,0.02,0.2,20366
2024-09-12,0.0,0.2,0.0,0.1,4098
2024-09-11,0.11,0.16,0.11,0.16,3329
2024-09-10,0.13,0.25,0.0,0.13,14881
2024-09-09,0.0,0.15,0.0,0.13,9691
2024-09-06,0.15,0.26,0.1,0.26,3642
2024-09-05,0.2,0.26,0.14,0.26,12932
2024-09-04,0.2,0.28,0.1,0.28,48415
2024-09-03,0.2,0.28,0.2,0.27,10707
2024-08-30,0.2,0.28,0.2,0.2,22081
2024-08-29,0.2,0.29,0.2,0.21,5970
2024-08-28,0.2,0.32,0.2,0.3,6395
2024-08-27,0.22,0.32,0.2,0.21,4632
2024-08-26,0.26,0.26,0.2,0.2,6681
2024-08-23,0.27,0.32,0.26,0.32,11102
2024-08-22,0.25,0.33,0.25,0.32,15095
2024-08-21,0.24,0.37,0.24,0.26,4559
2024-08-20,0.23,0.39,0.23,0.25,13854
2024-08-19,0.26,0.34,0.23,0.23,27695
2024-08-16,0.01,0.31,0.01,0.27,9213
2024-08-15,0.0,0.34,0.0,0.34,84913
2024-08-14,0.15,0.33,0.15,0.32,16994
2024-08-13,0.0,0.4,0.0,0.3,73595
2024-08-12,0.21,0.45,0.0,0.2,41636
2024-08-09,0.5,0.5,0.21,0.33,54155
2024-08-08,0.41,0.56,0.34,0.54,76675
2024-08-07,0.46,0.58,0.46,0.58,14951
2024-08-06,0.33,0.68,0.33,0.58,18759
2024-08-05,0.6,0.62,0.45,0.62,48994
2024-08-02,0.46,0.61,0.33,0.61,19803
2024-08-01,0.4,0.68,0.4,0.48,22791
2024-07-31,0.34,0.65,0.32,0.61,44195
2024-07-30,0.6,0.6,0.36,0.58,30734
2024-07-29,0.5,0.7,0.4,0.68,49589
2024-07-26,0.35,0.6,0.35,0.54,20653
2024-07-25,0.51,0.7,0.51,0.57,28076
2024-07-24,0.7,0.8,0.65,0.71,96944
2024-07-23,0.51,0.75,0.51,0.71,63484
2024-07-22,0.6,0.72,0.51,0.69,30896
2024-07-19,0.62,0.7,0.62,0.7,18053
2024-07-18,0.61,0.74,0.61,0.7,22632
2024-07-17,0.6,0.75,0.6,0.65,42419
2024-07-16,0.8,0.8,0.6,0.71,51640
2024-07-15,0.65,0.86,0.43,0.85,586258
2024-07-12,0.2,0.75,0.2,0.75,660722
2024-07-11,0.54,0.81,0.4,0.8,2114938
2024-07-10,0.92,0.94,0.88,0.88,1962046
2024-07-09,0.93,0.95,0.91,0.92,93451
2024-07-08,0.93,0.93,0.9,0.91,77242
2024-07-05,0.92,0.95,0.9,0.93,130499
2024-07-03,0.88,0.95,0.88,0.95,188885
2024-07-02,0.89,0.93,0.88,0.92,139389
2024-07-01,0.9,0.92,0.87,0.88,192673
2024-06-28,0.9,0.91,0.87,0.9,125872
2024-06-27,0.91,0.93,0.89,0.91,148079
2024-06-26,0.92,0.94,0.91,0.91,219538
2024-06-25,0.94,0.97,0.91,0.93,183555
2024-06-24,0.87,1.03,0.82,0.93,1088688
2024-06-21,0.93,0.94,0.81,0.81,815601
2024-06-20,1.02,1.03,0.92,0.93,388557
2024-06-18,1.01,1.03,1.0,1.01,183983
2024-06-17,1.01,1.07,0.98,1.05,233895
