Date,Open,High,Low,Close,Volume
2025-03-19,60.13,62.0,60.03,61.52,1352408
2025-03-18,60.5,60.95,59.89,60.27,1204400
2025-03-17,60.5,60.61,59.4,60.61,1088600
2025-03-14,60.46,60.82,59.53,60.64,1432500
2025-03-13,61.19,61.99,59.63,59.89,1335800
2025-03-12,62.78,63.07,60.76,61.41,1441500
2025-03-11,63.89,64.56,62.54,62.64,1235700
2025-03-10,64.22,66.27,63.93,63.98,1285300
2025-03-07,64.28,64.68,63.08,64.02,1163700
2025-03-06,62.84,64.64,62.27,64.43,1767500
2025-03-05,60.74,61.98,60.53,61.95,920000
2025-03-04,59.27,61.57,59.0,60.74,1508800
2025-03-03,60.99,61.35,59.5,59.85,874300
2025-02-28,61.05,61.74,60.43,61.0,900200
2025-02-27,61.8,62.52,60.9,61.01,786300
2025-02-26,63.0,63.17,61.71,62.13,967300
2025-02-25,61.58,63.69,61.38,63.19,1064700
2025-02-24,61.4,61.82,59.89,61.11,1407000
2025-02-21,63.52,63.52,61.1,61.26,825300
2025-02-20,61.8,62.96,61.68,62.83,1125600
2025-02-19,61.25,62.59,60.96,62.1,1423700
2025-02-18,64.3,64.63,62.86,63.68,976800
2025-02-14,65.0,66.2,64.43,64.99,1034600
2025-02-13,64.73,64.73,63.32,64.17,1049000
2025-02-12,62.85,63.94,61.71,63.94,2133200
2025-02-11,63.82,64.65,63.78,64.22,940100
2025-02-10,63.94,64.38,63.7,64.08,1336500
2025-02-07,65.66,65.77,63.0,63.45,1567500
2025-02-06,67.0,67.69,66.08,66.42,1391900
2025-02-05,67.39,67.39,66.04,67.06,1344000
2025-02-04,64.9,66.65,64.81,66.25,1240000
2025-02-03,65.48,66.5,64.53,65.18,1473400
2025-01-31,67.94,68.23,66.52,66.85,1367800
2025-01-30,67.45,69.38,67.11,68.5,907300
2025-01-29,67.83,68.54,66.35,66.87,1396700
2025-01-28,69.19,69.32,68.04,68.12,1470600
2025-01-27,66.85,70.21,66.85,69.79,1902800
2025-01-24,67.47,67.47,66.37,66.6,665000
2025-01-23,67.33,68.24,66.74,67.47,1289300
2025-01-22,66.12,67.67,66.12,67.6,1012500
2025-01-21,68.64,69.22,66.52,66.78,1254000
2025-01-17,69.32,69.49,67.14,67.64,1380500
2025-01-16,67.75,68.13,65.89,68.0,1459900
2025-01-15,71.19,71.38,67.94,68.27,2807000
2025-01-14,71.36,72.37,65.06,66.92,5900700
2025-01-13,62.6,64.01,62.19,63.84,2889600
2025-01-10,65.16,65.31,62.62,62.96,1369600
2025-01-08,63.62,65.12,63.04,65.1,1447000
2025-01-07,64.7,65.34,63.85,64.23,1006600
2025-01-06,66.06,66.99,64.73,64.83,945800
2025-01-03,65.47,65.72,64.57,65.22,958800
2025-01-02,66.32,66.8,64.32,64.4,863900
2024-12-31,65.84,66.33,65.3,65.48,787700
2024-12-30,65.24,65.74,64.07,65.34,811000
2024-12-27,65.61,66.45,64.96,65.45,573800
2024-12-26,65.4,66.34,65.26,66.02,465300
2024-12-24,65.48,66.34,65.09,66.15,336500
2024-12-23,65.26,65.97,64.97,65.66,784500
2024-12-20,65.14,66.82,64.61,65.62,3252100
2024-12-19,65.56,66.58,64.49,65.57,1675600
2024-12-18,70.3,70.74,66.49,67.01,1407200
2024-12-17,70.49,71.43,69.86,70.18,1275300
2024-12-16,71.23,72.27,70.76,71.02,1050100
2024-12-13,72.38,72.83,70.61,71.15,1404600
2024-12-12,73.74,74.88,72.86,73.26,1734300
2024-12-11,77.03,77.04,73.92,74.03,1405700
2024-12-10,77.27,78.64,76.42,76.91,836200
2024-12-09,79.03,79.49,78.17,79.17,1019200
2024-12-06,79.91,80.06,77.43,78.24,883800
2024-12-05,79.55,80.03,77.98,78.08,1279300
