Date,Open,High,Low,Close,Volume
2025-03-19,139.37,139.92,138.74,138.87,84628
2025-03-18,139.89,141.0,138.8,139.53,1661900
2025-03-17,139.72,140.45,138.84,139.91,1469900
2025-03-14,139.13,140.27,138.83,139.64,1324100
2025-03-13,139.7,141.79,139.64,140.14,1805000
2025-03-12,141.51,143.35,139.63,139.97,2099400
2025-03-11,147.31,147.31,143.91,144.09,2507300
2025-03-10,145.71,150.45,145.58,147.4,3193800
2025-03-07,140.67,146.85,140.27,144.79,2966800
2025-03-06,140.66,141.72,139.34,141.15,1991700
2025-03-05,139.48,141.6,139.24,140.38,2060700
2025-03-04,143.02,144.97,139.85,139.89,2530000
2025-03-03,139.95,142.32,139.95,142.08,1946800
2025-02-28,140.01,141.76,138.93,140.75,2683900
2025-02-27,137.58,139.57,137.17,138.95,1711500
2025-02-26,139.3,140.31,137.44,137.93,1808800
2025-02-25,139.4,141.64,139.04,140.05,2693300
2025-02-24,138.36,141.22,138.36,138.8,2269700
2025-02-21,137.77,139.36,137.05,139.02,2316600
2025-02-20,135.57,138.51,135.31,137.74,2132800
2025-02-19,134.62,136.79,134.01,136.71,1845200
2025-02-18,130.85,134.64,130.38,134.44,2695400
2025-02-14,133.77,133.83,131.45,131.5,1976400
2025-02-13,132.7,134.38,132.33,134.16,1872600
2025-02-12,131.36,132.75,130.65,132.7,1871800
2025-02-11,130.27,132.1,129.44,132.01,1512800
2025-02-10,128.98,130.39,128.59,130.27,1555700
2025-02-07,127.39,129.22,127.29,129.15,2248500
2025-02-06,129.05,129.15,127.08,127.55,2090300
2025-02-05,128.47,128.72,127.21,128.11,2517200
2025-02-04,128.98,129.73,127.56,128.16,2136200
2025-02-03,128.44,130.15,128.07,129.3,2601800
2025-01-31,127.94,129.92,127.78,128.82,5058300
2025-01-30,129.84,130.27,128.79,129.69,1871500
2025-01-29,128.63,129.89,128.34,128.52,1881100
2025-01-28,130.44,132.2,128.08,128.29,3388800
2025-01-27,129.17,130.9,128.67,130.25,3127600
2025-01-24,126.03,127.35,125.7,127.27,1785500
2025-01-23,124.89,126.45,124.63,125.91,2216900
2025-01-22,127.54,127.54,124.86,125.0,2125900
2025-01-21,126.66,127.24,125.14,125.4,1836500
2025-01-17,125.65,126.76,125.04,126.09,2056600
2025-01-16,124.23,125.71,123.91,125.53,2090400
2025-01-15,125.58,126.1,124.4,124.45,1484800
2025-01-14,124.42,125.84,124.06,125.06,1779000
2025-01-13,124.16,124.35,123.2,124.32,2337100
2025-01-10,124.12,124.89,123.0,123.36,2280000
2025-01-08,125.53,125.77,124.91,125.65,1820200
2025-01-07,125.6,126.7,125.52,126.17,1891300
2025-01-06,128.56,128.56,124.77,125.0,2412000
2025-01-03,129.47,130.14,128.42,128.61,1563000
2025-01-02,130.31,130.77,129.18,129.47,1390200
2024-12-31,129.99,130.43,128.97,129.88,942300
2024-12-30,130.62,130.62,128.57,129.46,1415200
2024-12-27,131.14,132.22,130.16,130.63,1525000
2024-12-26,130.55,132.03,130.55,131.95,1017500
2024-12-24,129.97,131.47,129.79,131.01,619600
2024-12-23,129.73,130.36,128.97,130.28,1705200
2024-12-20,130.43,131.14,129.89,130.16,5579500
2024-12-19,129.58,131.16,129.2,130.29,3447600
2024-12-18,129.16,130.84,128.85,129.22,3048400
2024-12-17,129.06,130.82,128.85,129.98,3378700
2024-12-16,131.06,131.86,130.15,130.2,2792400
2024-12-13,129.39,130.86,128.88,130.18,1621600
2024-12-12,129.84,130.73,128.96,129.73,1763100
2024-12-11,131.96,132.72,129.24,129.45,2094200
2024-12-10,131.05,132.78,130.81,131.89,2662500
2024-12-09,133.31,133.89,130.43,131.77,3423800
2024-12-06,135.91,136.55,133.31,133.54,2207200
2024-12-05,134.68,135.89,134.2,135.72,2201700
2024-12-04,133.66,134.38,132.97,134.38,2068200
2024-12-03,136.84,137.29,134.11,134.4,2187700
2024-12-02,137.3,137.93,135.93,137.1,2397100
2024-11-29,135.59,137.34,135.58,136.9,1213100
2024-11-27,137.4,138.13,136.53,136.75,1466800
2024-11-26,136.6,137.8,136.38,137.27,2305200
2024-11-25,136.63,137.29,135.44,136.69,4025000
2024-11-22,135.34,136.65,135.07,135.98,1977600
2024-11-21,134.1,135.56,133.66,134.62,1618500
2024-11-20,132.93,134.11,132.28,133.97,1883400
2024-11-19,133.33,134.24,132.52,133.22,1771300
2024-11-18,131.39,133.92,131.09,133.62,2038300
2024-11-15,129.25,132.84,129.19,131.72,3199100
2024-11-14,129.39,130.42,128.54,129.36,1543400
2024-11-13,131.16,131.16,129.64,129.86,1494800
