Date,Open,High,Low,Close,Volume
2025-03-13,6.73,6.73,6.53,6.69,520256
2025-03-12,6.89,6.96,6.62,6.68,878000
2025-03-11,6.58,6.82,6.51,6.64,997500
2025-03-10,6.56,6.7,6.5,6.58,1160600
2025-03-07,6.47,6.84,6.33,6.76,911000
2025-03-06,6.44,6.57,6.34,6.48,608700
2025-03-05,6.58,6.7,6.43,6.64,647300
2025-03-04,6.54,6.63,6.25,6.46,1145300
2025-03-03,7.06,7.09,6.65,6.74,925600
2025-02-28,6.8,7.03,6.72,7.02,758000
2025-02-27,7.15,7.25,6.87,6.89,597100
2025-02-26,7.24,7.4,7.1,7.15,649600
2025-02-25,7.14,7.33,6.89,7.16,1068700
2025-02-24,7.1,7.23,6.74,7.14,1207000
2025-02-21,7.58,7.58,7.06,7.06,1238800
2025-02-20,7.6,7.6,7.2,7.43,856900
2025-02-19,7.5,7.61,7.39,7.61,957400
2025-02-18,7.79,7.92,7.44,7.53,990300
2025-02-14,8.05,8.1,7.71,7.82,862900
2025-02-13,7.61,8.1,7.54,8.03,1350200
2025-02-12,7.17,7.54,7.05,7.5,687900
2025-02-11,7.31,7.53,7.27,7.37,868200
2025-02-10,7.62,7.68,7.41,7.44,781800
2025-02-07,8.06,8.09,7.5,7.59,1333400
2025-02-06,7.7,8.24,7.58,8.08,1787300
2025-02-05,7.69,7.95,7.49,7.66,1514900
2025-02-04,7.26,7.73,7.13,7.69,1063500
2025-02-03,7.05,7.72,7.01,7.31,1584400
2025-01-31,7.08,7.48,6.96,7.39,1610300
2025-01-30,6.9,7.08,6.82,7.04,813900
2025-01-29,6.89,6.95,6.72,6.77,602000
2025-01-28,7.01,7.04,6.62,6.87,1255400
2025-01-27,6.94,7.14,6.81,6.98,993700
2025-01-24,7.27,7.38,7.1,7.15,668500
2025-01-23,7.25,7.5,7.14,7.27,900300
2025-01-22,7.63,7.8,7.25,7.3,1460000
2025-01-21,7.39,7.8,7.15,7.62,2520300
2025-01-17,7.44,7.44,7.07,7.28,1229100
2025-01-16,7.1,7.37,6.88,7.33,1902700
2025-01-15,6.71,7.05,6.55,7.03,1519300
2025-01-14,6.3,6.55,6.18,6.45,823800
2025-01-13,6.09,6.26,5.89,6.21,1090000
2025-01-10,6.06,6.22,5.97,6.19,821600
2025-01-08,6.35,6.5,5.99,6.15,1485500
2025-01-07,6.52,6.59,6.27,6.31,1441700
2025-01-06,6.81,6.84,6.52,6.52,1285700
2025-01-03,6.78,6.89,6.61,6.78,1102800
2025-01-02,6.7,6.94,6.64,6.72,1163400
2024-12-31,6.89,6.99,6.57,6.57,1441500
2024-12-30,6.8,6.98,6.7,6.85,1090800
2024-12-27,7.22,7.29,6.82,7.01,1565600
2024-12-26,7.1,7.33,6.94,7.29,1225600
2024-12-24,6.98,7.17,6.84,7.15,612600
2024-12-23,6.9,7.01,6.78,6.81,808500
2024-12-20,6.79,7.1,6.79,6.85,1262900
2024-12-19,6.91,7.25,6.86,6.88,1341200
2024-12-18,7.45,7.56,6.74,6.74,1791200
2024-12-17,7.34,7.46,7.06,7.44,1373000
2024-12-16,6.81,7.55,6.81,7.45,2466400
2024-12-13,6.76,6.9,6.62,6.8,1173000
2024-12-12,6.7,7.26,6.67,6.72,2207000
2024-12-11,6.61,6.82,6.47,6.72,1129700
2024-12-10,6.78,6.81,6.61,6.66,1067600
2024-12-09,7.19,7.19,6.74,6.79,1601300
2024-12-06,6.91,7.17,6.69,7.11,1626400
2024-12-05,6.95,6.95,6.53,6.84,2016800
2024-12-04,6.74,7.0,6.47,6.96,2401100
2024-12-03,7.25,7.25,6.58,6.68,2619300
2024-12-02,7.31,7.46,6.81,7.22,2777400
2024-11-29,7.13,7.74,7.11,7.25,2461600
2024-11-27,7.32,7.5,6.78,7.14,7584000
2024-11-26,6.35,6.9,6.12,6.62,3769000
2024-11-25,5.61,6.71,5.37,6.25,7497100
2024-11-22,5.18,5.41,5.12,5.27,944300
2024-11-21,5.56,5.58,5.13,5.17,1130600
