Date,Open,High,Low,Close,Volume
2025-03-13,0.33,0.35,0.33,0.33,11717
2025-03-12,0.3,0.37,0.3,0.34,70700
2025-03-11,0.31,0.34,0.3,0.31,52800
2025-03-10,0.32,0.34,0.31,0.33,27100
2025-03-07,0.32,0.34,0.3,0.34,62800
2025-03-06,0.3,0.32,0.29,0.3,62800
2025-03-05,0.3,0.3,0.28,0.3,3800
2025-03-04,0.3,0.3,0.3,0.3,11400
2025-03-03,0.31,0.31,0.3,0.3,23400
2025-02-28,0.3,0.34,0.3,0.33,137100
2025-02-27,0.27,0.29,0.27,0.29,7900
2025-02-26,0.3,0.31,0.29,0.29,27400
2025-02-25,0.31,0.31,0.29,0.3,37000
2025-02-24,0.3,0.3,0.3,0.3,25700
2025-02-21,0.3,0.32,0.29,0.3,28900
2025-02-20,0.32,0.32,0.32,0.32,0
2025-02-19,0.3,0.32,0.3,0.32,17000
2025-02-18,0.31,0.32,0.3,0.31,29500
2025-02-14,0.31,0.31,0.3,0.31,20900
2025-02-13,0.31,0.33,0.31,0.33,5300
2025-02-12,0.34,0.34,0.32,0.34,53100
2025-02-11,0.33,0.36,0.3,0.33,291300
2025-02-10,0.31,0.32,0.29,0.32,91100
2025-02-07,0.29,0.3,0.29,0.3,18900
2025-02-06,0.32,0.32,0.3,0.3,17500
2025-02-05,0.32,0.33,0.32,0.33,11500
2025-02-04,0.33,0.33,0.31,0.33,18900
2025-02-03,0.35,0.36,0.32,0.33,97800
2025-01-31,0.35,0.37,0.35,0.36,91600
2025-01-30,0.34,0.37,0.34,0.37,36600
2025-01-29,0.35,0.35,0.33,0.35,15600
2025-01-28,0.35,0.35,0.34,0.35,30100
2025-01-27,0.32,0.35,0.3,0.35,22000
2025-01-24,0.26,0.31,0.26,0.31,109700
2025-01-23,0.26,0.27,0.25,0.26,15700
2025-01-22,0.26,0.26,0.24,0.26,36800
2025-01-21,0.25,0.26,0.23,0.26,14900
2025-01-17,0.26,0.26,0.26,0.26,0
2025-01-16,0.26,0.26,0.26,0.26,0
2025-01-15,0.26,0.26,0.26,0.26,0
2025-01-14,0.25,0.26,0.25,0.26,5100
2025-01-13,0.26,0.26,0.26,0.26,300
2025-01-10,0.26,0.26,0.25,0.25,800
2025-01-08,0.27,0.29,0.22,0.25,41700
2025-01-07,0.25,0.26,0.23,0.26,30100
2025-01-06,0.2,0.23,0.19,0.23,136000
2025-01-03,0.19,0.2,0.17,0.2,44700
2025-01-02,0.18,0.19,0.17,0.19,39900
2024-12-31,0.18,0.18,0.18,0.18,26100
2024-12-30,0.18,0.2,0.17,0.18,107800
2024-12-27,0.2,0.2,0.18,0.2,280500
2024-12-26,0.21,0.23,0.2,0.2,14300
2024-12-24,0.2,0.23,0.2,0.23,1900
2024-12-23,0.2,0.23,0.2,0.23,30300
2024-12-20,0.22,0.23,0.2,0.23,3300
2024-12-19,0.21,0.21,0.21,0.21,10200
2024-12-18,0.22,0.24,0.21,0.24,9400
2024-12-17,0.23,0.24,0.22,0.23,5700
2024-12-16,0.22,0.24,0.22,0.23,4900
2024-12-13,0.23,0.24,0.23,0.24,36900
2024-12-12,0.24,0.26,0.24,0.25,8800
2024-12-11,0.27,0.27,0.24,0.27,4300
2024-12-10,0.27,0.27,0.27,0.27,0
2024-12-09,0.27,0.27,0.24,0.27,15800
2024-12-06,0.19,0.27,0.19,0.25,294100
2024-12-05,0.15,0.19,0.15,0.19,247000
2024-12-04,0.16,0.16,0.16,0.16,1000
2024-12-03,0.17,0.17,0.16,0.16,30200
2024-12-02,0.2,0.2,0.14,0.16,104000
2024-11-29,0.15,0.2,0.15,0.2,173100
2024-11-27,0.16,0.16,0.16,0.16,21100
2024-11-26,0.17,0.17,0.15,0.16,9300
2024-11-25,0.17,0.17,0.14,0.17,7400
2024-11-22,0.18,0.2,0.15,0.17,73300
2024-11-21,0.2,0.2,0.2,0.2,0
2024-11-20,0.2,0.2,0.17,0.2,36400
2024-11-19,0.25,0.25,0.2,0.2,13100
2024-11-18,0.25,0.27,0.18,0.24,368900
2024-11-15,0.32,0.37,0.24,0.29,107000
2024-11-14,0.35,0.4,0.35,0.38,90800
2024-11-13,0.34,0.35,0.34,0.35,15500
2024-11-12,0.34,0.35,0.34,0.35,6300
2024-11-11,0.37,0.37,0.35,0.35,5200
2024-11-08,0.4,0.4,0.35,0.4,27900
2024-11-07,0.41,0.41,0.4,0.4,14600
2024-11-06,0.44,0.44,0.44,0.44,0
2024-11-05,0.42,0.44,0.41,0.44,42400
2024-11-04,0.43,0.44,0.42,0.43,36500
2024-11-01,0.45,0.47,0.45,0.47,7300
2024-10-31,0.43,0.45,0.43,0.45,47000
2024-10-30,0.44,0.44,0.44,0.44,0
2024-10-29,0.42,0.44,0.42,0.44,65100
2024-10-28,0.4,0.44,0.4,0.44,65900
2024-10-25,0.41,0.46,0.4,0.46,28600
2024-10-24,0.45,0.45,0.45,0.45,0
2024-10-23,0.43,0.45,0.42,0.45,8100
2024-10-22,0.42,0.46,0.42,0.46,2600
2024-10-21,0.46,0.46,0.46,0.46,0
2024-10-18,0.46,0.46,0.46,0.46,0
2024-10-17,0.44,0.46,0.44,0.46,21500
2024-10-16,0.47,0.49,0.47,0.48,7700
2024-10-15,0.5,0.5,0.5,0.5,0
2024-10-14,0.5,0.5,0.5,0.5,0
2024-10-11,0.5,0.5,0.49,0.5,2100
2024-10-10,0.5,0.5,0.5,0.5,0
2024-10-09,0.47,0.5,0.47,0.5,900
2024-10-08,0.51,0.51,0.51,0.51,500
2024-10-07,0.41,0.54,0.41,0.51,106600
2024-10-04,0.4,0.4,0.4,0.4,0
2024-10-03,0.4,0.4,0.4,0.4,600
2024-10-02,0.43,0.43,0.43,0.43,0
2024-10-01,0.37,0.43,0.37,0.43,37200
2024-09-30,0.35,0.37,0.35,0.37,3600
2024-09-27,0.35,0.37,0.35,0.37,800
2024-09-26,0.37,0.37,0.37,0.37,0
2024-09-25,0.37,0.37,0.37,0.37,0
2024-09-24,0.37,0.37,0.37,0.37,0
2024-09-23,0.37,0.37,0.37,0.37,0
2024-09-20,0.37,0.37,0.37,0.37,1000
2024-09-19,0.36,0.37,0.35,0.37,28500
2024-09-18,0.34,0.36,0.34,0.36,106900
2024-09-17,0.37,0.37,0.33,0.36,12900
2024-09-16,0.37,0.37,0.37,0.37,5100
2024-09-13,0.35,0.36,0.35,0.36,30100
2024-09-12,0.35,0.37,0.35,0.36,11700
2024-09-11,0.4,0.4,0.4,0.4,0
2024-09-10,0.4,0.4,0.4,0.4,0
2024-09-09,0.4,0.4,0.4,0.4,100
2024-09-06,0.38,0.4,0.38,0.4,300
2024-09-05,0.4,0.41,0.35,0.41,12800
2024-09-04,0.36,0.39,0.35,0.39,8700
2024-09-03,0.33,0.41,0.33,0.41,32100
2024-08-30,0.43,0.43,0.43,0.43,0
2024-08-29,0.38,0.43,0.38,0.43,24200
2024-08-28,0.38,0.4,0.36,0.4,1000
2024-08-27,0.34,0.4,0.34,0.35,38800
2024-08-26,0.34,0.35,0.32,0.35,48300
2024-08-23,0.34,0.35,0.34,0.35,64400
2024-08-22,0.34,0.35,0.34,0.35,8300
2024-08-21,0.35,0.37,0.31,0.35,390200
2024-08-20,0.35,0.41,0.35,0.41,1000
2024-08-19,0.43,0.43,0.43,0.43,0
2024-08-16,0.43,0.43,0.43,0.43,200
2024-08-15,0.4,0.4,0.4,0.4,0
2024-08-14,0.4,0.4,0.38,0.4,8300
2024-08-13,0.44,0.44,0.44,0.44,0
2024-08-12,0.38,0.46,0.38,0.44,15800
2024-08-09,0.48,0.48,0.48,0.48,0
2024-08-08,0.5,0.5,0.48,0.48,1100
2024-08-07,0.49,0.49,0.49,0.49,3000
2024-08-06,0.38,0.45,0.38,0.45,21800
2024-08-05,0.34,0.39,0.34,0.39,600
2024-08-02,0.37,0.39,0.37,0.39,6500
2024-08-01,0.37,0.38,0.37,0.38,37700
2024-07-31,0.35,0.37,0.33,0.35,92800
2024-07-30,0.34,0.35,0.32,0.35,39700
2024-07-29,0.34,0.38,0.34,0.35,75100
2024-07-26,0.36,0.38,0.33,0.33,91300
2024-07-25,0.39,0.39,0.34,0.35,55400
2024-07-24,0.39,0.4,0.36,0.4,53100
2024-07-23,0.39,0.4,0.38,0.39,86300
2024-07-22,0.45,0.45,0.41,0.43,12400
2024-07-19,0.45,0.45,0.45,0.45,0
2024-07-18,0.41,0.45,0.41,0.45,3700
2024-07-17,0.41,0.47,0.39,0.44,28400
2024-07-16,0.45,0.45,0.45,0.45,0
2024-07-15,0.48,0.5,0.45,0.45,1200
2024-07-12,0.48,0.5,0.42,0.44,16900
2024-07-11,0.47,0.47,0.45,0.47,21900
2024-07-10,0.51,0.52,0.4,0.48,78700
2024-07-09,0.47,0.53,0.38,0.53,217000
2024-07-08,0.59,0.59,0.37,0.47,238800
2024-07-05,0.58,0.6,0.55,0.59,5200
2024-07-03,0.52,0.6,0.52,0.6,39900
2024-07-02,0.56,0.58,0.49,0.5,13300
2024-07-01,0.47,0.6,0.45,0.6,1300
2024-06-28,0.58,0.59,0.51,0.59,11900
2024-06-27,0.56,0.6,0.54,0.58,3000
2024-06-26,0.58,0.6,0.58,0.6,1600
2024-06-25,0.59,0.59,0.59,0.59,0
2024-06-24,0.59,0.59,0.59,0.59,0
2024-06-21,0.6,0.6,0.51,0.59,28100
2024-06-20,0.63,0.63,0.63,0.63,0
2024-06-18,0.63,0.63,0.63,0.63,0
2024-06-17,0.59,0.63,0.59,0.63,1200
2024-06-14,0.64,0.64,0.64,0.64,0
2024-06-13,0.62,0.64,0.59,0.64,1300
2024-06-12,0.6,0.64,0.59,0.62,4300
2024-06-11,0.62,0.62,0.62,0.62,500
2024-06-10,0.62,0.62,0.52,0.61,39200
2024-06-07,0.63,0.66,0.62,0.66,11900
2024-06-06,0.64,0.66,0.64,0.66,1300
2024-06-05,0.65,0.66,0.63,0.66,7500
2024-06-04,0.67,0.67,0.67,0.67,2000
2024-06-03,0.67,0.67,0.67,0.67,0
2024-05-31,0.65,0.67,0.61,0.67,4400
2024-05-30,0.65,0.65,0.65,0.65,0
2024-05-29,0.64,0.65,0.64,0.65,4500
2024-05-28,0.63,0.67,0.62,0.67,9500
2024-05-24,0.65,0.65,0.63,0.64,13200
2024-05-23,0.67,0.67,0.67,0.67,0
