Date,Open,High,Low,Close,Volume
2025-03-14,465.92,469.0,461.96,466.17,972400
2025-03-13,460.05,468.53,459.86,467.93,1159200
2025-03-12,465.14,466.82,456.0,461.5,1271500
2025-03-11,476.71,478.65,466.54,468.88,1456900
2025-03-10,475.46,494.2,473.7,479.17,2284400
2025-03-07,458.0,477.49,458.0,473.65,2168700
2025-03-06,461.32,463.5,453.41,461.5,1395800
2025-03-05,451.13,463.48,449.37,460.42,2060100
2025-03-04,450.78,463.74,448.49,448.82,2268700
2025-03-03,452.87,454.43,448.83,451.94,1579400
2025-02-28,443.72,447.5,441.77,447.07,1433600
2025-02-27,438.95,443.8,438.22,443.19,1458100
2025-02-26,442.56,444.72,436.12,438.26,1466900
2025-02-25,438.51,448.36,437.77,445.17,1715500
2025-02-24,438.76,445.0,435.33,437.04,1946200
2025-02-21,433.19,440.48,432.48,437.49,1652400
2025-02-20,426.43,434.79,426.16,433.09,1358000
2025-02-19,427.84,434.79,422.46,429.78,2802100
2025-02-18,426.54,429.76,420.4,425.4,2812500
2025-02-14,430.37,431.97,416.62,420.09,3252800
2025-02-13,439.26,442.04,428.84,431.53,2400000
2025-02-12,443.98,445.85,437.82,438.73,1282800
2025-02-11,444.62,448.49,441.74,446.07,906100
2025-02-10,441.54,445.65,437.48,444.94,1427800
2025-02-07,446.6,448.19,440.53,441.13,1347400
2025-02-06,446.7,448.86,441.37,445.23,1291800
2025-02-05,453.65,453.75,445.48,446.57,1139700
2025-02-04,450.67,452.07,447.95,450.36,1234200
2025-02-03,455.44,457.95,450.26,452.08,1476300
2025-01-31,456.63,460.83,453.8,459.56,1474600
2025-01-30,453.23,456.52,448.01,456.28,1911800
2025-01-29,456.63,459.1,446.11,451.03,2396800
2025-01-28,470.23,476.21,453.92,454.1,4023900
2025-01-27,496.43,503.39,493.14,500.0,1948600
2025-01-24,491.37,493.65,490.98,493.32,759400
2025-01-23,499.83,502.29,490.36,493.64,913000
2025-01-22,499.55,501.83,491.55,495.68,1324800
2025-01-21,491.37,505.82,491.1,502.58,1615900
2025-01-17,483.97,488.44,480.64,486.73,1337600
2025-01-16,478.27,483.43,477.97,483.29,956400
2025-01-15,484.19,484.19,476.85,480.42,882200
2025-01-14,481.45,481.64,474.47,480.91,1162000
2025-01-13,465.56,481.27,465.36,479.62,1435200
2025-01-10,464.57,468.13,462.32,464.62,1127400
2025-01-08,460.1,465.78,457.86,465.41,998700
2025-01-07,462.31,469.95,459.55,460.56,1276600
2025-01-06,475.24,476.48,462.45,462.59,1698600
2025-01-03,477.89,480.37,477.39,478.29,817200
2025-01-02,482.38,486.13,477.89,478.72,953700
2024-12-31,480.83,482.97,478.47,482.38,731900
2024-12-30,482.44,482.98,478.32,479.83,887600
2024-12-27,484.8,489.78,482.82,485.39,820600
2024-12-26,484.42,489.85,482.71,486.39,662100
2024-12-24,482.5,485.15,480.46,484.55,375900
2024-12-23,483.86,485.27,478.3,482.93,1053900
2024-12-20,475.94,485.44,474.27,485.44,3973500
2024-12-19,476.48,480.45,473.81,476.15,1250400
2024-12-18,485.91,486.65,478.88,479.4,1424400
2024-12-17,485.48,489.39,484.19,487.02,1354500
2024-12-16,491.17,491.17,486.56,488.05,1483700
2024-12-13,491.94,495.56,488.57,491.03,990100
2024-12-12,496.34,497.43,485.13,492.94,1862800
2024-12-11,510.04,510.23,499.62,500.55,1308000
2024-12-10,505.43,510.84,504.38,509.18,1178900
2024-12-09,507.44,512.58,504.82,506.27,1170500
2024-12-06,511.94,513.65,505.87,509.27,1284700
2024-12-05,513.63,516.75,510.24,513.69,1113400
2024-12-04,512.35,516.02,509.38,513.71,1542800
2024-12-03,516.33,517.68,512.47,513.21,1188400
2024-12-02,521.4,522.93,515.49,516.53,1115600
2024-11-29,520.64,522.32,517.5,522.26,658200
2024-11-27,516.46,522.83,516.1,518.64,890400
2024-11-26,512.37,516.98,512.37,514.4,1345800
2024-11-25,525.78,526.94,507.94,514.84,3613500
2024-11-22,537.63,538.62,532.62,534.89,1311000
2024-11-21,527.91,537.32,526.51,534.68,1321700
2024-11-20,526.96,528.0,522.05,527.5,994300
2024-11-19,529.82,532.03,524.03,526.05,935700
2024-11-18,529.15,530.71,521.59,523.78,1298400
2024-11-15,530.6,535.21,524.24,527.6,1757100
2024-11-14,553.76,553.76,526.58,531.71,1972700
2024-11-13,556.38,557.36,548.81,550.19,1118300
2024-11-12,566.56,568.64,557.17,558.31,1133500
2024-11-11,562.51,568.36,562.1,562.87,1171400
2024-11-08,547.96,559.15,547.22,556.93,1165700
2024-11-07,547.5,549.47,542.24,544.38,818200
2024-11-06,553.81,553.81,532.7,544.36,1751300
2024-11-05,537.63,539.77,534.67,539.36,610100
2024-11-04,538.32,541.39,533.11,535.76,827600
2024-11-01,540.59,541.91,537.26,537.98,792600
2024-10-31,539.65,544.22,535.34,538.67,1245300
2024-10-30,539.51,543.81,535.86,538.56,1005200
2024-10-29,545.33,545.92,539.03,539.41,1041700
2024-10-28,555.39,555.55,547.01,547.67,1278700
2024-10-25,559.04,562.28,553.52,554.69,1077600
2024-10-24,563.02,566.17,556.56,556.58,1102800
2024-10-23,569.22,574.31,563.28,563.38,1402200
2024-10-22,598.7,600.12,566.24,569.18,2259200
2024-10-21,607.32,610.58,603.1,606.3,1017500
2024-10-18,603.13,605.08,600.27,603.54,864100
2024-10-17,604.55,606.18,599.03,601.38,617500
2024-10-16,594.85,604.73,594.48,604.55,549200
2024-10-15,604.22,606.31,595.56,596.82,849600
2024-10-14,597.81,603.72,595.62,602.61,562300
2024-10-11,592.46,596.38,591.98,596.0,526000
2024-10-10,597.92,599.08,588.16,589.41,853700
2024-10-09,598.51,598.93,594.87,596.93,543800
2024-10-08,599.01,602.5,594.94,599.83,571800
2024-10-07,598.8,603.32,595.84,597.36,1102200
2024-10-04,595.5,598.1,591.22,596.95,559800
2024-10-03,596.27,600.77,592.88,597.63,856600
2024-10-02,596.76,601.76,593.29,595.05,1192500
2024-10-01,578.2,603.23,574.05,597.67,2356200
2024-09-30,576.25,577.04,571.38,576.66,974900
2024-09-27,569.84,576.18,567.55,574.49,848100
2024-09-26,567.23,574.66,566.68,569.6,746200
2024-09-25,573.7,575.86,569.06,570.13,844500
2024-09-24,571.11,573.31,568.36,570.81,690100
