Date,Open,High,Low,Close,Volume
2025-03-13,2.39,2.41,2.17,2.19,207275
2025-03-12,2.31,2.48,2.3,2.38,498800
2025-03-11,2.25,2.31,2.16,2.29,451700
2025-03-10,2.23,2.31,2.2,2.23,380700
2025-03-07,2.38,2.44,2.25,2.27,546100
2025-03-06,2.38,2.48,2.36,2.42,765700
2025-03-05,2.32,2.42,2.32,2.38,414200
2025-03-04,2.27,2.34,2.15,2.32,740400
2025-03-03,2.46,2.5,2.26,2.28,351600
2025-02-28,2.4,2.46,2.33,2.46,536300
2025-02-27,2.49,2.57,2.4,2.4,627500
2025-02-26,2.54,2.63,2.44,2.49,654200
2025-02-25,2.67,2.67,2.48,2.54,415600
2025-02-24,2.75,2.79,2.65,2.65,491600
2025-02-21,2.92,2.93,2.76,2.76,600700
2025-02-20,2.88,2.93,2.79,2.88,528500
2025-02-19,2.88,2.95,2.77,2.91,710600
2025-02-18,2.61,2.9,2.57,2.86,1296700
2025-02-14,2.49,2.59,2.46,2.56,395300
2025-02-13,2.43,2.48,2.37,2.46,425300
2025-02-12,2.41,2.43,2.34,2.4,445600
2025-02-11,2.51,2.53,2.37,2.4,1159200
2025-02-10,2.62,2.64,2.53,2.54,741400
2025-02-07,2.77,2.77,2.59,2.6,1153600
2025-02-06,2.97,3.0,2.75,2.77,922100
2025-02-05,2.85,3.02,2.82,2.98,1010200
2025-02-04,2.84,2.94,2.79,2.85,501400
2025-02-03,2.91,2.98,2.84,2.85,750800
2025-01-31,3.04,3.15,2.96,3.0,1071100
2025-01-30,3.05,3.09,2.93,3.01,1112900
2025-01-29,3.21,3.25,3.01,3.03,663100
2025-01-28,3.2,3.29,3.13,3.23,528400
2025-01-27,3.21,3.33,3.11,3.19,635700
2025-01-24,3.17,3.37,3.08,3.23,715800
2025-01-23,3.08,3.18,3.06,3.16,597500
2025-01-22,3.03,3.12,3.01,3.08,831800
2025-01-21,2.99,3.03,2.91,3.0,584800
2025-01-17,3.06,3.1,2.95,3.0,576200
2025-01-16,3.21,3.21,2.97,3.03,599700
2025-01-15,3.1,3.22,3.04,3.19,674600
2025-01-14,3.19,3.2,3.0,3.04,479400
2025-01-13,3.15,3.19,3.05,3.17,639600
2025-01-10,3.29,3.29,3.12,3.18,411400
2025-01-08,3.41,3.41,3.27,3.35,472100
2025-01-07,3.48,3.55,3.37,3.41,356500
2025-01-06,3.48,3.6,3.43,3.49,606800
2025-01-03,3.34,3.49,3.33,3.46,538900
2025-01-02,3.28,3.38,3.23,3.3,352100
2024-12-31,3.28,3.31,3.14,3.25,330400
2024-12-30,3.18,3.27,3.08,3.23,407400
2024-12-27,3.22,3.29,3.09,3.23,434700
2024-12-26,3.22,3.3,3.18,3.26,274700
2024-12-24,3.22,3.26,3.14,3.26,185600
2024-12-23,3.2,3.31,3.13,3.23,457400
2024-12-20,3.13,3.26,3.13,3.18,722100
2024-12-19,3.28,3.28,3.1,3.18,531700
2024-12-18,3.37,3.45,3.14,3.21,877900
2024-12-17,3.21,3.38,3.16,3.34,524400
2024-12-16,3.23,3.32,3.17,3.23,410000
2024-12-13,3.37,3.37,3.17,3.2,420300
2024-12-12,3.35,3.46,3.27,3.4,528400
2024-12-11,3.39,3.48,3.24,3.41,522000
2024-12-10,3.5,3.5,3.3,3.34,439100
2024-12-09,3.53,3.64,3.48,3.48,335900
2024-12-06,3.41,3.54,3.37,3.5,378700
2024-12-05,3.47,3.53,3.38,3.39,477000
2024-12-04,3.43,3.53,3.34,3.49,499900
2024-12-03,3.68,3.68,3.43,3.44,888600
2024-12-02,3.56,3.77,3.51,3.69,424300
2024-11-29,3.62,3.67,3.54,3.59,150500
2024-11-27,3.45,3.68,3.43,3.64,570200
2024-11-26,3.28,3.44,3.24,3.4,484000
2024-11-25,3.32,3.44,3.28,3.29,473100
2024-11-22,3.21,3.31,3.15,3.24,463700
2024-11-21,3.25,3.33,3.16,3.21,499600
2024-11-20,3.5,3.5,3.22,3.28,657900
2024-11-19,3.5,3.61,3.44,3.48,530000
2024-11-18,3.58,3.71,3.5,3.51,559200
2024-11-15,3.84,3.84,3.53,3.57,501000
2024-11-14,3.75,3.88,3.62,3.81,594300
2024-11-13,4.05,4.16,3.77,3.77,622300
2024-11-12,4.38,4.39,4.01,4.1,612400
2024-11-11,4.39,4.39,4.18,4.39,567100
2024-11-08,4.45,4.54,4.19,4.35,731100
2024-11-07,4.12,4.87,4.09,4.46,1477800
2024-11-06,4.59,5.1,4.09,4.19,3089800
2024-11-05,3.7,3.85,3.65,3.77,562600
2024-11-04,3.87,3.89,3.61,3.7,376300
2024-11-01,3.66,3.95,3.65,3.87,489600
2024-10-31,3.34,3.71,3.34,3.66,1116200
2024-10-30,3.51,3.58,3.21,3.4,855400
2024-10-29,3.55,3.55,3.33,3.34,670400
2024-10-28,3.49,3.64,3.43,3.52,429400
2024-10-25,3.6,3.6,3.48,3.49,436600
2024-10-24,3.94,3.98,3.59,3.6,425000
2024-10-23,3.86,4.04,3.81,3.94,590900
2024-10-22,3.84,3.9,3.74,3.9,540600
2024-10-21,3.96,3.99,3.8,3.86,336900
2024-10-18,4.0,4.07,3.96,4.01,307800
2024-10-17,4.15,4.18,4.01,4.02,291500
2024-10-16,4.02,4.17,3.9,4.12,348100
2024-10-15,4.27,4.28,3.79,3.98,654400
2024-10-14,4.12,4.37,4.08,4.28,669100
2024-10-11,3.72,4.15,3.68,4.14,861600
2024-10-10,3.6,3.74,3.58,3.74,554600
2024-10-09,3.64,3.68,3.59,3.65,382000
2024-10-08,3.56,3.72,3.54,3.62,538300
2024-10-07,3.58,3.64,3.5,3.59,253700
2024-10-04,3.6,3.62,3.47,3.59,430500
2024-10-03,3.48,3.64,3.44,3.55,439900
2024-10-02,3.42,3.58,3.33,3.53,593700
2024-10-01,3.25,3.45,3.22,3.43,716000
2024-09-30,3.2,3.37,3.16,3.29,564200
2024-09-27,3.09,3.2,3.06,3.19,629500
2024-09-26,3.09,3.09,2.97,3.04,438500
2024-09-25,3.01,3.13,2.99,3.04,706400
2024-09-24,3.06,3.08,2.95,3.0,655400
2024-09-23,3.29,3.29,3.05,3.06,860200
2024-09-20,3.38,3.39,3.26,3.28,712100
2024-09-19,3.42,3.48,3.36,3.39,807700
2024-09-18,3.37,3.4,3.25,3.3,613000
2024-09-17,3.44,3.5,3.36,3.37,421400
2024-09-16,3.66,3.79,3.33,3.43,729300
2024-09-13,3.68,3.75,3.63,3.7,456900
2024-09-12,3.55,3.74,3.48,3.61,881500
2024-09-11,3.56,3.7,3.56,3.62,449200
2024-09-10,3.41,3.6,3.26,3.56,848700
2024-09-09,3.25,3.76,3.2,3.45,1754400
2024-09-06,3.37,3.45,3.19,3.25,533900
2024-09-05,3.36,3.42,3.24,3.38,502500
2024-09-04,3.25,3.33,3.2,3.32,507400
2024-09-03,3.42,3.51,3.23,3.28,609500
2024-08-30,3.47,3.53,3.38,3.51,1276800
2024-08-29,3.5,3.6,3.47,3.47,411100
2024-08-28,3.43,3.49,3.34,3.45,544700
2024-08-27,3.56,3.56,3.37,3.43,452100
2024-08-26,3.5,3.59,3.43,3.56,530500
2024-08-23,3.33,3.6,3.33,3.49,705000
2024-08-22,3.6,3.6,3.31,3.33,580600
2024-08-21,3.61,3.7,3.54,3.6,580400
2024-08-20,3.52,3.65,3.48,3.62,693200
2024-08-19,3.3,3.56,3.24,3.55,1275800
2024-08-16,3.26,3.34,3.2,3.23,767200
2024-08-15,3.43,3.49,3.25,3.26,919400
2024-08-14,3.54,3.54,3.32,3.34,653800
2024-08-13,3.35,3.57,3.33,3.53,635900
2024-08-12,3.5,3.52,3.35,3.35,576900
2024-08-09,3.45,3.54,3.35,3.52,597500
2024-08-08,3.44,3.55,3.26,3.45,704800
2024-08-07,3.5,3.81,3.27,3.38,1248100
2024-08-06,3.63,3.76,3.47,3.64,730200
2024-08-05,3.51,3.7,3.34,3.58,1240600
2024-08-02,3.8,3.9,3.62,3.83,1407700
2024-08-01,3.71,4.06,3.65,4.0,1684200
2024-07-31,3.68,4.07,3.57,3.76,5386400
2024-07-30,5.47,5.67,5.23,5.25,1051700
2024-07-29,5.55,5.61,5.36,5.47,483400
2024-07-26,5.5,5.77,5.45,5.55,631300
2024-07-25,5.31,5.59,5.17,5.5,663400
2024-07-24,5.26,5.51,5.21,5.25,583400
2024-07-23,5.28,5.36,5.18,5.33,635500
2024-07-22,4.92,5.4,4.91,5.34,830000
2024-07-19,5.02,5.1,4.82,4.92,788600
2024-07-18,5.11,5.31,4.89,5.02,894000
2024-07-17,5.24,5.43,4.93,5.11,1346200
2024-07-16,4.88,5.48,4.85,5.39,1241900
2024-07-15,4.7,5.07,4.63,4.83,1231000
2024-07-12,4.68,4.95,4.62,4.7,926700
2024-07-11,4.26,4.65,4.26,4.65,1189500
2024-07-10,4.28,4.38,4.23,4.27,419900
2024-07-09,4.22,4.3,4.18,4.28,621400
2024-07-08,4.22,4.47,4.22,4.23,772400
2024-07-05,4.2,4.24,4.1,4.2,589100
2024-07-03,4.1,4.33,4.03,4.2,710500
2024-07-02,4.28,4.29,4.03,4.1,888200
2024-07-01,4.19,4.48,4.19,4.3,1229600
2024-06-28,4.13,4.34,4.02,4.25,2966900
2024-06-27,4.09,4.15,4.0,4.12,1198200
2024-06-26,4.29,4.29,4.02,4.07,1203800
2024-06-25,4.48,4.5,4.25,4.29,1249500
2024-06-24,4.32,4.75,4.3,4.5,1600600
2024-06-21,4.12,4.38,4.04,4.37,6290200
2024-06-20,4.12,4.16,3.99,4.12,1469500
2024-06-18,4.29,4.29,4.07,4.12,1324600
2024-06-17,4.47,4.49,4.23,4.29,1631000
2024-06-14,4.68,4.68,4.43,4.47,1011700
2024-06-13,5.0,5.05,4.62,4.68,1040400
2024-06-12,4.97,5.19,4.89,4.99,1402600
2024-06-11,4.6,5.03,4.55,4.93,1519000
2024-06-10,4.45,4.59,4.32,4.58,1129700
2024-06-07,4.63,4.79,4.5,4.53,957000
2024-06-06,4.88,4.97,4.66,4.67,941400
2024-06-05,4.43,4.93,4.29,4.91,1619300
2024-06-04,4.43,4.64,4.33,4.36,1764300
2024-06-03,4.14,5.02,4.11,4.48,4543100
2024-05-31,4.27,4.41,4.06,4.09,1804900
2024-05-30,4.18,4.28,4.1,4.24,1405300
2024-05-29,4.32,4.32,4.03,4.14,1572600
2024-05-28,4.6,4.7,4.26,4.34,1350600
2024-05-24,4.63,4.85,4.49,4.55,1707000
2024-05-23,4.67,4.88,4.56,4.63,1594800
2024-05-22,4.21,4.77,4.2,4.7,2172800
2024-05-21,4.26,4.48,4.15,4.26,2212600
2024-05-20,4.43,4.43,4.09,4.26,2130500
2024-05-17,5.08,5.2,4.34,4.36,3866000
2024-05-16,4.71,5.19,4.51,5.12,3395800
2024-05-15,4.5,4.78,4.27,4.71,3581100
2024-05-14,4.06,4.8,4.03,4.45,5797300
2024-05-13,3.51,4.45,3.4,4.38,19499500
2024-05-10,4.53,4.88,3.14,3.31,35148400
2024-05-09,14.67,14.91,14.38,14.67,4882200
2024-05-08,15.7,15.72,13.71,14.66,1992100
2024-05-07,16.32,16.37,15.62,16.05,794700
2024-05-06,15.68,16.44,15.36,16.37,651600
2024-05-03,15.64,16.14,15.32,15.67,620500
2024-05-02,15.68,15.98,15.16,15.22,576200
2024-05-01,14.77,16.3,14.77,15.55,957300
2024-04-30,14.65,14.96,14.19,14.78,719000
2024-04-29,14.54,15.05,14.49,14.82,512200
2024-04-26,15.22,15.26,14.22,14.56,649500
2024-04-25,14.93,15.59,14.13,14.37,1203000
2024-04-24,16.16,16.48,15.47,15.7,521700
2024-04-23,15.65,16.58,15.6,16.23,646300
2024-04-22,15.73,15.77,14.94,15.41,769200
2024-04-19,15.96,16.33,15.24,15.61,1046700
2024-04-18,15.99,16.38,15.82,16.07,660300
2024-04-17,16.74,16.83,16.0,16.1,953000
2024-04-16,16.86,17.24,16.62,16.68,628300
2024-04-15,17.48,17.72,16.67,16.94,820500
2024-04-12,18.38,18.54,17.12,17.54,875200
2024-04-11,18.43,19.08,17.96,18.51,1160300
2024-04-10,17.73,18.41,17.44,18.25,1240000
2024-04-09,19.5,19.54,17.94,18.1,1588600
2024-04-08,18.42,18.71,18.01,18.35,2035900
2024-04-05,17.66,19.03,17.45,18.24,2502400
2024-04-04,15.07,18.9,15.07,17.78,6817600
2024-04-03,13.19,13.71,12.82,13.67,1751100
2024-04-02,13.65,13.98,13.15,13.31,1116700
2024-04-01,14.7,14.7,13.73,14.02,1128200
2024-03-28,14.74,15.25,14.27,14.72,809000
2024-03-27,14.33,14.99,14.26,14.96,1023800
2024-03-26,14.59,14.72,14.19,14.22,802300
2024-03-25,14.46,14.56,14.08,14.41,813800
2024-03-22,15.51,15.52,14.47,14.48,852800
2024-03-21,15.64,16.18,15.37,15.39,860200
2024-03-20,15.53,15.78,14.89,15.39,976900
2024-03-19,15.42,15.77,14.92,15.58,1598700
2024-03-18,15.8,16.38,15.27,15.6,1551800
2024-03-15,16.02,16.75,15.85,15.93,4448000
2024-03-14,16.32,16.75,15.57,16.06,2154400
2024-03-13,17.5,17.64,15.92,16.56,1932500
2024-03-12,16.86,17.82,16.66,17.6,1827000
2024-03-11,17.15,18.13,16.75,16.94,1674900
2024-03-08,19.34,21.49,16.44,17.43,4453200
2024-03-07,21.59,21.79,20.47,20.51,1771200
2024-03-06,21.07,21.88,20.66,21.47,1730300
2024-03-05,20.79,21.33,20.28,20.64,2409900
2024-03-04,19.78,20.8,19.41,20.72,2663100
2024-03-01,18.06,19.39,18.06,19.06,2004300
2024-02-29,17.84,18.6,17.64,17.94,2248200
2024-02-28,17.22,17.81,17.03,17.19,963200
2024-02-27,16.99,18.52,16.41,17.26,1779200
2024-02-26,18.0,18.48,16.55,16.81,1759600
2024-02-23,17.13,18.19,17.12,18.14,1033000
2024-02-22,17.13,18.45,16.97,17.11,916800
2024-02-21,17.03,17.38,16.8,17.04,655600
2024-02-20,17.13,17.61,16.89,17.17,861800
2024-02-16,17.27,17.5,16.85,17.28,971200
2024-02-15,16.89,17.7,16.32,17.4,1079700
