Date,Open,High,Low,Close,Volume
2025-03-19,10.92,11.13,10.45,10.56,98348
2025-03-18,11.54,11.54,10.86,11.05,105700
2025-03-17,10.47,11.64,10.12,11.6,261600
2025-03-14,10.29,10.5,10.07,10.43,75000
2025-03-13,10.67,10.67,10.12,10.15,97900
2025-03-12,10.66,10.86,10.27,10.73,123000
2025-03-11,10.15,10.67,9.94,10.61,132500
2025-03-10,10.27,10.85,10.04,10.17,199900
2025-03-07,10.5,10.61,9.86,10.22,158200
2025-03-06,9.91,10.46,9.86,10.46,183400
2025-03-05,10.45,10.68,10.06,10.17,200500
2025-03-04,10.24,10.47,9.86,10.4,191500
2025-03-03,11.14,11.48,10.46,10.51,217600
2025-02-28,10.79,11.55,10.32,10.8,127500
2025-02-27,11.3,11.45,10.64,10.82,137700
2025-02-26,10.7,11.89,10.01,11.36,207800
2025-02-25,10.34,10.81,10.09,10.73,94600
2025-02-24,10.67,10.67,9.93,10.37,216000
2025-02-21,10.33,10.67,10.04,10.44,204600
2025-02-20,10.32,10.86,9.96,10.06,243200
2025-02-19,10.62,10.88,9.88,10.3,245000
2025-02-18,9.78,11.5,9.78,10.85,439300
2025-02-14,8.47,9.3,8.45,9.3,219400
2025-02-13,7.94,8.72,7.54,8.57,173800
2025-02-12,7.18,8.1,6.81,7.65,319700
2025-02-11,6.41,7.15,6.26,6.79,132100
2025-02-10,7.67,7.7,6.04,6.36,557800
2025-02-07,5.72,5.92,5.38,5.75,95600
2025-02-06,5.98,6.1,5.63,5.66,48900
2025-02-05,6.22,6.24,5.94,6.02,32500
2025-02-04,6.34,6.52,6.17,6.26,33200
2025-02-03,6.25,6.55,6.19,6.31,66200
2025-01-31,6.8,7.08,6.39,6.63,80200
2025-01-30,7.17,7.17,6.68,6.85,46800
2025-01-29,6.7,7.1,6.62,7.07,42700
2025-01-28,6.89,6.99,6.78,6.87,20600
2025-01-27,7.05,7.15,6.88,6.89,36100
2025-01-24,7.18,7.28,6.97,7.12,42500
2025-01-23,7.17,7.23,6.93,7.23,45400
2025-01-22,7.34,7.34,6.87,7.18,42500
2025-01-21,7.2,7.64,7.16,7.24,54800
2025-01-17,7.21,7.21,7.03,7.2,35400
2025-01-16,6.68,7.08,6.68,7.08,51000
2025-01-15,6.47,6.72,6.38,6.68,25800
2025-01-14,6.5,6.6,6.26,6.27,85100
2025-01-13,6.44,6.72,6.44,6.6,78200
2025-01-10,7.17,7.28,6.77,6.8,33700
2025-01-08,7.6,7.63,7.32,7.36,21900
2025-01-07,7.66,7.99,7.57,7.73,54300
2025-01-06,7.8,8.12,7.78,7.92,49600
2025-01-03,7.65,7.95,7.3,7.74,33200
2025-01-02,7.5,7.76,7.3,7.54,23600
2024-12-31,7.82,7.88,7.59,7.6,22100
2024-12-30,8.09,8.18,7.73,7.85,38100
2024-12-27,8.2,8.22,7.83,8.05,83600
2024-12-26,7.8,8.21,7.77,8.13,53600
2024-12-24,7.73,8.04,7.59,7.95,56400
2024-12-23,7.77,7.87,7.69,7.85,48200
2024-12-20,7.96,8.07,7.81,7.91,73600
2024-12-19,7.62,8.01,7.51,7.81,64500
2024-12-18,7.92,8.17,7.41,7.64,80000
2024-12-17,8.09,8.16,7.98,8.07,45500
2024-12-16,8.08,8.22,7.95,8.22,60100
2024-12-13,8.45,8.45,7.98,8.12,47500
2024-12-12,7.85,8.43,7.85,8.38,79900
2024-12-11,8.12,8.12,7.89,7.89,65700
2024-12-10,8.06,8.12,7.87,7.92,62500
2024-12-09,7.93,8.14,7.87,7.99,70200
2024-12-06,7.74,8.03,7.54,7.93,56200
2024-12-05,7.84,7.91,7.71,7.78,56600
2024-12-04,7.51,7.94,7.47,7.92,71500
2024-12-03,7.78,7.78,7.53,7.53,63900
2024-12-02,7.21,7.75,7.15,7.71,112900
2024-11-29,7.0,7.37,6.9,7.29,23200
2024-11-27,6.81,7.07,6.8,6.94,47700
2024-11-26,6.89,7.01,6.78,6.81,46300
2024-11-25,6.93,7.1,6.8,6.99,30100
2024-11-22,6.93,7.13,6.73,6.73,31700
2024-11-21,6.5,7.15,6.5,6.95,106900
2024-11-20,6.9,6.91,6.62,6.64,77600
2024-11-19,6.89,7.09,6.8,6.8,90200
2024-11-18,7.01,7.01,6.6,6.65,67500
2024-11-15,6.68,7.13,6.6,7.02,58600
2024-11-14,6.93,7.18,6.37,7.0,123700
2024-11-13,6.76,6.98,6.76,6.85,58700
2024-11-12,6.31,7.25,6.31,6.78,247200
2024-11-11,6.28,6.28,5.89,5.91,47900
2024-11-08,6.06,6.3,5.94,6.16,38400
2024-11-07,5.82,6.09,5.82,6.0,34800
2024-11-06,5.66,5.9,5.23,5.82,133300
2024-11-05,5.32,5.55,5.31,5.37,21200
2024-11-04,5.25,5.56,5.25,5.38,46700
2024-11-01,5.24,5.42,5.22,5.22,41200
2024-10-31,5.36,5.41,5.16,5.27,32200
2024-10-30,5.32,5.38,5.28,5.31,25500
2024-10-29,5.5,5.56,5.28,5.32,27100
2024-10-28,5.55,5.67,5.42,5.42,52200
2024-10-25,5.64,5.64,5.52,5.57,25500
2024-10-24,5.51,5.65,5.38,5.51,95500
2024-10-23,5.61,5.72,5.41,5.57,43400
2024-10-22,5.91,5.92,5.62,5.66,17100
2024-10-21,5.91,6.04,5.75,5.85,70700
2024-10-18,6.05,6.18,5.94,6.06,27700
2024-10-17,6.19,6.2,5.96,6.05,43400
2024-10-16,6.14,6.14,5.99,6.05,40900
2024-10-15,6.37,6.37,6.12,6.13,40900
2024-10-14,6.18,6.25,6.04,6.18,75800
2024-10-11,6.16,6.4,6.12,6.21,57100
2024-10-10,6.2,6.25,6.08,6.16,52000
2024-10-09,6.2,6.46,6.08,6.33,63500
2024-10-08,6.33,6.43,6.11,6.12,42600
2024-10-07,6.58,6.63,6.32,6.55,44900
2024-10-04,7.0,7.02,6.66,6.67,17400
2024-10-03,6.89,7.06,6.78,6.93,33700
2024-10-02,7.0,7.03,6.41,6.9,47200
2024-10-01,7.18,7.29,6.9,7.16,72700
2024-09-30,6.55,7.39,6.55,7.39,133100
2024-09-27,6.64,6.65,6.53,6.64,41300
2024-09-26,6.38,6.69,6.38,6.64,61000
2024-09-25,6.29,6.45,6.18,6.36,72500
2024-09-24,6.35,6.39,6.19,6.34,88000
2024-09-23,6.15,6.53,6.13,6.35,103400
2024-09-20,6.24,6.33,5.98,6.01,149600
2024-09-19,6.25,6.38,6.21,6.25,45800
2024-09-18,6.26,6.38,5.7,6.18,198000
2024-09-17,6.17,6.66,6.06,6.59,526100
2024-09-16,6.21,6.21,6.09,6.18,19000
2024-09-13,5.6,6.17,5.6,6.13,55100
2024-09-12,5.58,5.62,5.47,5.58,101700
2024-09-11,5.52,5.54,5.45,5.49,56600
2024-09-10,5.85,5.91,5.45,5.45,97400
2024-09-09,5.78,6.01,5.78,5.9,66200
2024-09-06,6.1,6.14,5.78,5.84,34500
2024-09-05,6.23,6.27,6.03,6.1,31700
2024-09-04,6.35,6.43,6.14,6.19,44100
2024-09-03,6.74,6.74,6.01,6.11,55000
2024-08-30,6.4,6.77,6.4,6.63,34700
2024-08-29,6.84,6.85,6.31,6.4,28000
2024-08-28,6.77,6.91,6.64,6.75,70100
2024-08-27,6.65,6.78,6.23,6.72,39400
2024-08-26,6.86,6.89,6.71,6.8,70900
2024-08-23,6.45,6.83,6.43,6.75,96000
2024-08-22,6.32,6.67,6.32,6.5,67300
2024-08-21,6.22,6.41,6.18,6.31,119700
2024-08-20,6.07,6.22,6.05,6.14,14700
2024-08-19,6.28,6.39,6.0,6.07,276400
2024-08-16,6.32,6.35,6.06,6.28,98800
2024-08-15,6.16,6.42,6.16,6.25,68500
2024-08-14,6.15,6.17,6.09,6.13,36500
2024-08-13,6.41,6.41,6.0,6.15,68000
2024-08-12,6.05,6.41,5.97,6.38,70800
2024-08-09,5.89,6.05,5.89,6.02,45500
2024-08-08,5.86,6.01,5.83,5.95,137300
2024-08-07,5.94,6.01,5.84,6.0,68000
2024-08-06,6.0,6.0,5.86,5.9,56200
2024-08-05,5.77,5.95,5.7,5.93,54800
2024-08-02,5.82,6.02,5.82,5.99,68900
2024-08-01,6.02,6.1,5.84,6.08,45600
2024-07-31,6.06,6.19,5.94,6.05,52400
2024-07-30,5.99,6.25,5.96,6.09,79800
2024-07-29,5.93,6.12,5.83,5.99,34100
2024-07-26,6.04,6.11,5.73,6.02,23400
2024-07-25,5.65,6.06,5.65,5.98,32300
2024-07-24,6.24,6.24,5.66,5.72,45700
2024-07-23,6.05,6.49,6.05,6.27,49000
2024-07-22,6.32,6.33,6.0,6.12,37000
2024-07-19,6.2,6.33,6.14,6.26,28500
2024-07-18,6.49,6.68,6.13,6.25,56400
2024-07-17,6.42,6.73,6.25,6.67,53800
2024-07-16,6.22,6.57,6.22,6.37,68800
2024-07-15,6.5,6.62,6.2,6.23,55800
2024-07-12,6.36,6.62,6.28,6.49,41200
2024-07-11,6.39,6.48,5.91,6.36,59700
2024-07-10,6.0,6.39,5.97,6.21,81300
2024-07-09,5.86,6.18,5.83,5.98,36200
2024-07-08,5.81,5.88,5.63,5.88,77400
2024-07-05,6.0,6.03,5.76,5.82,46500
2024-07-03,5.93,6.16,5.84,5.96,21200
2024-07-02,6.13,6.14,5.82,5.93,78800
2024-07-01,6.28,6.32,6.0,6.13,75900
2024-06-28,5.86,6.3,5.86,6.17,97200
2024-06-27,6.12,6.12,5.77,5.93,44000
2024-06-26,5.82,6.15,5.82,6.09,50700
2024-06-25,6.14,6.29,5.98,6.0,47000
2024-06-24,6.55,6.66,6.19,6.21,81800
2024-06-21,6.11,6.85,6.11,6.69,183500
2024-06-20,6.53,6.59,5.83,6.31,211500
2024-06-18,6.06,6.92,6.03,6.59,189600
2024-06-17,5.45,6.2,5.19,6.09,194000
2024-06-14,5.85,6.04,5.53,5.58,135900
2024-06-13,4.94,6.33,4.72,5.93,505900
2024-06-12,4.6,5.09,4.6,5.02,360300
2024-06-11,5.27,5.5,4.36,4.75,488300
2024-06-10,5.02,5.22,5.02,5.2,117500
2024-06-07,5.02,5.32,4.98,5.09,96900
2024-06-06,5.41,5.46,5.07,5.15,183300
2024-06-05,5.33,5.46,5.3,5.4,30200
2024-06-04,5.58,5.58,5.35,5.35,45600
2024-06-03,5.08,5.56,4.93,5.5,171600
2024-05-31,5.35,5.43,5.07,5.09,26700
2024-05-30,5.3,5.45,5.15,5.29,83900
2024-05-29,5.26,5.42,5.22,5.33,70200
2024-05-28,5.35,5.42,5.21,5.33,76100
2024-05-24,5.18,5.39,5.01,5.38,143900
2024-05-23,5.05,5.11,4.91,5.11,99600
2024-05-22,4.85,5.03,4.73,5.02,235700
2024-05-21,4.91,5.02,4.86,4.86,127200
2024-05-20,4.99,5.03,4.81,4.95,106700
2024-05-17,4.95,5.09,4.95,4.95,140200
2024-05-16,5.03,5.15,4.92,5.0,81200
2024-05-15,5.03,5.12,4.83,5.05,129200
2024-05-14,5.07,5.17,4.8,4.99,194800
2024-05-13,5.1,5.41,4.91,5.01,150300
2024-05-10,5.25,5.27,4.97,5.07,111900
2024-05-09,5.3,5.57,5.17,5.21,81200
2024-05-08,5.2,5.47,5.14,5.28,216300
2024-05-07,5.58,5.58,5.14,5.27,131900
2024-05-06,5.73,5.73,5.32,5.38,83200
2024-05-03,5.76,5.86,5.48,5.64,58700
2024-05-02,5.76,5.85,5.49,5.61,49400
2024-05-01,5.71,5.87,5.64,5.65,46400
2024-04-30,5.92,6.02,5.63,5.68,91800
2024-04-29,5.82,5.98,5.68,5.92,152400
2024-04-26,5.53,5.8,5.53,5.73,89500
2024-04-25,5.5,5.55,5.39,5.55,60900
2024-04-24,5.73,5.85,5.48,5.55,57300
2024-04-23,5.5,5.76,5.5,5.69,34900
2024-04-22,5.51,5.96,5.46,5.5,144800
2024-04-19,5.43,5.65,5.4,5.51,59300
2024-04-18,5.08,5.57,5.08,5.54,76800
2024-04-17,5.38,5.48,5.1,5.11,62900
2024-04-16,5.62,5.86,5.41,5.42,135000
2024-04-15,6.33,6.42,5.59,5.59,155900
2024-04-12,6.41,6.43,5.92,6.24,83100
2024-04-11,6.47,6.83,6.34,6.47,66100
2024-04-10,6.98,6.98,6.38,6.55,58200
2024-04-09,7.0,7.1,6.73,6.88,46600
2024-04-08,7.42,7.46,6.91,6.99,52900
2024-04-05,7.63,7.77,6.97,7.04,46000
2024-04-04,7.94,8.09,7.31,7.51,84800
2024-04-03,7.7,8.01,7.7,7.94,33700
2024-04-02,8.11,8.11,7.56,7.63,35900
2024-04-01,7.98,8.18,7.62,8.13,94900
2024-03-28,8.09,8.18,8.01,8.04,12500
2024-03-27,8.19,8.23,7.85,8.04,33000
2024-03-26,7.91,8.41,7.88,8.04,45300
2024-03-25,7.73,8.08,7.73,8.01,57000
2024-03-22,8.03,8.17,7.74,7.84,59600
2024-03-21,7.64,8.12,7.64,8.02,49500
