Date,Open,High,Low,Close,Volume
2025-03-13,0.01,0.01,0.01,0.01,6000
2025-03-12,0.01,0.01,0.01,0.01,11000
2025-03-11,0.01,0.01,0.01,0.01,45020
2025-03-10,0.01,0.01,0.01,0.01,60996
2025-03-07,0.01,0.01,0.01,0.01,65020
2025-03-06,0.01,0.01,0.01,0.01,85000
2025-03-05,0.01,0.01,0.01,0.01,197980
2025-03-04,0.01,0.01,0.01,0.01,262346
2025-03-03,0.01,0.01,0.01,0.01,1100
2025-02-28,0.01,0.01,0.01,0.01,127767
2025-02-27,0.01,0.01,0.01,0.01,129805
2025-02-26,0.01,0.01,0.01,0.01,625560
2025-02-25,0.01,0.01,0.01,0.01,0
2025-02-24,0.01,0.01,0.01,0.01,89178
2025-02-21,0.01,0.01,0.01,0.01,21667
2025-02-20,0.01,0.01,0.01,0.01,121000
2025-02-19,0.01,0.01,0.01,0.01,129766
2025-02-18,0.01,0.01,0.01,0.01,5500
2025-02-14,0.01,0.01,0.01,0.01,10960
2025-02-13,0.01,0.01,0.01,0.01,500
2025-02-12,0.01,0.01,0.01,0.01,60200
2025-02-11,0.01,0.01,0.01,0.01,57806
2025-02-10,0.01,0.01,0.01,0.01,172908
2025-02-07,0.01,0.01,0.01,0.01,88060
2025-02-06,0.01,0.01,0.01,0.01,49111
2025-02-05,0.01,0.01,0.01,0.01,60990
2025-02-04,0.01,0.01,0.01,0.01,217651
2025-02-03,0.01,0.01,0.01,0.01,165600
2025-01-31,0.01,0.01,0.01,0.01,39250
2025-01-30,0.01,0.01,0.01,0.01,75790
2025-01-29,0.01,0.01,0.01,0.01,23638
2025-01-28,0.01,0.01,0.01,0.01,321677
2025-01-27,0.01,0.01,0.01,0.01,62432
2025-01-24,0.01,0.01,0.01,0.01,100641
2025-01-23,0.01,0.01,0.01,0.01,78913
2025-01-22,0.01,0.01,0.01,0.01,65305
2025-01-21,0.01,0.01,0.01,0.01,71433
2025-01-17,0.01,0.01,0.01,0.01,10000
2025-01-16,0.01,0.01,0.01,0.01,243422
2025-01-15,0.01,0.01,0.01,0.01,37720
2025-01-14,0.01,0.01,0.01,0.01,98060
2025-01-13,0.01,0.01,0.01,0.01,20000
2025-01-10,0.01,0.01,0.01,0.01,0
2025-01-08,0.01,0.01,0.01,0.01,135547
2025-01-07,0.01,0.01,0.01,0.01,21119
2025-01-06,0.01,0.01,0.01,0.01,213800
2025-01-03,0.01,0.01,0.01,0.01,5000
2025-01-02,0.01,0.01,0.01,0.01,96874
2024-12-31,0.01,0.01,0.01,0.01,328890
2024-12-30,0.01,0.01,0.01,0.01,227132
2024-12-27,0.01,0.01,0.01,0.01,65161
2024-12-26,0.01,0.01,0.01,0.01,268857
2024-12-24,0.01,0.01,0.01,0.01,319668
2024-12-23,0.01,0.01,0.01,0.01,2000
2024-12-20,0.01,0.01,0.01,0.01,317200
2024-12-19,0.01,0.01,0.01,0.01,902605
2024-12-18,0.01,0.01,0.01,0.01,385545
2024-12-17,0.01,0.01,0.01,0.01,239445
2024-12-16,0.01,0.01,0.01,0.01,44031
2024-12-13,0.01,0.01,0.01,0.01,27896
2024-12-12,0.01,0.01,0.01,0.01,45000
2024-12-11,0.01,0.01,0.01,0.01,191240
2024-12-10,0.01,0.01,0.01,0.01,125854
2024-12-09,0.01,0.01,0.01,0.01,72424
2024-12-06,0.01,0.01,0.01,0.01,113234
2024-12-05,0.01,0.01,0.01,0.01,257768
2024-12-04,0.01,0.01,0.01,0.01,81175
2024-12-03,0.01,0.01,0.01,0.01,67175
2024-12-02,0.01,0.01,0.01,0.01,57180
2024-11-29,0.01,0.01,0.01,0.01,4000
2024-11-27,0.01,0.01,0.01,0.01,57875
2024-11-26,0.01,0.01,0.01,0.01,2228
2024-11-25,0.01,0.01,0.01,0.01,89212
2024-11-22,0.01,0.01,0.01,0.01,53690
2024-11-21,0.01,0.01,0.01,0.01,630
2024-11-20,0.01,0.01,0.01,0.01,4600
2024-11-19,0.01,0.01,0.01,0.01,197230
2024-11-18,0.01,0.01,0.01,0.01,12673
