Date,Open,High,Low,Close,Volume
2025-03-13,2.21,2.37,2.13,2.15,13016
2025-03-12,2.21,2.44,2.01,2.16,49400
2025-03-11,2.2,2.45,2.14,2.2,31700
2025-03-10,2.16,2.24,2.1,2.15,10200
2025-03-07,1.99,2.19,1.99,2.19,23500
2025-03-06,2.16,2.2,2.05,2.1,34300
2025-03-05,2.2,2.24,2.14,2.14,7000
2025-03-04,2.12,2.7,2.08,2.18,50800
2025-03-03,2.18,2.18,2.12,2.12,8900
2025-02-28,2.14,2.18,2.1,2.18,10800
2025-02-27,2.14,2.15,2.11,2.11,5600
2025-02-26,2.16,2.19,2.13,2.14,13500
2025-02-25,2.28,2.28,2.16,2.16,16600
2025-02-24,2.28,2.35,2.28,2.28,15700
2025-02-21,2.3,2.32,2.28,2.31,12200
2025-02-20,2.32,2.33,2.29,2.33,45700
2025-02-19,2.38,2.41,2.31,2.31,30700
2025-02-18,2.51,2.51,2.32,2.32,49300
2025-02-14,2.42,2.44,2.33,2.41,39600
2025-02-13,2.45,2.59,2.38,2.41,9800
2025-02-12,2.39,2.5,2.35,2.37,16900
2025-02-11,2.47,2.47,2.35,2.36,14800
2025-02-10,2.53,2.56,2.4,2.56,17600
2025-02-07,2.5,2.55,2.4,2.55,6000
2025-02-06,2.51,2.54,2.4,2.5,10900
2025-02-05,2.5,2.63,2.41,2.47,18400
2025-02-04,2.45,2.7,2.39,2.6,21100
2025-02-03,2.62,2.62,2.41,2.48,16800
2025-01-31,2.67,2.85,2.46,2.5,40500
2025-01-30,3.0,3.0,2.65,2.71,13900
2025-01-29,3.06,3.1,2.7,2.7,33200
2025-01-28,3.15,3.49,3.0,3.0,26400
2025-01-27,3.14,3.25,3.11,3.13,17600
2025-01-24,3.04,3.12,3.0,3.12,5900
2025-01-23,2.89,3.14,2.8,3.02,24500
2025-01-22,2.78,3.23,2.78,2.85,18100
2025-01-21,2.68,3.12,2.66,2.84,66100
2025-01-17,2.85,3.1,2.55,2.85,36100
2025-01-16,2.62,2.62,2.5,2.56,700
2025-01-15,2.64,2.64,2.48,2.54,15200
2025-01-14,2.54,2.83,2.52,2.52,54100
2025-01-13,2.54,2.55,2.43,2.54,12600
2025-01-10,2.52,2.67,2.49,2.49,11900
2025-01-08,2.64,2.75,2.45,2.49,16600
2025-01-07,2.65,2.86,2.5,2.59,40900
2025-01-06,2.7,2.75,2.49,2.7,21500
2025-01-03,2.48,2.76,2.38,2.42,29000
2025-01-02,2.35,2.43,2.35,2.35,6800
2024-12-31,2.44,2.46,2.35,2.35,18100
2024-12-30,2.47,2.7,2.4,2.4,45900
2024-12-27,2.46,2.8,2.34,2.43,68200
2024-12-26,2.49,2.71,2.31,2.4,54000
2024-12-24,2.39,2.68,2.28,2.41,24500
2024-12-23,2.37,2.83,2.25,2.33,77300
2024-12-20,2.35,2.49,2.31,2.4,16200
2024-12-19,2.42,2.42,2.31,2.4,28200
2024-12-18,2.5,2.55,2.36,2.46,36200
2024-12-17,2.42,3.34,2.42,2.57,49900
2024-12-16,2.6,2.6,2.43,2.51,30600
2024-12-13,2.6,2.77,2.46,2.48,27400
2024-12-12,2.58,2.74,2.51,2.64,29400
2024-12-11,2.7,2.75,2.58,2.58,25300
2024-12-10,2.7,2.99,2.6,2.72,51200
2024-12-09,2.69,3.33,2.66,2.94,54700
2024-12-06,2.69,3.02,2.65,2.69,15700
2024-12-05,2.97,3.11,2.65,2.66,23400
2024-12-04,3.0,3.32,2.76,3.07,26900
2024-12-03,3.15,3.38,2.87,2.93,30800
2024-12-02,3.0,3.6,2.72,3.07,65000
2024-11-29,3.25,3.27,2.97,2.97,6500
2024-11-27,3.1,3.25,3.1,3.1,1200
2024-11-26,3.06,3.06,3.06,3.06,600
2024-11-25,3.0,3.09,2.9,3.03,19400
2024-11-22,3.1,3.15,3.0,3.05,15400
2024-11-21,3.15,3.19,3.11,3.13,10700
2024-11-20,3.17,3.29,3.03,3.19,19900
2024-11-19,3.14,3.31,3.14,3.25,25000
2024-11-18,3.18,3.29,3.04,3.1,21000
2024-11-15,3.34,3.41,3.12,3.15,7800
2024-11-14,3.18,3.78,3.15,3.27,54300
2024-11-13,3.03,3.16,2.96,3.16,14300
2024-11-12,2.82,3.19,2.5,3.16,70800
2024-11-11,2.25,2.89,2.25,2.5,79000
2024-11-08,2.6,2.64,2.4,2.4,6700
2024-11-07,2.45,2.6,2.28,2.5,22500
2024-11-06,2.71,3.01,2.29,2.65,35300
2024-11-05,2.5,2.78,2.26,2.61,43300
2024-11-04,2.34,2.7,2.14,2.59,46700
2024-11-01,2.65,2.7,2.05,2.59,12400
2024-10-31,2.73,2.73,2.54,2.69,7800
2024-10-30,2.76,2.76,2.63,2.63,13500
2024-10-29,2.82,2.88,2.75,2.88,6700
2024-10-28,2.9,3.02,2.89,2.92,6100
2024-10-25,2.79,2.95,2.79,2.95,4400
2024-10-24,3.0,3.0,2.7,2.97,8900
2024-10-23,2.87,2.96,2.66,2.96,6800
2024-10-22,2.8,3.2,2.8,2.9,9600
2024-10-21,2.93,3.1,2.76,2.76,8300
2024-10-18,3.04,3.25,2.75,3.02,22600
2024-10-17,3.0,3.01,2.71,2.95,7600
2024-10-16,2.8,3.01,2.8,3.0,1300
2024-10-15,2.62,2.95,2.62,2.9,9900
2024-10-14,2.9,2.97,2.79,2.82,15700
2024-10-11,2.88,2.96,2.8,2.8,2000
2024-10-10,2.97,2.97,2.88,2.88,1100
2024-10-09,3.04,3.04,3.04,3.04,0
2024-10-08,3.04,3.04,3.04,3.04,300
2024-10-07,3.06,3.06,3.03,3.03,1500
2024-10-04,2.8,3.01,2.8,2.92,1700
2024-10-03,3.0,3.0,3.0,3.0,700
2024-10-02,3.05,3.06,3.0,3.0,10800
2024-10-01,3.01,3.1,2.95,3.0,10700
2024-09-30,3.17,3.17,2.98,2.98,600
2024-09-27,3.01,3.17,3.01,3.17,1100
2024-09-26,3.05,3.17,3.05,3.17,1200
2024-09-25,2.91,3.22,2.76,3.0,9700
2024-09-24,2.8,3.15,2.8,2.9,4700
2024-09-23,2.6,3.13,2.59,2.9,23400
