Date,Open,High,Low,Close,Volume
2025-03-14,42.99,43.44,42.35,43.19,6639800
2025-03-13,42.71,43.78,41.59,42.15,6256500
2025-03-12,43.26,43.68,42.52,42.85,6693600
2025-03-11,44.38,44.7,41.85,42.86,9016100
2025-03-10,44.22,44.96,43.56,44.16,10971100
2025-03-07,43.87,46.04,43.58,45.4,10341800
2025-03-06,44.34,45.07,43.33,43.88,12563300
2025-03-05,45.53,46.57,45.02,46.49,8672400
2025-03-04,45.09,45.74,43.94,44.49,10433100
2025-03-03,47.59,48.01,44.67,44.91,12104200
2025-02-28,47.94,48.52,46.04,47.05,13110600
2025-02-27,50.12,50.61,46.99,47.38,12453800
2025-02-26,51.0,51.41,49.64,50.55,9675300
2025-02-25,53.63,53.95,51.06,51.22,8855400
2025-02-24,54.33,54.39,52.76,53.4,9153100
2025-02-21,56.3,56.67,53.63,54.05,10983000
2025-02-20,56.25,57.77,55.09,55.74,9393400
2025-02-19,52.25,56.36,52.0,55.52,15289900
2025-02-18,52.08,52.96,51.9,51.95,7766500
2025-02-14,51.17,51.88,50.84,51.83,5963800
2025-02-13,50.06,50.97,49.7,50.92,7400100
2025-02-12,47.29,50.18,47.26,50.06,9413900
2025-02-11,46.97,48.95,46.79,47.93,11150500
2025-02-10,50.94,51.0,46.57,47.04,23762900
2025-02-07,52.27,53.58,50.44,51.25,13250600
2025-02-06,52.2,52.78,51.93,52.44,8149200
2025-02-05,50.22,51.78,49.89,51.72,6142800
2025-02-04,50.68,51.33,50.17,50.58,5660000
2025-02-03,50.65,51.46,49.8,50.26,8078700
2025-01-31,53.04,53.73,51.95,52.34,6398400
2025-01-30,53.57,53.68,51.81,53.27,8385400
2025-01-29,54.04,54.49,53.1,53.77,5513500
2025-01-28,54.11,54.6,52.8,53.87,10463100
2025-01-27,54.89,56.28,53.47,53.94,12666400
2025-01-24,55.58,55.74,54.02,54.5,9237400
2025-01-23,55.05,56.3,54.66,56.26,9145800
2025-01-22,55.0,56.63,55.0,56.03,8091800
2025-01-21,55.1,56.11,54.87,55.61,6336200
2025-01-17,54.58,55.08,54.37,54.63,7298900
2025-01-16,55.2,55.48,53.46,53.51,8661000
2025-01-15,56.72,56.75,55.14,55.23,7968400
2025-01-14,55.27,56.46,54.51,55.18,6350600
2025-01-13,53.2,56.45,53.1,55.87,12195900
2025-01-10,56.38,56.6,53.6,53.94,17560000
2025-01-08,62.41,62.59,57.96,58.31,14868300
2025-01-07,64.78,65.25,62.32,62.73,9310400
2025-01-06,64.38,67.0,64.33,64.51,7368900
2025-01-03,61.95,64.47,61.58,63.91,6962700
2025-01-02,63.81,64.09,61.66,61.71,7392700
2024-12-31,63.79,64.27,62.78,63.05,4300000
2024-12-30,65.18,65.31,63.27,63.46,7230300
2024-12-27,66.7,67.05,65.48,66.01,4751900
2024-12-26,67.05,67.95,66.99,67.02,3659500
2024-12-24,66.63,67.92,66.42,67.9,3044800
2024-12-23,65.5,66.99,65.45,66.63,5257400
2024-12-20,64.22,66.86,63.94,65.5,12758500
2024-12-19,66.13,66.97,64.75,64.8,7630200
2024-12-18,67.89,69.27,64.62,64.93,9813100
2024-12-17,66.99,70.58,66.85,67.74,7810800
2024-12-16,65.4,67.28,64.94,66.44,6139800
2024-12-13,66.58,66.96,64.8,65.96,7179200
2024-12-12,66.9,67.52,66.26,67.11,4075800
2024-12-11,67.0,68.53,66.44,67.97,5698500
2024-12-10,67.9,68.11,66.05,66.34,4631600
2024-12-09,66.52,68.66,66.3,67.68,4963200
2024-12-06,66.28,67.04,65.92,66.52,5412000
2024-12-05,65.88,66.86,65.15,65.74,8527400
2024-12-04,70.51,70.51,65.35,65.97,13169500
2024-12-03,72.42,73.19,69.69,69.81,8883100
2024-12-02,71.0,74.52,70.75,73.95,6457100
2024-11-29,71.0,72.53,70.6,71.12,2900300
2024-11-27,70.31,71.33,69.14,70.35,3724400
2024-11-26,73.35,73.43,69.97,70.82,5136800
2024-11-25,71.16,73.49,70.31,72.39,6575600
2024-11-22,68.02,69.72,67.51,69.62,4092100
2024-11-21,67.9,69.12,66.45,68.47,4724600
2024-11-20,65.57,67.36,65.47,67.31,5098000
2024-11-19,66.47,67.22,66.0,66.65,5746300
2024-11-18,64.48,66.58,64.32,66.48,6371700
2024-11-15,66.31,66.83,64.59,64.76,6231100
2024-11-14,68.64,69.18,66.8,67.02,6420700
2024-11-13,69.0,69.81,67.83,68.49,5676400
2024-11-12,69.9,71.3,68.99,70.23,4852700
2024-11-11,71.0,71.01,68.8,69.96,6632600
2024-11-08,71.0,71.42,69.65,70.41,4742200
2024-11-07,73.15,73.46,71.94,72.05,5027700
2024-11-06,72.51,73.3,71.36,72.27,7771900
2024-11-05,69.34,70.61,68.48,70.2,5019600
2024-11-04,70.25,71.36,69.37,69.5,4008500
2024-11-01,70.5,72.5,70.16,70.99,5551200
2024-10-31,73.36,73.44,69.28,70.49,9975300
2024-10-30,73.65,76.06,72.82,73.63,8087700
2024-10-29,72.24,75.2,70.62,74.7,8222500
2024-10-28,67.3,75.2,66.62,72.24,16687300
2024-10-25,70.6,72.98,70.57,71.25,10772100
2024-10-24,69.53,70.14,68.36,70.08,7567000
2024-10-23,69.36,69.68,66.47,67.97,9256100
2024-10-22,66.67,67.06,65.68,66.54,6921400
2024-10-21,68.1,68.35,65.77,67.14,6743700
2024-10-18,70.46,70.57,68.29,68.49,5202400
2024-10-17,70.79,71.3,68.8,69.24,6293400
2024-10-16,70.66,71.21,68.91,69.03,7299700
2024-10-15,72.71,74.18,68.64,69.32,9303900
2024-10-14,71.0,72.97,70.04,72.79,4935100
2024-10-11,69.18,71.64,69.0,70.33,5136300
2024-10-10,69.88,70.39,69.16,70.31,4044800
2024-10-09,70.35,71.19,69.81,71.0,3873000
2024-10-08,70.84,71.14,69.46,70.53,3779200
2024-10-07,70.62,71.25,70.04,71.09,3790300
2024-10-04,72.27,72.68,70.93,71.54,4771800
2024-10-03,70.61,71.46,69.5,70.33,3652200
2024-10-02,71.09,72.56,70.39,71.51,4333200
2024-10-01,72.47,73.11,70.3,71.05,5971900
2024-09-30,72.31,73.54,71.22,72.61,6822500
2024-09-27,74.6,75.88,73.79,74.39,5289100
2024-09-26,72.36,73.91,70.09,73.32,5753100
2024-09-25,69.82,70.53,69.1,69.65,3331400
2024-09-24,70.9,72.32,69.9,70.47,4656500
2024-09-23,69.98,70.78,69.5,69.74,5107500
2024-09-20,71.04,71.44,68.39,69.57,12073700
2024-09-19,73.82,74.99,72.62,73.35,8075400
2024-09-18,71.29,73.36,70.15,70.64,4118200
2024-09-17,71.47,72.3,70.52,71.42,2711600
2024-09-16,70.8,71.46,69.15,70.37,4388600
2024-09-13,70.04,72.17,70.02,71.72,5495100
2024-09-12,70.07,70.1,68.2,69.33,4173800
2024-09-11,68.46,70.73,66.36,70.58,7463400
2024-09-10,68.32,68.35,66.96,68.23,4376700
2024-09-09,68.8,70.24,68.59,69.39,6394600
2024-09-06,70.01,71.28,67.41,67.92,8467500
2024-09-05,69.67,71.9,69.41,70.25,4791500
2024-09-04,69.89,72.16,69.28,70.53,6158400
2024-09-03,76.41,76.41,69.92,70.76,10785900
2024-08-30,78.12,78.47,76.66,77.87,4811900
2024-08-29,75.93,78.61,75.48,76.3,4845200
2024-08-28,76.0,76.18,73.71,74.63,4758900
2024-08-27,74.34,76.68,73.09,76.06,3806000
2024-08-26,76.22,76.25,74.38,74.82,5173700
2024-08-23,74.67,76.45,74.33,76.36,5685500
2024-08-22,76.97,77.0,73.11,73.37,7232300
2024-08-21,76.96,77.94,75.89,76.68,5330300
2024-08-20,76.78,77.08,75.21,75.82,5060000
2024-08-19,75.64,77.77,75.01,77.72,5014000
2024-08-16,75.0,76.48,74.82,75.84,5390100
2024-08-15,73.0,76.62,72.82,75.88,8367500
2024-08-14,73.05,73.24,70.28,71.08,5065100
2024-08-13,71.39,73.34,70.72,72.91,5650600
2024-08-12,71.32,71.66,69.61,70.37,3962500
2024-08-09,70.97,71.89,69.92,71.3,4275600
2024-08-08,68.95,72.48,68.23,72.23,9541700
2024-08-07,70.08,71.21,66.18,66.39,7370100
2024-08-06,69.02,70.72,67.45,68.51,6388300
2024-08-05,66.85,71.92,66.51,68.97,10311900
2024-08-02,69.5,69.85,67.13,67.95,11552900
2024-08-01,76.28,76.9,70.98,71.9,11569500
2024-07-31,75.8,79.45,74.83,78.25,11047900
2024-07-30,77.8,78.19,73.76,73.97,11851700
2024-07-29,75.9,80.08,75.5,78.27,22288700
2024-07-26,69.15,70.78,68.66,70.17,7765500
2024-07-25,67.84,70.72,66.78,67.54,9670800
2024-07-24,73.1,73.69,69.95,70.11,8138500
2024-07-23,75.0,75.39,72.82,73.39,7557800
2024-07-22,75.34,77.56,73.76,77.33,7758500
2024-07-19,75.03,75.37,72.02,72.53,6339600
2024-07-18,76.29,77.95,74.96,75.43,5717700
2024-07-17,77.32,78.01,75.28,75.46,9931000
2024-07-16,76.65,78.76,76.14,78.74,3555300
2024-07-15,75.76,77.91,75.53,76.37,4889900
2024-07-12,74.86,78.31,74.34,76.87,5950400
2024-07-11,75.89,76.99,74.19,74.24,7400800
2024-07-10,74.44,76.72,74.19,76.59,5685500
2024-07-09,74.56,74.58,72.37,73.48,5861400
2024-07-08,73.12,75.15,73.04,75.01,4717100
2024-07-05,73.15,74.67,72.77,73.38,3028800
2024-07-03,73.36,74.6,72.35,72.68,3906400
2024-07-02,70.1,72.96,70.1,72.92,5796700
2024-07-01,68.96,69.87,67.79,69.18,4692300
2024-06-28,68.19,69.38,67.8,68.55,5257900
2024-06-27,67.85,68.39,67.35,67.86,3806500
2024-06-26,67.52,68.63,67.47,68.17,3592500
2024-06-25,68.13,68.54,66.76,67.84,4491700
2024-06-24,68.2,69.38,67.48,67.79,4970800
