Date,Open,High,Low,Close,Volume
2025-03-13,1.84,2.29,1.84,2.07,297622
2025-03-12,1.88,1.9,1.83,1.9,2400
2025-03-11,2.07,2.07,1.82,1.82,8400
2025-03-10,2.03,2.08,1.99,2.08,5400
2025-03-07,1.91,2.31,1.91,2.1,27200
2025-03-06,1.98,2.06,1.94,1.94,1100
2025-03-05,1.97,2.39,1.9,2.03,100100
2025-03-04,1.94,1.95,1.86,1.86,12600
2025-03-03,1.98,1.98,1.95,1.95,900
2025-02-28,2.0,2.15,1.73,1.94,24200
2025-02-27,2.16,2.16,1.99,1.99,14200
2025-02-26,2.44,2.44,2.15,2.16,4700
2025-02-25,2.33,2.5,2.16,2.16,48100
2025-02-24,2.2,2.48,2.17,2.22,9200
2025-02-21,2.18,2.32,2.18,2.27,6400
2025-02-20,2.29,2.3,2.27,2.27,1400
2025-02-19,2.41,2.41,2.24,2.24,8600
2025-02-18,2.47,2.47,2.25,2.27,1500
2025-02-14,2.29,2.3,2.24,2.26,3100
2025-02-13,2.35,2.36,2.25,2.25,1100
2025-02-12,2.25,2.38,2.25,2.38,2400
2025-02-11,2.25,2.26,2.18,2.18,3700
2025-02-10,2.33,2.44,2.26,2.26,5700
2025-02-07,2.68,2.71,2.31,2.33,19200
2025-02-06,2.55,2.59,2.5,2.5,1200
2025-02-05,2.59,2.59,2.5,2.53,12600
2025-02-04,2.56,3.0,2.56,2.69,11800
2025-02-03,2.47,2.75,2.47,2.56,9800
2025-01-31,2.57,2.57,2.47,2.53,3200
2025-01-30,2.61,2.61,2.61,2.61,1100
2025-01-29,2.6,2.7,2.6,2.7,2100
2025-01-28,2.49,2.59,2.45,2.45,2000
2025-01-27,2.6,2.6,2.5,2.59,4900
2025-01-24,2.5,2.62,2.47,2.47,12700
2025-01-23,2.54,2.7,2.45,2.7,8000
2025-01-22,2.45,2.82,2.45,2.5,25400
2025-01-21,2.37,2.37,2.37,2.37,0
2025-01-17,2.37,2.37,2.37,2.37,600
2025-01-16,2.48,2.48,2.35,2.4,5100
