Date,Open,High,Low,Close,Volume
2025-03-19,13.68,14.12,13.68,14.12,21532
2025-03-18,13.59,13.75,13.59,13.65,4400
2025-03-17,12.72,13.77,12.72,13.68,9400
2025-03-14,12.67,13.42,12.67,13.13,18200
2025-03-13,13.05,13.08,12.63,12.87,15800
2025-03-12,13.18,13.8,12.78,13.48,25100
2025-03-11,13.0,13.32,12.99,13.04,11100
2025-03-10,13.92,14.53,12.89,13.01,26800
2025-03-07,14.5,14.68,13.74,13.93,48500
2025-03-06,13.46,14.52,13.24,14.52,20400
2025-03-05,13.2,13.75,13.06,13.73,55600
2025-03-04,13.49,13.49,13.06,13.06,18800
2025-03-03,13.37,13.49,13.33,13.37,20100
2025-02-28,13.34,13.57,13.2,13.41,17400
2025-02-27,13.1,13.45,13.1,13.33,10100
2025-02-26,13.35,14.12,13.06,13.15,36600
2025-02-25,13.36,13.87,13.36,13.57,20900
2025-02-24,14.48,14.48,13.49,13.49,55000
2025-02-21,14.35,14.35,14.05,14.09,14600
2025-02-20,14.72,14.9,14.27,14.35,23400
2025-02-19,14.85,15.15,14.85,15.13,8200
2025-02-18,15.0,15.28,14.76,15.0,17900
2025-02-14,14.75,15.15,14.46,15.08,45300
2025-02-13,14.37,14.85,14.32,14.47,7400
2025-02-12,14.33,14.63,14.32,14.53,11300
2025-02-11,14.85,14.88,14.32,14.56,16900
2025-02-10,14.88,14.98,14.75,14.85,10400
2025-02-07,14.85,15.09,14.75,14.95,12000
2025-02-06,14.92,15.11,14.75,14.85,18200
2025-02-05,15.06,15.2,14.8,15.13,7900
2025-02-04,15.1,15.1,14.85,14.85,12800
2025-02-03,14.93,15.26,14.75,14.9,18900
2025-01-31,15.25,15.43,14.94,15.19,14000
2025-01-30,15.26,15.92,15.25,15.25,18900
2025-01-29,15.57,15.81,15.26,15.32,29500
2025-01-28,15.95,15.99,15.39,15.39,16400
2025-01-27,15.9,16.87,15.62,16.0,35200
2025-01-24,16.03,16.5,15.82,16.07,14800
2025-01-23,16.37,16.66,15.66,16.24,26400
2025-01-22,15.28,17.08,15.04,16.57,78000
2025-01-21,14.75,15.25,14.53,15.25,26300
2025-01-17,14.41,14.68,14.2,14.68,28400
2025-01-16,14.5,14.55,14.33,14.5,10500
2025-01-15,15.0,15.0,14.11,14.44,30100
2025-01-14,14.49,14.93,14.14,14.83,29500
2025-01-13,14.63,14.88,14.03,14.64,36200
2025-01-10,13.65,15.27,13.65,14.69,81300
2025-01-08,13.43,13.86,13.33,13.39,25600
2025-01-07,13.8,13.8,13.4,13.53,31300
2025-01-06,14.25,14.35,13.63,13.63,41800
2025-01-03,14.5,14.75,14.27,14.35,22500
2025-01-02,15.0,15.0,14.34,14.49,29000
2024-12-31,15.17,15.17,14.68,14.95,20200
2024-12-30,16.13,16.2,14.94,15.22,49500
2024-12-27,16.02,16.42,15.76,15.9,36400
2024-12-26,16.1,16.9,15.58,16.23,43800
2024-12-24,14.75,17.5,14.66,16.39,109300
2024-12-23,13.31,14.5,13.0,14.5,103300
2024-12-20,14.0,14.01,13.0,13.48,77400
2024-12-19,14.12,14.28,13.28,14.25,52900
2024-12-18,15.98,16.24,13.81,13.81,93900
2024-12-17,15.48,16.25,15.34,16.08,47500
2024-12-16,16.28,16.35,15.57,15.71,46600
2024-12-13,16.8,16.8,15.85,16.37,28700
2024-12-12,17.09,17.09,16.71,16.75,15900
2024-12-11,16.88,17.13,16.66,17.02,23000
2024-12-10,16.76,17.08,16.57,16.86,37500
2024-12-09,16.76,17.44,16.6,16.92,58400
2024-12-06,16.82,17.0,15.83,16.57,70200
2024-12-05,16.8,17.58,16.5,16.64,74300
2024-12-04,17.1,17.28,16.64,16.84,65900
2024-12-03,15.84,17.03,15.55,16.96,92100
2024-12-02,15.64,15.79,15.2,15.79,89000
2024-11-29,15.33,15.8,14.57,15.34,35700
2024-11-27,15.56,15.7,15.45,15.49,44400
2024-11-26,15.27,15.62,14.64,15.52,55600
2024-11-25,15.31,15.36,14.78,15.27,63600
2024-11-22,15.0,15.65,14.83,15.35,46500
2024-11-21,15.51,16.32,15.04,15.4,58500
2024-11-20,14.41,15.91,14.3,15.77,74800
2024-11-19,13.84,14.38,13.78,14.36,55300
2024-11-18,14.1,14.1,13.5,13.84,51500
2024-11-15,14.4,14.4,14.08,14.14,30400
2024-11-14,14.65,14.65,14.13,14.53,37700
2024-11-13,14.57,14.78,14.45,14.73,33500
2024-11-12,14.7,14.81,14.17,14.44,68300
2024-11-11,14.4,15.38,14.4,14.63,56500
2024-11-08,14.64,14.85,14.3,14.31,49100
2024-11-07,14.9,15.27,14.33,14.36,66800
2024-11-06,14.85,15.42,14.16,14.71,82900
2024-11-05,13.39,14.5,13.26,14.45,88300
2024-11-04,12.84,13.49,12.78,13.2,99200
2024-11-01,13.0,13.09,12.71,12.78,11000
2024-10-31,13.18,13.18,12.57,12.99,9600
2024-10-30,12.98,13.26,12.97,13.18,23600
2024-10-29,12.35,13.09,12.35,12.98,9300
2024-10-28,13.39,13.81,12.91,12.99,58900
2024-10-25,12.72,13.29,12.6,13.19,34700
2024-10-24,13.01,13.04,12.55,12.75,22500
2024-10-23,13.0,13.06,12.72,13.06,11800
2024-10-22,12.91,13.2,12.72,13.2,19700
2024-10-21,13.01,13.18,12.71,12.98,13100
