Date,Open,High,Low,Close,Volume
2025-03-13,54.34,54.42,53.68,54.03,90191
2025-03-12,55.29,55.47,54.46,54.57,530200
2025-03-11,56.25,56.25,54.91,55.14,576600
2025-03-10,56.94,57.4,55.87,56.24,514300
2025-03-07,55.46,57.31,55.21,57.23,679500
2025-03-06,55.41,56.07,54.91,55.61,500800
2025-03-05,54.89,56.17,54.89,55.9,491100
2025-03-04,53.77,55.31,53.65,54.98,450200
2025-03-03,54.79,54.99,53.93,54.04,800500
2025-02-28,54.4,54.97,53.91,54.64,801800
2025-02-27,55.6,55.68,54.28,54.31,504800
2025-02-26,56.6,56.88,55.51,55.53,655500
2025-02-25,55.93,57.14,55.71,56.71,605700
2025-02-24,55.45,56.19,55.11,55.89,833500
2025-02-21,56.56,56.84,55.04,55.1,570000
2025-02-20,56.56,56.87,56.16,56.56,667600
2025-02-19,57.15,57.22,56.49,56.66,380100
2025-02-18,57.21,57.88,56.91,57.72,767300
2025-02-14,58.1,58.47,56.86,57.32,900400
2025-02-13,57.36,58.0,56.84,57.91,278400
2025-02-12,56.82,57.64,56.46,57.09,832400
2025-02-11,57.55,57.94,57.04,57.43,749200
2025-02-10,57.81,59.17,57.66,58.0,597400
2025-02-07,57.45,57.45,56.63,57.19,519100
2025-02-06,57.59,57.64,56.81,57.22,857600
2025-02-05,57.33,57.87,57.28,57.63,534000
2025-02-04,56.8,57.45,56.42,57.33,687300
2025-02-03,56.24,56.9,55.2,56.67,1164200
2025-01-31,57.23,57.93,56.52,57.33,709000
2025-01-30,56.54,57.35,56.54,57.0,900400
2025-01-29,55.7,56.43,55.41,56.3,1030100
2025-01-28,54.61,56.26,54.38,55.96,1004800
2025-01-27,53.1,55.4,53.1,54.5,1419000
2025-01-24,54.33,54.6,52.84,53.0,1283900
2025-01-23,56.82,57.27,53.75,54.12,2109400
2025-01-22,60.85,61.34,56.32,57.26,2876100
2025-01-21,63.42,64.11,63.21,63.52,663300
2025-01-17,64.3,64.43,62.82,62.94,473600
2025-01-16,63.34,64.34,63.34,63.72,439600
2025-01-15,63.2,63.43,62.43,63.34,440500
2025-01-14,62.25,63.05,62.23,62.49,499700
2025-01-13,61.84,62.47,61.76,62.09,384100
2025-01-10,62.53,63.02,61.93,62.2,544600
2025-01-08,63.92,64.16,63.16,63.33,303300
2025-01-07,65.02,65.36,63.89,64.15,685500
2025-01-06,65.31,65.6,64.83,65.01,335600
2025-01-03,64.7,65.3,64.53,65.26,307700
2025-01-02,65.73,65.73,64.51,64.71,213300
2024-12-31,65.45,65.93,64.91,65.15,291800
2024-12-30,65.44,65.5,64.02,65.05,278600
2024-12-27,66.35,66.56,65.26,65.48,217600
2024-12-26,65.83,66.61,65.81,66.4,347000
2024-12-24,65.55,66.4,65.4,66.26,135700
2024-12-23,66.44,66.45,65.17,65.29,1274200
2024-12-20,65.65,67.47,65.65,66.38,2547700
2024-12-19,66.74,67.34,65.87,65.92,705400
2024-12-18,69.2,69.79,65.95,66.22,491500
2024-12-17,69.1,69.53,68.55,68.86,365800
2024-12-16,68.51,69.88,68.35,69.11,423500
2024-12-13,69.33,69.69,68.51,68.9,160500
2024-12-12,69.05,69.7,68.7,69.63,200300
2024-12-11,69.17,69.75,68.39,69.25,536200
2024-12-10,68.5,68.84,68.13,68.58,343100
2024-12-09,68.74,69.41,68.3,68.71,278300
2024-12-06,69.15,69.59,68.63,68.95,490600
2024-12-05,69.62,69.62,68.44,68.65,614700
2024-12-04,69.05,70.28,68.82,69.77,527900
2024-12-03,68.12,68.73,67.59,68.67,524800
2024-12-02,68.01,68.61,67.42,68.31,552900
2024-11-29,67.55,68.72,67.33,68.41,331200
