Date,Open,High,Low,Close,Volume
2025-03-13,0.64,0.66,0.64,0.65,7200
2025-03-12,0.65,0.67,0.64,0.65,124400
2025-03-11,0.66,0.67,0.64,0.65,67000
2025-03-10,0.67,0.7,0.65,0.65,107200
2025-03-07,0.65,0.65,0.64,0.65,222500
2025-03-06,0.65,0.67,0.62,0.65,280000
2025-03-05,0.71,0.71,0.52,0.65,465600
2025-03-04,0.71,0.71,0.64,0.7,356500
2025-03-03,0.76,0.76,0.63,0.7,600300
2025-02-28,0.79,0.8,0.76,0.77,87500
2025-02-27,0.78,0.8,0.76,0.78,115400
2025-02-26,0.81,0.89,0.78,0.78,132000
2025-02-25,0.83,0.85,0.8,0.8,223800
2025-02-24,0.87,0.87,0.79,0.85,144000
2025-02-21,0.85,0.87,0.84,0.87,110500
2025-02-20,0.85,0.88,0.82,0.85,206900
2025-02-19,0.89,0.9,0.85,0.85,182900
2025-02-18,0.9,0.9,0.87,0.89,124500
2025-02-14,0.88,0.91,0.88,0.9,189700
2025-02-13,0.95,0.95,0.87,0.88,387700
2025-02-12,0.96,1.0,0.93,0.93,228100
2025-02-11,1.01,1.01,0.94,0.96,259000
2025-02-10,1.03,1.04,0.96,1.01,685700
2025-02-07,1.01,1.05,0.97,1.0,200800
2025-02-06,1.0,1.05,0.97,1.01,165600
2025-02-05,1.01,1.02,0.98,1.0,447000
2025-02-04,0.95,1.04,0.93,1.0,322900
2025-02-03,1.0,1.0,0.92,0.94,205800
2025-01-31,0.97,1.0,0.91,1.0,527100
2025-01-30,0.84,0.95,0.82,0.94,524200
2025-01-29,0.85,0.85,0.83,0.83,20800
2025-01-28,0.87,0.88,0.84,0.84,10200
2025-01-27,0.84,0.88,0.79,0.86,239900
2025-01-24,0.87,0.87,0.85,0.85,16400
2025-01-23,0.86,0.88,0.83,0.87,152300
2025-01-22,0.86,0.88,0.86,0.88,81100
2025-01-21,0.87,0.9,0.85,0.88,144000
2025-01-17,0.84,0.89,0.84,0.85,26100
2025-01-16,0.83,0.84,0.8,0.83,21800
2025-01-15,0.82,0.83,0.75,0.83,162300
2025-01-14,0.85,0.9,0.82,0.84,76200
2025-01-13,0.9,0.9,0.82,0.84,159700
2025-01-10,0.93,0.93,0.82,0.89,28100
2025-01-08,0.9,0.92,0.85,0.85,38800
2025-01-07,0.92,0.93,0.85,0.9,118200
2025-01-06,0.92,0.93,0.8,0.91,123100
2025-01-03,0.84,0.92,0.82,0.91,116500
2025-01-02,0.86,0.91,0.8,0.86,322200
2024-12-31,0.85,0.88,0.8,0.88,156000
2024-12-30,0.88,0.88,0.85,0.88,91800
2024-12-27,0.86,0.88,0.85,0.85,166000
2024-12-26,0.87,0.88,0.85,0.85,161000
2024-12-24,0.88,0.88,0.86,0.87,119400
2024-12-23,0.87,0.88,0.85,0.88,82000
2024-12-20,0.9,0.9,0.86,0.86,99900
2024-12-19,0.9,0.92,0.88,0.89,287700
2024-12-18,0.84,0.9,0.73,0.88,573100
2024-12-17,0.83,0.85,0.82,0.85,287100
2024-12-16,0.88,0.93,0.81,0.85,357200
2024-12-13,0.98,0.98,0.84,0.88,227100
2024-12-12,0.94,0.99,0.81,0.94,226400
2024-12-11,0.92,0.95,0.92,0.95,152300
2024-12-10,0.97,0.97,0.85,0.91,148600
2024-12-09,1.0,1.0,0.93,0.96,386700
2024-12-06,1.04,1.04,0.98,0.99,327500
2024-12-05,0.99,1.04,0.92,1.01,261100
2024-12-04,1.0,1.0,0.82,0.99,309700
2024-12-03,1.02,1.04,0.91,1.0,600600
2024-12-02,0.96,1.04,0.96,1.02,839700
2024-11-29,0.94,0.96,0.93,0.95,232900
2024-11-27,0.91,0.95,0.9,0.92,258400
2024-11-26,0.92,0.93,0.9,0.91,464400
2024-11-25,0.92,0.98,0.9,0.92,753100
2024-11-22,0.73,0.92,0.67,0.91,855400
2024-11-21,0.72,0.76,0.7,0.75,158000
2024-11-20,0.84,0.84,0.72,0.73,103000
2024-11-19,0.85,0.85,0.77,0.79,176600
2024-11-18,0.83,0.85,0.82,0.84,82900
2024-11-15,0.85,0.9,0.83,0.84,232800
2024-11-14,0.88,0.9,0.87,0.87,141100
2024-11-13,0.85,0.92,0.85,0.86,139400
2024-11-12,0.82,0.92,0.82,0.92,129400
2024-11-11,0.9,0.9,0.79,0.83,166700
2024-11-08,0.98,0.98,0.81,0.89,254200
2024-11-07,0.97,1.0,0.91,0.98,260000
2024-11-06,0.91,0.98,0.9,0.96,378300
2024-11-05,0.8,0.94,0.8,0.91,526700
2024-11-04,0.72,0.86,0.72,0.76,424800
2024-11-01,0.85,0.88,0.69,0.71,1076400
2024-10-31,0.93,0.93,0.81,0.83,345000
2024-10-30,1.06,1.06,0.85,0.88,865800
2024-10-29,1.07,1.09,0.85,1.08,758500
2024-10-28,0.92,1.18,0.88,1.03,2962000
2024-10-25,0.81,0.95,0.81,0.9,1668000
2024-10-24,0.75,0.81,0.69,0.8,540300
2024-10-23,0.7,0.8,0.69,0.75,1498100
2024-10-22,0.56,0.7,0.56,0.69,952700
2024-10-21,0.52,0.56,0.51,0.55,395300
2024-10-18,0.5,0.52,0.47,0.5,596400
2024-10-17,0.5,0.52,0.48,0.51,345900
2024-10-16,0.42,0.54,0.42,0.49,1287400
2024-10-15,0.41,0.42,0.4,0.42,533500
2024-10-14,0.39,0.42,0.39,0.42,118400
2024-10-11,0.4,0.42,0.4,0.41,127600
2024-10-10,0.39,0.44,0.36,0.41,513900
2024-10-09,0.4,0.41,0.36,0.4,326400
2024-10-08,0.38,0.42,0.36,0.42,118300
2024-10-07,0.36,0.39,0.36,0.39,187200
2024-10-04,0.39,0.39,0.35,0.36,272900
2024-10-03,0.39,0.41,0.38,0.39,106500
2024-10-02,0.43,0.43,0.39,0.39,82300
2024-10-01,0.43,0.43,0.41,0.43,60700
2024-09-30,0.47,0.47,0.41,0.45,409500
2024-09-27,0.45,0.46,0.44,0.44,376400
2024-09-26,0.45,0.45,0.44,0.45,147900
2024-09-25,0.46,0.46,0.42,0.44,1006800
2024-09-24,0.39,0.47,0.38,0.44,1327500
2024-09-23,0.39,0.41,0.37,0.4,62400
2024-09-20,0.41,0.41,0.35,0.4,238200
2024-09-19,0.41,0.42,0.39,0.39,79900
2024-09-18,0.4,0.42,0.4,0.41,47800
2024-09-17,0.45,0.45,0.36,0.4,733800
2024-09-16,0.4,0.46,0.4,0.44,765300
2024-09-13,0.33,0.47,0.33,0.4,1329300
2024-09-12,0.33,0.34,0.33,0.34,108000
2024-09-11,0.35,0.35,0.33,0.34,419700
2024-09-10,0.32,0.39,0.32,0.35,924400
2024-09-09,0.34,0.34,0.28,0.32,379600
2024-09-06,0.15,0.44,0.15,0.34,8150600
2024-09-05,0.16,0.16,0.15,0.16,18600
2024-09-04,0.15,0.16,0.15,0.15,2300
2024-09-03,0.15,0.16,0.15,0.15,34600
2024-08-30,0.15,0.15,0.14,0.14,19500
2024-08-29,0.15,0.15,0.15,0.15,2400
2024-08-28,0.16,0.16,0.14,0.15,31700
2024-08-27,0.15,0.15,0.15,0.15,14700
2024-08-26,0.16,0.16,0.15,0.15,14400
2024-08-23,0.16,0.16,0.16,0.16,38200
2024-08-22,0.16,0.16,0.16,0.16,12600
2024-08-21,0.16,0.16,0.16,0.16,500
2024-08-20,0.16,0.16,0.16,0.16,3000
2024-08-19,0.16,0.16,0.15,0.16,21900
2024-08-16,0.16,0.17,0.16,0.17,7100
2024-08-15,0.16,0.16,0.16,0.16,11800
2024-08-14,0.17,0.17,0.16,0.16,63800
2024-08-13,0.17,0.17,0.17,0.17,8800
2024-08-12,0.17,0.17,0.17,0.17,21000
2024-08-09,0.16,0.19,0.16,0.17,394500
2024-08-08,0.11,0.16,0.09,0.15,556100
2024-08-07,0.15,0.16,0.1,0.11,341700
2024-08-06,0.14,0.17,0.14,0.17,18500
2024-08-05,0.13,0.16,0.12,0.15,137800
2024-08-02,0.13,0.15,0.13,0.15,4900
2024-08-01,0.13,0.15,0.13,0.15,1000
2024-07-31,0.13,0.14,0.13,0.14,8200
2024-07-30,0.14,0.15,0.14,0.14,23500
2024-07-29,0.14,0.15,0.14,0.15,16800
2024-07-26,0.15,0.15,0.14,0.15,10100
2024-07-25,0.15,0.15,0.14,0.15,3600
2024-07-24,0.15,0.15,0.14,0.15,26700
2024-07-23,0.14,0.15,0.14,0.15,800
2024-07-22,0.15,0.15,0.13,0.14,14400
2024-07-19,0.14,0.15,0.14,0.15,300
2024-07-18,0.15,0.15,0.14,0.15,2100
2024-07-17,0.14,0.17,0.13,0.16,28600
2024-07-16,0.15,0.15,0.13,0.14,13300
2024-07-15,0.15,0.15,0.13,0.15,7500
2024-07-12,0.15,0.15,0.15,0.15,100
2024-07-11,0.12,0.13,0.12,0.13,30700
2024-07-10,0.13,0.13,0.11,0.12,4000
2024-07-09,0.11,0.12,0.11,0.12,3000
2024-07-08,0.12,0.12,0.12,0.12,1000
2024-07-05,0.11,0.13,0.11,0.11,18700
2024-07-03,0.12,0.13,0.12,0.13,28500
2024-07-02,0.12,0.12,0.11,0.12,17100
2024-07-01,0.12,0.12,0.12,0.12,9200
2024-06-28,0.12,0.12,0.12,0.12,8600
2024-06-27,0.12,0.13,0.12,0.13,2100
2024-06-26,0.13,0.13,0.12,0.12,36300
2024-06-25,0.13,0.13,0.13,0.13,15300
2024-06-24,0.12,0.12,0.12,0.12,6700
2024-06-21,0.11,0.13,0.11,0.13,19100
2024-06-20,0.12,0.12,0.1,0.11,75700
2024-06-18,0.12,0.13,0.12,0.12,87500
2024-06-17,0.13,0.13,0.12,0.12,67400
2024-06-14,0.13,0.13,0.13,0.13,26300
2024-06-13,0.14,0.14,0.13,0.14,10200
2024-06-12,0.14,0.14,0.14,0.14,6400
2024-06-11,0.14,0.14,0.14,0.14,3400
2024-06-10,0.14,0.14,0.14,0.14,13700
2024-06-07,0.14,0.14,0.14,0.14,35800
2024-06-06,0.14,0.14,0.14,0.14,8100
2024-06-05,0.14,0.14,0.14,0.14,27700
2024-06-04,0.16,0.16,0.14,0.14,106700
2024-06-03,0.14,0.16,0.14,0.15,68300
2024-05-31,0.14,0.15,0.14,0.14,16100
2024-05-30,0.16,0.16,0.15,0.15,32000
2024-05-29,0.17,0.17,0.14,0.17,45200
2024-05-28,0.17,0.17,0.16,0.16,7300
2024-05-24,0.17,0.17,0.17,0.17,3500
2024-05-23,0.16,0.16,0.16,0.16,200
2024-05-22,0.16,0.17,0.16,0.17,10100
2024-05-21,0.18,0.18,0.16,0.16,17300
2024-05-20,0.18,0.19,0.16,0.16,197700
2024-05-17,0.18,0.18,0.17,0.17,24000
2024-05-16,0.16,0.16,0.16,0.16,700
2024-05-15,0.16,0.19,0.16,0.18,32900
2024-05-14,0.17,0.18,0.17,0.17,17500
2024-05-13,0.17,0.17,0.15,0.16,65800
2024-05-10,0.17,0.17,0.16,0.16,37500
2024-05-09,0.17,0.17,0.17,0.17,13900
2024-05-08,0.18,0.18,0.17,0.17,18700
2024-05-07,0.16,0.18,0.16,0.17,34900
2024-05-06,0.15,0.19,0.15,0.16,85500
2024-05-03,0.14,0.15,0.14,0.15,35100
2024-05-02,0.14,0.14,0.14,0.14,68600
2024-05-01,0.14,0.14,0.14,0.14,78400
2024-04-30,0.14,0.15,0.14,0.14,140600
2024-04-29,0.15,0.15,0.14,0.15,18700
2024-04-26,0.15,0.15,0.14,0.15,252800
2024-04-25,0.14,0.14,0.14,0.14,1200
2024-04-24,0.14,0.14,0.14,0.14,1100
2024-04-23,0.15,0.15,0.14,0.14,22500
2024-04-22,0.15,0.15,0.14,0.15,18100
2024-04-19,0.16,0.16,0.15,0.15,20500
2024-04-18,0.16,0.16,0.16,0.16,2200
2024-04-17,0.17,0.17,0.17,0.17,1800
2024-04-16,0.17,0.17,0.15,0.15,158100
2024-04-15,0.19,0.19,0.17,0.17,38000
2024-04-12,0.18,0.18,0.16,0.18,54800
2024-04-11,0.17,0.17,0.17,0.17,19000
2024-04-10,0.17,0.18,0.16,0.16,130000
2024-04-09,0.17,0.17,0.16,0.17,36000
2024-04-08,0.18,0.18,0.17,0.17,9100
2024-04-05,0.18,0.18,0.18,0.18,10100
2024-04-04,0.19,0.19,0.17,0.18,79600
2024-04-03,0.19,0.19,0.19,0.19,8700
2024-04-02,0.18,0.18,0.18,0.18,5000
2024-04-01,0.16,0.19,0.16,0.19,56600
2024-03-28,0.18,0.18,0.16,0.16,51200
2024-03-27,0.17,0.18,0.17,0.18,200
2024-03-26,0.19,0.19,0.17,0.17,46300
2024-03-25,0.19,0.19,0.19,0.19,10400
2024-03-22,0.18,0.19,0.18,0.19,10700
2024-03-21,0.18,0.18,0.18,0.18,2800
2024-03-20,0.18,0.19,0.18,0.19,25400
2024-03-19,0.18,0.18,0.18,0.18,20400
2024-03-18,0.18,0.19,0.18,0.18,73800
2024-03-15,0.19,0.19,0.18,0.19,20500
2024-03-14,0.2,0.2,0.19,0.19,19400
2024-03-13,0.2,0.2,0.19,0.19,17200
2024-03-12,0.19,0.19,0.19,0.19,300
2024-03-11,0.19,0.2,0.19,0.2,13500
2024-03-08,0.2,0.2,0.19,0.19,43600
2024-03-07,0.19,0.2,0.19,0.19,51200
2024-03-06,0.19,0.19,0.18,0.19,37800
2024-03-05,0.19,0.19,0.18,0.18,60200
2024-03-04,0.19,0.2,0.19,0.19,66400
2024-03-01,0.19,0.19,0.19,0.19,20100
2024-02-29,0.19,0.19,0.19,0.19,24200
2024-02-28,0.19,0.2,0.18,0.19,127000
2024-02-27,0.2,0.2,0.18,0.19,123500
2024-02-26,0.19,0.21,0.18,0.19,163600
2024-02-23,0.2,0.2,0.18,0.19,60300
2024-02-22,0.2,0.2,0.18,0.18,23400
2024-02-21,0.16,0.19,0.16,0.19,52100
2024-02-20,0.18,0.21,0.18,0.18,16500
2024-02-16,0.19,0.24,0.19,0.2,160000
2024-02-15,0.2,0.2,0.18,0.18,3600
2024-02-14,0.18,0.21,0.17,0.17,2600
2024-02-13,0.18,0.18,0.16,0.16,2800
2024-02-12,0.16,0.19,0.16,0.18,10500
2024-02-09,0.17,0.19,0.16,0.19,10200
