Date,Open,High,Low,Close,Volume
2025-03-19,44.01,44.01,44.01,44.01,100
2025-03-18,45.0,45.0,45.0,45.0,100
2025-03-17,45.0,45.0,45.0,45.0,800
2025-03-14,45.6,47.0,43.17,45.0,2600
2025-03-13,45.0,45.8,44.0,45.8,600
2025-03-12,46.9,46.9,46.9,46.9,0
2025-03-11,46.9,46.9,46.9,46.9,500
2025-03-10,43.53,47.0,43.53,47.0,200
2025-03-07,48.33,48.33,48.33,48.33,300
2025-03-06,47.15,48.39,45.5,45.5,3700
2025-03-05,47.99,47.99,46.4,46.76,4400
2025-03-04,48.1,48.15,47.8,47.8,800
2025-03-03,48.5,48.5,48.15,48.15,800
2025-02-28,48.96,49.0,47.02,49.0,3300
2025-02-27,47.06,48.96,47.06,48.96,300
2025-02-26,48.7,48.74,48.68,48.74,2400
2025-02-25,48.11,48.87,46.76,46.76,4500
2025-02-24,49.49,49.7,47.52,48.96,4200
2025-02-21,48.46,49.48,47.0,49.48,11000
2025-02-20,49.45,49.45,49.45,49.45,0
2025-02-19,49.45,49.45,49.45,49.45,0
2025-02-18,48.0,49.45,48.0,49.45,5600
2025-02-14,48.25,48.25,48.25,48.25,100
2025-02-13,48.24,48.25,47.5,47.5,7600
2025-02-12,48.0,48.2,47.48,48.16,1400
2025-02-11,48.0,48.24,47.12,48.02,5500
2025-02-10,48.5,48.99,47.0,48.22,9400
2025-02-07,47.0,47.97,46.5,46.88,13500
2025-02-06,47.02,47.84,46.03,47.0,5800
2025-02-05,44.49,48.64,44.49,47.0,27900
2025-02-04,44.78,44.78,44.78,44.78,100
2025-02-03,44.03,44.03,43.1,43.1,900
2025-01-31,42.06,44.79,41.97,44.25,7700
2025-01-30,41.87,43.67,41.87,43.59,2400
2025-01-29,43.66,43.66,43.66,43.66,700
2025-01-28,41.07,43.73,40.92,43.29,6600
2025-01-27,40.82,42.31,40.82,41.56,1500
2025-01-24,41.31,42.5,40.14,42.31,4300
2025-01-23,40.99,42.8,40.99,41.62,21700
2025-01-22,40.75,40.82,40.07,40.5,3900
2025-01-21,39.8,41.14,39.42,40.82,6800
2025-01-17,40.82,40.82,38.78,39.78,4400
2025-01-16,40.77,41.66,38.54,39.82,8300
2025-01-15,40.28,40.68,38.37,40.68,1800
2025-01-14,36.82,40.82,36.34,38.84,19300
2025-01-13,35.63,36.46,35.34,35.35,1200
2025-01-10,35.5,36.46,35.34,35.62,2200
2025-01-08,35.84,35.84,35.84,35.84,500
2025-01-07,34.38,36.79,34.38,36.79,600
2025-01-06,37.14,37.33,37.07,37.08,900
2025-01-03,37.08,37.08,34.72,37.08,4100
2025-01-02,35.63,37.08,35.62,37.08,1700
2024-12-31,36.81,36.81,36.81,36.81,300
2024-12-30,36.81,36.83,35.64,36.83,1600
2024-12-27,35.98,36.34,35.98,36.34,900
2024-12-26,36.71,36.71,35.45,35.59,1400
2024-12-24,35.25,35.42,35.25,35.42,1200
2024-12-23,34.99,34.99,34.99,34.99,0
2024-12-20,34.99,36.82,34.99,34.99,700
2024-12-19,34.95,36.28,34.95,36.28,1000
2024-12-18,35.1,36.28,35.04,36.28,1700
2024-12-17,36.34,36.34,36.34,36.34,800
2024-12-16,36.53,37.07,36.34,37.07,2600
2024-12-13,34.84,36.38,34.84,36.38,7300
2024-12-12,33.91,34.59,33.91,34.59,300
2024-12-11,34.57,34.57,34.57,34.57,0
2024-12-10,34.33,34.57,34.33,34.57,1300
2024-12-09,33.91,33.95,33.91,33.95,300
2024-12-06,34.13,34.13,34.13,34.13,0
2024-12-05,34.13,34.13,34.13,34.13,0
2024-12-04,33.9,34.13,33.9,34.13,700
2024-12-03,34.1,34.83,33.85,33.85,1600
2024-12-02,33.95,33.95,33.45,33.9,5000
2024-11-29,34.12,34.12,34.12,34.12,0
2024-11-27,33.9,34.12,33.9,34.12,2600
2024-11-26,34.1,34.1,33.85,33.85,2300
2024-11-25,33.85,34.59,33.85,34.41,1500
2024-11-22,33.84,34.59,33.83,34.59,600
2024-11-21,33.39,34.28,33.39,34.28,800
2024-11-20,33.82,33.85,33.37,33.39,4000
2024-11-19,33.5,33.54,33.5,33.52,300
2024-11-18,33.38,34.09,33.36,33.45,1500
2024-11-15,34.59,34.59,34.59,34.59,0
2024-11-14,33.61,34.59,33.61,34.59,2300
2024-11-13,33.31,34.8,33.31,34.8,800
2024-11-12,33.31,34.82,33.31,34.82,2100
2024-11-11,34.59,34.59,34.34,34.34,2800
2024-11-08,34.59,34.59,34.59,34.59,0
2024-11-07,34.59,34.59,34.59,34.59,800
2024-11-06,34.34,34.46,34.34,34.34,2400
2024-11-05,33.95,35.82,33.91,34.34,1200
2024-11-04,34.84,35.34,33.78,35.34,1200
2024-11-01,34.29,34.84,34.29,34.84,900
2024-10-31,33.85,33.85,33.85,33.85,0
2024-10-30,33.35,34.84,33.35,33.85,1400
2024-10-29,33.3,34.82,33.3,34.27,1900
2024-10-28,33.3,34.07,33.3,34.07,800
2024-10-25,33.85,33.85,33.85,33.85,0
2024-10-24,33.85,33.85,33.85,33.85,600
2024-10-23,33.7,33.7,33.7,33.7,900
2024-10-22,33.3,33.71,33.3,33.63,1900
2024-10-21,33.85,33.85,33.85,33.85,0
2024-10-18,33.85,33.85,33.85,33.85,0
2024-10-17,33.87,33.87,33.85,33.85,3800
2024-10-16,33.86,33.86,33.36,33.36,700
2024-10-15,31.86,33.85,31.67,33.85,4100
2024-10-14,31.86,31.86,31.61,31.61,900
2024-10-11,31.86,32.35,28.87,32.35,2900
2024-10-10,32.6,32.6,32.6,32.6,200
2024-10-09,32.85,32.85,32.85,32.85,0
