Date,Open,High,Low,Close,Volume
2025-03-12,0.47,0.56,0.46,0.55,171680
2025-03-11,0.39,0.5,0.39,0.44,3407
2025-03-10,0.52,0.52,0.38,0.39,8952
2025-03-07,0.38,0.56,0.38,0.47,192530
2025-03-06,0.43,0.43,0.4,0.43,104376
2025-03-05,0.45,0.45,0.38,0.41,32836
2025-03-04,0.33,0.5,0.32,0.38,18020
2025-03-03,0.46,0.48,0.42,0.42,14482
2025-02-28,0.56,0.56,0.45,0.47,50025
2025-02-27,0.45,0.63,0.4,0.57,455294
2025-02-26,0.44,0.44,0.4,0.41,9532
2025-02-25,0.38,0.42,0.34,0.4,62530
2025-02-24,0.35,0.38,0.33,0.35,8022
2025-02-21,0.33,0.39,0.33,0.38,80271
2025-02-20,0.35,0.38,0.33,0.38,12772
2025-02-19,0.33,0.35,0.33,0.34,9834
2025-02-18,0.33,0.34,0.33,0.34,13848
2025-02-14,0.33,0.35,0.33,0.33,10450
2025-02-13,0.32,0.35,0.32,0.33,5115
2025-02-12,0.34,0.35,0.32,0.32,26028
2025-02-11,0.38,0.38,0.33,0.33,17073
2025-02-10,0.31,0.39,0.31,0.38,62499
2025-02-07,0.37,0.38,0.31,0.31,102286
2025-02-06,0.35,0.37,0.33,0.36,34740
2025-02-05,0.33,0.34,0.33,0.34,11297
2025-02-04,0.34,0.37,0.3,0.34,45780
2025-02-03,0.32,0.38,0.29,0.34,60268
2025-01-31,0.3,0.41,0.29,0.4,196041
2025-01-30,0.28,0.3,0.25,0.29,565590
2025-01-29,0.3,0.34,0.23,0.25,433168
2025-01-28,0.24,0.36,0.21,0.33,1532528
2025-01-27,0.53,0.54,0.38,0.4,1743109
2025-01-24,0.54,0.54,0.5,0.51,233499
2025-01-23,0.51,0.55,0.49,0.52,250821
2025-01-22,0.52,0.53,0.5,0.51,205438
2025-01-21,0.49,0.53,0.49,0.52,424846
2025-01-17,0.48,0.49,0.45,0.47,192253
2025-01-16,0.54,0.55,0.49,0.53,640786
2025-01-15,0.48,0.56,0.44,0.55,514890
2025-01-14,0.47,0.49,0.44,0.48,314398
2025-01-13,0.5,0.5,0.43,0.48,490376
2025-01-10,0.47,0.47,0.4,0.46,182513
2025-01-08,0.44,0.47,0.43,0.47,92329
2025-01-07,0.47,0.47,0.42,0.44,138237
2025-01-06,0.48,0.5,0.44,0.46,114040
2025-01-03,0.5,0.54,0.43,0.46,467109
2025-01-02,0.48,0.53,0.44,0.5,777326
2024-12-31,0.38,0.5,0.37,0.49,1178784
2024-12-30,0.44,0.44,0.37,0.39,521509
2024-12-27,0.37,0.43,0.36,0.42,512310
2024-12-26,0.36,0.41,0.36,0.36,185350
2024-12-24,0.4,0.4,0.35,0.35,195848
2024-12-23,0.41,0.44,0.38,0.38,75125
2024-12-20,0.39,0.44,0.39,0.42,133001
2024-12-19,0.42,0.42,0.37,0.39,241463
2024-12-18,0.46,0.46,0.4,0.4,179009
2024-12-17,0.44,0.47,0.42,0.44,374232
2024-12-16,0.5,0.5,0.45,0.45,104147
2024-12-13,0.47,0.52,0.46,0.5,295049
2024-12-12,0.49,0.49,0.46,0.47,155626
2024-12-11,0.48,0.49,0.47,0.48,23615
2024-12-10,0.51,0.51,0.47,0.48,132117
2024-12-09,0.53,0.54,0.49,0.5,212047
2024-12-06,0.51,0.55,0.49,0.51,154501
2024-12-05,0.49,0.54,0.49,0.53,100910
2024-12-04,0.49,0.55,0.47,0.5,575929
2024-12-03,0.5,0.5,0.47,0.48,56772
2024-12-02,0.54,0.55,0.48,0.48,214715
2024-11-29,0.5,0.55,0.48,0.55,107173
2024-11-27,0.48,0.49,0.47,0.48,65193
2024-11-26,0.47,0.5,0.47,0.48,110531
2024-11-25,0.5,0.52,0.47,0.47,240099
2024-11-22,0.51,0.54,0.46,0.47,364251
2024-11-21,0.57,0.59,0.47,0.51,321659
2024-11-20,0.58,0.58,0.55,0.57,220595
2024-11-19,0.56,0.67,0.54,0.56,341801
2024-11-18,0.6,0.6,0.49,0.51,297272
2024-11-15,0.58,0.68,0.51,0.57,1258120
2024-11-14,0.5,0.5,0.43,0.49,88682
2024-11-13,0.47,0.52,0.46,0.48,154392
2024-11-12,0.53,0.53,0.48,0.48,155173
2024-11-11,0.55,0.55,0.48,0.51,75488
2024-11-08,0.59,0.59,0.48,0.51,514578
2024-11-07,0.58,0.6,0.54,0.56,136699
2024-11-06,0.64,0.64,0.54,0.56,88635
2024-11-05,0.66,0.67,0.55,0.55,276731
2024-11-04,0.69,0.73,0.56,0.59,111076
