Date,Open,High,Low,Close,Volume
2025-03-13,0.97,1.0,0.94,1.0,45628
2025-03-12,0.95,0.98,0.94,0.94,9000
2025-03-11,0.95,0.96,0.91,0.94,27700
2025-03-10,0.95,0.95,0.91,0.91,41300
2025-03-07,0.96,1.0,0.93,0.96,33700
2025-03-06,0.95,1.0,0.91,0.98,44100
2025-03-05,0.94,0.96,0.91,0.95,64700
2025-03-04,0.92,0.98,0.92,0.94,98500
2025-03-03,1.0,1.0,0.95,0.95,42000
2025-02-28,0.99,1.0,0.95,1.0,122700
2025-02-27,1.0,1.03,0.99,1.0,96900
2025-02-26,1.01,1.01,0.94,1.01,79500
2025-02-25,0.97,1.0,0.88,0.97,181100
2025-02-24,1.06,1.06,0.98,0.99,145400
2025-02-21,1.03,1.09,1.02,1.03,96000
2025-02-20,1.11,1.12,1.0,1.03,262900
2025-02-19,1.06,1.12,1.06,1.12,92500
2025-02-18,1.08,1.1,1.02,1.05,100300
2025-02-14,1.01,1.09,1.01,1.04,296400
2025-02-13,1.16,1.16,1.0,1.03,763600
2025-02-12,1.15,1.18,1.1,1.16,92000
2025-02-11,1.12,1.16,1.09,1.15,129200
2025-02-10,1.13,1.18,1.09,1.15,183000
2025-02-07,1.28,1.28,1.09,1.16,1452200
2025-02-06,1.5,1.5,1.38,1.46,352900
2025-02-05,1.36,1.5,1.36,1.49,124100
2025-02-04,1.38,1.39,1.32,1.35,57300
2025-02-03,1.37,1.39,1.35,1.37,33800
2025-01-31,1.34,1.39,1.31,1.36,38600
2025-01-30,1.39,1.4,1.32,1.35,34300
2025-01-29,1.4,1.4,1.32,1.36,32900
2025-01-28,1.37,1.37,1.32,1.35,57600
2025-01-27,1.38,1.41,1.32,1.32,107300
2025-01-24,1.5,1.5,1.38,1.38,65800
2025-01-23,1.45,1.53,1.38,1.38,86600
2025-01-22,1.53,1.56,1.47,1.48,86100
2025-01-21,1.54,1.69,1.47,1.54,187800
2025-01-17,1.43,1.55,1.34,1.5,353000
2025-01-16,1.41,1.6,1.38,1.41,613200
2025-01-15,1.33,1.41,1.33,1.41,52700
2025-01-14,1.41,1.41,1.32,1.32,20900
2025-01-13,1.35,1.38,1.26,1.35,107400
2025-01-10,1.4,1.4,1.3,1.33,48900
2025-01-08,1.43,1.44,1.32,1.32,45600
2025-01-07,1.4,1.4,1.34,1.37,22800
2025-01-06,1.41,1.44,1.35,1.38,48800
2025-01-03,1.38,1.45,1.34,1.38,78000
2025-01-02,1.27,1.37,1.27,1.36,26300
2024-12-31,1.33,1.47,1.29,1.29,107800
2024-12-30,1.28,1.39,1.24,1.39,101100
2024-12-27,1.29,1.31,1.27,1.3,40600
2024-12-26,1.31,1.32,1.26,1.28,33700
2024-12-24,1.25,1.33,1.18,1.29,38000
2024-12-23,1.27,1.29,1.22,1.27,27000
2024-12-20,1.22,1.27,1.14,1.25,94700
2024-12-19,1.11,1.25,1.11,1.15,93000
2024-12-18,1.3,1.31,1.1,1.11,69700
2024-12-17,1.22,1.3,1.22,1.25,88000
2024-12-16,1.32,1.32,1.21,1.25,100200
2024-12-13,1.32,1.39,1.25,1.28,73600
2024-12-12,1.38,1.48,1.28,1.32,84600
2024-12-11,1.36,1.55,1.36,1.41,226700
2024-12-10,1.41,1.42,1.35,1.37,39800
2024-12-09,1.44,1.45,1.35,1.43,61300
2024-12-06,1.43,1.47,1.33,1.4,130400
2024-12-05,1.24,1.47,1.24,1.38,411400
2024-12-04,1.26,1.27,1.17,1.19,40300
2024-12-03,1.17,1.28,1.15,1.27,45700
2024-12-02,1.18,1.24,1.15,1.2,65300
2024-11-29,1.27,1.32,1.25,1.27,30000
2024-11-27,1.39,1.39,1.23,1.26,52000
2024-11-26,1.38,1.39,1.25,1.36,104300
2024-11-25,1.35,1.43,1.21,1.21,170600
2024-11-22,1.3,1.58,1.18,1.29,262900
2024-11-21,1.18,1.27,1.08,1.21,115400
2024-11-20,1.16,1.24,1.13,1.19,251600
2024-11-19,1.1,1.14,1.04,1.11,43200
2024-11-18,1.18,1.18,1.06,1.07,45800
2024-11-15,1.11,1.14,1.06,1.09,13300
