Date,Open,High,Low,Close,Volume
2025-03-14,96.52,98.25,96.16,98.11,8240400
2025-03-13,98.71,98.87,95.93,96.04,9274300
2025-03-12,100.3,100.3,96.97,98.69,9461200
2025-03-11,101.89,103.0,99.0,99.58,10663500
2025-03-10,105.73,106.0,99.8,101.13,15823300
2025-03-07,104.73,106.86,103.44,106.48,11637400
2025-03-06,110.01,110.43,104.91,105.47,16321700
2025-03-05,111.57,112.52,110.21,111.69,11926800
2025-03-04,114.99,115.27,112.0,112.06,12482400
2025-03-03,116.04,117.46,114.1,115.41,9225500
2025-02-28,115.06,116.09,114.27,115.81,11466000
2025-02-27,113.0,115.7,112.8,114.49,9013700
2025-02-26,114.61,114.79,112.26,113.0,7466800
2025-02-25,113.08,115.24,112.67,114.59,11001800
2025-02-24,112.34,113.91,111.89,113.19,13120500
2025-02-21,113.33,114.68,111.63,111.75,9664700
2025-02-20,112.17,113.5,111.96,113.34,6343800
2025-02-19,112.44,113.34,112.34,112.49,8268900
2025-02-18,111.8,113.36,111.62,113.03,7574100
2025-02-14,112.82,113.47,112.03,112.55,9115000
2025-02-13,112.51,112.79,110.93,112.39,10046300
2025-02-12,109.96,112.58,109.8,112.43,7269400
2025-02-11,110.28,111.47,110.01,110.43,4683100
2025-02-10,111.97,111.97,110.4,110.85,8348400
2025-02-07,110.83,112.01,109.47,111.59,11502400
2025-02-06,111.45,111.7,110.45,111.1,11967300
2025-02-05,109.59,111.81,109.27,111.64,12826000
2025-02-04,108.08,110.47,107.55,110.0,11123700
2025-02-03,105.15,107.85,104.95,107.58,8894100
2025-01-31,108.41,108.77,106.92,107.1,19142500
2025-01-30,108.41,109.74,107.45,108.41,15023000
2025-01-29,102.15,109.49,102.13,107.99,40769300
2025-01-28,98.41,100.14,98.06,99.87,14736500
2025-01-27,97.99,99.79,97.57,99.48,9654900
2025-01-24,97.26,98.48,97.09,98.28,6957100
2025-01-23,97.47,97.5,96.5,97.46,7901800
2025-01-22,97.45,98.01,96.93,97.2,7678900
2025-01-21,94.89,98.05,94.89,97.45,8803100
2025-01-17,95.06,95.34,94.59,94.62,8361900
2025-01-16,92.37,94.26,92.37,93.92,6548200
2025-01-15,93.59,93.96,92.45,92.58,4554700
2025-01-14,93.5,94.38,92.02,92.57,6406200
2025-01-13,91.77,93.08,90.89,93.01,6912100
2025-01-10,91.69,92.29,91.43,91.75,6550300
2025-01-08,92.47,92.51,91.51,92.1,6243700
2025-01-07,92.28,93.14,91.36,92.34,6638300
2025-01-06,91.54,93.99,91.44,92.63,8768100
2025-01-03,91.9,92.62,91.3,92.08,4964900
2025-01-02,91.06,92.16,90.92,91.67,8640900
2024-12-31,90.24,91.27,90.1,90.76,4220700
2024-12-30,90.8,90.83,89.36,90.09,8404500
2024-12-27,90.41,92.7,90.39,91.75,8200400
2024-12-26,88.89,91.55,88.89,91.36,7538700
2024-12-24,86.93,89.43,86.7,89.42,5422000
2024-12-23,87.03,87.41,85.83,86.97,11203700
2024-12-20,87.39,88.68,86.6,87.5,26477500
2024-12-19,89.75,91.09,88.19,88.28,14628400
2024-12-18,91.27,91.75,89.16,89.41,10886600
2024-12-17,92.51,93.43,91.55,91.59,8536100
2024-12-16,96.43,96.48,92.6,92.62,12395900
2024-12-13,96.81,97.55,96.42,96.89,5910900
2024-12-12,97.69,98.44,96.89,97.29,6375900
2024-12-11,97.97,98.85,97.45,97.89,8007300
2024-12-10,98.6,98.71,97.41,97.63,8192500
2024-12-09,99.53,100.03,97.99,98.77,7271600
