Date,Open,High,Low,Close,Volume
2025-03-19,53.01,54.03,52.46,53.79,1160671
2025-03-18,53.42,53.72,52.76,53.05,4412900
2025-03-17,53.34,53.69,52.06,53.44,6383000
2025-03-14,52.5,53.43,51.85,53.34,5452000
2025-03-13,53.72,53.89,51.32,51.9,7294200
2025-03-12,53.21,54.29,52.54,53.61,7173700
2025-03-11,52.14,53.47,51.37,51.99,6608000
2025-03-10,53.05,53.57,50.87,52.3,6520100
2025-03-07,54.11,54.84,52.09,54.74,6715300
2025-03-06,54.52,55.56,53.57,54.15,4604800
2025-03-05,55.99,56.54,54.45,55.84,5484900
2025-03-04,56.75,57.37,54.14,56.11,6001300
2025-03-03,60.01,61.19,56.91,58.02,5359900
2025-02-28,59.56,60.7,59.23,60.68,4406800
2025-02-27,60.15,60.65,58.89,59.26,2917200
2025-02-26,60.09,60.61,59.34,59.73,3157000
2025-02-25,60.78,60.87,58.66,59.51,3525800
2025-02-24,61.82,61.98,59.26,60.57,4546100
2025-02-21,64.2,64.35,61.02,61.41,3938600
2025-02-20,65.25,65.34,62.55,63.85,3465600
2025-02-19,64.75,65.84,63.4,65.59,5698600
2025-02-18,65.68,65.97,64.63,65.29,2854800
2025-02-14,63.94,65.42,63.91,65.21,2063300
2025-02-13,64.45,64.55,63.42,64.08,3654100
2025-02-12,64.91,65.11,63.31,64.0,5333700
2025-02-11,65.0,65.72,64.82,65.23,3430700
2025-02-10,68.05,68.05,64.61,65.52,5396300
2025-02-07,68.42,68.73,67.2,67.49,2725600
2025-02-06,68.59,68.7,67.73,68.21,3267700
2025-02-05,66.72,67.97,66.4,67.85,4546300
2025-02-04,68.71,69.29,65.56,65.92,7687800
2025-02-03,66.73,68.29,65.56,67.54,4245400
2025-01-31,69.56,70.03,68.39,68.73,3345600
2025-01-30,69.02,70.02,68.32,69.22,4336600
2025-01-29,66.56,68.8,66.31,68.52,5360400
2025-01-28,66.26,67.64,64.26,66.42,8151600
2025-01-27,69.75,70.33,68.61,69.61,4615900
2025-01-24,69.81,70.4,69.5,70.37,4049700
2025-01-23,70.34,70.67,69.8,70.18,3941100
2025-01-22,69.61,70.5,69.15,70.23,3314600
2025-01-21,69.03,69.64,68.68,69.22,2948400
2025-01-17,67.95,68.75,67.21,68.5,2351400
2025-01-16,67.75,68.33,66.99,67.56,2214400
2025-01-15,66.89,67.94,66.78,67.86,2874400
2025-01-14,65.44,65.92,64.98,65.82,1941200
2025-01-13,63.15,64.72,62.83,64.58,2712700
2025-01-10,64.65,64.65,63.16,63.54,2962500
2025-01-08,66.03,66.11,64.82,65.55,2729300
2025-01-07,67.33,67.98,65.62,66.34,2334100
2025-01-06,67.75,68.23,66.81,67.42,3181000
2025-01-03,65.58,66.57,64.99,66.54,1915400
2025-01-02,65.38,65.85,64.32,65.01,2354000
2024-12-31,64.96,65.29,64.52,64.76,1357900
2024-12-30,64.58,65.3,63.75,64.81,2093500
2024-12-27,65.97,66.58,65.2,65.68,1321600
2024-12-26,65.88,66.72,65.74,66.57,1622900
2024-12-24,65.44,66.47,65.26,66.38,809500
2024-12-23,64.56,65.53,64.4,65.22,2495800
2024-12-20,63.77,65.86,63.57,65.21,13298300
2024-12-19,66.53,67.7,63.45,64.04,4460800
2024-12-18,67.16,67.73,62.99,63.36,3689800
2024-12-17,67.86,68.08,66.65,66.95,3049900
2024-12-16,67.7,68.38,67.04,68.3,3240300
2024-12-13,68.34,68.54,67.46,67.81,2035700
2024-12-12,68.27,68.73,67.4,68.28,3223100
2024-12-11,67.12,68.38,66.36,68.28,4387000
2024-12-10,67.96,68.12,66.57,66.63,3756300
2024-12-09,68.2,69.13,67.58,67.68,4859800
2024-12-06,67.22,67.75,66.75,67.67,3423100
2024-12-05,66.42,67.08,66.19,66.68,3378300
2024-12-04,67.02,67.09,65.82,66.58,2089800
2024-12-03,68.35,68.75,66.64,66.9,3240700
2024-12-02,67.65,67.87,66.4,66.85,2512500
2024-11-29,67.79,68.44,67.18,67.28,1578300
2024-11-27,67.18,67.39,66.22,66.98,2692100
2024-11-26,66.15,67.07,65.85,67.02,2924100
2024-11-25,66.24,67.35,66.04,66.8,5898200
2024-11-22,64.8,66.01,64.8,65.75,3511500
2024-11-21,64.62,65.19,64.17,64.9,2881200
2024-11-20,63.57,64.75,63.57,64.17,2929800
2024-11-19,62.63,63.68,62.08,63.42,4105800
2024-11-18,64.52,65.13,63.7,63.82,3021900
2024-11-15,64.75,65.26,64.38,64.74,3571800
2024-11-14,64.76,65.49,64.09,64.65,3791800
2024-11-13,65.15,66.95,64.73,64.89,5324300
2024-11-12,65.12,65.91,64.66,64.88,5422500
