Date,Open,High,Low,Close,Volume
2025-03-12,14.5,14.5,14.5,12.23,13
2025-03-11,12.23,12.23,12.23,12.23,0
2025-03-10,12.23,12.23,12.23,12.23,0
2025-03-07,12.23,12.23,12.23,12.23,0
2025-03-06,12.23,12.23,12.23,12.23,0
2025-03-05,12.23,12.23,12.23,12.23,0
2025-03-04,12.23,12.23,12.23,12.23,0
2025-03-03,12.23,12.23,12.23,12.23,0
2025-02-28,12.23,12.23,12.23,12.23,0
2025-02-27,12.23,12.23,12.23,12.23,0
2025-02-26,12.23,12.23,12.23,12.23,0
2025-02-25,12.23,12.23,12.23,12.23,0
2025-02-24,12.23,12.23,12.23,12.23,0
2025-02-21,12.23,12.23,12.23,12.23,0
2025-02-20,12.23,12.23,12.23,12.23,0
2025-02-19,12.23,12.23,12.23,12.23,0
2025-02-18,12.23,12.23,12.23,12.23,0
2025-02-14,12.23,12.23,12.23,12.23,0
2025-02-13,12.23,12.23,12.23,12.23,0
2025-02-12,12.23,12.23,12.23,12.23,0
2025-02-11,12.23,12.23,12.23,12.23,0
2025-02-10,12.23,12.23,12.23,12.23,200
2025-02-07,12.0,12.0,12.0,12.0,0
2025-02-06,12.0,12.0,12.0,12.0,0
2025-02-05,12.0,12.0,12.0,12.0,0
2025-02-04,12.0,12.0,12.0,12.0,0
2025-02-03,12.0,12.0,12.0,12.0,0
2025-01-31,12.0,12.0,12.0,12.0,0
2025-01-30,12.0,12.0,12.0,12.0,0
2025-01-29,12.0,12.0,12.0,12.0,0
2025-01-28,12.75,12.75,12.0,12.0,500
2025-01-27,13.0,13.0,13.0,13.0,0
2025-01-24,13.0,13.0,13.0,13.0,0
2025-01-23,13.0,13.0,13.0,13.0,200
2025-01-22,13.0,13.0,13.0,13.0,0
2025-01-21,13.0,13.0,13.0,13.0,0
2025-01-17,13.0,13.0,13.0,13.0,100
2025-01-16,13.0,13.0,13.0,13.0,100
2025-01-15,13.0,13.2,13.0,13.2,200
2025-01-14,12.75,12.75,12.75,12.75,0
2025-01-13,12.75,12.75,12.75,12.75,0
2025-01-10,12.75,12.75,12.75,12.75,0
2025-01-08,12.75,12.75,12.75,12.75,500
2025-01-07,13.48,13.48,13.48,13.48,0
