Date,Open,High,Low,Close,Volume
2025-03-19,25.43,25.48,25.4,25.42,1475912
2025-03-18,25.4,25.44,25.38,25.4,864500
2025-03-17,25.39,25.42,25.38,25.39,889900
2025-03-14,25.35,25.44,25.34,25.44,1337600
2025-03-13,25.29,25.36,25.27,25.34,2359900
2025-03-12,25.3,25.3,25.26,25.28,1072700
2025-03-11,25.28,25.29,25.25,25.25,1303200
2025-03-10,25.27,25.33,25.25,25.25,1547100
2025-03-07,25.26,25.36,25.25,25.34,1957600
2025-03-06,25.25,25.29,25.25,25.25,816500
2025-03-05,25.26,25.32,25.24,25.31,1205500
2025-03-04,25.29,25.32,25.18,25.23,1886300
2025-03-03,25.37,25.38,25.3,25.3,2291400
2025-02-28,25.29,25.38,25.28,25.38,1094500
2025-02-27,25.32,25.33,25.28,25.29,586500
2025-02-26,25.29,25.32,25.27,25.29,533500
2025-02-25,25.3,25.32,25.25,25.3,1427200
2025-02-24,25.28,25.3,25.21,25.28,2993500
2025-02-21,25.34,25.34,25.26,25.26,1667500
2025-02-20,25.29,25.33,25.25,25.33,4186000
2025-02-19,25.29,25.31,25.25,25.29,1319900
2025-02-18,25.34,25.34,25.27,25.28,927000
2025-02-14,25.3,25.34,25.27,25.31,893700
2025-02-13,25.31,25.34,25.28,25.33,1498000
2025-02-12,25.25,25.37,25.25,25.33,1389000
2025-02-11,25.32,25.41,25.22,25.35,3206100
2025-02-10,25.16,25.41,25.16,25.37,2598400
2025-02-07,25.18,25.23,25.14,25.19,3124500
2025-02-06,25.13,25.22,25.11,25.18,2942900
2025-02-05,25.1,25.18,25.08,25.18,3857300
2025-02-04,25.13,25.14,25.06,25.11,11267700
2025-02-03,25.18,25.34,25.08,25.1,20855500
2025-01-31,19.06,19.21,18.5,18.74,677500
2025-01-30,19.13,19.63,18.96,19.0,814000
2025-01-29,18.97,19.3,18.82,18.92,314800
2025-01-28,19.05,19.62,18.9,18.99,469300
2025-01-27,18.8,19.2,18.55,18.9,520700
2025-01-24,19.04,19.14,18.83,18.89,334100
2025-01-23,19.12,19.2,18.91,19.1,479900
2025-01-22,19.0,19.2,18.81,19.06,573100
2025-01-21,19.42,19.46,18.96,19.0,880000
2025-01-17,19.14,19.14,18.82,19.05,1810800
2025-01-16,18.94,19.17,18.75,18.9,608900
2025-01-15,18.91,19.07,17.21,18.87,823100
2025-01-14,18.65,18.82,18.32,18.7,221300
2025-01-13,18.02,18.52,17.95,18.46,507800
2025-01-10,18.3,18.52,18.12,18.35,456000
2025-01-08,18.49,18.8,18.35,18.63,705900
2025-01-07,18.55,18.73,18.16,18.73,549700
2025-01-06,18.76,18.92,18.41,18.55,326700
2025-01-03,18.49,18.81,18.45,18.57,324800
2025-01-02,18.88,18.88,18.28,18.49,309900
2024-12-31,18.79,18.95,18.59,18.66,304900
2024-12-30,18.5,18.9,18.23,18.65,377400
2024-12-27,18.77,18.98,18.45,18.75,530500
2024-12-26,18.51,19.01,18.29,18.95,531300
2024-12-24,18.45,18.6,18.28,18.59,175200
2024-12-23,17.92,18.4,17.86,18.37,538800
2024-12-20,17.26,17.91,17.26,17.78,2730900
2024-12-19,17.62,17.79,17.28,17.57,544100
2024-12-18,18.58,18.58,17.13,17.3,801800
2024-12-17,18.81,18.82,18.41,18.57,501000
2024-12-16,18.52,18.95,18.35,18.93,603900
2024-12-13,18.53,18.66,18.22,18.42,380100
2024-12-12,18.85,19.01,18.57,18.61,317500
2024-12-11,19.03,19.11,18.75,18.94,368600
2024-12-10,18.93,19.18,18.76,18.89,597500
2024-12-09,19.29,19.29,18.66,18.91,548800
2024-12-06,18.92,19.11,18.59,19.0,459400
2024-12-05,19.2,19.24,18.71,18.81,513100
2024-12-04,18.89,19.44,18.88,19.32,718100
2024-12-03,19.21,19.25,18.92,18.95,528800
2024-12-02,19.39,19.47,18.97,19.04,1489500
2024-11-29,19.09,19.27,18.83,19.25,299700
2024-11-27,19.56,19.65,18.7,18.77,539000
2024-11-26,18.86,19.42,18.76,19.39,655400
2024-11-25,19.41,19.56,18.95,18.95,864400
2024-11-22,19.22,19.45,18.84,19.27,723400
2024-11-21,19.3,19.55,19.07,19.1,766400
2024-11-20,18.72,19.18,18.51,19.18,1128900
2024-11-19,18.61,19.09,18.51,18.76,532900
2024-11-18,18.21,18.55,18.03,18.5,626800
2024-11-15,18.0,18.1,17.66,17.98,515900
2024-11-14,18.57,18.7,17.72,17.86,1586700
2024-11-13,18.88,19.36,18.28,18.31,1401800
2024-11-12,18.53,19.71,18.11,18.71,2085100
2024-11-11,16.15,16.38,15.89,16.27,999700
2024-11-08,15.33,15.92,15.23,15.9,655400
2024-11-07,15.65,15.82,15.21,15.33,677500
2024-11-06,15.29,15.89,14.87,15.73,1002100
2024-11-05,14.18,14.34,13.85,14.21,640500
2024-11-04,14.38,14.68,14.05,14.15,944600
2024-11-01,14.05,14.23,13.65,13.73,857100
2024-10-31,14.54,14.6,13.83,13.84,483100
2024-10-30,14.73,14.96,14.55,14.57,510900
2024-10-29,14.77,14.85,14.56,14.77,417300
2024-10-28,14.76,15.05,14.72,14.9,479000
2024-10-25,14.55,14.59,14.36,14.59,699300
2024-10-24,14.62,14.88,14.29,14.38,724400
2024-10-23,15.05,15.19,14.67,14.71,713500
2024-10-22,14.98,15.2,14.7,15.07,1049600
2024-10-21,15.04,15.24,14.88,15.1,517600
2024-10-18,15.09,15.09,14.81,15.01,1114500
2024-10-17,15.51,15.52,14.99,14.99,812700
2024-10-16,15.17,15.44,15.01,15.42,510100
2024-10-15,14.85,15.1,14.46,15.0,1277000
2024-10-14,14.09,14.86,14.09,14.81,1959300
2024-10-11,14.26,15.4,14.2,15.0,3816600
2024-10-10,11.47,14.71,11.01,14.12,5568300
2024-10-09,11.53,11.91,11.31,11.65,1315900
2024-10-08,12.53,12.53,11.69,11.69,927800
2024-10-07,12.51,12.65,12.12,12.39,704000
2024-10-04,12.56,12.72,12.38,12.59,503000
2024-10-03,13.05,13.07,12.23,12.27,931200
2024-10-02,12.78,13.27,12.74,13.16,701900
2024-10-01,12.85,12.92,12.61,12.79,627300
2024-09-30,12.68,12.96,12.61,12.89,653000
2024-09-27,12.79,12.93,12.68,12.74,647700
2024-09-26,13.01,13.1,12.61,12.62,693700
2024-09-25,12.94,13.02,12.7,12.77,634900
2024-09-24,12.63,13.05,12.63,12.95,971400
2024-09-23,13.47,13.73,13.28,13.55,612500
2024-09-20,13.45,13.68,13.32,13.47,2530800
2024-09-19,13.6,13.61,13.35,13.53,678500
2024-09-18,13.13,13.61,13.03,13.17,825400
2024-09-17,12.97,13.26,12.91,13.17,775800
2024-09-16,13.51,13.55,12.82,12.85,973200
2024-09-13,13.57,13.84,13.26,13.46,506100
2024-09-12,13.21,13.65,13.17,13.58,611000
2024-09-11,12.85,13.22,12.66,13.17,770700
2024-09-10,13.21,13.21,12.52,12.82,846400
2024-09-09,13.0,13.32,12.9,13.15,796900
2024-09-06,13.32,13.38,12.87,12.96,565200
2024-09-05,13.29,13.57,13.22,13.27,676900
2024-09-04,13.53,13.73,13.28,13.32,641100
2024-09-03,13.78,13.82,13.36,13.56,883500
2024-08-30,13.9,14.11,13.76,13.93,514500
2024-08-29,13.91,14.14,13.73,13.86,782400
2024-08-28,13.7,13.96,13.69,13.79,1156300
2024-08-27,13.79,14.02,13.68,13.71,931500
2024-08-26,14.32,14.52,13.77,13.85,947700
2024-08-23,13.78,14.34,13.75,14.24,641400
2024-08-22,13.4,13.73,13.34,13.63,1214800
2024-08-21,13.18,13.43,13.1,13.37,1131200
2024-08-20,13.63,13.7,13.21,13.41,477200
2024-08-19,13.55,13.68,13.45,13.67,351400
2024-08-16,13.62,13.72,13.4,13.48,932100
2024-08-15,13.64,13.8,13.46,13.64,1664400
2024-08-14,13.17,13.32,13.04,13.25,1282200
2024-08-13,12.5,13.16,12.31,13.02,1361200
2024-08-12,13.08,13.32,12.88,12.99,1003200
2024-08-09,13.51,13.77,13.3,13.48,1389800
2024-08-08,12.93,13.8,12.91,13.56,1042300
2024-08-07,14.48,15.06,12.89,13.0,2287200
2024-08-06,15.09,15.67,14.88,15.35,1019000
2024-08-05,14.65,15.28,14.54,15.02,1505500
2024-08-02,15.76,15.88,15.22,15.53,838100
2024-08-01,16.38,16.6,15.98,16.4,763000
2024-07-31,16.4,16.76,16.3,16.39,705100
2024-07-30,16.34,16.42,16.06,16.26,729900
2024-07-29,16.76,16.81,16.16,16.18,753500
2024-07-26,16.77,16.91,16.57,16.67,950400
2024-07-25,16.66,16.86,16.37,16.38,595900
2024-07-24,16.89,17.19,16.51,16.56,576300
2024-07-23,16.96,17.31,16.96,17.0,700600
2024-07-22,16.68,17.09,16.45,17.04,360700
2024-07-19,16.46,16.68,16.25,16.52,1191500
2024-07-18,16.97,17.3,16.5,16.51,633200
2024-07-17,17.36,17.87,17.11,17.12,768300
2024-07-16,16.89,17.68,16.89,17.51,718000
2024-07-15,16.4,16.81,16.18,16.64,508600
2024-07-12,16.38,16.5,16.18,16.19,405600
2024-07-11,16.19,16.4,16.01,16.2,686300
2024-07-10,15.95,15.95,15.64,15.78,589300
2024-07-09,15.71,15.76,15.44,15.63,547600
2024-07-08,15.67,15.87,15.59,15.72,332200
2024-07-05,15.59,15.6,15.34,15.51,414500
2024-07-03,15.72,15.79,15.56,15.72,196300
2024-07-02,15.57,15.87,15.41,15.67,568100
2024-07-01,15.49,15.59,15.21,15.55,636800
2024-06-28,15.26,15.44,15.12,15.41,1300000
2024-06-27,15.27,15.29,15.07,15.16,436700
2024-06-26,15.28,15.45,14.9,15.18,679300
2024-06-25,15.29,15.55,15.14,15.38,603600
2024-06-24,15.21,15.7,15.08,15.37,773800
2024-06-21,14.15,15.17,14.13,15.1,4143900
2024-06-20,14.12,14.23,13.99,14.07,2710300
2024-06-18,14.31,14.36,14.15,14.25,784600
2024-06-17,13.79,14.3,13.79,14.3,1030200
2024-06-14,14.32,14.39,13.94,14.03,802000
2024-06-13,15.2,15.25,14.57,14.58,699300
2024-06-12,15.36,15.42,15.07,15.17,779700
2024-06-11,14.96,15.07,14.56,14.95,865700
2024-06-10,14.89,15.22,14.75,15.17,754000
2024-06-07,15.05,15.17,14.81,15.03,506000
2024-06-06,15.19,15.47,15.09,15.11,946400
2024-06-05,14.1,15.2,14.1,15.15,1264200
2024-06-04,14.37,14.42,14.0,14.06,616600
2024-06-03,14.04,14.54,14.04,14.46,744900
2024-05-31,14.0,14.12,13.86,14.11,534200
2024-05-30,14.12,14.13,13.87,13.94,1048700
2024-05-29,13.76,14.12,13.69,14.0,794700
2024-05-28,13.5,14.22,13.5,14.01,1421500
2024-05-24,13.0,13.99,12.93,13.98,1463300
2024-05-23,15.03,15.21,12.63,13.26,4348500
2024-05-22,14.82,15.09,14.82,15.0,762000
2024-05-21,15.03,15.24,14.86,14.91,674300
2024-05-20,14.7,15.28,14.64,15.05,765400
2024-05-17,14.83,14.99,14.56,14.66,676000
2024-05-16,14.63,14.82,14.53,14.79,742400
2024-05-15,14.8,14.8,14.41,14.63,639800
2024-05-14,14.88,14.98,14.68,14.68,631900
2024-05-13,14.52,14.71,14.41,14.64,713500
2024-05-10,14.34,14.48,14.14,14.32,673400
2024-05-09,14.1,14.48,14.1,14.29,458900
2024-05-08,14.13,14.26,13.99,14.08,410800
2024-05-07,14.36,14.49,14.02,14.21,459300
2024-05-06,13.94,14.6,13.89,14.37,668700
2024-05-03,13.75,13.88,13.61,13.82,718300
2024-05-02,13.46,13.7,13.31,13.4,622800
2024-05-01,13.35,13.75,13.16,13.24,523100
2024-04-30,13.87,13.9,13.34,13.36,632800
2024-04-29,13.72,14.02,13.65,14.0,434800
2024-04-26,13.36,13.7,13.3,13.66,403300
2024-04-25,13.31,13.44,12.91,13.42,513500
2024-04-24,13.29,13.55,13.19,13.46,589700
2024-04-23,13.04,13.58,13.04,13.32,568700
2024-04-22,12.98,13.09,12.81,12.99,571500
2024-04-19,12.83,13.01,12.68,12.82,701500
2024-04-18,13.0,13.35,12.93,12.94,688000
2024-04-17,13.68,13.68,12.99,13.01,636700
2024-04-16,13.61,13.76,13.3,13.59,508400
2024-04-15,14.25,14.3,13.48,13.66,592000
2024-04-12,13.69,13.8,13.48,13.58,471700
2024-04-11,13.73,13.92,13.64,13.76,459100
2024-04-10,13.8,14.07,13.52,13.72,779900
2024-04-09,14.27,14.36,13.84,14.14,432600
2024-04-08,14.52,14.6,14.18,14.19,323600
2024-04-05,14.29,14.55,14.24,14.41,535400
2024-04-04,14.58,14.82,14.3,14.31,514700
2024-04-03,14.28,14.63,14.28,14.47,356300
2024-04-02,14.51,14.55,14.24,14.38,452300
2024-04-01,15.05,15.08,14.62,14.65,400500
2024-03-28,15.29,15.47,14.95,15.04,735400
2024-03-27,14.41,14.6,14.28,14.51,522400
2024-03-26,14.52,14.52,14.16,14.22,521800
2024-03-25,14.35,14.83,14.35,14.45,446800
2024-03-22,14.77,14.77,14.2,14.2,409600
2024-03-21,14.58,14.73,14.48,14.59,546500
2024-03-20,13.45,14.38,13.45,14.36,1300400
2024-03-19,13.07,13.26,13.06,13.09,494400
2024-03-18,13.5,13.55,13.11,13.12,550000
2024-03-15,13.55,13.88,13.55,13.58,1434400
2024-03-14,13.8,13.88,13.5,13.62,869700
2024-03-13,13.74,13.97,13.7,13.88,464100
2024-03-12,13.83,13.91,13.63,13.72,759100
2024-03-11,14.45,14.45,13.77,14.0,1006400
2024-03-08,15.01,15.12,14.47,14.66,521700
2024-03-07,15.03,15.24,14.82,14.89,1688600
2024-03-06,14.25,14.92,14.06,14.91,741000
2024-03-05,14.17,14.41,14.09,14.13,537500
2024-03-04,14.25,14.37,14.0,14.19,577200
2024-03-01,13.9,14.56,13.66,14.2,832000
2024-02-29,14.14,14.29,13.81,13.9,1436100
2024-02-28,14.51,14.61,14.06,14.07,765400
2024-02-27,14.84,14.92,14.55,14.6,778300
2024-02-26,14.59,14.76,14.53,14.71,579400
2024-02-23,14.5,14.77,14.37,14.58,393200
2024-02-22,14.5,14.65,14.44,14.5,614400
2024-02-21,14.51,14.74,14.41,14.5,535400
2024-02-20,14.61,14.83,14.5,14.56,784200
2024-02-16,15.05,15.29,14.65,14.67,769500
2024-02-15,14.68,15.32,14.62,15.12,1134600
2024-02-14,14.98,15.01,14.36,14.49,971100
2024-02-13,14.51,14.7,14.35,14.67,1140900
2024-02-12,14.47,15.11,14.47,14.96,1209800
2024-02-09,15.11,15.2,14.45,14.75,1101700
2024-02-08,13.43,15.17,13.4,15.01,2088400
2024-02-07,14.63,14.95,13.2,13.64,4292000
2024-02-06,16.46,16.72,16.05,16.44,1293400
2024-02-05,16.23,16.78,16.02,16.41,1019900
2024-02-02,16.06,16.52,16.0,16.5,728000
2024-02-01,16.31,16.42,15.78,16.34,819000
2024-01-31,15.64,16.89,15.64,16.2,1900700
2024-01-30,15.83,15.94,15.51,15.65,722000
2024-01-29,15.87,15.95,15.5,15.95,528600
2024-01-26,15.69,15.98,15.62,15.83,517100
2024-01-25,15.81,16.05,15.39,15.65,975800
2024-01-24,15.84,15.84,15.3,15.39,558500
2024-01-23,15.7,15.89,15.41,15.57,513200
2024-01-22,15.58,15.7,15.43,15.63,570600
2024-01-19,15.37,15.55,15.11,15.5,1012600
2024-01-18,15.12,15.36,14.98,15.27,602900
2024-01-17,14.91,15.08,14.83,15.03,578100
2024-01-16,15.77,16.09,14.96,15.15,887600
2024-01-12,15.35,15.48,15.12,15.27,539600
2024-01-11,15.58,15.65,15.14,15.25,562400
2024-01-10,15.88,16.06,15.38,15.58,813500
2024-01-09,15.22,15.36,15.06,15.22,590200
2024-01-08,14.98,15.72,14.82,15.51,905100
2024-01-05,15.96,16.38,15.51,15.66,744800
2024-01-04,15.8,15.83,15.4,15.41,591400
2024-01-03,15.81,15.98,15.42,15.43,782300
2024-01-02,16.35,16.7,15.99,16.1,701700
2023-12-29,16.84,16.85,16.57,16.58,694700
2023-12-28,16.88,17.0,16.66,16.95,638800
2023-12-27,16.92,17.11,16.78,16.92,781600
2023-12-26,16.86,17.27,16.6,16.92,810800
2023-12-22,16.38,16.95,16.27,16.85,1729700
2023-12-21,13.82,16.46,13.82,16.31,5091400
2023-12-20,12.22,12.69,12.05,12.27,889000
2023-12-19,12.27,12.41,12.18,12.38,590000
2023-12-18,12.21,12.53,12.06,12.13,1139400
2023-12-15,11.98,12.16,11.73,12.02,5695300
2023-12-14,11.96,12.05,11.73,11.91,1304800
2023-12-13,11.7,11.88,11.39,11.8,930100
2023-12-12,11.64,11.78,11.51,11.73,824600
2023-12-11,11.33,11.67,11.23,11.58,679200
2023-12-08,11.33,11.67,11.33,11.51,635200
2023-12-07,11.55,11.57,11.19,11.35,759800
2023-12-06,11.49,11.63,11.38,11.53,612500
2023-12-05,11.6,11.66,11.29,11.41,863400
2023-12-04,11.37,11.83,11.3,11.67,997200
2023-12-01,11.02,11.47,10.81,11.44,820600
2023-11-30,10.85,11.41,10.72,11.19,1046900
2023-11-29,10.85,10.93,10.65,10.76,629700
2023-11-28,10.79,10.87,10.65,10.72,528900
2023-11-27,10.94,10.99,10.73,10.92,747600
2023-11-24,10.76,10.97,10.67,10.92,340900
2023-11-22,10.86,10.96,10.57,10.63,1027300
2023-11-21,10.74,10.92,10.71,10.84,372000
2023-11-20,10.76,10.96,10.71,10.83,463400
2023-11-17,10.71,10.79,10.59,10.77,792800
2023-11-16,10.67,10.7,10.45,10.64,564500
2023-11-15,10.89,11.03,10.62,10.65,1239400
2023-11-14,10.76,10.92,10.56,10.86,927000
2023-11-13,10.19,10.6,10.08,10.47,942400
2023-11-10,9.95,10.39,9.89,10.17,1327300
2023-11-09,9.68,10.25,9.68,9.92,1532400
2023-11-08,9.19,9.45,8.89,9.2,1365200
2023-11-07,8.93,9.43,8.66,8.86,1903500
