Date,Open,High,Low,Close,Volume
2025-03-13,17.91,19.01,17.91,19.01,57442
2025-03-12,17.64,18.53,17.31,18.09,56300
2025-03-11,16.51,17.47,15.66,17.35,80800
2025-03-10,18.0,18.6,16.5,16.5,76500
2025-03-07,19.13,20.26,18.01,18.31,78300
2025-03-06,17.61,19.38,17.37,19.19,57100
2025-03-05,17.66,18.39,17.02,18.05,49400
2025-03-04,18.51,18.88,16.08,17.5,159700
2025-03-03,22.0,22.63,17.68,18.28,230200
2025-02-28,19.06,20.3,19.06,20.1,78200
2025-02-27,20.2,20.49,19.31,19.32,43800
2025-02-26,21.0,21.01,19.57,20.0,40500
2025-02-25,20.21,21.01,19.59,20.15,82700
2025-02-24,22.12,22.28,20.13,20.22,67400
2025-02-21,24.25,24.86,22.12,22.12,118900
2025-02-20,25.65,25.65,23.0,24.01,79600
2025-02-19,24.55,25.8,23.08,25.72,172600
2025-02-18,23.0,25.0,22.54,25.0,92200
2025-02-14,23.8,23.8,21.51,23.01,101000
2025-02-13,19.43,23.89,19.43,23.85,183100
2025-02-12,19.0,19.58,19.0,19.17,44400
2025-02-11,20.0,20.7,19.24,19.3,74600
2025-02-10,21.08,21.45,20.02,20.02,60000
2025-02-07,23.53,23.63,20.75,20.83,50600
2025-02-06,22.46,23.89,22.18,23.44,98400
2025-02-05,22.6,23.33,22.09,22.26,29500
2025-02-04,20.58,22.57,20.58,22.57,33700
2025-02-03,21.5,22.4,20.38,20.59,48500
2025-01-31,23.85,23.99,22.04,22.26,58600
2025-01-30,26.65,26.65,23.8,24.01,79600
2025-01-29,25.47,26.7,24.81,26.31,94400
2025-01-28,24.0,26.8,23.57,25.61,117800
2025-01-27,22.81,24.31,22.51,24.29,62500
2025-01-24,24.14,24.2,22.01,23.43,76800
2025-01-23,19.44,25.49,19.03,24.13,232900
2025-01-22,19.65,20.16,19.4,19.72,60500
2025-01-21,21.2,22.07,19.51,19.61,60700
2025-01-17,21.31,21.35,20.63,20.97,36600
2025-01-16,21.29,22.0,20.74,21.42,71700
2025-01-15,20.9,21.5,20.2,21.19,49400
2025-01-14,19.64,21.19,19.36,20.03,93500
2025-01-13,19.16,19.8,18.56,19.02,64600
2025-01-10,21.3,21.3,19.28,19.85,96900
2025-01-08,23.08,23.46,20.55,22.0,175800
2025-01-07,22.39,27.69,21.6,23.37,476000
2025-01-06,20.75,21.33,20.04,20.35,69800
2025-01-03,21.75,22.35,20.61,20.61,80800
2025-01-02,19.38,21.62,19.38,21.62,92600
2024-12-31,18.66,19.66,18.4,19.09,89300
2024-12-30,19.8,20.59,18.35,18.99,111900
2024-12-27,21.19,21.5,19.88,20.05,59800
2024-12-26,21.45,21.91,21.2,21.4,27700
2024-12-24,21.56,21.9,20.7,21.89,56300
2024-12-23,20.59,21.72,20.46,21.72,88200
2024-12-20,19.97,21.9,19.12,20.61,127900
2024-12-19,20.18,20.92,19.01,20.08,85300
2024-12-18,21.88,22.37,19.6,19.6,117100
2024-12-17,22.35,22.69,21.45,21.69,74600
2024-12-16,22.01,22.67,21.34,22.5,69200
2024-12-13,21.06,22.32,20.57,21.97,73300
2024-12-12,23.2,23.94,20.66,21.43,138700
2024-12-11,25.07,25.39,23.2,23.21,151000
2024-12-10,27.01,27.09,24.25,24.99,76600
2024-12-09,27.88,29.16,26.79,27.05,62900
2024-12-06,26.0,30.64,26.0,27.77,105200
2024-12-05,27.9,29.11,25.51,26.19,142900
2024-12-04,26.95,29.4,26.41,28.4,174000
2024-12-03,27.35,28.79,25.8,26.79,138700
2024-12-02,27.08,30.55,26.99,27.58,138900
2024-11-29,30.28,30.37,26.16,26.91,91600
2024-11-27,25.53,30.45,25.53,29.7,150900
2024-11-26,26.17,27.35,25.06,25.43,74500
2024-11-25,26.56,28.75,25.56,26.17,117000
2024-11-22,24.69,26.77,24.09,26.15,91200
2024-11-21,24.0,24.99,22.53,24.76,132000
2024-11-20,25.91,26.71,23.07,23.36,93300
2024-11-19,24.93,26.7,24.51,26.2,77700
2024-11-18,26.5,26.67,24.5,24.87,67500
2024-11-15,28.07,29.35,26.34,26.5,152000
2024-11-14,33.0,33.9,29.38,29.44,191200
2024-11-13,37.24,37.24,30.68,31.54,287400
2024-11-12,33.7,36.08,33.09,33.38,166800
2024-11-11,31.09,34.99,30.85,33.63,172400
2024-11-08,29.05,32.52,28.35,30.84,200300
2024-11-07,24.5,29.98,24.5,28.44,230100
2024-11-06,26.35,26.53,24.31,24.8,106300
2024-11-05,27.05,28.19,26.42,26.46,91900
2024-11-04,28.81,29.36,27.27,27.63,141000
2024-11-01,31.75,32.76,28.72,28.78,106500
2024-10-31,33.84,34.38,31.61,31.77,98400
2024-10-30,33.75,34.84,33.75,34.28,109300
2024-10-29,38.0,44.5,33.06,34.41,474300
2024-10-28,31.46,35.8,31.46,35.29,172700
2024-10-25,30.0,32.59,29.95,31.06,112200
2024-10-24,32.0,33.83,30.4,30.88,50600
2024-10-23,33.58,34.24,31.68,31.81,59900
2024-10-22,34.2,35.08,32.8,33.58,84300
2024-10-21,37.33,37.6,34.3,34.9,85800
2024-10-18,39.22,39.75,36.11,37.45,115800
2024-10-17,40.8,41.4,39.18,39.46,123100
2024-10-16,40.52,41.42,38.18,41.0,122500
2024-10-15,43.8,44.84,40.26,40.28,134500
2024-10-14,42.04,45.07,40.75,43.58,227700
2024-10-11,37.41,42.07,35.68,42.07,189200
2024-10-10,38.24,39.59,36.11,37.49,131300
2024-10-09,34.93,40.79,34.93,38.66,228200
2024-10-08,39.47,41.01,32.85,35.6,365300
2024-10-07,47.78,48.6,39.35,39.95,341400
2024-10-04,52.27,55.19,48.12,48.48,156400
2024-10-03,56.21,58.0,52.3,52.3,181500
2024-10-02,60.97,62.41,58.0,58.0,158700
2024-10-01,67.86,69.0,61.24,61.25,117800
2024-09-30,67.59,69.98,66.0,67.32,95400
2024-09-27,68.36,70.16,63.0,65.62,115300
2024-09-26,68.95,71.97,67.06,68.36,155600
2024-09-25,68.28,70.41,67.36,69.09,148200
2024-09-24,65.99,72.87,65.99,68.28,166700
2024-09-23,65.86,70.05,63.46,67.5,240300
2024-09-20,59.1,66.45,57.99,66.25,275800
2024-09-19,66.58,70.94,58.53,58.75,286900
2024-09-18,64.75,73.69,60.01,66.1,540100
2024-09-17,58.02,66.43,51.47,64.79,947900
2024-09-16,73.0,76.13,58.88,64.31,1842900
2024-09-13,50.0,92.0,48.27,84.52,3923300
2024-09-12,29.7,59.02,29.5,46.46,1895300
2024-09-11,24.3,32.4,23.77,29.65,574900
2024-09-10,21.81,24.7,21.4,24.58,460400
2024-09-09,16.4,23.72,16.01,21.99,1144900
2024-09-06,14.07,14.35,13.83,14.25,25000
2024-09-05,14.75,14.75,13.75,14.15,60500
2024-09-04,13.8,14.74,13.35,14.74,47100
2024-09-03,13.79,13.94,13.24,13.93,17500
2024-08-30,12.88,13.95,12.57,13.95,39200
2024-08-29,12.65,12.71,12.1,12.55,21700
2024-08-28,12.9,12.97,12.58,12.65,12900
2024-08-27,13.07,13.16,12.75,12.87,23300
2024-08-26,13.74,13.74,12.97,13.23,28500
2024-08-23,12.4,13.73,12.4,13.55,67900
2024-08-22,12.0,12.65,11.55,12.5,37100
2024-08-21,11.66,12.0,11.35,12.0,44500
2024-08-20,10.82,11.62,10.44,11.62,27600
2024-08-19,10.3,11.0,10.06,10.99,50900
2024-08-16,10.31,10.54,9.9,10.06,13800
2024-08-15,11.05,11.05,10.11,10.22,10700
2024-08-14,11.2,11.2,10.44,10.46,20100
2024-08-13,10.63,10.86,9.85,10.35,39100
2024-08-12,11.05,11.05,10.5,10.58,7500
2024-08-09,11.3,11.53,10.66,10.8,44500
2024-08-08,10.82,11.71,10.55,11.71,46200
2024-08-07,11.4,11.43,10.79,10.89,5000
2024-08-06,11.59,12.36,11.25,11.4,11800
2024-08-05,11.36,11.45,10.55,11.32,22700
2024-08-02,12.96,12.96,11.51,11.84,43600
2024-08-01,12.74,13.2,11.5,12.45,112900
2024-07-31,12.35,12.35,12.05,12.18,3800
2024-07-30,12.48,12.55,12.1,12.35,3200
2024-07-29,12.66,12.67,12.05,12.17,20000
2024-07-26,12.68,12.7,12.5,12.53,4000
2024-07-25,12.7,12.7,12.67,12.67,2500
2024-07-24,12.8,12.8,12.77,12.79,1800
2024-07-23,12.45,12.75,12.4,12.62,6700
2024-07-22,12.66,12.8,12.43,12.8,2600
2024-07-19,12.31,12.65,12.3,12.65,4000
2024-07-18,12.93,12.93,12.36,12.62,9200
2024-07-17,13.04,13.25,12.61,13.0,38600
2024-07-16,13.53,13.65,12.6,13.23,26000
2024-07-15,13.0,13.95,13.0,13.51,93100
2024-07-12,12.14,13.24,12.0,12.72,461800
2024-07-11,9.82,10.01,9.7,9.7,6000
2024-07-10,10.16,10.16,10.01,10.01,5500
2024-07-09,10.15,10.15,10.01,10.01,900
2024-07-08,10.16,10.16,10.05,10.16,2900
2024-07-05,10.04,10.17,9.62,9.89,5600
2024-07-03,10.05,10.3,10.0,10.22,3200
2024-07-02,10.76,10.76,10.04,10.04,3200
2024-07-01,10.21,10.51,10.21,10.3,6400
2024-06-28,10.0,10.56,10.0,10.29,2700
2024-06-27,9.76,10.8,9.72,9.91,44100
2024-06-26,9.82,9.85,9.63,9.7,4800
2024-06-25,9.95,9.95,9.85,9.85,1400
2024-06-24,10.29,10.29,9.8,9.95,2000
2024-06-21,9.74,10.35,9.74,10.33,3500
2024-06-20,9.62,10.0,9.62,9.91,16700
2024-06-18,9.77,10.45,9.77,9.86,3100
2024-06-17,10.44,10.84,9.65,9.99,16100
2024-06-14,10.45,10.45,10.44,10.44,700
2024-06-13,10.81,10.81,10.25,10.5,3200
2024-06-12,11.29,11.29,10.11,10.76,6300
2024-06-11,10.34,11.1,10.34,10.84,12200
2024-06-10,10.55,10.83,10.42,10.47,6600
2024-06-07,10.62,10.78,10.55,10.7,4200
2024-06-06,10.75,10.81,10.62,10.67,1500
2024-06-05,10.73,11.02,10.66,10.66,2800
2024-06-04,10.65,11.15,10.62,10.66,6900
2024-06-03,10.63,11.42,10.63,11.0,3600
2024-05-31,11.02,11.02,10.58,10.69,4800
2024-05-30,10.75,11.31,10.75,11.04,3700
2024-05-29,10.93,10.93,10.6,10.6,8700
2024-05-28,10.81,11.09,10.71,10.96,14700
2024-05-24,11.25,11.47,10.8,11.03,13500
2024-05-23,11.49,11.49,11.18,11.24,2200
2024-05-22,11.45,11.59,11.22,11.22,4100
2024-05-21,11.04,11.63,11.04,11.17,1300
2024-05-20,11.35,11.44,11.22,11.44,1400
2024-05-17,11.79,11.88,11.5,11.5,1000
2024-05-16,12.0,12.0,11.61,11.8,6600
2024-05-15,11.99,12.5,11.99,12.1,5300
2024-05-14,11.33,11.88,11.3,11.88,11300
2024-05-13,11.77,11.88,11.28,11.8,7900
2024-05-10,10.91,11.81,10.85,11.58,54800
2024-05-09,11.6,11.8,11.06,11.23,32300
2024-05-08,11.6,11.6,11.26,11.26,2900
2024-05-07,11.53,11.73,10.9,11.25,13200
2024-05-06,11.6,11.72,11.3,11.54,4800
2024-05-03,11.33,11.73,10.77,11.3,12300
2024-05-02,10.8,11.22,10.76,11.22,3600
2024-05-01,10.9,10.93,10.53,10.72,6200
2024-04-30,10.49,10.93,10.49,10.82,6100
2024-04-29,10.27,10.63,10.25,10.48,15700
2024-04-26,10.45,10.74,10.45,10.6,6600
2024-04-25,10.26,10.43,10.15,10.4,21000
2024-04-24,10.6,10.71,10.45,10.71,5100
2024-04-23,10.77,10.78,10.75,10.75,2100
2024-04-22,10.6,10.78,10.41,10.71,6500
2024-04-19,10.35,10.77,10.35,10.64,9900
2024-04-18,10.34,10.55,10.34,10.41,7500
2024-04-17,10.48,10.65,10.36,10.59,12000
2024-04-16,10.29,10.37,10.17,10.33,12800
2024-04-15,10.78,10.9,10.2,10.44,26800
2024-04-12,10.96,10.96,10.57,10.9,15200
2024-04-11,10.94,11.23,10.76,11.06,7400
2024-04-10,10.95,10.96,10.79,10.92,10300
2024-04-09,10.97,10.97,10.85,10.91,3900
2024-04-08,11.04,11.04,10.77,10.88,7000
2024-04-05,11.16,11.16,10.81,11.16,9100
2024-04-04,11.1,11.18,10.8,10.85,6800
2024-04-03,10.32,11.02,10.32,11.02,13700
2024-04-02,10.36,10.71,10.2,10.5,11400
2024-04-01,10.62,10.74,10.4,10.56,10200
2024-03-28,11.11,11.2,10.66,10.8,13200
2024-03-27,11.01,11.1,10.95,11.1,8600
2024-03-26,11.31,11.31,11.01,11.01,2800
2024-03-25,11.5,11.5,10.82,11.16,21700
2024-03-22,11.75,11.76,11.04,11.59,42900
2024-03-21,12.01,12.18,11.77,11.77,10600
2024-03-20,12.0,12.22,11.92,12.21,4100
2024-03-19,12.39,12.42,12.11,12.11,5900
2024-03-18,12.3,12.52,12.09,12.1,14100
2024-03-15,12.4,12.54,12.06,12.41,7200
2024-03-14,12.43,12.63,12.32,12.47,6300
2024-03-13,12.05,12.98,12.05,12.59,27300
2024-03-12,11.7,12.36,11.52,12.05,30400
2024-03-11,11.6,11.94,11.53,11.7,11900
