Date,Open,High,Low,Close,Volume
2025-03-13,1.78,1.8,1.7,1.75,824804
2025-03-12,1.78,1.82,1.72,1.78,803200
2025-03-11,1.72,1.78,1.66,1.75,1286000
2025-03-10,1.79,1.84,1.71,1.74,1703000
2025-03-07,1.93,1.95,1.79,1.82,1495200
2025-03-06,1.85,2.02,1.81,1.91,3182500
2025-03-05,1.72,1.89,1.7,1.88,2622000
2025-03-04,1.65,1.73,1.61,1.68,1784200
2025-03-03,1.74,1.79,1.65,1.69,1345200
2025-02-28,1.67,1.79,1.62,1.71,1886200
2025-02-27,1.9,1.98,1.67,1.7,2194500
2025-02-26,1.85,1.92,1.84,1.86,876900
2025-02-25,1.97,1.97,1.73,1.85,2542900
2025-02-24,2.08,2.16,1.92,1.97,2698500
2025-02-21,2.19,2.23,1.92,1.96,3712900
2025-02-20,2.29,2.39,2.14,2.22,3553200
2025-02-19,2.25,2.55,2.2,2.37,10624500
2025-02-18,1.88,2.08,1.84,2.07,4284700
2025-02-14,1.84,1.88,1.83,1.88,1318600
2025-02-13,1.8,1.87,1.78,1.86,1734200
2025-02-12,1.75,1.88,1.71,1.76,2131400
2025-02-11,1.88,1.88,1.77,1.79,1600100
2025-02-10,1.84,1.89,1.81,1.86,2353400
2025-02-07,1.83,1.89,1.77,1.81,1986100
2025-02-06,1.81,1.87,1.76,1.82,2570700
2025-02-05,1.75,1.87,1.66,1.8,2457800
2025-02-04,1.81,1.94,1.71,1.73,5689700
2025-02-03,1.58,1.83,1.55,1.78,4313700
2025-01-31,1.66,1.72,1.61,1.63,1920700
2025-01-30,1.51,1.7,1.47,1.65,2384500
2025-01-29,1.57,1.58,1.44,1.48,1505000
2025-01-28,1.52,1.61,1.45,1.55,1775500
2025-01-27,1.53,1.54,1.42,1.45,1886200
2025-01-24,1.58,1.66,1.52,1.57,2686300
2025-01-23,1.57,1.59,1.41,1.57,2942900
2025-01-22,1.62,1.62,1.51,1.56,2217300
2025-01-21,1.63,1.71,1.33,1.62,8499600
2025-01-17,1.79,1.88,1.47,1.59,16346700
2025-01-16,1.3,1.6,1.29,1.57,11496000
2025-01-15,1.11,1.32,1.1,1.3,6703300
2025-01-14,1.07,1.09,1.02,1.05,978400
2025-01-13,1.13,1.15,1.04,1.07,1595200
2025-01-10,1.12,1.18,1.1,1.14,1568400
2025-01-08,1.17,1.18,1.06,1.09,1574000
2025-01-07,1.14,1.19,1.09,1.19,1177800
2025-01-06,1.25,1.27,1.05,1.14,4071600
2025-01-03,1.2,1.27,1.12,1.25,2020500
2025-01-02,1.14,1.2,1.11,1.2,1639400
2024-12-31,1.2,1.2,1.08,1.12,2091000
2024-12-30,1.11,1.21,1.03,1.2,4248600
2024-12-27,0.88,1.1,0.85,1.1,7663000
2024-12-26,0.88,0.89,0.84,0.88,1543100
2024-12-24,0.86,0.89,0.81,0.88,1164900
2024-12-23,0.74,0.91,0.74,0.85,2997200
2024-12-20,0.73,0.76,0.73,0.74,1115700
2024-12-19,0.77,0.79,0.72,0.73,1848900
2024-12-18,0.79,0.8,0.75,0.77,3772600
2024-12-17,0.8,0.81,0.79,0.8,998400
2024-12-16,0.8,0.82,0.79,0.81,1014400
2024-12-13,0.79,0.82,0.79,0.8,1406400
