Date,Open,High,Low,Close,Volume
2025-03-13,11.9,11.9,11.9,11.9,100
2025-03-12,11.86,11.86,11.86,11.86,0
2025-03-11,11.86,11.86,11.86,11.86,0
2025-03-10,11.86,11.86,11.86,11.86,0
2025-03-07,11.86,11.86,11.86,11.86,0
2025-03-06,11.86,11.86,11.86,11.86,0
2025-03-05,11.86,11.86,11.86,11.86,0
2025-03-04,11.86,11.86,11.86,11.86,0
2025-03-03,11.86,11.86,11.86,11.86,0
2025-02-28,11.86,11.86,11.86,11.86,0
2025-02-27,11.86,11.86,11.86,11.86,800
2025-02-26,11.86,11.86,11.86,11.86,0
2025-02-25,11.86,11.86,11.86,11.86,0
2025-02-24,11.86,11.86,11.86,11.86,0
2025-02-21,11.86,11.86,11.86,11.86,0
2025-02-20,11.86,11.86,11.86,11.86,0
2025-02-19,11.86,11.86,11.86,11.86,0
2025-02-18,11.86,11.86,11.86,11.86,0
2025-02-14,11.86,11.86,11.86,11.86,0
2025-02-13,11.86,11.86,11.86,11.86,0
2025-02-12,11.86,11.86,11.86,11.86,0
2025-02-11,11.86,11.86,11.86,11.86,0
2025-02-10,11.86,11.86,11.86,11.86,0
2025-02-07,11.86,11.86,11.86,11.86,0
2025-02-06,11.86,11.86,11.86,11.86,0
2025-02-05,11.86,11.86,11.86,11.86,0
2025-02-04,11.86,11.86,11.86,11.86,0
2025-02-03,11.86,11.86,11.86,11.86,0
2025-01-31,11.86,11.86,11.86,11.86,0
2025-01-30,11.86,11.86,11.86,11.86,0
2025-01-29,11.86,11.86,11.86,11.86,0
2025-01-28,11.86,11.86,11.86,11.86,0
2025-01-27,11.86,11.86,11.86,11.86,0
2025-01-24,11.86,11.86,11.86,11.86,0
2025-01-23,11.86,11.86,11.86,11.86,0
2025-01-22,11.86,11.86,11.86,11.86,200
2025-01-21,11.31,11.31,11.31,11.31,0
2025-01-17,11.31,11.31,11.31,11.31,0
2025-01-16,11.31,11.31,11.31,11.31,0
2025-01-15,11.31,11.31,11.31,11.31,0
2025-01-14,11.31,11.31,11.31,11.31,0
2025-01-13,11.31,11.31,11.31,11.31,0
2025-01-10,11.31,11.31,11.31,11.31,0
2025-01-08,11.31,11.31,11.31,11.31,0
2025-01-07,11.31,11.31,11.31,11.31,0
2025-01-06,12.0,12.0,11.31,11.31,400
2025-01-03,11.86,11.86,11.86,11.86,0
2025-01-02,11.86,11.86,11.86,11.86,0
2024-12-31,11.86,11.86,11.86,11.86,0
2024-12-30,11.86,11.86,11.86,11.86,0
2024-12-27,11.86,11.86,11.86,11.86,0
2024-12-26,11.86,11.86,11.86,11.86,0
2024-12-24,11.86,11.86,11.86,11.86,0
2024-12-23,11.86,11.86,11.86,11.86,0
2024-12-20,11.86,11.86,11.86,11.86,0
2024-12-19,11.99,11.99,11.86,11.86,500
2024-12-18,11.96,11.96,11.96,11.96,155700
2024-12-17,13.0,13.0,12.11,12.11,300
2024-12-16,12.1,12.1,12.1,12.1,100
2024-12-13,11.98,11.98,11.86,11.86,1200
2024-12-12,11.95,11.95,11.95,11.95,200
2024-12-11,11.95,11.95,11.95,11.95,68000
2024-12-10,11.92,11.92,11.92,11.92,0
2024-12-09,11.92,11.92,11.92,11.92,0
2024-12-06,11.91,11.92,11.91,11.92,300
2024-12-05,11.92,11.92,11.92,11.92,0
2024-12-04,11.96,11.96,11.92,11.92,300
2024-12-03,11.92,11.94,11.9,11.93,617500
