Date,Open,High,Low,Close,Volume
2025-03-19,85.95,86.52,85.62,86.35,9747805
2025-03-18,87.44,87.68,85.5,85.59,17845700
2025-03-17,85.13,87.99,84.98,87.46,26297800
2025-03-14,84.96,85.37,84.06,85.35,35500600
2025-03-13,84.94,85.45,83.87,84.5,31507800
2025-03-12,87.88,89.1,84.88,85.2,33301600
2025-03-11,87.29,89.35,87.14,87.44,28687600
2025-03-10,89.76,90.23,86.61,87.82,35148800
2025-03-07,93.94,93.95,90.76,91.72,35913200
2025-03-06,94.8,96.19,94.18,94.64,19957800
2025-03-05,94.97,96.39,94.75,95.98,17639000
2025-03-04,95.76,97.05,94.46,94.97,25227700
2025-03-03,97.98,99.49,96.83,97.59,18372200
2025-02-28,97.79,98.86,97.17,98.61,25451300
2025-02-27,95.9,98.04,95.81,96.79,16431500
2025-02-26,97.7,98.73,96.07,96.2,19069700
2025-02-25,94.35,97.91,94.24,97.69,29331200
2025-02-24,94.18,94.64,92.12,93.67,29755900
2025-02-21,96.53,96.85,94.12,94.78,35014800
2025-02-20,98.78,100.12,96.68,97.21,55450900
2025-02-19,103.85,104.2,102.55,104.0,18508000
2025-02-18,103.72,103.99,102.51,103.78,18247300
2025-02-14,105.3,105.3,103.6,104.04,14109500
2025-02-13,104.0,105.24,103.53,105.05,12604400
2025-02-12,102.12,103.9,102.04,103.61,15162100
2025-02-11,102.62,102.85,101.85,102.47,11953600
2025-02-10,101.95,102.93,101.25,102.92,15274600
2025-02-07,103.0,103.11,101.11,101.15,12451100
2025-02-06,102.53,103.02,101.94,102.85,13088500
2025-02-05,100.65,102.58,100.54,102.46,15926700
2025-02-04,99.97,100.95,99.69,100.77,15201200
2025-02-03,96.77,99.79,96.47,99.54,20484200
2025-01-31,99.0,99.0,97.7,98.16,16413900
2025-01-30,97.69,98.93,97.42,98.65,11012200
2025-01-29,97.43,98.17,97.22,97.5,11261400
2025-01-28,97.23,97.84,96.73,97.29,14641600
2025-01-27,95.9,97.46,94.82,97.4,18880600
2025-01-24,93.54,95.01,93.46,94.76,14973800
2025-01-23,92.96,93.81,92.32,93.81,14198400
2025-01-22,93.77,94.0,92.52,93.23,15567100
2025-01-21,92.48,94.24,92.31,93.08,23247500
