Date,Open,High,Low,Close,Volume
2025-03-13,2.76,2.77,2.58,2.65,225034
2025-03-12,2.69,2.83,2.68,2.74,298100
2025-03-11,2.65,2.67,2.52,2.6,395300
2025-03-10,3.04,3.08,2.65,2.68,391900
2025-03-07,3.09,3.16,2.97,3.13,445600
2025-03-06,3.25,3.34,3.07,3.09,352800
2025-03-05,3.25,3.33,3.18,3.31,305500
2025-03-04,3.24,3.35,3.12,3.25,353600
2025-03-03,3.62,3.63,3.31,3.33,338200
2025-02-28,3.5,3.58,3.37,3.58,217200
2025-02-27,3.66,3.69,3.52,3.52,293200
2025-02-26,3.76,3.82,3.63,3.66,252600
2025-02-25,3.85,3.89,3.66,3.66,408700
2025-02-24,3.91,3.96,3.76,3.82,297300
2025-02-21,4.12,4.14,3.9,3.91,328600
2025-02-20,4.26,4.31,4.0,4.07,258400
2025-02-19,4.23,4.34,4.16,4.29,225700
2025-02-18,4.18,4.33,4.11,4.23,254900
2025-02-14,4.25,4.35,4.2,4.23,275300
2025-02-13,4.13,4.21,4.01,4.19,271200
2025-02-12,4.1,4.14,4.01,4.06,327500
2025-02-11,4.1,4.55,4.1,4.12,727500
2025-02-10,4.2,4.37,4.08,4.1,318200
2025-02-07,4.26,4.34,4.05,4.17,241600
2025-02-06,4.01,4.4,4.0,4.26,430500
2025-02-05,4.01,4.03,3.91,4.01,214900
2025-02-04,4.03,4.1,3.89,4.0,371900
2025-02-03,4.05,4.14,3.99,4.01,347500
2025-01-31,4.05,4.62,4.05,4.24,569100
2025-01-30,4.17,4.21,4.0,4.05,167400
2025-01-29,4.15,4.28,3.93,4.11,365900
2025-01-28,4.08,4.12,3.87,3.97,345800
2025-01-27,4.22,4.28,3.97,4.08,465300
2025-01-24,4.41,4.56,4.3,4.31,285600
2025-01-23,4.36,4.5,4.3,4.49,211900
2025-01-22,4.48,4.55,4.32,4.46,280500
2025-01-21,4.53,4.61,4.34,4.47,277300
2025-01-17,4.5,4.51,4.31,4.45,336800
2025-01-16,4.46,4.54,4.27,4.39,292700
2025-01-15,4.43,4.5,4.3,4.44,198200
2025-01-14,4.21,4.42,4.14,4.18,263800
2025-01-13,4.36,4.36,4.08,4.14,419100
2025-01-10,4.54,4.62,4.35,4.49,438600
2025-01-08,4.86,4.88,4.44,4.53,789100
2025-01-07,5.12,5.4,4.95,4.99,1171000
2025-01-06,5.46,5.49,4.96,5.09,916100
2025-01-03,5.01,5.36,4.86,5.22,751600
2025-01-02,4.86,5.31,4.62,5.01,799100
2024-12-31,4.83,5.16,4.65,4.75,635500
2024-12-30,4.65,4.8,4.46,4.75,395300
2024-12-27,4.71,4.82,4.53,4.77,489100
2024-12-26,4.44,4.87,4.44,4.78,525000
2024-12-24,4.38,4.55,4.34,4.49,205800
2024-12-23,4.1,4.4,3.99,4.36,289700
2024-12-20,3.8,4.11,3.75,4.02,637100
2024-12-19,3.91,4.0,3.8,3.87,348400
2024-12-18,4.04,4.26,3.78,3.83,591800
2024-12-17,4.23,4.23,4.02,4.05,349800
2024-12-16,4.33,4.41,4.1,4.25,462900
2024-12-13,4.3,4.47,4.17,4.34,291600
2024-12-12,4.45,4.48,4.09,4.33,538900
2024-12-11,4.5,4.65,4.35,4.5,307200
2024-12-10,4.78,4.88,4.46,4.47,661800
2024-12-09,4.82,4.82,4.5,4.78,916500
2024-12-06,4.44,5.01,4.44,4.66,805800
2024-12-05,4.38,4.47,4.19,4.38,249100
2024-12-04,4.23,4.49,4.18,4.39,278400
2024-12-03,4.49,4.57,4.21,4.31,685600
2024-12-02,4.55,4.7,4.34,4.51,545600
2024-11-29,4.76,4.92,4.55,4.6,291000
2024-11-27,4.57,4.78,4.48,4.75,431700
2024-11-26,4.45,4.6,4.3,4.53,533100
2024-11-25,4.44,4.61,4.31,4.5,1381700
2024-11-22,3.95,4.29,3.76,4.25,700000
2024-11-21,3.44,3.85,3.4,3.77,321400
2024-11-20,3.6,3.66,3.32,3.45,452100
2024-11-19,3.69,3.74,3.57,3.66,308500
2024-11-18,3.75,3.81,3.66,3.68,289800
2024-11-15,3.77,3.79,3.65,3.73,222400
2024-11-14,3.85,3.89,3.7,3.77,311200
2024-11-13,4.09,4.12,3.85,3.85,280600
2024-11-12,4.12,4.24,3.95,4.07,443000
2024-11-11,4.43,4.43,4.01,4.16,559900
2024-11-08,4.28,4.41,4.14,4.32,447900
2024-11-07,4.35,4.57,4.03,4.3,567300
2024-11-06,4.32,4.42,4.05,4.31,644800
2024-11-05,3.82,4.16,3.82,4.05,334800
2024-11-04,3.91,4.03,3.81,3.85,202100
2024-11-01,3.76,4.15,3.76,3.94,363600
2024-10-31,4.0,4.01,3.6,3.68,353000
2024-10-30,4.15,4.25,3.95,4.0,281100
2024-10-29,4.46,4.5,4.11,4.21,237600
2024-10-28,4.14,4.58,4.03,4.48,406200
2024-10-25,4.08,4.24,4.03,4.05,135600
2024-10-24,4.24,4.45,4.06,4.09,231000
2024-10-23,4.06,4.33,3.95,4.14,311100
2024-10-22,3.87,4.16,3.78,4.12,249400
2024-10-21,4.15,4.15,3.83,3.91,237500
2024-10-18,3.68,4.18,3.66,4.16,425800
2024-10-17,3.69,3.7,3.52,3.63,194700
2024-10-16,3.55,3.64,3.52,3.62,232500
2024-10-15,3.44,3.51,3.32,3.49,139400
2024-10-14,3.49,3.52,3.26,3.45,130200
2024-10-11,3.44,3.55,3.35,3.47,162000
2024-10-10,3.47,3.47,3.3,3.46,118500
