Date,Open,High,Low,Close,Volume
2025-03-12,0.27,0.27,0.27,0.26,2500
2025-03-11,0.25,0.25,0.25,0.25,0
2025-03-10,0.25,0.25,0.25,0.25,0
2025-03-07,0.25,0.25,0.25,0.25,700
2025-03-06,0.24,0.24,0.24,0.24,0
2025-03-05,0.24,0.24,0.24,0.24,0
2025-03-04,0.24,0.24,0.24,0.24,1400
2025-03-03,0.17,0.17,0.17,0.17,0
2025-02-28,0.27,0.27,0.17,0.17,400
2025-02-27,0.19,0.19,0.19,0.19,600
2025-02-26,0.27,0.27,0.27,0.27,2500
2025-02-25,0.23,0.27,0.2,0.26,28200
2025-02-24,0.23,0.23,0.23,0.23,2500
2025-02-21,0.19,0.19,0.19,0.19,0
2025-02-20,0.23,0.23,0.17,0.19,10800
2025-02-19,0.21,0.24,0.17,0.17,33200
2025-02-18,0.23,0.23,0.1,0.1,2300
2025-02-14,0.21,0.21,0.21,0.21,0
2025-02-13,0.21,0.21,0.21,0.21,300
2025-02-12,0.17,0.17,0.17,0.17,0
2025-02-11,0.17,0.17,0.17,0.17,0
2025-02-10,0.17,0.17,0.17,0.17,700
2025-02-07,0.14,0.16,0.13,0.15,9000
2025-02-06,0.12,0.12,0.12,0.12,0
2025-02-05,0.12,0.12,0.12,0.12,6000
2025-02-04,0.1,0.11,0.1,0.1,3200
2025-02-03,0.1,0.1,0.1,0.1,0
2025-01-31,0.09,0.11,0.09,0.1,800
2025-01-30,0.11,0.11,0.11,0.11,0
2025-01-29,0.11,0.11,0.11,0.11,0
2025-01-28,0.13,0.14,0.11,0.11,20600
2025-01-27,0.09,0.09,0.09,0.09,0
2025-01-24,0.09,0.09,0.09,0.09,0
2025-01-23,0.09,0.09,0.09,0.09,0
2025-01-22,0.09,0.09,0.09,0.09,0
2025-01-21,0.09,0.09,0.09,0.09,5300
2025-01-17,0.1,0.1,0.1,0.1,0
2025-01-16,0.1,0.1,0.1,0.1,0
2025-01-15,0.1,0.1,0.1,0.1,200
2025-01-14,0.14,0.14,0.14,0.14,0
2025-01-13,0.14,0.14,0.14,0.14,0
2025-01-10,0.14,0.14,0.14,0.14,5000
2025-01-08,0.13,0.13,0.13,0.13,0
2025-01-07,0.13,0.13,0.13,0.13,0
2025-01-06,0.09,0.13,0.09,0.13,9600
2025-01-03,0.1,0.11,0.1,0.11,1200
2025-01-02,0.08,0.08,0.08,0.08,0
2024-12-31,0.09,0.09,0.07,0.08,5600
2024-12-30,0.11,0.11,0.11,0.11,5800
2024-12-27,0.11,0.11,0.11,0.11,300
2024-12-26,0.11,0.11,0.11,0.11,5300
2024-12-24,0.11,0.11,0.11,0.11,0
2024-12-23,0.11,0.11,0.11,0.11,5700
2024-12-20,0.11,0.12,0.11,0.12,600
2024-12-19,0.13,0.13,0.13,0.13,700
2024-12-18,0.12,0.12,0.12,0.12,0
2024-12-17,0.12,0.12,0.12,0.12,0
2024-12-16,0.11,0.12,0.11,0.12,4800
2024-12-13,0.11,0.11,0.11,0.11,0
2024-12-12,0.11,0.11,0.11,0.11,300
2024-12-11,0.12,0.12,0.12,0.12,100
2024-12-10,0.12,0.12,0.12,0.12,1300
2024-12-09,0.1,0.15,0.1,0.1,2200
2024-12-06,0.07,0.15,0.07,0.15,13900
2024-12-05,0.06,0.06,0.06,0.06,1000
2024-12-04,0.06,0.06,0.06,0.06,1000
2024-12-03,0.06,0.06,0.06,0.06,31500
2024-12-02,0.05,0.06,0.05,0.06,40100
2024-11-29,0.06,0.06,0.06,0.06,0
2024-11-27,0.04,0.06,0.04,0.06,11300
2024-11-26,0.04,0.06,0.04,0.04,12000
2024-11-25,0.04,0.06,0.04,0.06,6100
2024-11-22,0.06,0.07,0.04,0.05,72700
2024-11-21,0.07,0.1,0.03,0.07,75700
2024-11-20,0.08,0.08,0.08,0.08,0
2024-11-19,0.08,0.12,0.05,0.08,56900
