Date,Open,High,Low,Close,Volume
2025-03-13,21.19,21.23,20.98,21.22,31907
2025-03-12,21.3,21.8,21.07,21.34,77900
2025-03-11,20.93,21.82,20.85,20.98,131600
2025-03-10,21.98,22.09,20.85,21.03,189600
2025-03-07,22.17,22.6,21.89,22.32,96600
2025-03-06,23.07,23.08,22.2,22.4,157900
2025-03-05,22.94,23.35,22.76,23.21,61500
2025-03-04,23.05,23.27,22.65,22.95,173400
2025-03-03,23.92,23.95,23.35,23.48,103800
2025-02-28,23.58,23.92,23.53,23.84,82600
2025-02-27,24.3,24.3,23.54,23.64,150700
2025-02-26,24.3,24.45,23.92,24.08,104200
2025-02-25,24.32,24.38,23.73,24.0,96100
2025-02-24,24.79,24.8,24.11,24.19,115300
2025-02-21,25.28,25.38,24.54,24.59,72200
2025-02-20,25.42,25.42,25.1,25.28,69100
2025-02-19,25.2,25.45,25.01,25.31,79100
2025-02-18,25.36,25.36,25.01,25.21,79300
2025-02-14,25.25,25.25,25.01,25.2,54300
2025-02-13,25.1,25.38,25.01,25.15,69400
2025-02-12,25.15,25.42,25.02,25.23,65900
2025-02-11,25.31,25.54,25.14,25.42,65800
2025-02-10,25.27,25.52,25.0,25.38,77300
2025-02-07,25.42,25.45,25.0,25.24,92600
2025-02-06,25.08,25.4,24.87,25.31,125300
2025-02-05,24.56,24.85,24.4,24.85,63400
2025-02-04,24.45,24.66,24.38,24.57,115000
2025-02-03,24.5,24.6,24.02,24.39,90200
2025-01-31,25.09,25.12,24.69,24.87,60400
2025-01-30,24.35,25.04,24.15,24.83,163600
2025-01-29,23.97,24.04,23.75,23.99,109700
2025-01-28,23.61,23.86,23.59,23.78,174600
2025-01-27,24.8,24.83,23.55,23.56,278200
2025-01-24,25.27,25.37,25.18,25.25,127400
2025-01-23,24.69,25.2,24.67,25.12,126100
2025-01-22,24.64,24.94,24.41,24.81,132900
2025-01-21,23.98,24.52,23.76,24.37,75800
2025-01-17,24.19,24.5,23.91,23.99,55700
2025-01-16,24.01,24.21,23.74,23.86,72900
2025-01-15,23.54,24.49,23.54,23.94,58800
2025-01-14,23.21,23.53,23.17,23.36,69400
2025-01-13,23.19,23.36,22.86,23.2,79500
2025-01-10,23.41,23.61,23.08,23.24,103800
2025-01-08,23.52,23.83,23.36,23.52,120000
2025-01-07,24.29,24.42,23.47,23.57,110000
2025-01-06,24.14,24.54,24.08,24.2,109800
2025-01-03,24.13,24.19,23.84,23.97,76900
2025-01-02,24.58,24.68,23.75,23.86,99900
2024-12-31,24.69,24.69,24.2,24.36,73100
2024-12-30,24.66,24.69,23.95,24.64,179000
2024-12-27,24.76,24.94,24.4,24.77,82500
2024-12-26,24.69,24.92,24.27,24.78,73500
2024-12-24,24.23,24.99,24.2,24.81,87500
2024-12-23,23.7,24.12,23.32,24.01,84900
2024-12-20,23.46,23.65,22.98,23.42,73700
2024-12-19,23.73,24.18,23.35,23.35,85500
2024-12-18,24.0,24.22,23.36,23.53,117500
2024-12-17,24.58,24.68,23.87,23.98,63100
2024-12-16,24.18,24.67,24.02,24.48,95100
2024-12-13,24.01,24.19,23.85,24.11,80200
2024-12-12,24.09,24.3,23.86,23.95,95700
2024-12-11,24.44,24.51,24.08,24.22,83300
2024-12-10,24.69,24.82,24.23,24.31,84100
2024-12-09,25.04,25.15,24.69,24.74,87600
2024-12-06,24.98,25.18,24.85,24.99,89000
2024-12-05,24.68,25.01,24.41,24.93,117400
2024-12-04,24.52,24.54,24.34,24.51,88600
2024-12-03,24.32,24.54,24.21,24.32,86300
2024-12-02,24.22,24.47,23.96,24.34,101900
2024-11-29,23.86,24.3,23.79,24.12,66500
2024-11-27,23.9,23.99,23.51,23.86,155200
2024-11-26,23.49,23.65,23.32,23.64,89800
2024-11-25,23.4,23.48,23.11,23.4,88700
2024-11-22,22.91,23.2,22.87,23.15,102700
2024-11-21,22.58,23.07,22.43,22.91,75200
2024-11-20,22.5,22.56,22.29,22.45,35500
2024-11-19,22.13,22.57,22.05,22.42,71300
2024-11-18,22.07,22.24,21.89,22.17,57500
2024-11-15,22.31,22.31,21.78,22.07,85200
2024-11-14,22.47,22.64,22.09,22.31,55700
2024-11-13,22.63,22.91,22.2,22.39,92300
2024-11-12,23.05,23.28,22.53,22.63,75200
2024-11-11,23.26,23.26,22.77,22.99,73900
2024-11-08,22.63,23.35,22.45,23.12,132200
2024-11-07,22.44,22.63,22.44,22.56,85900
2024-11-06,22.42,22.65,22.21,22.25,133300
2024-11-05,21.56,22.05,21.56,21.99,56400
2024-11-04,21.68,21.79,21.46,21.52,41800
2024-11-01,21.79,21.95,21.61,21.64,53200
2024-10-31,21.96,22.18,21.63,21.78,47000
2024-10-30,21.82,22.19,21.82,22.09,121400
2024-10-29,21.76,21.86,21.73,21.86,93700
2024-10-28,21.76,21.81,21.67,21.74,45500
2024-10-25,21.57,21.85,21.43,21.6,80100
2024-10-24,21.89,22.05,21.42,21.42,92000
2024-10-23,21.92,21.97,21.59,21.71,92200
