Date,Open,High,Low,Close,Volume
2025-03-19,84.43,84.84,82.35,84.47,5525010
2025-03-18,83.51,84.84,83.23,83.99,9526400
2025-03-17,83.88,85.74,83.77,85.09,6639600
2025-03-14,82.0,84.25,81.8,83.51,8580100
2025-03-13,79.65,80.76,78.47,80.14,6973800
2025-03-12,82.44,83.0,79.34,80.25,11498000
2025-03-11,77.81,81.14,76.71,79.13,11291100
2025-03-10,80.0,80.58,76.0,77.56,15811700
2025-03-07,85.81,86.43,80.21,83.36,12894400
2025-03-06,83.64,86.53,83.3,84.34,9461900
2025-03-05,87.19,88.39,85.37,87.82,10270900
2025-03-04,82.72,86.95,81.45,85.52,17937700
2025-03-03,93.07,93.07,84.85,86.01,14681200
2025-02-28,90.97,93.18,90.35,93.05,12439400
2025-02-27,97.93,98.09,91.39,91.57,11570000
2025-02-26,95.75,97.74,94.53,96.38,11252900
2025-02-25,90.06,93.6,89.35,92.88,17287300
2025-02-24,94.05,98.11,91.65,92.69,23489800
2025-02-21,104.18,104.6,98.17,98.3,13999600
2025-02-20,104.7,104.91,99.82,103.4,11659600
2025-02-19,104.5,105.87,101.62,103.92,24011900
2025-02-18,109.1,112.12,108.25,111.06,20867700
2025-02-14,109.05,109.05,106.32,106.87,12230800
2025-02-13,109.72,111.47,108.65,109.75,9614200
2025-02-12,111.84,114.04,108.9,109.64,13595100
2025-02-11,117.9,119.29,115.67,116.84,5748800
2025-02-10,120.0,121.01,118.67,120.23,5122500
2025-02-07,116.85,120.32,116.51,118.47,8744100
2025-02-06,116.88,117.22,113.97,115.27,5434100
2025-02-05,114.72,115.89,112.93,115.49,6427400
2025-02-04,113.0,113.1,109.04,112.32,6112800
2025-02-03,109.67,113.7,108.8,111.5,10210900
2025-01-31,115.4,118.34,113.31,115.23,10358900
2025-01-30,114.77,116.99,112.35,113.86,12583800
2025-01-29,107.38,110.45,106.62,107.84,13131700
2025-01-28,105.02,106.7,99.68,106.54,20683600
2025-01-27,109.62,112.27,97.68,100.3,33282600
2025-01-24,133.31,133.57,128.4,129.17,7969100
2025-01-23,128.34,129.26,126.72,129.12,5866800
2025-01-22,126.18,131.18,125.2,129.82,9751400
2025-01-21,121.56,121.92,119.5,121.5,6366600
2025-01-17,119.9,120.98,118.69,119.95,5812900
2025-01-16,117.32,119.89,116.38,118.13,6224700
2025-01-15,116.47,117.25,115.07,116.1,7187900
2025-01-14,114.61,115.2,112.78,114.91,6419500
2025-01-13,110.11,113.06,109.09,112.64,5380300
2025-01-10,115.25,116.08,112.65,114.34,5374900
2025-01-08,115.15,116.27,113.45,115.51,5374300
2025-01-07,119.69,120.28,114.62,115.29,6768700
2025-01-06,117.7,119.53,117.17,118.98,10098200
2025-01-03,112.48,115.48,112.2,115.2,5051100
2025-01-02,111.32,114.15,109.8,111.79,4687300
2024-12-31,111.45,111.84,109.88,110.53,3422200
2024-12-30,110.69,112.11,109.57,111.45,3527800
2024-12-27,113.67,114.1,111.65,113.03,3178100
2024-12-26,114.0,115.07,113.66,114.86,3082200
2024-12-24,113.0,114.77,112.85,114.65,2044600
2024-12-23,112.81,113.69,111.51,113.09,3854300
2024-12-20,107.82,114.4,107.0,112.81,10434400
2024-12-19,110.31,112.12,108.13,109.07,6365100
2024-12-18,113.28,114.4,107.68,108.07,6427300
2024-12-17,114.99,115.43,112.02,112.95,7868400
2024-12-16,113.38,116.94,113.19,116.53,10455700
2024-12-13,111.37,112.77,109.88,112.37,9338600
2024-12-12,106.2,108.15,105.48,106.88,4411800
2024-12-11,105.43,108.2,104.74,107.23,4790500
2024-12-10,105.92,107.74,104.19,104.78,4595200
2024-12-09,108.5,109.0,103.66,105.92,6800700
2024-12-06,106.83,110.74,105.1,108.25,10017900
2024-12-05,103.41,108.14,102.44,106.83,6967000
2024-12-04,106.01,108.97,104.01,105.43,5845900
2024-12-03,101.99,104.05,101.6,103.61,7181200
2024-12-02,101.46,104.18,101.46,102.53,5328000
2024-11-29,101.75,102.25,100.95,101.46,5131600
2024-11-27,101.63,101.73,98.54,100.57,6823600
2024-11-26,100.87,103.47,100.62,102.08,8479200
2024-11-25,102.54,103.19,98.88,99.93,9612000
2024-11-22,101.25,101.95,99.93,101.62,7649600
2024-11-21,98.0,101.33,97.76,101.24,13185600
2024-11-20,95.0,95.66,93.75,95.43,7866400
2024-11-19,92.68,95.06,92.1,94.43,12958800
2024-11-18,94.97,94.97,92.32,92.62,10448400
2024-11-15,95.97,95.97,93.06,93.6,12047200
2024-11-14,98.25,98.84,96.12,96.49,11496800
2024-11-13,99.31,100.94,98.04,98.79,12063600
2024-11-12,99.78,100.49,98.43,98.89,12885600
2024-11-11,101.33,102.07,97.56,99.33,11624800
2024-11-08,101.61,104.48,99.38,100.11,25313600
2024-11-07,106.75,107.99,106.16,107.75,13025200
2024-11-06,105.0,106.0,103.29,105.78,7345600
2024-11-05,99.39,101.34,99.24,101.28,4590400
2024-11-04,99.51,100.15,98.29,98.72,4616400
2024-11-01,96.83,99.22,96.17,98.54,5255600
2024-10-31,97.62,97.72,95.47,96.61,9374000
2024-10-30,100.11,100.32,98.48,99.0,4227200
2024-10-29,98.32,101.07,98.26,100.39,4650400
2024-10-28,99.96,100.12,97.69,98.1,4125600
2024-10-25,99.97,100.19,98.35,98.52,4672400
2024-10-24,99.13,99.6,98.57,98.93,4452800
2024-10-23,98.83,100.35,97.88,98.51,4680400
2024-10-22,99.5,100.57,98.28,99.14,9460000
2024-10-21,100.81,102.07,100.38,101.5,6289600
2024-10-18,102.09,102.09,99.89,100.5,6157600
