Date,Open,High,Low,Close,Volume
2025-03-19,46.74,47.63,46.62,47.57,2689080
2025-03-18,46.38,46.97,45.74,46.39,1657300
2025-03-17,44.77,46.77,44.77,46.72,1806000
2025-03-14,44.31,45.24,43.95,45.1,1463000
2025-03-13,45.03,45.57,43.16,43.82,1966400
2025-03-12,46.86,47.17,44.5,44.87,2195900
2025-03-11,50.22,50.67,46.54,46.78,1982600
2025-03-10,49.06,51.27,48.63,50.56,2927100
2025-03-07,49.32,49.41,47.66,49.24,1840600
2025-03-06,47.38,49.47,47.19,48.79,2252200
2025-03-05,47.58,48.21,46.99,48.0,1555900
2025-03-04,47.49,48.22,46.29,47.33,2204600
2025-03-03,49.71,51.31,47.99,48.54,1737100
2025-02-28,49.82,50.72,48.61,49.59,2042000
2025-02-27,50.35,50.77,49.71,49.92,894000
2025-02-26,51.71,52.24,50.58,50.76,1092300
2025-02-25,50.57,52.35,50.57,51.17,1652400
2025-02-24,51.47,51.89,49.96,50.57,1629900
2025-02-21,52.26,52.26,50.44,50.84,1278200
2025-02-20,51.29,52.0,50.9,51.51,936900
2025-02-19,51.93,51.99,50.91,51.48,1225300
2025-02-18,53.59,53.97,51.44,52.69,1310000
2025-02-14,54.09,54.46,53.42,53.56,888400
2025-02-13,53.0,54.2,52.78,53.62,901400
2025-02-12,52.46,52.89,51.13,52.63,1065600
2025-02-11,52.33,54.79,52.21,53.06,1833300
2025-02-10,50.85,53.02,50.45,52.86,2238300
2025-02-07,51.64,52.69,50.14,50.46,1164600
2025-02-06,52.27,52.85,51.78,51.9,963800
2025-02-05,51.36,52.03,51.0,51.98,900500
2025-02-04,50.91,51.92,50.65,51.21,1064900
2025-02-03,50.84,51.29,49.53,50.93,1818900
2025-01-31,54.33,54.8,51.9,52.31,1846900
2025-01-30,54.1,55.16,54.1,54.68,934600
2025-01-29,55.12,55.5,53.79,53.97,1319900
2025-01-28,55.73,56.32,54.88,55.22,945800
2025-01-27,56.21,57.16,55.07,55.82,1182600
2025-01-24,55.25,57.04,55.25,56.34,1160900
2025-01-23,54.54,56.15,54.54,55.46,1213000
2025-01-22,55.32,55.85,54.38,54.74,1162200
2025-01-21,53.37,55.81,53.13,55.56,1840500
2025-01-17,53.04,53.71,52.41,52.58,1196200
2025-01-16,52.26,52.59,51.65,52.46,1868500
2025-01-15,53.84,53.86,51.51,52.36,2110200
2025-01-14,55.76,56.1,52.08,52.39,2091900
2025-01-13,57.21,57.35,55.16,55.48,1917600
2025-01-10,58.06,59.12,57.65,57.7,1575300
2025-01-08,56.81,59.25,56.81,58.86,1822000
2025-01-07,57.3,58.73,57.01,57.57,1695100
2025-01-06,57.14,57.88,55.96,56.6,1716400
2025-01-03,56.94,57.57,56.03,56.86,1132000
2025-01-02,58.35,58.83,56.33,56.54,1670600
2024-12-31,58.47,58.85,57.47,57.53,1025900
2024-12-30,58.99,59.14,57.14,57.92,1942700
2024-12-27,60.88,61.08,59.91,60.05,1206200
2024-12-26,58.57,61.25,58.49,61.17,1983300
2024-12-24,57.48,58.28,56.87,58.2,915800
2024-12-23,55.64,57.26,55.38,57.2,1163100
2024-12-20,55.02,56.8,54.8,55.64,3131700
2024-12-19,56.56,57.21,54.75,55.59,1847200
2024-12-18,56.85,58.63,55.92,55.95,3121900
2024-12-17,54.8,56.32,53.42,55.9,2386100
2024-12-16,54.16,55.88,53.71,54.87,1639300
2024-12-13,52.99,54.55,52.9,54.2,1548000
2024-12-12,54.07,54.67,53.06,53.2,2294700
2024-12-11,52.38,56.04,51.92,54.41,2876700
2024-12-10,50.4,53.04,49.45,52.48,4172600
2024-12-09,51.05,51.64,49.65,50.31,3637000
2024-12-06,50.19,51.55,49.72,50.3,1982700
2024-12-05,52.11,52.11,49.01,49.2,1712400
2024-12-04,49.45,50.25,48.86,49.35,1443500
2024-12-03,50.78,50.84,49.55,49.86,1282100
2024-12-02,49.4,50.93,48.28,50.46,1939800
2024-11-29,49.42,49.61,48.67,49.15,875800
2024-11-27,48.71,49.16,47.8,48.75,1159800
2024-11-26,49.11,49.76,47.72,47.92,1943100
2024-11-25,47.74,50.5,47.53,49.34,2098100
2024-11-22,46.02,47.16,46.02,46.55,1520300
2024-11-21,45.24,45.76,44.69,45.7,1575800
2024-11-20,45.11,46.34,44.7,45.17,2018400
2024-11-19,45.17,46.26,44.64,45.94,2426400
2024-11-18,47.69,47.93,46.2,46.51,2060900
2024-11-15,49.4,49.88,47.66,47.71,1074000
2024-11-14,49.26,50.06,48.7,49.19,945100
2024-11-13,50.05,50.6,49.3,49.34,936200
2024-11-12,50.43,51.17,49.82,49.9,1157100
2024-11-11,51.64,51.64,50.24,50.63,1851600
2024-11-08,51.76,52.34,51.16,51.28,1235400
2024-11-07,51.43,52.99,51.15,51.92,1417600
2024-11-06,55.38,55.62,49.72,51.13,3023000
2024-11-05,52.48,53.37,52.24,53.2,1284800
2024-11-04,50.52,52.8,50.45,52.59,1178100
2024-11-01,50.88,51.4,50.26,50.57,909500
2024-10-31,50.91,51.66,50.35,50.76,1292900
2024-10-30,51.8,52.56,51.16,51.21,797000
2024-10-29,51.57,52.57,50.78,52.06,916000
2024-10-28,52.51,53.18,51.91,52.24,799900
2024-10-25,53.51,53.95,52.03,52.45,769900
2024-10-24,53.17,53.96,52.85,53.43,738700
2024-10-23,53.59,53.75,52.7,53.17,659100
2024-10-22,54.42,54.82,53.61,54.1,811400
2024-10-21,56.0,56.04,54.14,54.59,920700
2024-10-18,55.71,56.29,55.04,55.98,702700
2024-10-17,55.78,55.78,54.86,55.27,910200
2024-10-16,55.21,55.88,54.67,55.64,1119600
2024-10-15,53.07,55.32,53.07,54.79,1565300
2024-10-14,54.16,54.25,52.98,53.52,1359000
2024-10-11,53.1,54.61,53.05,54.28,1059600
2024-10-10,54.56,54.72,52.93,53.02,1177600
2024-10-09,54.69,54.94,54.1,54.49,1013800
2024-10-08,54.89,55.43,54.61,54.89,798600
2024-10-07,56.59,56.73,53.73,54.7,1536400
2024-10-04,55.89,57.11,55.73,57.02,1413100
2024-10-03,54.36,55.05,53.58,54.8,1249300
2024-10-02,56.07,56.07,55.04,55.45,1060400
2024-10-01,57.9,58.21,56.15,56.19,1265300
2024-09-30,58.8,59.62,57.82,58.25,1461500
2024-09-27,59.89,60.18,59.02,59.07,991700
2024-09-26,60.04,60.66,58.98,59.4,766500
2024-09-25,61.31,61.35,58.97,59.09,1072900
2024-09-24,60.74,61.57,60.58,61.08,858300
2024-09-23,60.76,60.8,59.36,60.74,975700
2024-09-20,61.14,61.68,60.14,60.22,3370200
2024-09-19,63.87,63.92,61.36,61.71,1638200
2024-09-18,61.25,64.38,60.8,62.52,1816200
2024-09-17,59.78,61.0,59.09,60.82,1377500
2024-09-16,58.76,60.13,58.58,59.25,1633000
2024-09-13,56.56,59.01,56.38,58.79,1785300
2024-09-12,54.94,56.24,54.7,55.69,1229200
2024-09-11,55.38,55.55,53.32,54.51,2326000
2024-09-10,53.48,56.22,50.58,55.17,4946600
2024-09-09,52.84,53.85,51.91,52.44,2839500
2024-09-06,53.59,54.44,53.15,53.38,1687200
2024-09-05,53.6,54.21,53.21,53.61,1088300
2024-09-04,53.72,54.18,52.75,53.63,1364400
2024-09-03,55.17,55.43,54.11,54.56,1278400
2024-08-30,55.39,55.53,54.2,55.27,1360500
2024-08-29,55.23,55.61,54.41,55.08,757100
2024-08-28,54.8,55.07,53.82,54.58,918000
2024-08-27,54.77,55.75,54.13,55.68,831000
2024-08-26,54.11,55.07,53.51,55.03,1146600
2024-08-23,54.94,55.07,54.09,54.29,1783400
2024-08-22,55.91,55.91,54.41,54.55,901700
2024-08-21,55.44,56.18,55.21,56.16,809800
2024-08-20,54.98,55.34,54.59,54.72,748900
2024-08-19,54.44,55.91,54.18,55.21,1243700
2024-08-16,52.84,54.99,52.63,54.44,1550900
2024-08-15,52.37,53.75,52.13,53.09,1388400
2024-08-14,51.64,51.64,50.26,50.48,939200
2024-08-13,49.35,50.9,48.78,50.72,1754900
2024-08-12,49.55,50.57,49.26,49.43,1089200
2024-08-09,49.38,50.43,49.11,49.7,1167200
2024-08-08,48.44,49.42,48.42,49.36,1302000
2024-08-07,48.99,49.59,47.43,47.6,1321200
2024-08-06,48.85,49.38,47.94,48.53,1282600
2024-08-05,45.83,48.87,45.3,48.61,2585300
2024-08-02,49.64,50.32,48.56,48.96,1801600
2024-08-01,53.69,54.1,51.06,51.21,1546000
2024-07-31,53.35,55.57,53.08,53.87,1186100
2024-07-30,54.13,54.67,52.88,53.1,909100
2024-07-29,53.35,54.12,53.03,54.04,1086500
2024-07-26,53.44,54.41,52.92,53.09,1657800
2024-07-25,54.38,54.75,53.18,53.23,1605900
2024-07-24,54.56,55.27,53.14,54.18,1726500
2024-07-23,54.33,55.11,54.0,54.89,1057400
2024-07-22,54.3,54.67,52.75,54.64,1184800
2024-07-19,55.36,55.49,53.26,53.5,1539900
2024-07-18,57.1,58.75,55.64,55.68,1882800
2024-07-17,55.32,57.32,55.26,57.19,1478200
2024-07-16,53.41,57.13,53.12,56.81,2229200
2024-07-15,52.58,53.63,51.97,52.86,1299700
2024-07-12,54.21,54.22,52.86,52.93,1669700
2024-07-11,52.32,54.1,51.84,53.96,1570700
2024-07-10,51.96,52.81,51.34,51.9,1077200
2024-07-09,52.94,53.12,51.61,51.66,1333300
2024-07-08,52.11,53.51,51.99,53.03,1574500
