Date,Open,High,Low,Close,Volume
2025-03-13,0.34,0.35,0.32,0.33,1611460
2025-03-12,0.33,0.34,0.33,0.33,92700
2025-03-11,0.31,0.34,0.31,0.33,199200
2025-03-10,0.35,0.38,0.3,0.31,225200
2025-03-07,0.37,0.37,0.34,0.34,80700
2025-03-06,0.37,0.4,0.35,0.35,137900
2025-03-05,0.37,0.4,0.37,0.38,71500
2025-03-04,0.38,0.38,0.34,0.37,272400
2025-03-03,0.41,0.44,0.37,0.38,216000
2025-02-28,0.41,0.41,0.39,0.41,116900
2025-02-27,0.46,0.46,0.41,0.42,189600
2025-02-26,0.39,0.48,0.39,0.44,470400
2025-02-25,0.42,0.42,0.37,0.39,303100
2025-02-24,0.42,0.43,0.41,0.42,144000
2025-02-21,0.44,0.46,0.43,0.43,127400
2025-02-20,0.44,0.46,0.44,0.45,83700
2025-02-19,0.46,0.46,0.44,0.44,66800
2025-02-18,0.47,0.49,0.42,0.46,177700
2025-02-14,0.43,0.48,0.43,0.47,126900
2025-02-13,0.45,0.45,0.42,0.44,130400
2025-02-12,0.45,0.46,0.43,0.45,183500
2025-02-11,0.44,0.46,0.43,0.45,206200
2025-02-10,0.48,0.52,0.44,0.44,211600
2025-02-07,0.5,0.52,0.46,0.48,272200
2025-02-06,0.51,0.54,0.48,0.51,257900
2025-02-05,0.5,0.55,0.49,0.51,181100
2025-02-04,0.49,0.52,0.49,0.51,47400
2025-02-03,0.51,0.52,0.48,0.5,388500
2025-01-31,0.53,0.57,0.5,0.52,184800
2025-01-30,0.54,0.54,0.49,0.53,464900
2025-01-29,0.52,0.56,0.51,0.53,274900
2025-01-28,0.53,0.53,0.51,0.52,130700
2025-01-27,0.53,0.55,0.5,0.52,603500
2025-01-24,0.55,0.57,0.52,0.56,89200
2025-01-23,0.55,0.56,0.54,0.56,130500
2025-01-22,0.52,0.56,0.51,0.55,91800
2025-01-21,0.59,0.59,0.51,0.54,315900
2025-01-17,0.52,0.55,0.52,0.53,44500
2025-01-16,0.55,0.55,0.52,0.53,148100
2025-01-15,0.53,0.56,0.52,0.54,176600
2025-01-14,0.53,0.57,0.52,0.53,100800
2025-01-13,0.56,0.56,0.52,0.53,330900
2025-01-10,0.57,0.6,0.56,0.56,215100
2025-01-08,0.59,0.61,0.57,0.59,110300
2025-01-07,0.58,0.61,0.58,0.6,157200
2025-01-06,0.59,0.59,0.56,0.57,191500
2025-01-03,0.55,0.58,0.55,0.57,127700
2025-01-02,0.59,0.59,0.54,0.55,307500
2024-12-31,0.55,0.6,0.55,0.59,335800
2024-12-30,0.55,0.57,0.52,0.55,329500
2024-12-27,0.52,0.56,0.52,0.55,141100
2024-12-26,0.54,0.54,0.51,0.54,587200
2024-12-24,0.51,0.56,0.51,0.54,123200
2024-12-23,0.55,0.57,0.51,0.51,276000
2024-12-20,0.55,0.58,0.52,0.58,224000
2024-12-19,0.54,0.56,0.52,0.55,348200
2024-12-18,0.59,0.59,0.53,0.54,429800
2024-12-17,0.57,0.59,0.56,0.59,292800
2024-12-16,0.58,0.61,0.57,0.58,358800
2024-12-13,0.59,0.59,0.57,0.58,373500
2024-12-12,0.6,0.62,0.56,0.58,426400
2024-12-11,0.61,0.63,0.6,0.6,313000
2024-12-10,0.61,0.65,0.61,0.62,278500
2024-12-09,0.63,0.67,0.61,0.62,521700
2024-12-06,0.63,0.64,0.62,0.63,625000
2024-12-05,0.63,0.64,0.6,0.62,384800
2024-12-04,0.64,0.65,0.62,0.62,227200
2024-12-03,0.64,0.66,0.61,0.63,154200
2024-12-02,0.64,0.65,0.6,0.64,358500
2024-11-29,0.67,0.68,0.63,0.65,242100
2024-11-27,0.61,0.67,0.61,0.65,407500
2024-11-26,0.62,0.64,0.61,0.62,177700
2024-11-25,0.63,0.65,0.62,0.63,334000
2024-11-22,0.64,0.66,0.63,0.64,191600
2024-11-21,0.65,0.7,0.62,0.66,461400
2024-11-20,0.63,0.66,0.63,0.64,257600
2024-11-19,0.65,0.69,0.63,0.65,331000
2024-11-18,0.68,0.68,0.62,0.64,782100
2024-11-15,0.7,0.7,0.66,0.67,669700
2024-11-14,0.73,0.75,0.69,0.71,529500
2024-11-13,0.72,0.81,0.72,0.73,762700
2024-11-12,0.63,0.83,0.63,0.8,3522300
2024-11-11,0.64,0.69,0.6,0.65,1250100
2024-11-08,0.71,0.72,0.62,0.66,1741500
2024-11-07,0.71,0.78,0.69,0.75,1662400
2024-11-06,0.76,0.79,0.68,0.7,2611900
2024-11-05,0.64,0.81,0.6,0.75,13094900
2024-11-04,0.57,0.68,0.56,0.64,7756700
2024-11-01,0.59,0.75,0.54,0.61,239629700
2024-10-31,0.45,0.45,0.42,0.43,6279200
2024-10-30,0.48,0.48,0.44,0.45,308200
2024-10-29,0.48,0.49,0.46,0.48,595900
2024-10-28,0.46,0.52,0.45,0.49,605400
2024-10-25,0.46,0.51,0.45,0.47,329300
2024-10-24,0.48,0.49,0.45,0.47,276100
2024-10-23,0.53,0.54,0.47,0.48,752700
2024-10-22,0.46,0.57,0.46,0.53,2087400
2024-10-21,0.49,0.49,0.45,0.46,333800
2024-10-18,0.44,0.49,0.44,0.47,523000
2024-10-17,0.45,0.46,0.44,0.45,146200
2024-10-16,0.46,0.47,0.44,0.46,317000
2024-10-15,0.43,0.47,0.42,0.44,511600
2024-10-14,0.41,0.45,0.41,0.44,291100
2024-10-11,0.42,0.43,0.41,0.42,311400
2024-10-10,0.41,0.42,0.41,0.42,323600
2024-10-09,0.42,0.44,0.41,0.43,320600
2024-10-08,0.42,0.43,0.42,0.42,169600
2024-10-07,0.43,0.44,0.43,0.43,193800
2024-10-04,0.43,0.46,0.42,0.43,545400
2024-10-03,0.44,0.45,0.43,0.43,339500
2024-10-02,0.44,0.45,0.43,0.44,359100
2024-10-01,0.44,0.45,0.43,0.45,297900
2024-09-30,0.46,0.48,0.44,0.45,429500
2024-09-27,0.43,0.45,0.43,0.44,423500
2024-09-26,0.44,0.44,0.41,0.42,659700
2024-09-25,0.44,0.47,0.43,0.44,547000
2024-09-24,0.42,0.45,0.42,0.45,541400
2024-09-23,0.44,0.44,0.41,0.42,1847600
2024-09-20,0.47,0.47,0.43,0.43,755700
2024-09-19,0.47,0.48,0.46,0.47,902800
2024-09-18,0.51,0.51,0.46,0.46,986700
2024-09-17,0.5,0.52,0.49,0.49,1142700
2024-09-16,0.53,0.53,0.49,0.51,624300
2024-09-13,0.52,0.54,0.51,0.53,789700
2024-09-12,0.48,0.54,0.48,0.51,1001700
2024-09-11,0.48,0.5,0.47,0.49,821100
2024-09-10,0.47,0.52,0.47,0.49,2251600
2024-09-09,0.53,0.53,0.49,0.5,1214700
2024-09-06,0.56,0.58,0.52,0.54,1981700
2024-09-05,0.6,0.61,0.55,0.56,4601000
2024-09-04,0.7,0.71,0.6,0.61,17669600
2024-09-03,3.02,3.03,2.73,2.83,3318900
2024-08-30,3.07,3.34,2.99,3.09,186200
2024-08-29,3.29,3.29,3.05,3.07,111700
2024-08-28,3.3,3.35,3.24,3.29,76700
2024-08-27,3.23,3.34,3.17,3.3,104100
2024-08-26,3.32,3.42,3.24,3.24,115900
2024-08-23,3.11,3.33,3.05,3.32,169000
2024-08-22,3.35,3.35,3.06,3.11,141500
2024-08-21,3.35,3.51,3.23,3.32,227100
2024-08-20,3.4,3.51,3.34,3.34,200000
2024-08-19,2.97,3.67,2.97,3.43,547400
2024-08-16,3.0,3.04,2.92,2.93,84100
2024-08-15,2.99,3.07,2.94,2.99,165600
2024-08-14,3.0,3.0,2.88,2.89,57000
2024-08-13,3.05,3.07,2.95,2.96,56100
2024-08-12,3.01,3.18,2.91,2.95,67700
2024-08-09,3.06,3.07,2.96,3.01,42300
2024-08-08,3.14,3.16,3.0,3.07,35600
2024-08-07,3.16,3.2,3.06,3.1,74300
2024-08-06,3.15,3.23,3.07,3.15,59600
2024-08-05,3.08,3.17,2.85,3.15,107700
2024-08-02,3.22,3.29,3.15,3.21,43200
2024-08-01,3.21,3.39,3.18,3.25,94500
2024-07-31,3.27,3.27,3.1,3.19,70800
2024-07-30,3.44,3.45,3.17,3.28,73300
2024-07-29,3.32,3.56,3.32,3.42,141800
2024-07-26,3.36,3.38,3.25,3.31,41400
2024-07-25,3.29,3.38,3.25,3.32,78600
2024-07-24,3.34,3.45,3.24,3.3,75000
