Date,Open,High,Low,Close,Volume
2025-03-19,110.46,111.28,109.28,110.01,1178026
2025-03-18,111.56,112.22,110.48,110.52,1116200
2025-03-17,109.33,112.9,109.32,112.18,1426700
2025-03-14,107.82,109.56,106.46,109.07,2047500
2025-03-13,108.95,110.0,107.68,108.03,2065900
2025-03-12,111.71,111.94,107.99,108.56,2408900
2025-03-11,113.01,114.31,111.33,111.54,2360700
2025-03-10,114.68,118.4,114.62,115.38,3551800
2025-03-07,109.85,116.0,109.0,115.5,3677300
2025-03-06,103.11,113.8,101.82,112.33,5476200
2025-03-05,99.75,101.68,99.44,100.09,2482200
2025-03-04,98.24,102.82,97.64,101.09,2888200
2025-03-03,101.71,103.99,99.01,99.41,1750800
2025-02-28,99.97,101.31,99.24,101.26,1926600
2025-02-27,100.95,101.71,99.29,99.81,1799700
2025-02-26,104.73,105.94,100.3,100.32,2015200
2025-02-25,103.61,105.51,103.54,105.19,1635400
2025-02-24,101.46,103.8,100.85,103.25,1303200
2025-02-21,103.6,103.82,99.54,101.49,1653700
2025-02-20,104.0,104.92,102.36,103.6,1220000
2025-02-19,106.31,106.31,104.87,105.5,1452300
2025-02-18,106.26,107.3,104.73,105.2,1245200
2025-02-14,106.98,107.7,105.75,105.95,1294200
2025-02-13,107.14,108.0,105.89,106.95,1879400
2025-02-12,105.97,107.61,104.77,106.67,1557000
2025-02-11,105.79,107.29,105.37,106.97,1857600
2025-02-10,104.49,107.06,103.49,106.3,1517200
2025-02-07,105.26,105.97,102.91,104.43,1961000
2025-02-06,105.09,105.97,104.29,105.64,1261200
2025-02-05,102.7,104.94,102.53,104.8,1147400
2025-02-04,100.1,103.06,99.2,102.7,1978400
2025-02-03,97.79,100.16,96.62,99.62,1117500
2025-01-31,99.86,100.15,98.72,99.05,1573300
2025-01-30,99.12,100.23,99.03,99.99,955200
2025-01-29,98.96,99.88,98.76,98.91,913500
2025-01-28,99.26,99.35,98.11,98.66,856200
2025-01-27,97.36,99.58,97.19,99.55,1215000
2025-01-24,96.77,98.42,96.69,97.05,1498100
2025-01-23,95.16,97.08,94.64,97.04,1499900
2025-01-22,97.77,97.92,93.86,95.2,1698300
2025-01-21,96.01,97.94,95.56,97.5,1774100
2025-01-17,94.71,95.33,93.71,95.05,813700
2025-01-16,91.78,94.82,91.43,94.43,1102900
2025-01-15,94.63,95.64,91.45,91.93,1949600
2025-01-14,96.67,96.99,92.88,93.61,1660100
2025-01-13,95.94,96.57,94.47,96.0,2674300
2025-01-10,93.02,96.99,93.02,96.57,2926400
2025-01-08,90.73,92.99,90.37,92.57,1286700
2025-01-07,90.61,91.82,90.21,91.06,1357900
2025-01-06,88.3,91.33,88.3,90.69,1627900
2025-01-03,88.45,89.18,87.46,88.0,1936800
2025-01-02,89.59,90.02,88.03,88.2,1039700
2024-12-31,89.79,90.12,88.6,89.35,1002000
2024-12-30,92.0,92.0,89.26,89.6,1460800
2024-12-27,93.61,93.98,92.54,92.79,699100
2024-12-26,93.7,94.61,93.26,94.44,661900
2024-12-24,93.1,93.85,92.63,93.79,410800
2024-12-23,93.32,94.22,92.63,93.1,1275100
2024-12-20,93.97,95.07,93.0,93.77,2894500
2024-12-19,95.7,96.56,93.45,94.0,1287200
2024-12-18,97.02,98.43,94.17,94.32,1781000
2024-12-17,96.9,98.07,96.83,97.52,2126500
2024-12-16,97.15,99.14,97.11,97.55,1407500
2024-12-13,98.61,98.79,96.57,97.54,1072900
2024-12-12,100.05,100.19,98.45,98.53,1322200
2024-12-11,98.23,100.74,98.23,99.75,2088400
2024-12-10,95.79,99.31,95.71,97.93,2019000
2024-12-09,95.6,96.57,94.25,95.62,1488800
2024-12-06,96.15,97.25,95.04,95.6,2309800
2024-12-05,96.64,97.49,95.68,96.05,936000
2024-12-04,96.02,97.2,95.47,97.17,1137100
2024-12-03,95.32,96.39,94.8,96.27,1893800
2024-12-02,96.28,97.29,94.93,95.21,1963400
2024-11-29,96.85,97.11,96.3,96.3,928400
2024-11-27,98.36,98.44,96.43,96.77,1310000
2024-11-26,98.21,98.94,96.72,97.06,1831200
2024-11-25,98.49,99.91,97.34,98.4,2462800
2024-11-22,93.52,97.53,93.38,96.74,2958400
2024-11-21,89.49,94.67,85.38,92.79,5782200
2024-11-20,84.9,85.82,83.92,85.7,2966700
2024-11-19,88.75,89.27,86.16,86.33,1971600
