Date,Open,High,Low,Close,Volume
2025-03-13,4.33,4.35,4.33,4.35,355
2025-03-12,4.32,4.33,4.32,4.33,220
2025-03-11,4.32,4.32,4.32,4.32,110
2025-03-10,4.3,4.31,4.3,4.31,287
2025-03-07,4.3,4.3,4.3,4.3,110
2025-03-06,4.29,4.29,4.29,4.29,125
2025-03-05,4.28,4.28,4.28,4.28,100
2025-03-04,4.27,4.27,4.27,4.27,156
2025-03-03,4.25,4.25,4.25,4.25,125
2025-02-28,4.24,4.24,4.24,4.24,110
2025-02-27,4.23,4.23,4.23,4.23,0
2025-02-26,4.23,4.23,4.23,4.23,0
2025-02-25,4.23,4.23,4.23,4.23,0
2025-02-24,4.23,4.23,4.23,4.23,120
2025-02-21,4.22,4.22,4.22,4.22,100
2025-02-20,4.22,4.22,4.22,4.22,0
2025-02-19,4.22,4.22,4.22,4.22,0
2025-02-18,4.22,4.22,4.22,4.22,0
2025-02-14,4.22,4.22,4.22,4.22,100
2025-02-13,4.2,4.2,4.0,4.15,1023
2025-02-12,4.18,4.18,4.14,4.18,700
2025-02-11,4.18,4.18,4.18,4.18,100
2025-02-10,4.0,4.15,3.22,4.15,2605
2025-02-07,4.15,4.15,4.15,4.15,106
2025-02-06,4.15,4.15,4.15,4.15,101
2025-02-05,4.1,4.14,4.0,4.14,825
2025-02-04,4.12,4.12,4.12,4.12,100
2025-02-03,4.12,4.12,4.12,4.12,100
2025-01-31,4.11,4.12,4.11,4.12,200
2025-01-30,4.11,4.11,4.11,4.11,100
2025-01-29,4.1,4.1,4.1,4.1,100
2025-01-28,4.1,4.11,4.0,4.03,825
2025-01-27,4.11,4.11,4.11,4.11,0
2025-01-24,4.11,4.11,4.11,4.11,0
2025-01-23,4.1,4.11,4.1,4.11,2745
2025-01-22,4.09,4.1,4.09,4.1,200
2025-01-21,4.09,4.09,4.09,4.09,100
2025-01-17,4.06,4.08,4.06,4.07,600
2025-01-16,4.05,4.06,4.05,4.06,200
2025-01-15,4.05,4.05,4.05,4.05,100
2025-01-14,4.03,4.45,4.03,4.04,1720
2025-01-13,4.02,4.02,4.02,4.02,133
2025-01-10,3.66,4.02,2.99,4.0,16300
2025-01-08,3.96,3.97,3.96,3.97,300
2025-01-07,3.94,3.95,3.42,3.95,2698
2025-01-06,3.94,3.94,3.94,3.94,101
2025-01-03,3.93,3.93,3.93,3.93,100
2025-01-02,3.92,3.92,3.92,3.92,100
2024-12-31,3.91,3.91,3.91,3.91,230
2024-12-30,3.87,3.9,3.87,3.9,200
2024-12-27,3.89,3.89,3.84,3.89,710
2024-12-26,3.88,3.88,3.88,3.88,100
2024-12-24,3.87,3.87,3.87,3.87,100
2024-12-23,3.83,3.85,3.83,3.85,200
2024-12-20,3.83,3.83,3.83,3.83,100
2024-12-19,3.79,3.81,3.78,3.81,573
2024-12-18,3.79,3.79,3.79,3.79,100
2024-12-17,3.77,3.77,3.77,3.77,200
2024-12-16,3.73,3.75,3.73,3.75,330
2024-12-13,3.73,3.73,3.73,3.73,100
2024-12-12,3.71,3.73,3.71,3.73,898
2024-12-11,3.71,3.71,3.71,3.71,126
2024-12-10,3.69,3.71,3.69,3.71,200
2024-12-09,3.69,3.69,3.69,3.69,400
2024-12-06,3.68,3.68,3.68,3.68,100
2024-12-05,3.66,3.66,3.66,3.66,100
2024-12-04,3.66,3.66,3.66,3.66,0
2024-12-03,3.66,3.66,3.66,3.66,0
2024-12-02,3.66,3.66,3.66,3.66,200
2024-11-29,3.65,3.65,3.65,3.65,0
2024-11-27,3.65,3.65,3.65,3.65,100
2024-11-26,3.62,3.62,3.61,3.61,602
2024-11-25,3.6,3.6,3.6,3.6,705
2024-11-22,3.52,3.6,3.52,3.58,3440
2024-11-21,3.5,3.5,3.47,3.5,1150
2024-11-20,3.5,3.5,3.5,3.5,200
2024-11-19,3.5,3.5,3.5,3.5,0
2024-11-18,3.5,3.5,3.5,3.5,125
2024-11-15,3.45,3.5,3.4,3.5,2400
2024-11-14,3.45,3.45,3.45,3.45,125
2024-11-13,3.45,3.45,3.45,3.45,125
2024-11-12,3.45,3.45,3.45,3.45,575
2024-11-11,3.45,3.45,3.45,3.45,340
2024-11-08,3.41,3.45,3.41,3.45,600
2024-11-07,3.45,3.45,3.35,3.41,400
2024-11-06,2.4,3.45,2.25,3.4,106539
2024-11-05,2.25,2.49,2.25,2.49,100201
2024-11-04,3.4,3.4,2.25,2.25,105108
2024-11-01,3.25,3.45,3.25,3.45,785
2024-10-31,3.04,3.25,3.04,3.25,2910
2024-10-30,3.05,3.05,3.05,3.05,110
2024-10-29,3.05,3.05,3.05,3.05,0
2024-10-28,3.04,3.05,3.04,3.05,400
2024-10-25,3.0,3.0,2.9,2.97,1500
2024-10-24,2.49,2.94,2.49,2.94,3689
2024-10-23,2.55,2.55,2.55,2.55,0
2024-10-22,2.55,2.55,2.55,2.55,100
2024-10-21,2.5,2.5,2.5,2.5,100
2024-10-18,2.5,2.5,2.5,2.5,100
2024-10-17,2.5,2.5,2.5,2.5,200
2024-10-16,2.5,2.5,2.5,2.5,100
2024-10-15,2.49,2.5,2.49,2.5,200
2024-10-14,2.49,2.49,2.42,2.42,200
2024-10-11,2.23,2.49,2.23,2.49,1100
2024-10-10,2.31,2.31,2.31,2.31,0
2024-10-09,2.31,2.31,2.31,2.31,100
