Date,Open,High,Low,Close,Volume
2025-03-19,265.06,267.91,264.01,267.56,220838
2025-03-18,263.71,266.63,262.96,266.49,2769200
2025-03-17,261.09,264.41,258.64,263.58,2453600
2025-03-14,259.7,260.02,256.16,258.68,1935700
2025-03-13,256.26,261.08,254.96,259.84,3286100
2025-03-12,258.43,258.89,251.5,256.72,4086000
2025-03-11,262.61,263.65,257.24,260.43,4312300
2025-03-10,254.82,262.51,254.3,262.28,4407300
2025-03-07,252.78,256.5,250.51,254.57,2698400
2025-03-06,252.48,253.09,248.28,252.79,2247900
2025-03-05,250.74,255.84,250.64,253.23,2364000
2025-03-04,256.69,257.51,250.09,250.74,2301200
2025-03-03,252.65,256.51,252.53,255.62,2640300
2025-02-28,250.36,253.15,248.43,252.52,2157200
2025-02-27,246.9,250.66,245.86,248.62,1461100
2025-02-26,249.59,249.69,246.02,246.77,1941600
2025-02-25,247.64,250.56,246.52,249.59,2131700
2025-02-24,248.62,249.14,246.23,246.53,1205400
2025-02-21,247.1,248.0,245.7,247.65,1769900
2025-02-20,248.4,248.5,245.48,247.1,1248700
2025-02-19,246.9,250.08,246.19,249.52,1171300
2025-02-18,244.61,246.87,243.23,246.63,1316700
2025-02-14,247.51,249.08,243.99,244.27,1444300
2025-02-13,249.21,250.47,247.51,248.88,1683200
2025-02-12,244.65,252.28,244.03,247.74,2575000
2025-02-11,240.35,241.41,238.52,240.55,1359000
2025-02-10,243.18,244.03,239.97,240.62,1717200
2025-02-07,243.09,245.53,242.47,243.63,1096100
2025-02-06,241.8,243.75,241.01,243.21,1446600
2025-02-05,242.13,242.13,239.87,240.45,1421600
2025-02-04,238.92,241.67,236.95,241.34,2055800
2025-02-03,238.62,240.37,236.97,239.47,2536700
2025-01-31,234.12,235.92,232.51,235.36,1981700
2025-01-30,232.59,238.17,231.97,234.76,1586500
2025-01-29,232.04,233.08,231.18,231.36,1640400
2025-01-28,234.3,235.31,232.5,233.24,1468900
2025-01-27,234.7,236.72,233.39,235.78,1941000
2025-01-24,232.67,235.01,232.33,233.53,1644600
2025-01-23,231.39,233.24,229.82,232.23,2396800
2025-01-22,230.94,231.58,229.66,231.39,1684700
2025-01-21,231.74,233.13,229.06,231.11,2041400
2025-01-17,232.13,234.59,230.96,231.56,1908700
2025-01-16,227.11,231.33,226.77,231.17,1572600
2025-01-15,231.03,231.89,224.36,226.76,2703600
2025-01-14,227.32,230.8,227.23,230.59,1427800
2025-01-13,227.62,229.42,227.14,228.32,1650000
2025-01-10,227.8,228.76,225.8,228.07,2739700
2025-01-08,226.5,228.28,225.17,228.17,2002500
2025-01-07,225.55,226.93,223.51,225.89,2121000
2025-01-06,228.22,229.87,224.32,224.71,2297600
2025-01-03,230.5,231.61,229.36,231.36,1597900
2025-01-02,231.35,232.99,230.67,231.57,2246600
2024-12-31,231.57,232.01,230.48,231.09,1041900
2024-12-30,231.61,232.36,230.05,230.39,1224500
2024-12-27,230.57,233.64,230.57,232.35,1384000
2024-12-26,231.54,232.67,231.32,232.26,1174700
2024-12-24,231.15,232.6,231.11,232.51,478400
2024-12-23,231.09,231.65,228.96,231.1,1620100
2024-12-20,230.12,233.33,228.76,231.6,3172400
2024-12-19,229.95,233.23,229.72,229.94,2854300
2024-12-18,228.29,232.82,228.17,230.19,2864900
2024-12-17,229.22,229.82,227.26,229.14,1612900
2024-12-16,230.94,231.67,228.44,229.07,1841000
2024-12-13,228.44,230.6,227.28,230.3,1810600
2024-12-12,228.86,229.92,227.52,229.1,1695600
2024-12-11,231.24,232.24,227.36,227.49,3689300
2024-12-10,229.14,233.27,228.12,232.24,2164600
2024-12-09,232.1,233.03,228.07,229.84,2125300
2024-12-06,236.55,236.9,231.22,231.31,3162400
2024-12-05,237.4,240.62,233.43,237.73,3253000
2024-12-04,232.34,235.34,230.9,234.81,5096000
2024-12-03,228.91,233.36,228.28,232.61,3600900
2024-12-02,230.16,230.73,226.94,227.67,2683700
2024-11-29,229.45,230.91,227.95,229.98,1161300
2024-11-27,227.25,230.09,226.32,229.33,2129100
2024-11-26,222.02,227.25,221.36,226.49,2752800
2024-11-25,222.23,222.23,219.36,221.64,3149000
2024-11-22,219.83,222.19,219.26,221.32,3050400
2024-11-21,221.45,221.45,218.4,218.92,1864200
2024-11-20,222.77,222.82,218.57,220.31,2114000
2024-11-19,219.13,222.96,218.08,221.92,1971900
2024-11-18,217.87,220.56,217.43,219.89,1347200
2024-11-15,216.17,219.03,215.06,217.69,2124400
2024-11-14,220.35,221.2,215.37,215.89,1817000
2024-11-13,219.09,220.87,218.56,220.45,1960000
2024-11-12,219.07,220.27,218.17,218.68,1496400
2024-11-11,219.28,220.25,217.96,218.31,1263800
2024-11-08,216.18,219.85,215.37,218.05,1798000
2024-11-07,214.29,215.48,212.98,214.55,1999500
2024-11-06,218.52,218.75,206.73,213.71,3663300
2024-11-05,215.71,217.84,215.48,217.6,1183000
2024-11-04,216.17,217.45,213.56,215.56,1193300
2024-11-01,216.98,218.06,215.87,216.07,1318600
2024-10-31,220.54,220.54,217.28,217.76,1663000
2024-10-30,218.45,220.17,217.87,219.6,1211300
2024-10-29,221.24,221.39,219.41,219.43,1286100
2024-10-28,218.48,221.1,217.97,220.43,1327400
2024-10-25,221.73,221.73,217.7,218.52,974700
2024-10-24,219.13,222.59,218.59,221.95,1360500
2024-10-23,213.56,220.11,213.5,219.48,2044100
2024-10-22,219.15,219.58,217.81,218.55,1933200
2024-10-21,218.97,220.34,218.37,219.4,1138200
2024-10-18,219.57,221.42,218.38,220.62,1203000
2024-10-17,220.52,222.36,219.23,219.57,1816800
2024-10-16,216.23,219.62,216.14,219.51,1248200
2024-10-15,216.75,218.27,215.43,217.24,1589900
2024-10-14,214.16,216.73,213.96,216.64,1429500
2024-10-11,214.38,214.45,212.87,214.25,1123100
2024-10-10,214.52,214.85,212.69,213.79,958100
2024-10-09,213.64,215.49,213.12,213.99,1488900
2024-10-08,215.34,216.29,213.12,214.21,2138400
2024-10-07,217.54,218.86,213.79,214.26,3023000
2024-10-04,216.71,217.23,214.56,216.86,1585800
2024-10-03,217.09,219.13,216.14,216.71,1819900
2024-10-02,218.33,218.33,213.69,216.03,2191700
2024-10-01,213.55,217.72,210.74,217.69,2043400
2024-09-30,211.62,213.9,209.91,213.21,1835800
2024-09-27,211.1,212.58,210.74,210.94,1840200
2024-09-26,210.21,211.6,209.43,211.1,2076300
2024-09-25,211.15,211.96,209.22,210.19,1973700
2024-09-24,208.58,210.88,206.76,210.81,2292300
2024-09-23,206.27,208.98,205.44,208.58,1550600
2024-09-20,206.44,207.82,205.22,205.97,2898600
2024-09-19,209.24,209.79,207.36,207.52,2888700
2024-09-18,210.65,211.0,207.69,209.01,1868500
2024-09-17,210.83,211.9,209.49,210.82,1976800
2024-09-16,208.77,212.09,208.77,211.16,1740100
2024-09-13,210.91,211.5,208.26,209.67,2587300
2024-09-12,211.8,211.84,208.19,209.97,2368600
2024-09-11,211.29,211.42,207.54,211.22,3691400
2024-09-10,210.42,212.24,209.68,211.11,2148700
2024-09-09,212.58,213.64,210.4,211.17,2211100
2024-09-06,210.56,212.24,209.99,211.96,2899300
2024-09-05,210.03,211.0,208.65,210.88,1759800
2024-09-04,205.55,207.76,204.4,207.63,1921800
2024-09-03,200.38,204.51,199.7,204.4,3725400
2024-08-30,205.26,207.6,205.25,207.38,2021100
2024-08-29,206.68,207.01,205.09,205.8,1547900
2024-08-28,204.48,207.58,204.12,206.78,1655300
2024-08-27,200.81,204.62,199.66,204.17,1789200
2024-08-26,199.07,200.57,199.07,200.35,1647500
2024-08-23,202.13,202.13,198.44,199.03,1273900
2024-08-22,201.14,202.02,200.13,201.5,1352100
