Date,Open,High,Low,Close,Volume
2025-03-13,19.5,20.0,20.0,20.0,1294
2025-03-12,20.01,20.29,19.5,20.0,4900
2025-03-11,19.5,20.0,18.24,20.0,3000
2025-03-10,19.3,19.98,18.99,19.98,15700
2025-03-07,18.9,19.99,18.32,19.2,15000
2025-03-06,16.94,17.99,16.94,17.99,9800
2025-03-05,16.05,17.01,15.9,16.78,11700
2025-03-04,17.9,17.99,16.72,16.72,11200
2025-03-03,18.5,18.69,17.94,18.45,7900
2025-02-28,18.6,19.11,18.51,18.52,4000
2025-02-27,18.84,19.2,18.55,18.73,7300
2025-02-26,19.87,19.87,19.02,19.1,14700
2025-02-25,20.08,20.08,19.0,19.84,12400
2025-02-24,19.91,20.36,19.68,20.0,10400
2025-02-21,20.12,20.35,19.63,19.78,8000
2025-02-20,20.2,20.25,19.94,20.25,9400
2025-02-19,20.54,20.75,19.55,20.2,8500
2025-02-18,20.9,21.24,20.2,20.35,14400
2025-02-14,22.03,22.03,20.8,21.2,13400
2025-02-13,22.05,22.26,21.11,21.2,22300
2025-02-12,21.0,22.4,20.51,22.38,32600
2025-02-11,23.0,23.01,19.43,20.1,50800
2025-02-10,24.0,25.7,22.51,23.24,54000
2025-02-07,23.36,23.99,22.02,23.9,7300
2025-02-06,21.48,24.35,21.3,23.72,44400
2025-02-05,21.19,21.48,21.0,21.48,9000
2025-02-04,19.9,21.31,19.9,21.16,22100
2025-02-03,19.34,20.0,19.24,19.99,6400
2025-01-31,20.0,20.0,19.95,20.0,14400
2025-01-30,19.7,20.0,19.0,20.0,5600
2025-01-29,19.67,20.0,19.0,20.0,31700
2025-01-28,19.64,19.97,19.64,19.95,1700
2025-01-27,19.73,19.96,18.8,19.88,23600
2025-01-24,19.6,19.98,19.25,19.88,5100
2025-01-23,19.9,20.27,18.83,19.97,17200
2025-01-22,19.7,20.0,19.7,19.73,2300
2025-01-21,19.83,19.99,19.42,19.79,6700
2025-01-17,19.7,20.12,19.7,20.1,12700
2025-01-16,19.7,20.08,19.23,20.0,50500
2025-01-15,20.1,20.1,19.12,20.0,21400
2025-01-14,20.0,20.72,19.71,20.09,15300
2025-01-13,20.55,20.95,19.88,20.1,26000
2025-01-10,19.7,21.97,19.63,20.51,42000
2025-01-08,19.34,20.45,19.01,20.0,30800
2025-01-07,20.0,20.8,19.69,20.0,11300
2025-01-06,19.75,20.95,19.63,20.2,27100
2025-01-03,19.62,19.78,19.34,19.69,2700
2025-01-02,19.6,20.38,18.5,20.06,3300
2024-12-31,18.05,20.5,16.25,20.5,115200
2024-12-30,17.96,19.0,17.11,19.0,32800
2024-12-27,17.0,17.99,16.84,17.98,21500
2024-12-26,17.1,17.4,16.8,17.14,20700
2024-12-24,17.3,17.7,17.0,17.0,9500
2024-12-23,17.3,17.46,17.02,17.45,5700
2024-12-20,17.32,18.0,16.95,17.68,13700
2024-12-19,16.0,18.37,15.98,18.0,32200
2024-12-18,16.3,16.47,15.45,16.46,10100
2024-12-17,15.75,16.5,15.75,16.41,4800
2024-12-16,17.37,17.37,15.26,16.78,14600
2024-12-13,17.77,17.96,16.75,16.75,24700
2024-12-12,15.17,17.5,14.61,17.5,31300
2024-12-11,13.65,16.3,13.49,15.95,39200
2024-12-10,13.06,13.79,13.06,13.79,2800
2024-12-09,13.3,14.07,13.3,14.06,3900
2024-12-06,13.89,13.89,13.85,13.89,1000
2024-12-05,13.35,14.0,13.1,13.99,15900
2024-12-04,13.32,13.7,13.32,13.4,6600
2024-12-03,13.51,13.71,13.5,13.71,5100
2024-12-02,13.0,13.89,13.0,13.86,7600
2024-11-29,14.2,14.3,12.98,13.0,23600
2024-11-27,14.21,14.5,14.21,14.5,1300
2024-11-26,14.01,14.66,14.01,14.55,5900
2024-11-25,14.7,15.28,14.54,15.28,1500
2024-11-22,15.05,15.1,14.2,14.92,7100
2024-11-21,15.47,15.47,14.77,15.31,1800
2024-11-20,14.5,15.5,14.21,15.49,2200
2024-11-19,14.15,15.53,14.0,15.53,7300
2024-11-18,14.2,14.95,14.2,14.75,2100
2024-11-15,14.34,14.96,14.11,14.68,3100
2024-11-14,14.38,15.0,14.38,14.96,2900
2024-11-13,14.21,14.89,14.01,14.89,5900
2024-11-12,15.1,15.1,14.5,14.68,2800
2024-11-11,14.5,15.0,14.02,14.86,4200
2024-11-08,14.5,15.15,14.5,14.5,4400
2024-11-07,15.61,15.61,14.53,14.53,8800
2024-11-06,15.7,16.0,15.5,16.0,1500
2024-11-05,16.0,16.0,16.0,16.0,2600
2024-11-04,16.08,16.2,15.9,15.9,1100
2024-11-01,16.0,16.1,15.05,16.1,4200
2024-10-31,15.71,15.71,15.71,15.71,1000
2024-10-30,15.72,15.72,15.72,15.72,0
2024-10-29,15.54,15.72,15.07,15.72,3800
2024-10-28,15.65,16.3,15.65,15.99,9100
2024-10-25,16.0,16.5,15.67,15.67,14500
2024-10-24,13.75,17.0,13.72,16.3,25600
2024-10-23,14.07,14.07,13.62,13.75,3400
2024-10-22,14.54,14.54,14.54,14.54,0
2024-10-21,14.77,15.0,14.54,14.54,1500
2024-10-18,14.54,14.54,14.54,14.54,200
2024-10-17,14.55,14.55,14.54,14.54,600
2024-10-16,14.1,14.1,14.1,14.1,200
2024-10-15,14.15,14.51,14.05,14.05,2200
2024-10-14,13.95,13.95,13.5,13.95,1700
2024-10-11,13.7,13.7,13.25,13.68,4000
2024-10-10,13.6,13.68,13.6,13.68,900
2024-10-09,13.15,13.6,13.15,13.6,500
2024-10-08,14.0,14.0,13.06,13.06,7400
2024-10-07,14.6,14.82,13.99,14.01,5700
2024-10-04,14.5,15.1,14.5,14.74,1700
2024-10-03,15.6,15.6,14.5,14.75,8900
2024-10-02,15.75,15.75,15.5,15.5,3000
2024-10-01,16.25,16.25,15.3,15.75,4700
2024-09-30,16.69,16.7,16.25,16.52,12300
2024-09-27,15.65,17.04,15.6,16.7,10700
2024-09-26,16.21,16.7,15.86,16.22,18300
2024-09-25,15.99,17.33,15.52,16.21,39300
2024-09-24,15.63,16.12,15.5,16.0,11300
2024-09-23,15.51,15.87,15.51,15.61,3000
2024-09-20,16.38,16.38,15.99,15.99,1700
2024-09-19,16.85,16.85,15.37,16.0,10300
2024-09-18,16.1,16.34,15.48,16.16,3600
2024-09-17,16.0,16.63,15.44,16.21,27900
2024-09-16,16.0,16.99,15.02,16.12,25400
2024-09-13,17.25,17.25,15.85,16.43,7800
2024-09-12,16.0,16.46,15.62,16.46,13700
2024-09-11,14.9,16.45,14.9,16.0,11900
2024-09-10,14.78,16.8,14.78,15.7,29600
2024-09-09,14.15,15.1,14.15,15.0,11300
2024-09-06,14.7,15.0,14.0,14.98,9800
2024-09-05,14.46,15.14,14.3,15.14,7700
2024-09-04,14.19,14.36,14.0,14.36,1500
2024-09-03,13.24,14.45,13.24,14.42,9100
2024-08-30,13.8,14.21,13.16,13.99,16500
2024-08-29,13.7,13.7,13.7,13.7,400
2024-08-28,13.1,13.89,12.5,13.7,19200
2024-08-27,13.8,14.38,12.11,12.55,29100
2024-08-26,15.19,15.25,13.41,13.81,15500
2024-08-23,14.68,16.89,14.26,14.52,29100
2024-08-22,13.2,14.49,13.2,14.48,9200
2024-08-21,13.2,13.2,13.01,13.2,5400
2024-08-20,13.1,13.32,12.83,12.83,6000
2024-08-19,13.06,13.49,13.06,13.06,5400
2024-08-16,13.9,13.9,13.4,13.45,5000
2024-08-15,12.95,13.6,12.91,13.3,12900
2024-08-14,13.11,13.11,12.81,12.81,3300
2024-08-13,12.85,13.55,12.61,12.72,28000
2024-08-12,13.1,13.45,12.61,12.61,2800
2024-08-09,13.41,13.9,13.05,13.05,24800
2024-08-08,14.0,14.49,13.42,13.42,15200
2024-08-07,14.01,14.39,13.46,13.67,31000
2024-08-06,13.67,15.26,13.67,14.0,7300
2024-08-05,14.5,14.5,11.84,13.08,42700
2024-08-02,15.3,15.3,14.56,14.99,10900
2024-08-01,15.98,15.98,15.49,15.49,2800
2024-07-31,14.63,15.93,14.63,15.3,5700
2024-07-30,15.16,15.91,14.57,14.61,8900
2024-07-29,17.1,17.1,14.5,15.1,28300
2024-07-26,18.55,18.55,16.6,17.05,21100
2024-07-25,18.2,19.75,17.97,18.53,43400
2024-07-24,16.8,18.2,16.8,18.2,48600
2024-07-23,15.78,16.51,15.6,16.15,16800
2024-07-22,14.95,16.5,14.58,15.87,45500
2024-07-19,14.44,15.0,14.31,15.0,9900
2024-07-18,14.18,14.51,13.0,14.1,28100
2024-07-17,14.0,14.52,13.91,14.24,19300
2024-07-16,13.24,14.37,13.24,13.9,18500
2024-07-15,13.24,13.67,13.2,13.45,15000
2024-07-12,12.57,13.89,12.2,13.15,28600
2024-07-11,12.25,13.0,12.01,12.65,13400
2024-07-10,11.9,13.02,11.9,12.7,14400
2024-07-09,11.83,12.01,11.81,11.89,5500
