Date,Open,High,Low,Close,Volume
2025-03-18,0.04,0.04,0.03,0.03,15121
2025-03-17,0.04,0.04,0.04,0.04,0
2025-03-14,0.04,0.04,0.04,0.04,2500
2025-03-13,0.03,0.04,0.03,0.03,60000
2025-03-12,0.03,0.03,0.03,0.03,50018
2025-03-11,0.03,0.04,0.03,0.03,155533
2025-03-10,0.04,0.04,0.03,0.03,84801
2025-03-07,0.04,0.04,0.04,0.04,81990
2025-03-06,0.04,0.04,0.04,0.04,6800
2025-03-05,0.04,0.04,0.04,0.04,34565
2025-03-04,0.05,0.05,0.04,0.04,60778
2025-03-03,0.05,0.05,0.05,0.05,36899
2025-02-28,0.05,0.05,0.05,0.05,145712
2025-02-27,0.05,0.05,0.05,0.05,22306
2025-02-26,0.04,0.05,0.04,0.05,69424
2025-02-25,0.05,0.05,0.05,0.05,54543
2025-02-24,0.06,0.07,0.05,0.05,415749
2025-02-21,0.05,0.06,0.05,0.05,262001
2025-02-20,0.05,0.05,0.05,0.05,37083
2025-02-19,0.04,0.05,0.04,0.05,385298
2025-02-18,0.04,0.05,0.04,0.05,81909
2025-02-14,0.04,0.05,0.04,0.04,271513
2025-02-13,0.04,0.05,0.04,0.04,635330
2025-02-12,0.04,0.05,0.04,0.04,565494
2025-02-11,0.03,0.04,0.03,0.04,169739
2025-02-10,0.03,0.04,0.03,0.04,96711
2025-02-07,0.03,0.04,0.03,0.04,75839
2025-02-06,0.03,0.03,0.03,0.03,166462
2025-02-05,0.02,0.03,0.02,0.03,217774
2025-02-04,0.02,0.03,0.02,0.02,38620
2025-02-03,0.02,0.02,0.02,0.02,99776
2025-01-31,0.02,0.02,0.02,0.02,23001
2025-01-30,0.02,0.03,0.02,0.03,32763
2025-01-29,0.02,0.02,0.02,0.02,2127
2025-01-28,0.02,0.02,0.02,0.02,37122
2025-01-27,0.03,0.03,0.02,0.02,203922
2025-01-24,0.02,0.03,0.02,0.03,616119
2025-01-23,0.02,0.02,0.02,0.02,129931
2025-01-22,0.02,0.02,0.02,0.02,416548
2025-01-21,0.02,0.02,0.02,0.02,48396
2025-01-17,0.02,0.02,0.02,0.02,0
2025-01-16,0.02,0.02,0.02,0.02,4574
2025-01-15,0.02,0.02,0.02,0.02,1520
2025-01-14,0.02,0.02,0.02,0.02,104602
2025-01-13,0.02,0.02,0.02,0.02,34864
2025-01-10,0.02,0.02,0.02,0.02,63127
2025-01-08,0.02,0.02,0.02,0.02,148587
2025-01-07,0.02,0.02,0.02,0.02,228460
2025-01-06,0.02,0.02,0.02,0.02,12221
2025-01-03,0.02,0.02,0.02,0.02,344500
2025-01-02,0.02,0.02,0.02,0.02,10412
2024-12-31,0.02,0.02,0.02,0.02,52850
2024-12-30,0.02,0.02,0.02,0.02,313845
2024-12-27,0.02,0.02,0.02,0.02,343101
2024-12-26,0.03,0.03,0.02,0.02,844942
2024-12-24,0.02,0.03,0.02,0.03,144123
2024-12-23,0.02,0.02,0.02,0.02,342711
2024-12-20,0.02,0.02,0.02,0.02,466101
2024-12-19,0.02,0.02,0.02,0.02,277912
2024-12-18,0.02,0.02,0.02,0.02,302160
2024-12-17,0.02,0.02,0.02,0.02,33047
2024-12-16,0.02,0.02,0.02,0.02,116807
2024-12-13,0.02,0.02,0.02,0.02,43405
2024-12-12,0.02,0.02,0.02,0.02,19173
2024-12-11,0.02,0.02,0.02,0.02,41094
2024-12-10,0.02,0.02,0.02,0.02,189271
2024-12-09,0.02,0.02,0.02,0.02,94273
2024-12-06,0.02,0.02,0.02,0.02,58196
2024-12-05,0.02,0.02,0.02,0.02,70612
2024-12-04,0.02,0.02,0.02,0.02,115676
2024-12-03,0.02,0.02,0.02,0.02,80750
2024-12-02,0.02,0.02,0.02,0.02,111625
2024-11-29,0.02,0.02,0.02,0.02,15700
2024-11-27,0.02,0.02,0.02,0.02,46300
2024-11-26,0.02,0.02,0.02,0.02,76848
2024-11-25,0.02,0.03,0.02,0.02,19911
2024-11-22,0.02,0.03,0.02,0.03,122500
2024-11-21,0.02,0.02,0.02,0.02,4756
2024-11-20,0.03,0.03,0.02,0.02,93227
2024-11-19,0.02,0.03,0.02,0.03,110695
2024-11-18,0.02,0.02,0.02,0.02,28790
2024-11-15,0.02,0.02,0.02,0.02,2250
2024-11-14,0.02,0.02,0.02,0.02,36889
2024-11-13,0.02,0.02,0.02,0.02,27054
2024-11-12,0.02,0.02,0.02,0.02,77971
2024-11-11,0.02,0.02,0.02,0.02,26288
2024-11-08,0.02,0.02,0.02,0.02,50916
2024-11-07,0.01,0.02,0.01,0.02,31139
2024-11-06,0.02,0.02,0.01,0.01,67173
2024-11-05,0.02,0.02,0.02,0.02,326730
2024-11-04,0.02,0.02,0.02,0.02,14114
2024-11-01,0.02,0.02,0.02,0.02,76267
2024-10-31,0.02,0.02,0.02,0.02,40191
2024-10-30,0.02,0.03,0.02,0.02,52511
2024-10-29,0.03,0.03,0.03,0.03,194758
