Date,Open,High,Low,Close,Volume
2025-03-14,153.99,157.24,153.01,157.02,6670300
2025-03-13,152.26,154.43,151.92,153.61,9022800
2025-03-12,153.64,154.79,152.22,152.67,9710200
2025-03-11,158.43,158.84,153.79,154.08,10466300
2025-03-10,157.19,160.37,156.17,157.57,11750300
2025-03-07,153.95,157.45,153.71,156.34,8562600
2025-03-06,150.51,153.33,149.47,152.95,7314700
2025-03-05,150.15,151.37,147.74,150.81,9288300
2025-03-04,151.21,154.15,150.05,152.0,8826300
2025-03-03,159.46,160.09,151.76,153.09,9059800
2025-02-28,156.7,158.67,154.92,158.62,8828500
2025-02-27,155.69,158.29,154.81,156.67,7517200
2025-02-26,156.62,156.69,154.4,155.14,6005200
2025-02-25,157.99,158.99,155.46,156.42,6810900
2025-02-24,157.09,158.33,156.75,157.89,5925000
2025-02-21,158.13,158.95,156.82,156.92,6689800
2025-02-20,157.5,158.95,157.07,158.79,6256200
2025-02-19,156.52,158.36,156.0,157.23,4945800
2025-02-18,155.34,157.31,154.78,156.16,5981500
2025-02-14,155.08,157.45,154.88,155.34,5828800
2025-02-13,153.08,154.7,151.64,154.17,7836400
2025-02-12,155.03,155.74,152.87,153.2,6693500
2025-02-11,154.63,156.97,154.41,155.71,6011800
2025-02-10,152.6,154.09,152.37,154.06,5653800
2025-02-07,150.81,152.12,150.25,150.95,4724900
2025-02-06,152.53,153.56,149.4,150.23,6420500
2025-02-05,151.31,152.11,150.62,151.31,6533700
2025-02-04,147.09,151.71,147.09,151.54,8458100
2025-02-03,147.37,149.21,146.18,147.7,7605000
2025-01-31,152.07,152.68,147.02,147.55,16731600
2025-01-30,154.84,155.72,153.81,154.61,6931900
2025-01-29,154.01,154.86,153.11,153.98,5630600
2025-01-28,155.98,157.18,153.48,154.5,6425400
2025-01-27,154.62,156.16,153.81,155.51,7141000
2025-01-24,154.74,155.74,153.57,153.94,8003800
2025-01-23,155.9,156.21,153.91,154.3,5979800
2025-01-22,155.95,156.7,154.56,154.69,7232200
2025-01-21,159.38,159.63,155.76,156.5,10131400
2025-01-17,157.38,160.0,157.06,159.7,9260400
2025-01-16,156.3,158.15,156.3,157.63,5578900
2025-01-15,155.16,156.95,154.66,156.59,7900000
2025-01-14,153.51,155.19,152.77,155.18,6830200
2025-01-13,152.41,155.62,152.31,153.65,11774100
2025-01-10,151.73,152.65,149.21,151.46,11074700
2025-01-08,146.42,149.52,146.41,148.65,7640900
2025-01-07,146.88,148.85,146.01,147.95,7736000
2025-01-06,146.77,148.68,145.26,145.64,5888700
2025-01-03,145.92,146.87,145.68,146.23,5809000
2025-01-02,143.88,146.45,143.88,145.1,7170300
2024-12-31,141.95,143.75,141.75,143.25,6137800
2024-12-30,142.21,142.4,140.79,141.5,6194800
2024-12-27,142.71,144.11,141.82,142.42,5296500
2024-12-26,142.09,142.73,141.33,142.4,4492600
2024-12-24,141.53,142.46,140.7,142.26,3556100
2024-12-23,140.92,141.78,139.99,141.4,8156500
2024-12-20,139.28,141.28,139.01,141.28,32209200
2024-12-19,142.98,143.17,139.4,139.6,16544300
2024-12-18,146.14,147.04,142.4,142.5,10174500
2024-12-17,146.38,147.02,145.3,146.49,11909300
2024-12-16,152.2,152.2,147.61,147.72,11961200
2024-12-13,153.17,153.26,151.39,152.18,5816200
2024-12-12,154.16,154.81,152.58,153.01,7621500
2024-12-11,155.14,155.45,154.09,154.5,13764700
2024-12-10,157.32,157.77,154.98,155.28,9126200
2024-12-09,155.28,158.32,155.1,155.36,9404500
2024-12-06,157.01,157.09,153.47,153.54,9701700
2024-12-05,157.54,158.91,156.95,157.58,6358400
2024-12-04,160.05,160.06,156.13,156.58,7862700
2024-12-03,161.19,161.41,159.62,160.14,5900100
2024-12-02,160.51,161.16,158.35,160.43,6229600
2024-11-29,160.47,160.96,158.9,160.15,5077000
2024-11-27,160.97,162.87,159.84,160.33,7674500
2024-11-26,160.53,161.15,159.63,160.75,7369500
2024-11-25,160.37,161.38,158.08,158.6,10702400
2024-11-22,159.74,160.83,159.38,160.58,7005900
2024-11-21,160.24,160.87,159.52,159.86,7945200
2024-11-20,158.16,159.67,158.03,159.56,6391300
2024-11-19,158.23,158.67,157.01,157.85,4657400
