Date,Open,High,Low,Close,Volume
2025-03-13,0.29,0.31,0.29,0.3,50438
2025-03-12,0.32,0.32,0.3,0.3,255600
2025-03-11,0.31,0.32,0.3,0.31,78000
2025-03-10,0.32,0.33,0.31,0.31,221600
2025-03-07,0.32,0.35,0.32,0.32,103500
2025-03-06,0.35,0.35,0.32,0.33,90600
2025-03-05,0.32,0.35,0.31,0.34,145000
2025-03-04,0.34,0.39,0.31,0.33,1312600
2025-03-03,0.32,0.33,0.32,0.32,133100
2025-02-28,0.34,0.35,0.32,0.33,715700
2025-02-27,0.32,0.4,0.31,0.37,2674000
2025-02-26,0.32,0.32,0.32,0.32,96300
2025-02-25,0.32,0.33,0.31,0.32,202300
2025-02-24,0.34,0.35,0.33,0.33,98300
2025-02-21,0.35,0.35,0.33,0.34,77200
2025-02-20,0.36,0.36,0.34,0.35,88900
2025-02-19,0.34,0.36,0.34,0.35,114500
2025-02-18,0.36,0.37,0.34,0.35,249200
2025-02-14,0.32,0.38,0.32,0.37,679900
2025-02-13,0.31,0.34,0.31,0.33,383300
2025-02-12,0.31,0.31,0.3,0.31,188100
2025-02-11,0.32,0.32,0.3,0.32,280400
2025-02-10,0.32,0.33,0.32,0.32,271800
2025-02-07,0.33,0.33,0.31,0.32,248600
2025-02-06,0.33,0.34,0.31,0.33,488400
2025-02-05,0.35,0.35,0.33,0.34,2001300
2025-02-04,0.34,0.36,0.34,0.35,195300
2025-02-03,0.34,0.36,0.33,0.35,158200
2025-01-31,0.35,0.35,0.33,0.33,141500
2025-01-30,0.37,0.37,0.33,0.36,204500
2025-01-29,0.38,0.38,0.35,0.36,94300
2025-01-28,0.38,0.38,0.35,0.35,309700
2025-01-27,0.37,0.38,0.37,0.38,375900
2025-01-24,0.35,0.41,0.34,0.37,1453800
2025-01-23,0.36,0.36,0.32,0.35,525100
2025-01-22,0.36,0.37,0.35,0.35,173200
2025-01-21,0.36,0.38,0.35,0.36,383700
2025-01-17,0.37,0.38,0.35,0.36,252100
2025-01-16,0.39,0.39,0.34,0.35,284800
2025-01-15,0.37,0.38,0.36,0.37,331000
2025-01-14,0.4,0.4,0.37,0.39,401100
2025-01-13,0.41,0.42,0.38,0.39,604700
2025-01-10,0.41,0.45,0.38,0.42,1292400
2025-01-08,0.41,0.45,0.35,0.41,1732600
2025-01-07,0.42,0.43,0.4,0.41,1386000
2025-01-06,0.4,0.46,0.36,0.45,4639300
2025-01-03,0.69,0.89,0.43,0.46,112391300
2025-01-02,0.38,0.39,0.37,0.37,189400
2024-12-31,0.38,0.4,0.35,0.38,648900
2024-12-30,0.35,0.39,0.32,0.37,1311100
2024-12-27,0.33,0.36,0.32,0.35,355100
2024-12-26,0.31,0.33,0.31,0.32,244300
2024-12-24,0.32,0.33,0.31,0.32,196600
2024-12-23,0.32,0.33,0.31,0.33,297800
2024-12-20,0.34,0.35,0.32,0.32,392200
2024-12-19,0.34,0.37,0.33,0.33,544000
2024-12-18,0.37,0.37,0.33,0.34,199300
2024-12-17,0.35,0.37,0.33,0.37,227500
2024-12-16,0.36,0.37,0.34,0.34,277100
2024-12-13,0.37,0.39,0.35,0.36,188000
2024-12-12,0.38,0.39,0.36,0.37,207900
2024-12-11,0.38,0.42,0.36,0.4,413400
2024-12-10,0.39,0.39,0.35,0.38,213900
2024-12-09,0.38,0.39,0.37,0.39,251800
2024-12-06,0.39,0.39,0.36,0.38,759800
2024-12-05,0.4,0.42,0.39,0.41,1152300
2024-12-04,0.43,0.43,0.39,0.4,388800
2024-12-03,0.41,0.47,0.4,0.45,692200
2024-12-02,0.4,0.44,0.39,0.41,439100
2024-11-29,0.34,0.44,0.34,0.41,1630600
2024-11-27,0.35,0.36,0.34,0.35,280100
2024-11-26,0.34,0.37,0.34,0.35,224400
2024-11-25,0.37,0.37,0.34,0.34,179000
2024-11-22,0.35,0.38,0.35,0.36,260300
2024-11-21,0.36,0.38,0.32,0.35,365000
2024-11-20,0.38,0.39,0.36,0.37,290800
2024-11-19,0.35,0.38,0.34,0.37,458000
2024-11-18,0.37,0.38,0.35,0.36,310000
2024-11-15,0.39,0.39,0.35,0.37,425000
2024-11-14,0.4,0.44,0.39,0.39,958000
2024-11-13,0.42,0.52,0.37,0.45,12669500
2024-11-12,0.44,0.44,0.39,0.41,3348500
2024-11-11,0.46,0.47,0.43,0.45,602800
2024-11-08,0.41,0.5,0.39,0.48,2732000
2024-11-07,0.48,0.52,0.38,0.43,3036800
2024-11-06,0.44,0.45,0.4,0.42,469200
2024-11-05,0.5,0.5,0.43,0.44,896200
2024-11-04,0.61,0.62,0.5,0.51,661300
2024-11-01,0.63,0.64,0.6,0.63,216600
2024-10-31,0.64,0.67,0.62,0.65,206700
2024-10-30,0.66,0.69,0.64,0.66,618000
2024-10-29,0.66,0.7,0.6,0.68,498600
2024-10-28,0.84,0.86,0.67,0.7,1452200
2024-10-25,0.85,0.9,0.79,0.83,766700
2024-10-24,1.0,1.01,0.81,0.87,1933400
2024-10-23,1.64,1.67,1.01,1.06,11956500
2024-10-22,1.46,2.49,1.38,1.43,27676200
2024-10-21,1.24,1.44,1.21,1.32,2443500
2024-10-18,1.06,1.99,1.04,1.14,14471500
2024-10-17,1.05,1.19,0.95,1.01,932100
2024-10-16,0.86,1.05,0.86,0.99,207100
2024-10-15,0.82,0.87,0.79,0.81,30800
2024-10-14,0.8,0.82,0.79,0.8,19900
2024-10-11,0.8,0.81,0.76,0.8,19800
2024-10-10,0.81,0.81,0.75,0.8,23800
2024-10-09,0.91,0.94,0.77,0.8,134900
2024-10-08,0.94,0.94,0.88,0.89,33600
2024-10-07,0.91,0.98,0.91,0.94,19300
2024-10-04,0.93,0.98,0.9,0.91,13200
2024-10-03,0.93,0.98,0.9,0.92,20000
2024-10-02,0.96,0.97,0.93,0.93,11500
2024-10-01,1.0,1.03,0.95,0.95,25100
2024-09-30,1.01,1.02,0.98,0.99,30800
2024-09-27,1.0,1.05,1.0,1.03,15900
2024-09-26,1.04,1.08,1.0,1.0,40200
2024-09-25,1.05,1.13,1.01,1.02,85000
2024-09-24,1.0,1.03,0.99,1.03,13900
2024-09-23,0.99,1.03,0.99,0.99,45200
2024-09-20,1.02,1.06,0.98,0.98,48700
2024-09-19,1.05,1.06,0.98,1.02,20400
2024-09-18,1.01,1.07,1.0,1.05,33500
2024-09-17,1.04,1.06,1.01,1.02,12100
2024-09-16,1.07,1.1,1.01,1.03,34000
2024-09-13,1.06,1.06,1.01,1.01,17000
2024-09-12,1.08,1.1,1.03,1.06,16100
2024-09-11,1.08,1.1,1.03,1.09,34700
2024-09-10,1.12,1.12,1.05,1.06,5200
2024-09-09,1.07,1.12,1.07,1.1,40400
2024-09-06,1.05,1.08,1.03,1.06,22500
2024-09-05,1.04,1.08,1.03,1.05,26700
2024-09-04,1.05,1.07,1.04,1.06,12400
2024-09-03,1.05,1.08,1.02,1.06,33900
2024-08-30,1.04,1.05,1.0,1.05,77800
2024-08-29,1.11,1.12,0.95,1.04,98300
2024-08-28,1.16,1.17,1.08,1.11,48700
2024-08-27,1.21,1.21,1.16,1.16,39900
2024-08-26,1.24,1.26,1.17,1.21,33200
2024-08-23,1.18,1.23,1.17,1.22,32900
2024-08-22,1.22,1.23,1.16,1.2,61800
2024-08-21,1.24,1.24,1.15,1.22,53200
2024-08-20,1.23,1.28,1.22,1.22,31800
2024-08-19,1.26,1.27,1.21,1.22,59900
2024-08-16,1.31,1.32,1.22,1.27,153800
2024-08-15,1.43,1.62,1.23,1.32,613100
2024-08-14,1.36,1.48,1.31,1.45,97000
2024-08-13,1.38,1.42,1.34,1.37,27600
2024-08-12,1.41,1.43,1.35,1.37,27500
2024-08-09,1.45,1.48,1.37,1.42,53300
2024-08-08,1.49,1.53,1.38,1.45,31400
2024-08-07,1.52,1.53,1.47,1.49,16600
2024-08-06,1.47,1.63,1.46,1.47,68000
2024-08-05,1.47,1.58,1.37,1.46,60200
2024-08-02,1.67,1.67,1.6,1.62,25100
2024-08-01,1.64,1.76,1.61,1.65,58900
2024-07-31,1.66,1.68,1.62,1.64,42200
2024-07-30,1.71,1.72,1.6,1.68,66700
2024-07-29,1.66,1.74,1.62,1.63,62300
2024-07-26,1.68,1.74,1.61,1.7,76100
2024-07-25,1.73,1.73,1.63,1.68,52900
2024-07-24,1.68,1.87,1.63,1.68,180200
2024-07-23,1.65,1.71,1.6,1.64,24000
2024-07-22,1.69,1.69,1.6,1.65,25500
2024-07-19,1.71,1.75,1.61,1.67,28300
2024-07-18,1.83,1.83,1.69,1.71,40200
2024-07-17,1.74,1.83,1.7,1.75,54200
2024-07-16,1.75,1.76,1.7,1.75,55100
2024-07-15,1.68,1.74,1.64,1.74,49600
2024-07-12,1.61,1.73,1.55,1.65,136400
2024-07-11,1.58,1.6,1.49,1.54,59500
2024-07-10,1.5,1.61,1.48,1.59,101300
2024-07-09,1.59,1.6,1.48,1.51,40900
2024-07-08,1.64,1.65,1.57,1.57,31500
2024-07-05,1.62,1.66,1.6,1.61,12600
2024-07-03,1.66,1.66,1.61,1.63,32500
2024-07-02,1.67,1.67,1.6,1.66,14200
2024-07-01,1.66,1.72,1.57,1.62,65500
2024-06-28,1.74,1.75,1.55,1.62,74100
2024-06-27,1.79,1.84,1.65,1.7,141000
2024-06-26,1.72,2.0,1.68,1.9,942800
2024-06-25,1.67,1.74,1.55,1.59,60000
2024-06-24,1.73,1.8,1.64,1.66,48100
2024-06-21,1.63,1.83,1.62,1.75,232800
2024-06-20,1.53,1.7,1.48,1.65,75100
2024-06-18,1.59,1.63,1.45,1.5,56800
2024-06-17,1.69,1.69,1.55,1.63,38500
2024-06-14,1.7,1.71,1.65,1.69,26500
2024-06-13,1.68,1.77,1.65,1.65,60200
2024-06-12,1.8,1.8,1.68,1.7,105500
2024-06-11,1.87,2.0,1.82,1.85,30300
2024-06-10,1.94,2.07,1.85,1.88,154900
2024-06-07,1.95,2.03,1.95,2.0,57200
2024-06-06,2.09,2.15,1.95,1.98,62700
2024-06-05,2.17,2.19,2.05,2.12,81400
2024-06-04,2.12,2.38,2.0,2.17,177200
2024-06-03,2.54,2.57,2.1,2.12,694800
2024-05-31,2.03,3.08,1.99,2.64,2367200
2024-05-30,2.02,2.05,1.99,2.02,20900
2024-05-29,2.0,2.07,1.96,2.05,43900
2024-05-28,2.11,2.15,1.93,2.01,53900
2024-05-24,2.05,2.12,1.99,2.05,41100
2024-05-23,2.13,2.13,2.01,2.05,60100
2024-05-22,2.24,2.24,2.11,2.12,30000
2024-05-21,2.18,2.33,2.11,2.25,45600
2024-05-20,2.37,2.37,2.14,2.18,82200
2024-05-17,2.28,2.4,2.23,2.29,35000
2024-05-16,2.39,2.48,2.25,2.34,51600
2024-05-15,2.81,2.81,2.3,2.44,165000
2024-05-14,2.22,2.84,2.22,2.84,260600
2024-05-13,2.46,2.72,2.37,2.54,387600
2024-05-10,2.22,2.3,2.16,2.27,82200
2024-05-09,2.35,2.6,2.27,2.31,204700
2024-05-08,2.13,2.5,2.06,2.32,326500
2024-05-07,2.07,2.18,2.02,2.11,248000
2024-05-06,1.94,2.2,1.93,2.07,262800
2024-05-03,2.37,2.52,1.94,2.0,567000
2024-05-02,2.5,3.15,2.44,2.49,1822400
2024-05-01,1.9,4.0,1.89,2.65,17564400
2024-04-30,1.93,2.29,1.74,2.12,21341100
2024-04-29,1.32,1.45,1.3,1.36,1499400
2024-04-26,1.55,1.56,1.46,1.51,181600
2024-04-25,1.78,1.99,1.41,1.6,3489600
2024-04-24,1.86,2.35,1.85,2.3,551100
2024-04-23,1.71,1.85,1.68,1.79,28400
2024-04-22,1.8,1.93,1.73,1.75,25500
2024-04-19,1.89,1.95,1.77,1.78,10300
2024-04-18,1.91,1.96,1.81,1.85,37900
2024-04-17,1.67,2.09,1.67,1.96,115100
2024-04-16,1.52,1.72,1.52,1.67,48900
2024-04-15,1.76,1.84,1.57,1.57,38800
2024-04-12,1.91,1.91,1.76,1.76,29500
2024-04-11,2.0,2.05,1.91,1.94,24200
2024-04-10,2.09,2.11,1.95,2.05,38300
2024-04-09,2.07,2.13,2.07,2.11,5700
2024-04-08,2.05,2.14,2.05,2.11,24900
2024-04-05,2.21,2.21,2.03,2.1,17900
2024-04-04,2.13,2.19,2.12,2.19,3800
2024-04-03,2.15,2.22,2.07,2.19,21500
2024-04-02,2.0,2.15,2.0,2.12,20100
2024-04-01,2.2,2.23,2.01,2.05,22100
2024-03-28,1.99,2.14,1.99,2.11,46100
2024-03-27,2.09,2.09,1.94,1.96,14700
2024-03-26,2.11,2.18,1.82,1.92,107900
2024-03-25,2.14,2.22,2.06,2.14,58500
2024-03-22,2.09,2.23,2.07,2.19,36900
2024-03-21,2.27,2.3,2.08,2.18,20100
2024-03-20,2.31,2.31,2.16,2.25,49200
2024-03-19,2.54,2.54,2.33,2.35,39500
2024-03-18,2.49,2.59,2.4,2.51,19500
2024-03-15,2.51,2.58,2.37,2.43,25500
2024-03-14,2.54,2.61,2.46,2.5,13000
2024-03-13,2.47,2.68,2.47,2.59,16200
2024-03-12,2.48,2.59,2.47,2.48,15400
2024-03-11,2.7,2.73,2.5,2.52,34000
2024-03-08,2.54,2.69,2.49,2.64,42500
2024-03-07,2.66,2.66,2.38,2.49,54000
2024-03-06,2.79,2.79,2.3,2.37,67400
2024-03-05,2.68,2.72,2.55,2.59,25500
2024-03-04,2.93,3.02,2.64,2.7,51500
2024-03-01,2.51,2.9,2.5,2.9,80800
2024-02-29,2.65,2.7,2.51,2.56,32200
2024-02-28,2.7,2.79,2.67,2.68,9400
2024-02-27,2.65,2.8,2.65,2.72,15200
2024-02-26,2.63,2.86,2.63,2.8,38600
2024-02-23,2.63,2.7,2.58,2.65,12400
2024-02-22,2.81,2.81,2.56,2.63,31100
2024-02-21,2.83,2.83,2.69,2.72,19600
2024-02-20,3.06,3.08,2.74,2.93,50000
2024-02-16,2.61,2.98,2.54,2.97,71700
2024-02-15,2.51,2.69,2.5,2.67,48600
2024-02-14,2.45,2.7,2.4,2.57,53900
2024-02-13,2.5,2.51,2.39,2.49,30700
2024-02-12,2.3,2.5,2.26,2.46,56200
2024-02-09,2.35,2.35,2.25,2.28,32400
2024-02-08,2.36,2.38,2.21,2.32,45900
2024-02-07,2.51,2.51,2.32,2.33,29800
2024-02-06,2.62,2.74,2.43,2.51,189800
2024-02-05,2.29,2.58,2.2,2.58,163700
2024-02-02,2.19,2.27,2.16,2.23,22600
