Date,Open,High,Low,Close,Volume
2025-03-12,0.01,0.01,0.01,0.01,15100
2025-03-11,0.01,0.01,0.01,0.01,49800
2025-03-10,0.01,0.01,0.01,0.01,186000
2025-03-07,0.01,0.01,0.01,0.01,2500
2025-03-06,0.01,0.01,0.01,0.01,100
2025-03-05,0.01,0.01,0.01,0.01,1000
2025-03-04,0.01,0.01,0.01,0.01,52000
2025-03-03,0.01,0.01,0.01,0.01,94400
2025-02-28,0.01,0.01,0.01,0.01,5300
2025-02-27,0.01,0.01,0.01,0.01,128900
2025-02-26,0.01,0.01,0.01,0.01,187700
2025-02-25,0.01,0.01,0.01,0.01,151100
2025-02-24,0.01,0.01,0.01,0.01,109100
2025-02-21,0.01,0.01,0.01,0.01,98100
2025-02-20,0.01,0.01,0.01,0.01,60200
2025-02-19,0.01,0.01,0.01,0.01,10100
2025-02-18,0.01,0.01,0.01,0.01,0
2025-02-14,0.01,0.01,0.01,0.01,105900
2025-02-13,0.01,0.01,0.01,0.01,25400
2025-02-12,0.01,0.01,0.01,0.01,406300
2025-02-11,0.01,0.01,0.01,0.01,194600
2025-02-10,0.01,0.01,0.01,0.01,32000
2025-02-07,0.01,0.01,0.01,0.01,53500
2025-02-06,0.01,0.01,0.01,0.01,0
2025-02-05,0.01,0.01,0.01,0.01,150200
2025-02-04,0.01,0.01,0.01,0.01,33200
2025-02-03,0.01,0.01,0.01,0.01,40100
2025-01-31,0.01,0.01,0.01,0.01,203000
2025-01-30,0.01,0.01,0.01,0.01,65400
2025-01-29,0.01,0.01,0.01,0.01,100000
2025-01-28,0.01,0.01,0.01,0.01,47600
2025-01-27,0.01,0.01,0.01,0.01,74900
2025-01-24,0.01,0.01,0.01,0.01,84000
2025-01-23,0.01,0.01,0.01,0.01,109300
2025-01-22,0.01,0.01,0.01,0.01,432300
2025-01-21,0.01,0.01,0.01,0.01,348200
2025-01-17,0.01,0.01,0.01,0.01,0
2025-01-16,0.01,0.01,0.01,0.01,175200
2025-01-15,0.01,0.01,0.01,0.01,117000
2025-01-14,0.01,0.01,0.01,0.01,40300
2025-01-13,0.01,0.01,0.01,0.01,0
2025-01-10,0.01,0.01,0.01,0.01,206900
2025-01-08,0.01,0.01,0.01,0.01,5100
2025-01-07,0.01,0.01,0.01,0.01,20000
2025-01-06,0.01,0.01,0.01,0.01,158300
2025-01-03,0.01,0.01,0.01,0.01,98000
2025-01-02,0.01,0.01,0.01,0.01,486700
2024-12-31,0.01,0.01,0.0,0.01,3981000
2024-12-30,0.01,0.01,0.01,0.01,39100
2024-12-27,0.01,0.01,0.01,0.01,65200
2024-12-26,0.01,0.01,0.01,0.01,110300
2024-12-24,0.01,0.01,0.01,0.01,19500
2024-12-23,0.01,0.01,0.01,0.01,16000
2024-12-20,0.01,0.01,0.01,0.01,130200
2024-12-19,0.01,0.01,0.01,0.01,1700
2024-12-18,0.01,0.01,0.01,0.01,111200
2024-12-17,0.01,0.02,0.01,0.01,242500
2024-12-16,0.01,0.02,0.01,0.01,84200
2024-12-13,0.01,0.01,0.01,0.01,72600
2024-12-12,0.01,0.02,0.01,0.01,63600
2024-12-11,0.01,0.02,0.01,0.01,247400
2024-12-10,0.01,0.01,0.01,0.01,2800
2024-12-09,0.01,0.01,0.01,0.01,10100
2024-12-06,0.02,0.02,0.01,0.01,521900
2024-12-05,0.02,0.02,0.02,0.02,105900
2024-12-04,0.02,0.02,0.02,0.02,98500
2024-12-03,0.02,0.02,0.02,0.02,38500
2024-12-02,0.02,0.02,0.02,0.02,36100
2024-11-29,0.02,0.02,0.02,0.02,34500
2024-11-27,0.02,0.02,0.02,0.02,0
2024-11-26,0.02,0.02,0.02,0.02,2800
2024-11-25,0.02,0.02,0.02,0.02,337200
2024-11-22,0.02,0.03,0.02,0.02,1895700
2024-11-21,0.02,0.02,0.02,0.02,222000
2024-11-20,0.02,0.02,0.02,0.02,703700
2024-11-19,0.02,0.02,0.02,0.02,2834600
2024-11-18,0.02,0.02,0.01,0.02,750600
2024-11-15,0.02,0.02,0.01,0.02,1421300
2024-11-14,0.02,0.03,0.02,0.02,1336200
2024-11-13,0.02,0.03,0.02,0.03,2800600
2024-11-12,0.01,0.02,0.01,0.02,431500
2024-11-11,0.01,0.01,0.01,0.01,556500
2024-11-08,0.01,0.01,0.01,0.01,111700
2024-11-07,0.01,0.01,0.01,0.01,815100
2024-11-06,0.01,0.01,0.01,0.01,1171300
2024-11-05,0.01,0.01,0.01,0.01,743700
2024-11-04,0.01,0.01,0.01,0.01,493100
2024-11-01,0.01,0.01,0.01,0.01,418900
2024-10-31,0.01,0.01,0.01,0.01,480800
2024-10-30,0.01,0.01,0.01,0.01,50700
2024-10-29,0.01,0.01,0.01,0.01,353600
2024-10-28,0.01,0.01,0.01,0.01,907000
2024-10-25,0.01,0.01,0.01,0.01,340700
2024-10-24,0.01,0.01,0.01,0.01,116000
2024-10-23,0.01,0.01,0.01,0.01,181100
2024-10-22,0.01,0.01,0.01,0.01,80000
2024-10-21,0.01,0.01,0.01,0.01,70000
2024-10-18,0.01,0.01,0.01,0.01,143500
2024-10-17,0.01,0.01,0.01,0.01,10700
2024-10-16,0.01,0.01,0.01,0.01,405500
2024-10-15,0.01,0.01,0.01,0.01,51200
2024-10-14,0.01,0.01,0.01,0.01,3300
2024-10-11,0.01,0.01,0.01,0.01,54600
2024-10-10,0.01,0.01,0.01,0.01,385400
2024-10-09,0.01,0.01,0.01,0.01,195900
2024-10-08,0.01,0.01,0.01,0.01,398400
2024-10-07,0.01,0.01,0.01,0.01,0
2024-10-04,0.01,0.01,0.01,0.01,60300
2024-10-03,0.01,0.01,0.01,0.01,20000
2024-10-02,0.01,0.01,0.01,0.01,24500
2024-10-01,0.01,0.01,0.01,0.01,13500
2024-09-30,0.01,0.01,0.01,0.01,135300
2024-09-27,0.01,0.01,0.01,0.01,65500
2024-09-26,0.01,0.01,0.01,0.01,15100
2024-09-25,0.01,0.01,0.01,0.01,0
2024-09-24,0.01,0.01,0.01,0.01,80600
2024-09-23,0.01,0.01,0.01,0.01,47900
2024-09-20,0.01,0.01,0.01,0.01,0
2024-09-19,0.01,0.01,0.01,0.01,52600
2024-09-18,0.01,0.01,0.01,0.01,0
2024-09-17,0.01,0.01,0.01,0.01,75700
2024-09-16,0.01,0.01,0.01,0.01,55500
2024-09-13,0.01,0.01,0.01,0.01,1100
2024-09-12,0.01,0.01,0.01,0.01,5500
2024-09-11,0.01,0.01,0.01,0.01,329900
2024-09-10,0.01,0.01,0.01,0.01,239300
2024-09-09,0.01,0.01,0.01,0.01,272400
2024-09-06,0.01,0.01,0.01,0.01,531800
2024-09-05,0.01,0.01,0.01,0.01,516000
2024-09-04,0.01,0.01,0.01,0.01,156700
2024-09-03,0.01,0.02,0.01,0.02,184300
2024-08-30,0.02,0.02,0.01,0.01,157400
2024-08-29,0.02,0.02,0.01,0.02,10600
2024-08-28,0.02,0.02,0.01,0.02,172400
2024-08-27,0.02,0.02,0.02,0.02,208600
2024-08-26,0.02,0.02,0.02,0.02,56100
2024-08-23,0.02,0.02,0.02,0.02,142600
2024-08-22,0.02,0.02,0.02,0.02,136200
