Date,Open,High,Low,Close,Volume
2025-03-19,35.28,35.99,35.28,35.81,500839
2025-03-18,35.66,35.91,34.82,35.37,7289100
2025-03-17,34.63,35.38,34.63,35.11,7567000
2025-03-14,33.61,34.58,33.44,34.55,8375800
2025-03-13,34.15,34.33,33.18,33.55,9821100
2025-03-12,34.29,35.03,34.04,34.5,7621600
2025-03-11,34.35,34.93,33.78,34.17,8721900
2025-03-10,34.45,34.73,33.29,33.97,10579000
2025-03-07,33.95,34.96,33.85,34.46,10540900
2025-03-06,33.26,33.93,32.87,33.63,8651600
2025-03-05,33.36,33.62,32.48,33.42,14135300
2025-03-04,33.56,34.72,32.86,34.01,14139100
2025-03-03,36.23,36.38,33.6,34.17,13946000
2025-02-28,35.27,36.02,34.96,35.96,9073100
2025-02-27,35.45,36.43,35.14,35.63,7400600
2025-02-26,35.58,35.95,35.03,35.21,8136300
2025-02-25,36.98,36.98,35.53,35.63,10935600
2025-02-24,37.32,37.39,36.64,37.05,7804300
2025-02-21,37.98,38.38,37.08,37.22,11546100
2025-02-20,37.78,38.6,37.44,38.28,11384100
2025-02-19,35.94,38.37,35.94,37.3,21954200
2025-02-18,34.74,35.25,34.13,34.63,10239900
2025-02-14,34.22,34.95,34.19,34.39,9066800
2025-02-13,33.71,33.98,33.3,33.98,7229400
2025-02-12,34.6,34.98,33.58,33.73,8741000
2025-02-11,34.19,35.16,34.1,34.87,9504100
2025-02-10,33.3,34.23,33.24,34.02,8701700
2025-02-07,33.3,33.49,32.88,32.91,5509800
2025-02-06,34.25,34.36,32.79,33.18,8907100
2025-02-05,34.01,34.13,33.53,33.9,7592800
2025-02-04,33.09,34.35,32.97,34.18,7057200
2025-02-03,33.94,33.95,33.15,33.51,9706600
2025-01-31,34.75,34.78,33.55,33.86,8392600
2025-01-30,35.11,35.15,34.51,34.8,6101900
2025-01-29,34.6,34.98,34.23,34.82,7126600
2025-01-28,35.43,35.43,34.3,34.63,6961200
2025-01-27,35.74,36.21,34.88,35.08,9972000
2025-01-24,36.47,36.49,35.51,35.7,7202300
2025-01-23,36.44,36.96,36.05,36.19,6550300
2025-01-22,36.45,36.94,36.17,36.2,7971600
2025-01-21,37.23,37.38,36.16,36.47,13092100
2025-01-17,37.92,38.36,37.45,37.68,9359800
2025-01-16,37.76,38.37,37.65,38.15,8471200
2025-01-15,37.42,38.45,37.1,38.16,15331700
2025-01-14,36.36,37.12,36.27,36.92,9395600
2025-01-13,36.13,37.25,36.09,36.51,12201100
2025-01-10,35.99,36.62,35.4,35.73,14356700
2025-01-08,34.22,34.95,34.12,34.9,10936900
2025-01-07,33.8,34.85,33.76,34.44,11021700
2025-01-06,33.93,34.62,33.44,33.51,12626900
2025-01-03,33.45,33.79,33.11,33.69,8817900
2025-01-02,33.13,33.69,32.91,33.16,10072200
2024-12-31,31.72,32.55,31.66,32.5,10409800
2024-12-30,31.04,32.0,30.89,31.74,12334300
2024-12-27,30.87,31.37,30.77,30.98,9097600
2024-12-26,31.02,31.08,30.68,30.89,9002200
2024-12-24,30.77,31.06,30.34,31.02,5806600
2024-12-23,30.49,30.87,30.3,30.76,11098900
2024-12-20,30.23,30.91,30.17,30.55,34647800
2024-12-19,31.23,31.44,30.27,30.3,15241500
2024-12-18,31.87,32.13,30.85,30.88,13828400
2024-12-17,31.95,32.14,31.62,31.94,14450800
2024-12-16,33.51,33.51,32.33,32.36,15130700
2024-12-13,33.76,34.01,33.15,33.64,10477200
2024-12-12,34.23,34.28,33.42,33.67,11943700
2024-12-11,34.45,34.46,34.06,34.29,10382700
2024-12-10,35.21,35.28,34.22,34.26,8887400
2024-12-09,34.92,35.43,34.38,35.03,11704100
2024-12-06,35.41,35.42,34.29,34.52,13002500
2024-12-05,35.8,36.16,35.43,35.47,10313200
2024-12-04,37.09,37.1,35.55,35.8,13021700
2024-12-03,37.41,37.48,36.76,37.07,7316800
2024-12-02,37.45,37.63,36.65,37.1,7837900
2024-11-29,37.49,37.68,37.35,37.44,3241000
2024-11-27,37.27,37.85,37.27,37.33,6298300
2024-11-26,37.61,37.76,36.78,37.2,10083200
2024-11-25,38.93,39.05,37.69,37.75,11970200
2024-11-22,38.13,39.11,38.09,38.92,7465200
2024-11-21,38.03,38.46,37.88,38.18,7169000
2024-11-20,37.44,38.27,37.42,37.78,5777500
2024-11-19,37.68,38.04,37.38,37.4,8134100
2024-11-18,38.28,38.64,37.98,38.25,6576900
2024-11-15,38.68,39.2,37.82,37.95,6725300
2024-11-14,38.94,39.09,38.37,38.85,5235700
2024-11-13,37.91,38.82,37.43,38.58,8317600
2024-11-12,38.56,38.83,37.78,37.82,8057400
2024-11-11,38.19,38.57,37.84,38.43,8426700
2024-11-08,38.3,38.66,38.12,38.35,8623300
2024-11-07,39.26,39.26,38.27,38.36,12981500
2024-11-06,39.16,39.99,37.77,39.48,17787000
2024-11-05,38.6,39.06,38.27,38.81,12281800
2024-11-04,38.16,38.89,37.99,38.62,7877000
2024-11-01,38.32,38.59,37.64,37.8,6921500
2024-10-31,38.16,38.55,37.92,38.16,7033800
2024-10-30,37.9,38.33,37.64,37.83,6318600
2024-10-29,37.98,38.17,37.56,37.62,6111100
2024-10-28,37.66,38.36,37.46,38.07,8475500
2024-10-25,39.3,39.48,38.34,38.66,9322100
2024-10-24,39.17,39.32,38.73,38.98,4223100
2024-10-23,39.35,39.48,38.67,38.98,7346500
2024-10-22,39.74,39.89,39.41,39.63,5918700
2024-10-21,40.37,40.51,39.4,39.54,6248200
2024-10-18,39.91,40.14,39.54,40.11,6942900
2024-10-17,40.16,40.36,39.16,40.03,21526000
2024-10-16,40.91,41.05,40.08,40.14,7566400
2024-10-15,40.87,41.28,40.46,40.64,8384900
2024-10-14,42.0,42.34,41.83,42.29,5866100
2024-10-11,42.07,42.72,41.98,42.38,5979100
2024-10-10,41.58,42.41,41.35,42.28,7454900
2024-10-09,40.72,41.56,40.56,41.39,6264600
2024-10-08,41.28,41.39,40.48,41.12,7402600
2024-10-07,41.85,42.45,41.74,42.03,8362700
2024-10-04,41.83,41.97,41.29,41.85,10288300
2024-10-03,39.97,41.34,39.85,41.23,11722800
2024-10-02,39.95,40.18,39.36,39.95,8133200
2024-10-01,38.24,39.61,38.13,39.22,12618700
2024-09-30,38.38,38.98,38.15,38.59,10931400
2024-09-27,37.77,38.53,37.69,38.43,8631700
2024-09-26,38.67,38.87,37.26,37.36,16997600
2024-09-25,40.18,40.34,39.23,39.26,8386600
2024-09-24,41.28,41.31,40.37,40.46,6905000
2024-09-23,40.24,40.93,39.98,40.56,7209800
2024-09-20,40.24,40.34,39.66,40.24,12847500
2024-09-19,40.57,40.87,40.23,40.42,6471500
2024-09-18,39.64,40.55,39.52,39.82,5996600
2024-09-17,39.02,40.01,38.88,39.91,7490700
2024-09-16,39.21,39.64,38.86,39.1,7139000
2024-09-13,39.24,39.55,38.83,38.92,8673500
2024-09-12,38.98,39.46,38.42,39.04,8038100
2024-09-11,39.27,39.28,38.07,38.96,10260800
2024-09-10,40.39,40.42,39.12,39.25,7926400
2024-09-09,40.49,40.83,40.27,40.39,7694700
2024-09-06,41.07,41.35,40.08,40.33,6226400
2024-09-05,41.61,41.7,40.91,41.06,5320900
2024-09-04,42.15,42.41,41.07,41.21,6316400
2024-09-03,42.89,43.01,41.77,41.97,6389000
2024-08-30,43.46,43.75,43.3,43.69,5832500
2024-08-29,43.85,44.24,43.43,43.9,4365500
2024-08-28,43.21,43.78,43.17,43.5,3651200
2024-08-27,43.96,44.16,43.5,43.56,3767300
2024-08-26,44.39,44.92,43.91,44.04,5334100
2024-08-23,42.93,43.68,42.88,43.61,4314300
2024-08-22,42.88,43.01,42.48,42.61,4173600
2024-08-21,43.43,43.55,42.55,42.77,5366600
2024-08-20,43.89,43.9,42.73,42.97,6267700
2024-08-19,44.16,44.43,43.95,44.09,5064500
2024-08-16,43.87,44.31,43.73,43.99,4917900
2024-08-15,43.65,44.44,43.65,44.33,5403700
2024-08-14,43.71,43.75,43.09,43.41,5709600
2024-08-13,43.67,43.94,43.26,43.55,6873000
2024-08-12,44.02,44.37,43.88,44.23,4920600
2024-08-09,43.91,44.09,43.22,43.83,6233400
2024-08-08,42.7,44.11,42.54,44.01,8819700
2024-08-07,42.46,43.37,42.09,42.12,11873900
2024-08-06,40.53,41.4,40.32,40.96,8326700
