Date,Open,High,Low,Close,Volume
2025-03-12,6.02,6.63,5.51,6.11,51486
2025-03-11,6.7,6.85,6.3,6.61,13672
2025-03-10,7.1,7.47,6.5,6.71,11799
2025-03-07,7.78,7.95,7.37,7.5,2717
2025-03-06,7.5,7.85,6.9,7.85,1224
2025-03-05,7.25,7.85,7.23,7.4,4409
2025-03-04,7.05,7.29,6.5,7.01,3787
2025-03-03,7.5,7.67,6.85,7.05,5357
2025-02-28,7.88,7.92,7.3,7.68,4251
2025-02-27,8.0,8.3,7.33,8.0,6325
2025-02-26,7.8,7.81,7.3,7.7,3160
2025-02-25,7.75,7.88,7.08,7.44,7404
2025-02-24,7.4,8.4,7.01,8.2,37123
2025-02-21,6.97,7.1,6.7,6.88,9173
2025-02-20,6.41,7.48,6.16,7.2,31189
2025-02-19,7.22,7.85,5.65,7.3,1348359
2025-02-18,6.77,6.86,6.2,6.58,4328
2025-02-14,6.31,6.78,6.2,6.46,4342
2025-02-13,7.0,7.0,6.5,6.89,2765
2025-02-12,6.93,7.4,6.41,7.02,5851
2025-02-11,6.5,7.2,6.5,7.2,3646
2025-02-10,7.2,7.35,6.4,6.73,11203
2025-02-07,7.3,7.77,7.2,7.21,6005
2025-02-06,7.01,8.0,6.96,7.36,7020
2025-02-05,6.94,7.6,6.7,7.15,7089
2025-02-04,7.04,7.04,5.8,6.9,20858
2025-02-03,6.8,7.08,6.6,6.74,5380
2025-01-31,7.4,7.9,6.8,7.01,8642
2025-01-30,8.05,8.12,7.5,7.54,10246
2025-01-29,7.9,8.2,6.26,7.44,12096
2025-01-28,8.5,8.9,7.8,8.3,16928
2025-01-27,10.5,10.5,7.8,9.5,252901
2025-01-24,9.0,9.0,8.26,8.87,14008
2025-01-23,7.7,9.2,7.5,8.79,57144
2025-01-22,7.6,7.8,7.5,7.6,2329
2025-01-21,7.3,7.8,7.3,7.8,6187
2025-01-17,7.74,7.74,7.31,7.34,4073
2025-01-16,7.8,8.2,7.0,7.74,18904
2025-01-15,8.16,8.49,7.7,7.75,5287
2025-01-14,8.43,8.5,7.8,8.02,13409
2025-01-13,8.4,8.5,7.7,8.03,6973
2025-01-10,8.49,8.5,8.1,8.3,3739
2025-01-08,8.2,8.5,7.32,8.5,12477
2025-01-07,8.33,9.0,7.0,8.26,10565
2025-01-06,8.89,9.05,8.32,8.32,12269
