Date,Open,High,Low,Close,Volume
2025-03-13,2.05,2.49,2.05,2.4,100870
2025-03-12,1.91,2.12,1.87,2.09,55900
2025-03-11,1.91,1.95,1.82,1.94,71200
2025-03-10,2.1,2.11,1.88,1.92,69200
2025-03-07,2.2,2.22,2.09,2.13,44300
2025-03-06,2.21,2.39,2.21,2.23,74800
2025-03-05,2.21,2.49,1.93,2.41,188400
2025-03-04,2.53,2.86,2.25,2.3,297600
2025-03-03,3.77,3.77,2.62,2.79,380800
2025-02-28,4.0,4.15,3.65,3.97,91136
2025-02-27,4.7,4.7,4.25,4.25,136676
2025-02-26,4.82,5.43,4.82,5.1,38060
2025-02-25,5.05,5.35,4.8,4.95,54392
2025-02-24,5.57,5.93,4.88,5.4,103736
2025-02-21,5.88,5.88,5.38,5.45,80716
2025-02-20,5.53,6.1,5.38,5.82,127504
2025-02-19,5.65,6.22,5.25,5.82,336164
2025-02-18,5.7,7.75,5.12,5.57,2007504
2025-02-14,4.47,5.22,4.43,5.05,624544
2025-02-13,4.38,4.5,4.25,4.43,69980
2025-02-12,4.5,4.65,4.05,4.47,105552
2025-02-11,4.5,4.55,4.35,4.45,100092
2025-02-10,4.7,4.93,4.5,4.62,105916
2025-02-07,4.85,5.0,4.62,4.8,110996
2025-02-06,4.82,5.25,4.75,5.0,208032
2025-02-05,6.8,7.05,4.55,5.2,2661176
2025-02-04,5.5,5.5,5.2,5.25,53208
2025-02-03,5.5,5.5,5.07,5.5,88372
2025-01-31,6.25,6.5,5.5,5.62,125420
2025-01-30,6.35,6.5,5.82,6.12,58632
2025-01-29,6.53,7.0,6.25,6.43,53420
2025-01-28,6.5,6.72,5.93,6.5,93672
2025-01-27,7.25,7.7,6.25,6.78,97496
2025-01-24,6.93,8.0,6.75,7.47,204664
2025-01-23,6.68,6.97,6.5,6.85,63844
2025-01-22,6.6,7.15,6.25,7.0,119736
2025-01-21,6.88,6.95,6.3,6.5,88924
2025-01-17,6.35,7.22,6.35,7.0,191044
2025-01-16,5.8,6.75,5.5,6.25,282356
2025-01-15,6.18,6.2,5.25,5.5,151080
2025-01-14,6.7,6.72,5.55,5.85,194620
2025-01-13,7.5,7.5,5.93,6.07,785260
2025-01-10,7.25,7.72,6.25,7.57,182664
2025-01-08,8.0,8.45,7.38,7.38,851332
2025-01-07,7.78,8.7,7.75,7.95,117576
2025-01-06,9.0,10.6,8.12,8.3,381324
2025-01-03,8.0,8.75,7.43,8.4,133172
2025-01-02,7.8,8.25,7.32,7.78,77952
2024-12-31,8.25,8.45,7.75,8.05,89972
2024-12-30,8.5,9.25,7.75,8.18,276000
2024-12-27,7.68,9.2,7.1,8.62,426956
