Date,Open,High,Low,Close,Volume
2025-03-13,4.55,4.55,3.85,3.91,60486
2025-03-12,4.59,4.59,4.17,4.56,17200
2025-03-11,4.9,4.9,4.53,4.6,12500
2025-03-10,4.93,4.93,4.68,4.83,15800
2025-03-07,5.12,5.2,4.95,5.02,4700
2025-03-06,4.85,5.2,4.85,5.2,19000
2025-03-05,5.28,5.29,4.99,5.11,15300
2025-03-04,5.31,5.41,5.01,5.41,4400
2025-03-03,5.55,5.55,5.12,5.33,6500
2025-02-28,5.72,5.72,5.2,5.39,7700
2025-02-27,5.4,5.58,5.18,5.25,8400
2025-02-26,5.1,5.39,5.1,5.39,9600
2025-02-25,5.04,5.22,4.78,4.98,17200
2025-02-24,5.37,5.41,5.04,5.04,25600
2025-02-21,5.56,5.64,5.25,5.4,15000
2025-02-20,5.79,5.79,5.4,5.63,10900
2025-02-19,6.14,6.14,5.53,5.61,27900
2025-02-18,5.92,6.0,5.69,6.0,9200
2025-02-14,6.13,6.19,5.8,5.8,8500
2025-02-13,5.81,6.1,5.8,6.05,12600
2025-02-12,5.61,6.07,5.61,6.07,20100
2025-02-11,5.8,5.8,5.34,5.54,19700
2025-02-10,6.18,6.18,5.8,5.8,19000
2025-02-07,6.4,6.4,6.06,6.16,13900
2025-02-06,6.0,6.46,5.92,6.4,18100
2025-02-05,5.9,6.33,5.55,6.19,149300
2025-02-04,6.51,6.6,6.28,6.29,16700
2025-02-03,6.83,6.83,6.51,6.6,12000
2025-01-31,6.75,6.99,6.75,6.87,33600
2025-01-30,7.0,7.36,6.61,6.71,19200
2025-01-29,7.1,7.26,6.75,6.93,19000
2025-01-28,7.36,7.65,7.14,7.15,22900
2025-01-27,7.45,7.63,7.2,7.31,22500
2025-01-24,7.75,8.12,7.28,7.58,57800
2025-01-23,8.11,8.25,7.51,7.94,113400
2025-01-22,8.6,8.97,7.0,8.28,422000
2025-01-21,7.77,8.3,7.77,8.0,32700
2025-01-17,6.92,7.87,6.92,7.77,34500
2025-01-16,7.17,7.4,6.91,7.0,29700
2025-01-15,6.83,7.25,6.78,7.16,13600
2025-01-14,7.06,7.27,6.75,6.75,52000
2025-01-13,7.38,7.73,6.86,7.17,58000
2025-01-10,7.76,7.93,7.3,7.49,33300
2025-01-08,8.22,8.23,7.5,7.92,69500
2025-01-07,8.67,8.83,8.18,8.2,42800
2025-01-06,9.31,9.31,8.5,8.62,72000
2025-01-03,8.43,9.57,8.36,9.15,103800
2025-01-02,8.3,8.35,8.06,8.25,34100
2024-12-31,8.5,8.99,7.73,8.14,36700
2024-12-30,8.75,9.01,8.57,8.62,44300
2024-12-27,9.13,9.14,8.2,8.88,93800
2024-12-26,9.65,9.88,8.67,9.36,93900
2024-12-24,8.49,10.96,8.02,9.98,230900
2024-12-23,7.94,8.58,7.89,8.26,72900
2024-12-20,8.01,8.59,7.49,8.1,154900
2024-12-19,6.18,8.81,5.97,7.95,677500
2024-12-18,6.24,6.44,5.96,6.07,60100
2024-12-17,6.21,7.0,6.16,6.36,123100
2024-12-16,5.71,8.27,5.58,6.41,738100
2024-12-13,6.04,6.36,5.34,5.62,136400
2024-12-12,6.52,6.8,6.12,6.12,93600
2024-12-11,6.8,7.11,6.36,6.79,107800
2024-12-10,6.99,7.66,6.6,6.85,126600
2024-12-09,7.81,8.0,7.18,7.21,146900
2024-12-06,7.01,8.69,6.75,8.19,227600
2024-12-05,7.35,7.61,7.2,7.24,77540
2024-12-04,7.57,7.8,7.24,7.59,164887
2024-12-03,8.82,8.82,7.88,8.25,72953
2024-12-02,7.65,9.3,7.28,8.85,150773
2024-11-29,7.29,7.89,7.2,7.41,36773
2024-11-27,8.25,8.25,7.36,7.51,49493
2024-11-26,7.49,8.4,7.05,8.22,238247
2024-11-25,7.23,7.5,6.75,7.18,78000
2024-11-22,8.4,8.4,6.32,6.45,266347
2024-11-21,9.6,9.82,8.55,8.88,132700
2024-11-20,10.41,10.41,9.61,9.84,78180
2024-11-19,10.2,11.13,9.9,10.17,155387
2024-11-18,10.05,10.65,9.6,10.2,111800
2024-11-15,9.54,10.69,9.3,10.05,218973
2024-11-14,10.31,10.43,9.23,9.54,208640
2024-11-13,11.81,12.15,10.2,10.64,1176760
2024-11-12,9.98,10.35,9.59,10.12,154767
2024-11-11,10.8,10.95,9.9,10.36,142747
2024-11-08,10.03,11.25,9.15,10.95,555233
2024-11-07,9.9,14.67,9.9,10.44,9647807
2024-11-06,8.48,8.48,7.5,8.25,850227
2024-11-05,8.73,8.73,7.53,7.83,266127
2024-11-04,10.65,11.1,8.11,8.69,1007313
2024-11-01,9.3,13.05,8.74,9.75,9532067
2024-10-31,7.82,9.57,7.8,8.64,1084807
2024-10-30,7.68,11.7,6.86,9.57,31992020
2024-10-29,4.98,6.99,4.88,6.22,2212367
2024-10-28,5.18,5.95,4.99,4.99,245513
2024-10-25,4.88,5.45,4.5,5.31,238280
2024-10-24,5.66,5.66,4.65,4.72,443420
2024-10-23,6.9,6.9,5.7,6.01,1275700
2024-10-22,7.84,12.33,6.47,8.09,49224980
2024-10-21,2.74,3.38,2.7,3.09,935207
2024-10-18,2.61,2.73,2.46,2.67,30920
2024-10-17,2.57,2.85,2.57,2.68,84047
2024-10-16,2.55,2.6,2.31,2.6,99440
2024-10-15,2.65,2.7,2.12,2.52,99280
2024-10-14,2.7,2.76,2.49,2.55,36787
2024-10-11,2.81,2.97,2.65,2.67,28327
2024-10-10,2.73,2.82,2.55,2.79,35447
2024-10-09,2.85,2.85,2.57,2.7,18193
2024-10-08,3.09,3.29,2.73,2.81,39073
2024-10-07,3.45,3.57,3.22,3.3,16113
2024-10-04,3.48,3.6,3.3,3.36,16327
2024-10-03,3.39,3.6,3.38,3.48,4633
2024-10-02,3.45,3.6,3.36,3.51,10433
2024-10-01,3.6,3.62,3.35,3.42,15893
2024-09-30,3.72,3.75,3.46,3.6,47827
2024-09-27,4.05,4.35,3.97,4.32,29813
2024-09-26,4.5,4.5,3.97,4.09,18960
2024-09-25,4.5,4.5,4.36,4.47,7400
2024-09-24,4.43,4.66,4.36,4.49,11593
2024-09-23,4.72,4.72,4.35,4.41,29307
2024-09-20,4.98,5.03,4.8,4.83,12767
2024-09-19,5.1,5.1,4.83,4.95,18613
2024-09-18,5.16,5.25,4.95,4.95,6713
2024-09-17,5.1,5.32,5.1,5.24,13100
2024-09-16,5.05,5.55,4.89,5.18,10567
2024-09-13,4.8,5.1,4.72,4.89,12040
2024-09-12,5.22,5.22,4.7,4.72,25247
2024-09-11,5.1,5.25,4.95,5.03,16087
2024-09-10,5.32,5.4,5.03,5.1,19267
2024-09-09,5.55,5.58,5.11,5.39,29173
2024-09-06,5.55,5.64,5.41,5.61,13900
2024-09-05,5.55,5.79,5.41,5.62,25327
2024-09-04,5.55,5.7,5.25,5.61,24567
2024-09-03,6.0,6.0,5.32,5.47,36180
2024-08-30,6.0,6.0,5.4,5.93,61393
2024-08-29,6.11,6.82,5.85,6.14,369107
2024-08-28,8.62,9.75,8.25,9.39,293987
2024-08-27,11.55,12.23,8.37,9.66,6340960
2024-08-26,6.75,6.75,6.45,6.57,4887
2024-08-23,5.85,6.74,5.85,6.61,9707
2024-08-22,6.16,6.22,5.8,6.15,3233
2024-08-21,6.22,6.24,6.07,6.09,2280
2024-08-20,5.99,6.15,5.93,6.12,2320
2024-08-19,6.14,6.15,5.85,6.0,5613
2024-08-16,5.89,6.06,5.78,6.06,4707
2024-08-15,5.85,6.3,5.85,5.89,12960
2024-08-14,5.89,6.15,5.85,5.85,4027
2024-08-13,5.85,6.26,5.57,6.15,9273
2024-08-12,5.76,5.85,5.55,5.84,1207
2024-08-09,5.55,5.7,5.49,5.62,2893
2024-08-08,5.85,5.86,5.41,5.52,4927
2024-08-07,6.48,6.48,5.55,5.76,12827
2024-08-06,6.66,6.66,6.21,6.22,2367
2024-08-05,6.32,6.82,5.86,6.41,2387
2024-08-02,6.89,6.89,6.15,6.78,8000
2024-08-01,6.75,6.95,6.45,6.95,12887
2024-07-31,6.6,6.8,6.38,6.75,2607
2024-07-30,6.55,6.75,6.54,6.6,4193
2024-07-29,6.32,7.09,6.32,6.75,8580
2024-07-26,6.12,6.49,6.0,6.42,6247
2024-07-25,6.0,6.3,5.85,6.2,4147
2024-07-24,6.0,6.07,5.64,5.97,6927
2024-07-23,6.16,6.24,5.72,5.99,9520
2024-07-22,6.6,6.75,5.57,6.07,15040
2024-07-19,7.05,7.05,6.47,6.53,11387
2024-07-18,6.91,7.17,6.91,6.93,3227
2024-07-17,7.07,7.18,6.91,7.02,2947
2024-07-16,6.76,7.18,6.76,7.07,6707
2024-07-15,6.9,7.05,6.75,6.93,3053
2024-07-12,6.95,7.18,6.68,6.91,7053
2024-07-11,6.75,7.2,6.75,7.03,6460
2024-07-10,7.05,7.35,6.9,6.91,3893
2024-07-09,7.05,7.35,6.89,7.34,1620
2024-07-08,7.05,7.05,6.9,6.95,1320
2024-07-05,6.81,7.05,6.78,6.9,1733
2024-07-03,6.91,7.49,6.59,6.75,3807
2024-07-02,7.22,7.8,6.63,7.12,5027
2024-07-01,7.5,7.65,7.05,7.5,7620
2024-06-28,7.7,8.04,7.12,7.59,4900
2024-06-27,7.95,8.06,7.72,8.04,2727
2024-06-26,7.8,8.1,7.65,8.06,5000
2024-06-25,7.88,8.18,7.44,7.56,18413
2024-06-24,7.2,7.95,7.2,7.88,6667
2024-06-21,7.95,8.1,7.3,7.5,42580
2024-06-20,8.25,8.4,7.95,8.18,20347
2024-06-18,8.11,8.55,7.92,8.28,16047
2024-06-17,7.88,8.02,7.5,7.91,2233
2024-06-14,8.11,8.11,7.65,7.8,1200
2024-06-13,8.16,8.25,7.5,7.95,2700
2024-06-12,7.92,8.25,7.8,8.04,3533
2024-06-11,7.95,8.35,7.2,8.25,6000
2024-06-10,8.2,8.55,7.84,8.53,8980
2024-06-07,8.25,8.65,7.84,8.19,6220
2024-06-06,8.1,8.4,7.99,8.2,23427
2024-06-05,8.4,8.4,7.86,8.39,11487
2024-06-04,8.85,9.0,8.25,8.58,4160
2024-06-03,8.62,9.0,8.55,8.88,1707
2024-05-31,8.43,9.0,8.4,8.62,2167
2024-05-30,9.07,9.07,8.39,8.77,14573
2024-05-29,8.85,9.15,8.25,9.0,7133
2024-05-28,8.7,8.94,8.43,8.62,4093
2024-05-24,9.0,9.15,7.95,8.55,7427
2024-05-23,9.26,9.7,8.4,8.84,15480
2024-05-22,10.35,10.35,9.45,9.56,7160
2024-05-21,10.8,11.22,9.99,10.2,10620
2024-05-20,9.45,11.25,9.3,11.09,53587
2024-05-17,9.45,9.75,9.24,9.36,8807
2024-05-16,9.07,9.75,8.7,9.45,16127
2024-05-15,8.1,9.28,8.1,9.18,36573
2024-05-14,8.85,9.0,7.95,8.32,23473
2024-05-13,8.25,8.85,8.25,8.77,22893
2024-05-10,8.4,8.4,7.68,7.86,5587
2024-05-09,8.4,8.67,8.13,8.13,4087
2024-05-08,8.55,8.93,8.25,8.41,6520
2024-05-07,8.85,8.93,8.34,8.6,5527
2024-05-06,8.85,9.0,8.25,8.49,4540
2024-05-03,9.0,9.07,8.1,8.41,10347
2024-05-02,9.14,9.14,8.02,8.53,6633
2024-05-01,8.88,9.15,8.4,9.12,4013
2024-04-30,9.0,9.45,8.62,8.88,2673
2024-04-29,9.0,9.23,8.55,8.9,4720
2024-04-26,8.85,9.38,8.25,8.76,11773
2024-04-25,8.4,8.62,8.15,8.2,3973
2024-04-24,8.4,8.55,8.18,8.39,2867
2024-04-23,8.25,8.52,8.11,8.37,2927
2024-04-22,8.85,8.85,8.11,8.11,3573
2024-04-19,9.12,9.12,7.95,8.56,12480
2024-04-18,9.94,9.94,8.7,8.7,6080
2024-04-17,10.2,10.34,9.0,9.45,7673
2024-04-16,10.01,10.05,9.47,9.69,4480
2024-04-15,11.1,11.1,9.4,10.2,16653
2024-04-12,11.25,11.39,11.1,11.18,2860
2024-04-11,11.55,11.55,11.11,11.31,7753
2024-04-10,11.77,11.94,11.4,11.73,5533
2024-04-09,11.97,11.97,11.28,11.7,4533
