Date,Open,High,Low,Close,Volume
2025-03-19,162.91,165.8,161.61,164.59,2043437
2025-03-18,162.0,163.58,161.59,162.98,2212900
2025-03-17,159.2,163.16,159.2,162.57,1416000
2025-03-14,156.81,160.12,155.51,159.9,3428700
2025-03-13,155.68,156.35,152.52,155.08,2907900
2025-03-12,158.0,158.5,154.45,155.81,2368000
2025-03-11,155.88,160.59,154.09,156.98,4374000
2025-03-10,165.03,169.81,164.87,165.56,3768300
2025-03-07,167.01,169.0,163.01,168.19,2846300
2025-03-06,167.3,168.68,165.14,166.94,6091300
2025-03-05,170.27,172.54,168.5,170.66,4291700
2025-03-04,171.36,171.63,167.46,168.48,4215100
2025-03-03,178.24,179.46,172.13,173.53,1707300
2025-02-28,175.51,177.71,173.85,177.5,1430600
2025-02-27,175.55,177.94,174.82,175.25,1467800
2025-02-26,176.93,178.16,175.21,176.0,1787700
2025-02-25,171.7,174.8,170.44,174.41,2265300
2025-02-24,174.03,174.9,169.66,171.97,2721800
2025-02-21,180.72,181.27,174.38,176.0,1573400
2025-02-20,179.29,180.23,177.22,179.5,1488800
2025-02-19,182.24,182.79,179.48,182.0,1226800
2025-02-18,185.89,186.24,183.66,185.5,1154800
2025-02-14,185.0,186.26,183.78,184.25,1112300
2025-02-13,182.17,183.83,181.6,183.51,943900
2025-02-12,179.52,181.29,176.11,180.84,1091500
2025-02-11,180.48,182.98,180.21,182.41,655800
2025-02-10,178.76,181.81,177.95,180.93,1395500
2025-02-07,182.31,182.61,176.96,177.18,926500
2025-02-06,180.59,183.9,180.59,182.28,962600
2025-02-05,182.78,183.39,179.29,182.99,1383500
2025-02-04,183.79,184.9,179.45,179.66,1327300
2025-02-03,179.71,184.34,177.54,183.92,1973000
2025-01-31,182.72,183.02,180.09,181.12,2156600
2025-01-30,180.79,182.52,179.16,181.85,1023200
2025-01-29,182.1,182.17,177.92,178.78,1075300
2025-01-28,184.78,186.22,182.19,182.61,1886700
2025-01-27,179.88,184.76,179.41,184.42,2262900
2025-01-24,183.35,184.34,179.88,180.66,1049600
2025-01-23,187.0,187.82,181.41,181.6,1683000
2025-01-22,183.94,186.18,183.69,185.81,2254300
2025-01-21,181.05,183.09,179.63,182.36,1565300
2025-01-17,177.98,180.32,177.35,177.55,1447500
2025-01-16,176.39,177.98,175.51,176.45,1147100
2025-01-15,178.54,179.89,174.89,175.19,2008400
2025-01-14,173.68,176.57,173.42,176.15,1375000
2025-01-13,168.61,170.96,167.28,170.41,1838400
2025-01-10,171.96,172.99,169.64,169.75,2160700
2025-01-08,171.5,172.77,170.93,172.02,1638700
2025-01-07,172.92,174.58,170.99,172.21,1156600
2025-01-06,177.1,178.48,173.73,174.18,1546900
2025-01-03,174.46,175.29,172.92,174.26,569600
2025-01-02,174.82,176.54,172.62,173.38,1108600
2024-12-31,174.34,175.39,172.87,173.57,724300
2024-12-30,174.15,174.27,171.68,173.58,1035500
2024-12-27,177.01,177.3,174.57,175.14,844400
2024-12-26,176.77,178.48,176.66,177.9,793300
2024-12-24,177.28,177.43,175.76,177.31,974900
2024-12-23,177.07,177.07,174.12,176.5,1451200
2024-12-20,172.31,178.5,172.0,178.17,3703900
2024-12-19,176.23,179.08,173.51,173.93,1989100
2024-12-18,185.7,186.25,176.6,176.64,1411700
2024-12-17,183.0,185.04,182.62,184.17,2158200
2024-12-16,186.66,187.23,184.12,184.81,1782900
2024-12-13,189.17,189.42,185.74,186.6,1359800
2024-12-12,192.55,194.1,189.38,189.45,1919000
2024-12-11,194.01,196.35,191.1,192.75,3081200
2024-12-10,194.81,202.04,190.5,194.01,6165000
2024-12-09,216.83,217.96,215.7,216.71,1857400
2024-12-06,215.99,216.8,214.45,215.9,1368200
2024-12-05,220.25,220.5,213.89,214.16,1972700
2024-12-04,219.95,222.16,218.79,221.78,1655100
2024-12-03,217.94,220.02,214.96,219.95,2024000
2024-12-02,214.11,215.15,212.32,213.08,1398300
2024-11-29,212.9,215.52,212.3,214.9,935200
2024-11-27,211.5,215.13,211.0,212.26,1043900
2024-11-26,213.76,213.76,209.65,211.5,1287000
2024-11-25,208.34,215.68,208.3,214.98,3167600
2024-11-22,207.14,208.38,205.73,207.95,885200
2024-11-21,201.98,205.82,200.39,205.47,896600
2024-11-20,202.38,202.44,200.05,201.78,1078600
2024-11-19,196.78,202.07,195.68,200.91,1322100
2024-11-18,198.05,200.46,196.76,199.87,1221500
2024-11-15,201.99,202.08,197.4,198.99,1167100
2024-11-14,207.4,207.4,201.87,202.25,1096000
2024-11-13,204.23,206.41,204.14,204.53,1104800
2024-11-12,206.42,208.14,204.4,204.85,1327000
2024-11-11,208.44,210.2,206.9,207.7,1338200
2024-11-08,208.24,208.4,204.49,206.47,1227400
2024-11-07,209.86,211.15,208.07,209.75,1357100
2024-11-06,209.0,213.94,206.95,209.92,2450500
2024-11-05,196.79,201.33,196.41,201.15,997800
2024-11-04,196.64,200.63,196.13,197.2,1332300
2024-11-01,197.25,199.15,196.77,197.04,1631800
2024-10-31,198.05,198.92,195.32,195.81,1255700
2024-10-30,194.43,197.89,193.65,196.12,1047200
2024-10-29,193.2,194.82,191.85,194.13,2092100
2024-10-28,196.7,200.04,196.25,196.31,941700
2024-10-25,198.59,199.14,194.98,195.3,683500
2024-10-24,194.9,198.74,194.56,197.48,1630100
2024-10-23,194.01,196.2,192.96,194.56,662000
2024-10-22,196.45,197.83,194.07,195.06,1205900
2024-10-21,202.55,203.34,197.97,198.72,1352800
2024-10-18,203.3,205.1,202.25,203.51,1329400
2024-10-17,202.73,204.29,200.29,204.13,1094700
2024-10-16,199.93,202.72,199.82,201.85,1587100
2024-10-15,201.04,202.29,199.11,199.14,1253100
2024-10-14,198.89,200.92,197.78,200.42,1163000
2024-10-11,197.31,198.48,195.94,197.75,1903800
2024-10-10,193.56,198.16,193.56,197.15,1670900
2024-10-09,194.33,197.77,193.9,196.66,1659700
2024-10-08,193.24,195.01,192.0,193.81,1413300
