Date,Open,High,Low,Close,Volume
2025-03-13,0.81,0.84,0.81,0.84,6661
2025-03-12,0.84,0.86,0.82,0.85,8600
2025-03-11,0.81,0.81,0.81,0.81,800
2025-03-10,0.82,0.82,0.82,0.82,700
2025-03-07,0.78,0.85,0.78,0.82,8300
2025-03-06,0.8,0.85,0.8,0.85,1200
2025-03-05,0.8,0.8,0.8,0.8,200
2025-03-04,0.8,0.8,0.8,0.8,15300
2025-03-03,0.83,0.83,0.8,0.8,35900
2025-02-28,0.85,0.85,0.82,0.82,1300
2025-02-27,0.82,0.84,0.82,0.84,800
2025-02-26,0.82,0.82,0.82,0.82,400
2025-02-25,0.82,0.85,0.82,0.85,9500
2025-02-24,0.86,0.9,0.82,0.86,31800
2025-02-21,0.86,0.86,0.86,0.86,300
2025-02-20,0.87,0.87,0.8,0.81,7500
2025-02-19,0.8,0.87,0.8,0.87,2200
2025-02-18,0.83,0.84,0.8,0.84,19900
2025-02-14,0.8,0.84,0.8,0.84,800
2025-02-13,0.89,0.89,0.81,0.81,8700
2025-02-12,0.9,0.9,0.9,0.9,400
2025-02-11,0.82,0.82,0.82,0.82,4600
2025-02-10,0.81,0.85,0.81,0.85,1100
2025-02-07,0.88,0.89,0.86,0.86,6300
2025-02-06,0.86,0.88,0.86,0.88,3000
2025-02-05,0.88,0.88,0.86,0.86,1000
2025-02-04,0.9,0.9,0.81,0.86,13000
2025-02-03,0.81,0.85,0.81,0.85,600
2025-01-31,0.82,0.9,0.82,0.85,1200
2025-01-30,0.84,0.87,0.84,0.85,7800
2025-01-29,0.86,0.86,0.86,0.86,500
2025-01-28,0.9,0.9,0.84,0.87,23900
2025-01-27,0.84,0.84,0.84,0.84,600
2025-01-24,0.84,0.88,0.84,0.88,4100
2025-01-23,0.88,0.88,0.84,0.84,1100
2025-01-22,0.83,0.84,0.83,0.84,2000
2025-01-21,0.82,0.82,0.82,0.82,0
2025-01-17,0.86,0.86,0.82,0.82,8200
2025-01-16,0.85,0.89,0.82,0.82,8000
2025-01-15,0.84,0.84,0.76,0.84,4900
2025-01-14,0.9,0.9,0.82,0.85,7900
2025-01-13,0.86,0.94,0.85,0.85,24100
2025-01-10,0.83,0.83,0.83,0.83,700
2025-01-08,0.86,0.86,0.85,0.86,3100
2025-01-07,0.86,0.86,0.85,0.85,2800
2025-01-06,0.85,0.88,0.81,0.86,41200
2025-01-03,0.8,0.83,0.79,0.83,7300
2025-01-02,0.8,0.81,0.8,0.81,17000
2024-12-31,0.82,0.82,0.77,0.77,6900
2024-12-30,0.75,0.8,0.75,0.8,9000
2024-12-27,0.81,0.82,0.77,0.8,12700
2024-12-26,0.8,0.83,0.78,0.82,38500
2024-12-24,0.77,0.79,0.76,0.77,13800
2024-12-23,0.8,0.8,0.8,0.8,600
2024-12-20,0.78,0.83,0.75,0.8,11700
2024-12-19,0.8,0.82,0.75,0.78,17000
2024-12-18,0.84,0.85,0.8,0.8,4500
2024-12-17,0.82,0.89,0.78,0.85,19400
2024-12-16,0.77,0.83,0.77,0.82,5300
2024-12-13,0.86,0.86,0.8,0.85,6300
