Date,Open,High,Low,Close,Volume
2025-03-13,14.56,14.88,13.4,13.84,21472
2025-03-12,13.88,14.18,13.88,13.9,9900
2025-03-11,13.99,14.5,13.49,13.75,28500
2025-03-10,15.09,15.09,13.7,13.9,36500
2025-03-07,14.61,15.29,14.6,14.85,3700
2025-03-06,14.65,14.95,14.61,14.68,4900
2025-03-05,15.33,15.37,14.83,15.07,5700
2025-03-04,14.96,15.38,14.5,14.94,17300
2025-03-03,15.06,15.38,14.99,15.1,6000
2025-02-28,15.03,15.24,14.75,15.01,11200
2025-02-27,14.94,14.94,14.59,14.59,4600
2025-02-26,14.86,15.16,14.81,14.9,6900
2025-02-25,15.0,15.25,14.62,14.86,20200
2025-02-24,15.99,15.99,14.85,14.85,11500
2025-02-21,15.22,15.45,15.22,15.44,7100
2025-02-20,15.35,15.49,15.15,15.15,3300
2025-02-19,14.83,15.27,14.83,15.27,18400
2025-02-18,15.15,15.16,14.75,14.83,20800
2025-02-14,15.25,15.55,15.15,15.15,12500
2025-02-13,15.4,15.4,15.01,15.01,11000
2025-02-12,15.54,15.73,15.29,15.7,10000
2025-02-11,15.3,15.45,15.06,15.26,20300
2025-02-10,15.83,15.83,14.72,15.01,53600
2025-02-07,16.76,16.76,15.69,15.83,25000
2025-02-06,15.66,15.82,15.34,15.42,19400
2025-02-05,15.86,16.0,15.32,15.32,12200
2025-02-04,16.45,16.45,15.87,15.91,7600
2025-02-03,14.87,16.75,14.86,15.64,32200
2025-01-31,15.01,15.5,15.01,15.36,16800
2025-01-30,15.66,16.12,15.11,15.26,8600
2025-01-29,15.88,15.88,15.81,15.81,2400
2025-01-28,16.03,16.03,15.69,15.69,4400
2025-01-27,15.84,16.05,15.84,15.89,5200
2025-01-24,15.94,16.09,15.84,15.84,12600
2025-01-23,15.92,16.14,15.92,16.0,8400
2025-01-22,16.16,16.36,15.8,15.82,14400
2025-01-21,16.48,16.57,16.26,16.27,50200
2025-01-17,15.9,16.36,15.85,16.24,28200
2025-01-16,16.25,16.25,15.69,15.99,30400
2025-01-15,15.19,16.24,15.01,16.24,41000
2025-01-14,15.3,15.3,14.9,15.01,9400
2025-01-13,14.94,14.95,14.7,14.9,11600
2025-01-10,14.81,15.15,14.75,14.89,14600
2025-01-08,15.19,15.19,14.77,15.01,12400
2025-01-07,15.5,15.5,15.19,15.19,17000
2025-01-06,16.16,16.3,15.68,15.68,10000
2025-01-03,16.2,16.35,15.93,16.02,11200
2025-01-02,16.0,16.25,16.0,16.08,5800
2024-12-31,16.31,16.7,16.25,16.3,12200
2024-12-30,17.0,17.0,16.5,16.61,14200
2024-12-27,16.23,16.5,16.07,16.07,26800
2024-12-26,16.22,16.22,16.01,16.07,4600
2024-12-24,16.12,16.35,16.03,16.03,5800
2024-12-23,15.78,16.18,15.78,16.12,22400
2024-12-20,16.52,16.68,15.72,15.72,67400
2024-12-19,16.09,16.47,16.06,16.47,8800
2024-12-18,16.75,16.88,16.52,16.52,6800
2024-12-17,16.95,16.95,16.5,16.75,15600
2024-12-16,16.75,16.92,16.65,16.92,8000
2024-12-13,16.75,17.41,16.75,17.0,14800
2024-12-12,16.0,16.85,16.0,16.8,23000
2024-12-11,16.0,16.25,15.65,16.05,13200
2024-12-10,16.25,16.6,15.64,16.17,16400
2024-12-09,16.03,16.38,16.03,16.25,14000
2024-12-06,16.47,16.5,16.05,16.05,20800
2024-12-05,15.69,16.38,15.69,16.07,16400
2024-12-04,16.75,16.75,15.64,15.76,13800
2024-12-03,16.67,16.77,16.41,16.49,16800
2024-12-02,17.0,17.0,16.31,16.67,18800
2024-11-29,17.0,17.0,16.34,16.86,5200
2024-11-27,17.0,17.0,16.8,16.81,7400
2024-11-26,17.06,17.47,16.49,17.05,38000
2024-11-25,16.33,17.14,16.29,17.06,29000
2024-11-22,15.94,16.36,15.81,16.15,26000
2024-11-21,15.94,16.12,15.94,16.0,11600
2024-11-20,15.51,15.94,15.48,15.91,21600
2024-11-19,15.4,15.62,15.12,15.55,27000
2024-11-18,15.25,15.87,15.02,15.18,60000
2024-11-15,16.74,16.74,14.14,15.13,203000
2024-11-14,17.75,17.75,16.05,16.54,116600
2024-11-13,16.98,17.64,16.56,17.44,56000
2024-11-12,16.97,16.97,16.77,16.88,30600
2024-11-11,16.57,16.9,16.57,16.9,23400
2024-11-08,16.43,16.45,16.0,16.42,17400
2024-11-07,15.9,16.67,15.9,16.25,41200
2024-11-06,16.0,16.58,15.56,16.42,97200
2024-11-05,15.73,16.25,15.64,15.91,11800
2024-11-04,15.74,16.0,15.56,15.73,15200
2024-11-01,15.8,15.9,15.65,15.9,8200
2024-10-31,15.73,16.12,15.7,15.82,9200
2024-10-30,15.66,15.94,15.64,15.71,6800
2024-10-29,15.73,15.87,15.7,15.75,7200
2024-10-28,15.85,15.97,15.62,15.62,20200
2024-10-25,16.22,16.39,15.85,15.85,14200
2024-10-24,16.46,16.48,16.11,16.11,18600
2024-10-23,16.21,16.34,16.03,16.28,23400
2024-10-22,15.3,16.77,15.16,16.12,102400
2024-10-21,15.66,15.66,15.0,15.25,6000
2024-10-18,15.88,16.0,15.63,15.64,9400
2024-10-17,16.09,16.09,15.88,15.88,5000
2024-10-16,16.09,16.09,16.09,16.09,2400
2024-10-15,15.97,16.24,15.97,16.01,5600
2024-10-14,16.0,16.17,15.82,15.97,4600
2024-10-11,16.15,16.15,15.66,15.99,6600
2024-10-10,16.25,16.44,16.23,16.23,6400
2024-10-09,16.42,16.42,16.24,16.24,7400
2024-10-08,16.29,16.34,16.25,16.34,3800
2024-10-07,16.6,16.6,16.5,16.5,4000
2024-10-04,16.3,16.37,16.25,16.37,5600
2024-10-03,16.4,16.4,16.25,16.33,3200
2024-10-02,16.21,16.27,16.21,16.27,5000
2024-10-01,16.35,16.47,16.12,16.35,6800
2024-09-30,16.4,16.4,16.37,16.37,2800
2024-09-27,16.49,16.69,16.44,16.61,15400
2024-09-26,16.12,16.54,16.12,16.54,4000
2024-09-25,16.49,16.5,16.2,16.23,4400
2024-09-24,16.52,16.75,16.52,16.61,4000
2024-09-23,16.53,16.74,16.5,16.73,4000
2024-09-20,16.51,16.69,16.51,16.69,15800
2024-09-19,16.42,16.89,16.42,16.69,6600
2024-09-18,16.32,16.73,16.32,16.6,12200
2024-09-17,16.4,16.83,16.15,16.64,5200
2024-09-16,16.39,16.65,16.31,16.31,6600
2024-09-13,16.89,16.9,16.5,16.52,9400
2024-09-12,16.7,16.8,16.48,16.8,9400
2024-09-11,16.72,16.75,16.65,16.7,4000
2024-09-10,16.75,16.75,16.52,16.65,10400
2024-09-09,16.94,17.0,16.65,16.65,22400
2024-09-06,16.74,16.74,16.44,16.73,7400
2024-09-05,16.6,16.73,16.4,16.73,8800
2024-09-04,16.65,16.65,16.37,16.59,2200
2024-09-03,16.52,16.66,16.52,16.66,4200
2024-08-30,16.6,16.64,16.35,16.62,8200
2024-08-29,16.56,16.69,16.56,16.6,8600
2024-08-28,16.49,16.59,16.44,16.59,3200
2024-08-27,16.45,16.77,16.35,16.59,12800
2024-08-26,16.42,16.44,16.42,16.44,4200
2024-08-23,15.75,16.44,15.75,16.44,12200
2024-08-22,15.73,15.74,15.6,15.74,6200
2024-08-21,15.26,15.59,15.26,15.59,5800
2024-08-20,15.14,15.44,15.0,15.44,6000
2024-08-19,15.41,15.41,14.7,15.27,22000
2024-08-16,15.7,15.7,15.1,15.45,7200
2024-08-15,14.2,15.75,14.2,15.59,21600
2024-08-14,16.28,16.28,14.99,15.2,12800
2024-08-13,15.11,16.0,15.05,16.0,11000
2024-08-12,14.8,15.05,14.75,14.97,14000
2024-08-09,14.75,15.23,14.75,14.98,20400
2024-08-08,14.5,15.12,14.2,15.1,25400
2024-08-07,14.7,14.87,14.23,14.59,22400
2024-08-06,14.78,15.02,14.69,14.69,1800
2024-08-05,15.0,15.3,13.38,14.69,31600
2024-08-02,16.08,16.08,15.44,15.44,7800
2024-08-01,16.17,16.39,16.0,16.02,5400
2024-07-31,16.4,16.4,16.25,16.25,4000
2024-07-30,16.09,16.55,15.75,16.24,17400
2024-07-29,16.91,17.0,15.74,16.54,16200
2024-07-26,16.49,16.97,16.49,16.89,2800
2024-07-25,16.65,16.88,16.65,16.88,3600
2024-07-24,16.66,16.67,16.5,16.5,4800
2024-07-23,16.2,16.87,15.88,16.6,12400
2024-07-22,15.85,16.44,15.85,16.25,4000
2024-07-19,15.79,16.15,15.79,16.15,5000
2024-07-18,16.1,16.1,15.65,15.77,10000
2024-07-17,16.39,17.0,15.75,15.8,10200
2024-07-16,16.26,16.6,16.26,16.6,3600
2024-07-15,16.5,16.74,16.11,16.35,7200
2024-07-12,16.25,16.8,16.16,16.36,5800
2024-07-11,16.17,16.42,15.25,16.04,5400
2024-07-10,17.0,17.0,15.37,16.1,26000
2024-07-09,17.0,17.0,16.36,16.36,3200
2024-07-08,16.98,16.99,16.25,16.25,2600
2024-07-05,15.84,16.5,15.84,16.15,6200
2024-07-03,17.0,17.08,15.22,15.22,19000
2024-07-02,16.45,16.93,16.09,16.8,14600
2024-07-01,16.45,16.67,16.22,16.5,12200
2024-06-28,16.41,16.88,16.41,16.65,16800
2024-06-27,16.75,16.88,16.49,16.5,3000
2024-06-26,16.9,16.9,16.58,16.75,8400
2024-06-25,16.5,17.19,16.5,16.6,36000
2024-06-24,16.75,17.05,15.4,16.4,80200
2024-06-21,14.55,17.5,14.14,17.5,186400
2024-06-20,13.89,14.54,13.89,14.54,7000
2024-06-18,13.69,14.82,13.69,13.85,14200
2024-06-17,14.94,15.23,13.68,13.68,34000
2024-06-14,14.64,14.94,14.31,14.94,9400
2024-06-13,15.2,15.39,15.0,15.39,4800
2024-06-12,15.0,15.2,14.02,15.2,15800
2024-06-11,14.76,14.76,14.76,14.76,2000
2024-06-10,13.81,15.4,13.81,15.19,25600
2024-06-07,15.17,15.17,13.83,13.97,31000
2024-06-06,15.2,15.5,14.64,15.07,11600
2024-06-05,16.24,16.38,15.25,15.3,18400
