Date,Open,High,Low,Close,Volume
2025-03-19,31.34,32.37,31.24,32.23,55122
2025-03-18,31.75,31.75,31.06,31.33,70200
2025-03-17,32.08,32.8,31.81,32.21,86600
2025-03-14,31.88,32.27,30.57,32.11,76800
2025-03-13,31.89,32.08,30.73,31.29,60900
2025-03-12,31.8,32.99,30.88,32.16,171700
2025-03-11,30.3,31.47,29.55,31.21,112500
2025-03-10,31.31,31.71,30.0,30.44,141800
2025-03-07,31.31,32.23,30.65,32.2,105800
2025-03-06,31.16,32.12,30.83,31.62,116200
2025-03-05,29.92,31.88,29.92,31.86,207900
2025-03-04,29.95,30.68,29.5,30.05,117400
2025-03-03,33.92,34.51,30.31,30.49,155900
2025-02-28,32.5,33.96,31.89,33.83,112900
2025-02-27,32.77,34.2,32.61,32.69,125200
2025-02-26,32.84,33.96,32.58,33.04,91900
2025-02-25,32.2,33.21,31.88,32.82,159100
2025-02-24,33.51,33.93,31.88,32.11,135600
2025-02-21,35.82,36.09,33.43,33.47,151500
2025-02-20,36.1,36.13,34.76,35.22,106900
2025-02-19,36.55,36.81,35.79,36.17,106200
2025-02-18,37.44,38.01,35.72,36.92,231200
2025-02-14,38.0,38.62,37.29,37.51,104200
2025-02-13,38.06,38.06,36.58,37.71,110600
2025-02-12,37.67,38.03,36.36,37.64,169200
2025-02-11,38.5,38.99,37.82,38.42,132700
2025-02-10,39.97,40.37,38.05,39.04,209900
2025-02-07,39.55,40.14,36.43,39.69,622400
2025-02-06,52.0,52.0,46.03,47.28,183400
2025-02-05,48.65,51.16,48.57,49.72,232400
2025-02-04,45.5,47.41,45.16,46.9,94300
2025-02-03,43.87,45.48,43.23,45.04,83000
2025-01-31,46.64,47.43,44.78,45.42,109500
2025-01-30,45.0,46.83,45.0,46.26,72100
2025-01-29,44.53,45.31,43.84,44.42,62100
2025-01-28,44.13,45.34,44.0,44.67,129900
2025-01-27,45.58,45.58,43.43,43.69,77200
2025-01-24,46.87,48.1,45.87,46.71,57800
2025-01-23,46.81,47.7,46.74,47.05,61600
2025-01-22,47.04,47.4,46.12,46.95,84000
2025-01-21,45.53,47.14,45.53,46.8,63100
2025-01-17,45.01,45.11,44.02,44.75,54300
2025-01-16,43.97,44.37,43.27,44.27,54900
2025-01-15,44.25,44.25,43.01,43.97,49900
2025-01-14,42.92,43.64,42.27,42.87,55300
2025-01-13,40.59,42.45,40.5,42.37,55300
2025-01-10,42.25,42.46,41.04,41.42,62300
2025-01-08,43.12,43.57,42.54,43.19,70300
2025-01-07,45.22,45.65,42.46,43.64,88000
