Date,Open,High,Low,Close,Volume
2025-03-19,25.09,25.43,25.03,25.31,515539
2025-03-18,25.38,25.48,24.63,25.0,12605500
2025-03-17,25.16,25.39,25.07,25.22,8334600
2025-03-14,24.6,25.15,24.41,25.07,10480300
2025-03-13,24.69,25.22,24.21,24.34,9997100
2025-03-12,24.69,25.01,24.48,24.71,7737200
2025-03-11,24.93,25.06,24.48,24.66,12843300
2025-03-10,25.02,25.43,24.7,24.89,10793800
2025-03-07,24.6,25.5,24.58,25.0,17214800
2025-03-06,24.07,24.62,24.0,24.45,8927400
2025-03-05,23.71,24.34,23.42,24.19,12951000
2025-03-04,24.34,24.51,23.62,23.98,17262500
2025-03-03,26.33,26.54,24.58,24.83,16727100
2025-02-28,25.82,26.19,25.49,26.18,9966600
2025-02-27,25.92,26.28,25.7,25.92,7292400
2025-02-26,26.14,26.28,25.56,25.74,7658800
2025-02-25,26.56,26.95,26.03,26.05,9374800
2025-02-24,26.11,26.78,26.02,26.55,13747000
2025-02-21,26.74,26.84,26.0,26.08,10112100
2025-02-20,26.6,27.2,26.54,26.8,8290700
2025-02-19,26.48,26.87,26.43,26.55,10899300
2025-02-18,26.04,26.98,25.92,26.54,9929400
2025-02-14,26.3,26.59,25.96,25.98,8293000
2025-02-13,25.73,26.23,25.56,26.1,7560100
2025-02-12,26.0,26.34,25.75,25.79,7306300
2025-02-11,25.95,26.57,25.87,26.3,10983000
2025-02-10,25.37,25.95,25.32,25.8,6922800
2025-02-07,25.41,25.56,24.98,25.01,8121000
2025-02-06,26.27,26.27,25.09,25.3,10466600
2025-02-05,26.27,26.35,25.92,26.1,8266800
2025-02-04,25.09,26.19,25.03,26.15,12147300
2025-02-03,25.51,25.76,25.09,25.33,11227300
2025-01-31,26.39,26.45,25.64,25.84,11633200
2025-01-30,26.36,26.5,26.06,26.35,9818400
2025-01-29,26.44,26.68,26.04,26.18,16515700
2025-01-28,27.15,27.33,26.37,26.46,12717000
2025-01-27,27.68,27.9,27.02,27.06,14329800
2025-01-24,28.0,28.18,27.28,27.6,13047000
2025-01-23,28.7,28.75,27.7,27.77,16720700
2025-01-22,28.8,29.13,27.97,28.28,17921200
2025-01-21,29.99,30.05,29.28,29.32,14680100
2025-01-17,29.18,30.19,29.09,29.69,14157500
2025-01-16,28.5,29.1,28.49,29.06,8388900
2025-01-15,28.23,28.91,28.06,28.71,9668700
2025-01-14,27.51,28.02,27.4,28.0,6624800
2025-01-13,26.94,27.81,26.88,27.6,11632900
2025-01-10,27.29,27.61,26.66,26.78,12320000
2025-01-08,27.27,27.31,26.69,26.84,11272400
2025-01-07,27.6,28.11,27.34,27.55,12090500
2025-01-06,27.48,28.09,27.36,27.47,7956500
2025-01-03,27.65,27.68,27.21,27.49,6703700
2025-01-02,27.62,27.94,27.33,27.53,6249300
2024-12-31,26.88,27.22,26.82,27.0,7647900
2024-12-30,26.61,26.99,26.35,26.77,10335300
2024-12-27,26.55,27.03,26.46,26.6,5379400
2024-12-26,26.59,26.77,26.25,26.61,5562500
2024-12-24,26.12,26.67,25.9,26.65,4461700
2024-12-23,25.78,26.19,25.69,26.08,7714300
2024-12-20,25.33,26.1,25.33,25.79,18035900
2024-12-19,26.37,26.43,25.48,25.59,14175900
2024-12-18,26.87,27.11,25.94,25.97,11454800
2024-12-17,27.3,27.45,26.85,27.0,12767200
2024-12-16,28.27,28.41,27.62,27.67,8770000
2024-12-13,28.65,28.87,28.3,28.48,6643500
2024-12-12,28.89,29.06,28.43,28.69,6485900
2024-12-11,29.04,29.33,28.52,28.99,10506100
2024-12-10,28.89,29.29,28.35,28.87,6596300
2024-12-09,28.86,29.23,28.51,28.88,8137900
2024-12-06,29.69,29.78,28.55,28.58,10347200
2024-12-05,30.41,30.64,29.78,29.81,7722300
2024-12-04,31.36,31.41,30.22,30.38,7616700
2024-12-03,31.56,31.61,30.92,31.33,7442000
2024-12-02,31.54,31.68,30.86,31.17,6996800
2024-11-29,31.69,31.77,31.28,31.47,3484100
2024-11-27,31.45,32.16,31.43,31.49,7877100
2024-11-26,31.63,31.69,31.08,31.42,11141900
2024-11-25,31.98,32.17,31.17,31.59,15280500
2024-11-22,31.44,32.0,31.27,31.55,9522500
2024-11-21,31.06,31.89,30.91,31.48,11476300
2024-11-20,30.14,30.87,30.07,30.79,9639700
2024-11-19,29.67,30.37,29.61,30.09,9375700
2024-11-18,29.77,30.29,29.64,30.07,9279700
2024-11-15,29.83,30.39,29.25,29.32,8990300
2024-11-14,29.96,30.15,29.65,29.74,9113200
2024-11-13,29.79,30.37,29.1,29.82,11280300
2024-11-12,29.95,30.28,29.72,29.82,8953000
2024-11-11,28.77,29.86,28.62,29.76,9789100
2024-11-08,29.22,29.39,28.52,28.87,9742000
2024-11-07,29.47,29.63,28.45,29.18,15920700
2024-11-06,29.63,30.38,29.29,30.12,22611800
2024-11-05,27.86,28.33,27.76,28.18,9488100
2024-11-04,27.57,27.94,27.47,27.78,8110000
2024-11-01,27.61,27.79,27.26,27.34,8203400
2024-10-31,27.57,27.69,27.39,27.4,7114300
2024-10-30,27.22,27.75,27.22,27.35,7158000
2024-10-29,27.64,27.66,27.06,27.18,8494500
2024-10-28,27.08,27.59,26.92,27.55,7333800
2024-10-25,27.76,28.04,27.59,27.9,9251900
2024-10-24,27.53,27.64,27.17,27.51,8633100
2024-10-23,27.76,27.94,27.3,27.47,7436500
2024-10-22,28.05,28.11,27.82,27.89,6389100
2024-10-21,28.25,28.34,27.73,27.91,9489100
2024-10-18,28.28,28.47,27.9,27.98,12660600
2024-10-17,28.54,28.64,28.16,28.58,11655200
2024-10-16,28.96,29.14,28.86,28.94,6688300
