Date,Open,High,Low,Close,Volume
2025-03-13,0.36,0.37,0.33,0.34,34384
2025-03-12,0.34,0.35,0.33,0.34,38400
2025-03-11,0.35,0.35,0.33,0.35,62600
2025-03-10,0.38,0.38,0.34,0.36,68600
2025-03-07,0.36,0.38,0.35,0.37,78200
2025-03-06,0.34,0.36,0.33,0.35,254000
2025-03-05,0.34,0.35,0.33,0.34,145600
2025-03-04,0.35,0.37,0.33,0.36,112600
2025-03-03,0.36,0.39,0.36,0.38,405600
2025-02-28,0.37,0.38,0.36,0.38,73600
2025-02-27,0.37,0.39,0.37,0.38,116500
2025-02-26,0.35,0.37,0.35,0.37,113500
2025-02-25,0.36,0.38,0.35,0.36,157300
2025-02-24,0.38,0.39,0.36,0.38,161600
2025-02-21,0.39,0.4,0.38,0.39,156900
2025-02-20,0.38,0.41,0.38,0.39,291000
2025-02-19,0.41,0.42,0.38,0.39,244000
2025-02-18,0.4,0.42,0.39,0.39,302600
2025-02-14,0.42,0.43,0.38,0.4,675400
2025-02-13,0.38,0.42,0.36,0.41,397200
2025-02-12,0.38,0.4,0.36,0.4,429000
2025-02-11,0.41,0.41,0.37,0.39,698700
2025-02-10,0.48,0.48,0.4,0.42,811200
2025-02-07,0.4,0.51,0.4,0.49,2292800
2025-02-06,0.39,0.46,0.38,0.43,1315400
2025-02-05,0.46,0.49,0.42,0.43,2486900
2025-02-04,0.52,0.57,0.42,0.54,9800100
2025-02-03,0.98,1.03,0.54,0.64,344645900
2025-01-31,0.26,0.29,0.26,0.28,98700
2025-01-30,0.25,0.28,0.25,0.28,144900
2025-01-29,0.31,0.33,0.21,0.26,1519700
2025-01-28,0.32,0.34,0.31,0.32,828300
2025-01-27,0.32,0.35,0.31,0.33,101700
2025-01-24,0.34,0.36,0.33,0.34,60500
2025-01-23,0.35,0.35,0.33,0.35,99400
2025-01-22,0.34,0.35,0.33,0.34,95400
2025-01-21,0.36,0.39,0.33,0.35,115700
2025-01-17,0.35,0.38,0.33,0.37,97500
2025-01-16,0.34,0.37,0.33,0.36,228300
2025-01-15,0.34,0.38,0.33,0.36,137200
2025-01-14,0.36,0.37,0.33,0.34,105600
