Date,Open,High,Low,Close,Volume
2025-03-14,254.68,259.25,251.24,252.88,1331300
2025-03-13,247.99,252.92,245.0,251.73,1074900
2025-03-12,250.23,252.86,247.0,249.11,1150900
2025-03-11,252.16,255.14,247.89,250.2,1387800
2025-03-10,258.51,263.67,249.02,251.25,2108400
2025-03-07,262.42,268.5,259.13,259.76,1553000
2025-03-06,261.6,267.35,260.01,265.76,1434800
2025-03-05,262.58,264.84,259.1,262.12,1033800
2025-03-04,260.51,266.44,259.39,262.78,1317000
2025-03-03,270.72,272.78,260.9,261.54,1561100
2025-02-28,260.39,271.28,260.39,270.42,2250700
2025-02-27,259.04,263.19,256.79,261.44,1448300
2025-02-26,257.66,259.05,252.25,255.07,1490900
2025-02-25,254.93,259.73,248.8,259.27,1770900
2025-02-24,258.03,259.88,253.85,255.0,1721400
2025-02-21,258.0,264.0,253.15,255.91,2863200
2025-02-20,263.34,272.13,262.08,271.3,1037700
2025-02-19,256.55,265.92,255.12,265.52,1233200
2025-02-18,252.91,259.17,251.09,257.24,1419000
2025-02-14,254.0,258.31,249.88,253.83,2386200
2025-02-13,261.99,263.25,251.98,252.88,1735000
2025-02-12,259.4,268.36,258.47,260.03,2649800
2025-02-11,273.63,273.63,242.75,257.34,4535200
2025-02-10,272.74,272.74,259.07,266.8,3030500
2025-02-07,279.58,281.54,273.21,274.33,984900
2025-02-06,289.24,291.65,277.34,279.58,1523500
2025-02-05,294.9,295.35,286.47,290.53,1102600
2025-02-04,290.07,297.56,286.24,295.53,1577000
2025-02-03,291.23,295.61,289.96,293.0,1555600
2025-01-31,296.0,297.0,292.71,293.23,1250800
2025-01-30,292.85,298.01,288.71,296.91,1196000
2025-01-29,302.34,304.87,292.1,294.23,1252700
2025-01-28,296.7,303.96,296.5,303.11,1134300
2025-01-27,298.15,303.65,296.75,297.76,2177700
2025-01-24,291.6,298.5,289.82,294.63,1216100
2025-01-23,289.66,307.28,282.16,293.8,5077400
2025-01-22,281.13,285.87,278.29,284.92,908300
2025-01-21,283.15,284.95,280.36,284.67,958700
2025-01-17,275.4,287.06,270.86,282.63,1835500
2025-01-16,275.01,279.32,268.44,275.8,1600200
2025-01-15,280.75,284.37,279.27,279.49,1204400
2025-01-14,283.51,288.3,281.2,282.63,1092700
2025-01-13,281.85,290.67,278.95,287.36,1989000
2025-01-10,268.0,275.5,267.12,269.04,1660800
2025-01-08,266.62,268.91,260.45,268.13,892300
2025-01-07,265.85,271.46,265.03,267.21,976800
2025-01-06,263.89,271.36,263.18,264.29,1736900
2025-01-03,253.49,265.82,251.7,262.47,1373800
2025-01-02,256.96,259.09,252.0,252.65,878400
2024-12-31,253.87,258.57,251.29,253.71,873800
2024-12-30,252.72,255.46,249.63,253.38,951100
2024-12-27,253.12,256.47,252.12,254.75,1049900
2024-12-26,253.55,257.47,252.71,255.25,846900
2024-12-24,253.41,255.76,251.6,254.63,483200
2024-12-23,246.41,255.61,243.66,254.85,2089600
2024-12-20,234.52,251.66,233.84,246.24,4223200
2024-12-19,237.1,239.16,230.84,234.96,2424500
2024-12-18,236.35,241.56,234.68,239.02,2677900
2024-12-17,257.51,259.3,232.19,233.08,5641300
2024-12-16,270.8,275.16,256.49,259.55,3129500
2024-12-13,270.84,273.27,268.19,273.17,1383400
2024-12-12,277.03,278.94,271.79,271.83,1666300
2024-12-11,282.22,287.16,274.67,277.23,1812800
2024-12-10,286.01,289.74,283.79,284.83,1131400
2024-12-09,281.33,287.98,280.89,285.24,1125400
2024-12-06,283.61,283.61,273.57,280.75,1751000
2024-12-05,287.44,287.44,280.93,282.07,1081300
2024-12-04,288.74,290.12,282.27,287.08,1269600
2024-12-03,289.96,293.88,285.82,290.12,1045900
2024-12-02,294.97,296.01,290.66,292.11,1261300
2024-11-29,293.89,297.88,293.82,295.35,533900
2024-11-27,295.64,298.15,293.93,295.65,995700
2024-11-26,302.94,302.94,293.45,294.56,1556000
2024-11-25,310.91,311.91,302.57,303.12,2656600
2024-11-22,294.97,301.98,294.38,297.07,1450600
2024-11-21,292.19,295.49,290.61,294.68,1214700
2024-11-20,282.24,294.69,281.52,292.95,2286700
2024-11-19,269.16,277.4,267.48,276.81,1447500
2024-11-18,274.04,278.46,269.87,270.41,1929800
2024-11-15,283.61,283.61,273.63,274.71,1842700
2024-11-14,285.08,288.2,279.35,282.15,2049000
2024-11-13,278.01,290.08,276.29,288.41,2191300
2024-11-12,282.31,284.99,273.3,279.09,1684500
2024-11-11,272.05,282.61,269.78,281.46,2213200
2024-11-08,287.71,292.24,285.0,287.12,1691700
2024-11-07,287.48,296.46,284.49,286.76,2492800
2024-11-06,289.25,289.7,277.05,287.51,5199400
2024-11-05,255.31,261.02,251.33,259.69,1460900
2024-11-04,259.99,261.18,250.95,254.66,1910900
2024-11-01,258.17,264.08,257.27,259.8,1424000
2024-10-31,256.5,264.56,255.11,256.93,1864900
2024-10-30,259.1,272.33,258.92,265.39,3358200
2024-10-29,259.66,263.34,256.53,256.87,1801000
2024-10-28,260.11,264.88,258.01,260.18,1630500
2024-10-25,262.11,265.9,258.86,259.82,1824300
2024-10-24,261.84,264.24,257.2,257.68,1696200
2024-10-23,261.4,262.69,255.67,257.75,1518500
2024-10-22,260.08,264.22,258.6,261.4,1859900
2024-10-21,269.06,274.49,256.84,259.66,3500200
2024-10-18,263.62,271.05,258.08,266.21,4660800
2024-10-17,248.23,265.77,246.47,265.41,3694500
2024-10-16,257.32,259.67,254.39,254.68,1773300
2024-10-15,250.37,264.42,250.37,256.7,3151000
2024-10-14,259.1,270.37,258.51,266.67,2902300
2024-10-11,246.09,259.57,245.87,257.17,4020200
2024-10-10,244.86,251.39,244.64,250.56,2494100
2024-10-09,242.15,244.94,241.16,244.6,1841600
2024-10-08,239.52,245.85,239.16,242.35,3205100
2024-10-07,234.68,237.2,229.69,235.47,3252900
2024-10-04,240.86,246.1,238.8,239.19,3607800
2024-10-03,244.82,244.93,236.19,240.94,5396800
2024-10-02,219.0,249.01,212.57,245.63,19640500
2024-10-01,313.9,314.3,275.84,278.48,7056500
2024-09-30,319.54,323.25,314.9,315.64,1520600
2024-09-27,314.11,320.13,311.92,317.58,1217300
2024-09-26,310.0,312.81,308.22,311.09,1485200
2024-09-25,311.68,312.43,307.07,310.0,911800
2024-09-24,310.62,315.36,309.06,310.28,1202800
2024-09-23,307.92,312.58,306.34,310.82,1533100
2024-09-20,308.07,310.56,305.72,308.47,1830100
2024-09-19,314.26,317.07,309.92,310.05,1100500
2024-09-18,310.05,315.65,309.34,313.32,1785000
2024-09-17,312.67,313.92,308.88,309.85,1826300
2024-09-16,319.49,320.45,311.35,313.26,2692200
2024-09-13,323.05,323.72,318.56,319.55,2062600
2024-09-12,327.56,328.93,319.29,322.47,1635200
2024-09-11,328.36,331.71,323.22,326.14,2677100
2024-09-10,341.36,346.07,337.89,344.26,1162900
2024-09-09,354.77,354.77,336.12,341.61,2058000
2024-09-06,365.62,366.87,354.95,355.63,1080100
2024-09-05,370.36,372.66,356.05,362.86,1281500
2024-09-04,357.01,380.33,356.24,369.08,1473700
2024-09-03,352.78,362.24,351.97,361.26,956800
2024-08-30,349.18,352.47,347.42,352.26,1135100
2024-08-29,351.14,351.14,346.09,349.17,608500
2024-08-28,351.9,353.37,346.83,350.23,595100
2024-08-27,351.34,352.53,347.22,351.24,793900
2024-08-26,351.97,354.34,349.44,350.8,678400
2024-08-23,353.06,353.91,348.63,350.7,999800
2024-08-22,357.18,357.75,346.32,352.54,970500
2024-08-21,355.2,358.47,353.9,356.33,768200
2024-08-20,351.55,356.16,348.94,354.75,1025900
2024-08-19,348.19,355.27,348.19,351.05,740600
2024-08-16,355.25,355.26,347.86,348.17,754900
2024-08-15,355.16,356.26,352.43,355.0,730600
2024-08-14,353.23,358.31,353.23,354.16,541100
2024-08-13,347.35,354.77,346.19,354.61,525900
2024-08-12,349.26,349.93,345.97,346.12,485900
2024-08-09,347.19,349.08,345.3,348.64,628100
2024-08-08,341.68,348.58,341.03,348.13,908700
2024-08-07,353.66,354.79,342.68,343.4,944000
2024-08-06,354.24,357.97,351.4,353.03,930700
2024-08-05,356.83,360.04,349.83,354.07,1304200
2024-08-02,359.72,361.61,352.84,361.35,1076100
2024-08-01,359.02,361.48,348.71,356.74,1919100
2024-07-31,362.85,378.51,354.16,359.35,4378000
2024-07-30,390.14,403.56,389.33,402.0,1715400
2024-07-29,388.62,390.89,382.19,389.67,1297600
2024-07-26,385.29,398.04,385.29,390.18,1004000
2024-07-25,389.8,395.88,383.52,383.99,1116600
2024-07-24,382.6,386.4,378.86,383.89,866000
2024-07-23,382.19,386.18,377.65,383.46,816400
2024-07-22,380.61,384.58,378.08,382.56,702900
2024-07-19,383.59,386.9,377.81,384.96,1075200
2024-07-18,396.07,403.92,384.5,386.46,1873300
2024-07-17,388.85,401.85,388.85,399.66,1832400
2024-07-16,392.55,398.61,388.58,393.13,1773700
2024-07-15,390.55,392.61,381.31,381.81,1567400
2024-07-12,378.27,380.71,370.56,379.83,1071900
2024-07-11,375.59,382.0,374.2,377.36,939800
2024-07-10,371.36,377.01,368.0,376.8,950400
2024-07-09,367.79,373.53,363.06,371.03,1352900
2024-07-08,366.74,373.37,364.87,368.12,977700
2024-07-05,362.23,367.11,358.79,366.52,690200
2024-07-03,373.46,373.65,360.52,360.59,750700
2024-07-02,371.45,375.95,370.84,372.48,1136600
2024-07-01,371.13,377.63,369.23,371.16,1054000
2024-06-28,369.81,386.15,367.69,371.32,5489700
2024-06-27,356.99,360.28,355.66,359.84,664100
2024-06-26,354.35,358.67,354.2,357.96,642700
2024-06-25,354.3,355.61,352.61,352.72,616600
2024-06-24,353.67,355.72,350.88,354.94,1441500
2024-06-21,355.3,357.42,351.66,352.4,1633200
2024-06-20,347.67,355.35,346.52,354.32,1473600
2024-06-18,353.25,355.07,346.16,346.52,693500
2024-06-17,352.47,353.81,350.12,352.17,610000
2024-06-14,351.64,356.42,350.11,355.82,867000
2024-06-13,350.47,362.32,346.09,355.0,1480700
2024-06-12,349.69,349.69,345.23,349.33,1042100
2024-06-11,346.76,351.55,345.98,348.72,913000
2024-06-10,346.16,348.9,340.65,346.31,1168600
2024-06-07,352.57,352.82,347.47,348.75,875900
2024-06-06,357.15,362.33,350.37,352.35,1562500
2024-06-05,358.56,359.6,354.41,357.87,1275200
2024-06-04,359.59,360.25,354.94,357.74,1526600
2024-06-03,353.28,361.97,352.87,361.04,1285100
2024-05-31,347.12,355.23,345.95,355.02,1757900
2024-05-30,342.11,349.54,340.29,344.37,1350100
2024-05-29,342.96,345.0,325.25,342.32,2159000
2024-05-28,346.23,347.54,343.35,346.18,1604300
2024-05-24,350.25,350.25,344.69,346.27,1583400
2024-05-23,351.02,351.57,348.48,349.17,2132500
2024-05-22,352.1,354.81,351.82,353.51,795400
2024-05-21,353.87,354.05,350.89,352.55,953600
2024-05-20,353.11,353.5,350.49,352.14,1430400
2024-05-17,352.52,353.69,349.8,353.11,1435600
2024-05-16,345.35,353.32,345.09,352.11,2168300
2024-05-15,342.26,344.35,339.52,344.14,1687100
2024-05-14,338.25,341.86,335.47,341.52,2037800
2024-05-13,332.5,341.65,332.5,336.64,1852800
2024-05-10,333.09,335.53,331.29,332.68,1340000
2024-05-09,322.57,332.1,321.9,331.78,1977600
2024-05-08,322.19,324.48,319.45,321.33,1500200
2024-05-07,315.55,322.16,315.55,321.82,1072200
2024-05-06,318.69,320.09,315.25,316.46,1420300
2024-05-03,317.03,318.26,313.86,317.76,1802600
2024-05-02,311.68,318.53,309.72,318.2,1677900
2024-05-01,296.91,317.76,296.02,311.49,2625200
2024-04-30,301.0,303.47,298.39,299.47,1879000
2024-04-29,302.88,304.84,299.21,300.52,1655700
2024-04-26,306.57,308.3,303.18,303.25,1213100
2024-04-25,312.0,312.97,305.52,308.71,1837600
2024-04-24,332.1,333.49,306.32,313.24,3489000
2024-04-23,322.61,325.34,317.69,325.14,1624700
2024-04-22,323.91,331.52,321.82,322.48,1591100
2024-04-19,324.17,326.89,324.07,325.49,1143700
2024-04-18,324.76,328.13,321.25,322.02,1557400
2024-04-17,316.86,321.57,315.34,320.66,1958800
2024-04-16,327.13,327.14,314.64,314.77,1683300
2024-04-15,312.44,314.82,310.29,311.91,1184700
2024-04-12,313.2,313.35,307.64,309.88,1467100
2024-04-11,318.0,318.0,312.77,313.55,992400
2024-04-10,314.06,318.54,312.67,316.4,1101200
2024-04-09,313.76,316.85,313.06,316.85,850300
2024-04-08,309.14,316.04,308.03,314.25,1299700
2024-04-05,305.04,311.52,305.04,310.4,1238200
2024-04-04,306.44,311.72,305.37,307.35,1845600
2024-04-03,303.2,310.18,300.08,305.39,2835900
2024-04-02,312.76,317.35,296.64,301.69,9517500
2024-04-01,343.0,349.94,342.91,348.41,1074400
2024-03-28,346.57,347.9,342.89,343.72,1583000
2024-03-27,346.55,348.15,344.65,346.47,1000300
2024-03-26,345.1,346.35,343.47,344.48,1498400
2024-03-25,345.1,345.82,341.93,343.21,1004000
2024-03-22,344.13,350.04,344.13,344.64,1116300
2024-03-21,343.85,348.18,342.94,343.51,1460600
2024-03-20,345.61,348.18,343.45,344.3,1464600
2024-03-19,345.39,348.52,344.24,347.66,1445800
2024-03-18,343.34,346.03,340.32,343.31,1008300
2024-03-15,342.91,345.37,340.65,344.26,2469100
2024-03-14,341.04,345.56,339.18,344.99,947500
2024-03-13,341.52,347.43,340.69,341.34,1056000
