Date,Open,High,Low,Close,Volume
2025-03-13,1.08,1.09,0.98,0.98,357682
2025-03-12,1.06,1.1,1.04,1.08,643100
2025-03-11,1.07,1.09,0.98,1.06,749800
2025-03-10,1.14,1.15,1.04,1.06,544900
2025-03-07,1.25,1.29,1.13,1.15,416300
2025-03-06,1.17,1.25,1.16,1.23,573900
2025-03-05,1.1,1.2,1.1,1.19,465000
2025-03-04,1.07,1.17,1.04,1.12,493500
2025-03-03,1.23,1.27,1.09,1.09,456700
2025-02-28,1.19,1.22,1.16,1.2,491600
2025-02-27,1.22,1.28,1.19,1.2,427700
2025-02-26,1.17,1.25,1.17,1.21,583000
2025-02-25,1.24,1.27,1.19,1.19,618300
2025-02-24,1.25,1.3,1.21,1.24,871600
2025-02-21,1.3,1.31,1.25,1.25,705200
2025-02-20,1.31,1.32,1.26,1.27,663300
2025-02-19,1.32,1.35,1.31,1.31,521300
2025-02-18,1.39,1.42,1.31,1.32,583900
2025-02-14,1.37,1.43,1.33,1.37,427300
2025-02-13,1.38,1.38,1.27,1.35,549100
2025-02-12,1.28,1.37,1.24,1.35,526400
2025-02-11,1.4,1.42,1.27,1.29,720600
2025-02-10,1.45,1.49,1.37,1.4,698000
2025-02-07,1.5,1.52,1.43,1.45,405200
2025-02-06,1.54,1.56,1.47,1.5,338600
2025-02-05,1.36,1.53,1.36,1.52,837900
2025-02-04,1.39,1.45,1.36,1.36,381000
2025-02-03,1.4,1.43,1.35,1.38,787300
2025-01-31,1.49,1.62,1.42,1.44,934500
2025-01-30,1.42,1.56,1.42,1.46,786900
2025-01-29,1.54,1.57,1.4,1.42,919000
2025-01-28,1.39,1.54,1.35,1.52,1061600
2025-01-27,1.41,1.44,1.34,1.36,792100
2025-01-24,1.32,1.49,1.32,1.41,911800
2025-01-23,1.29,1.32,1.24,1.32,1070100
2025-01-22,1.36,1.39,1.29,1.3,987300
2025-01-21,1.37,1.44,1.33,1.35,1395700
2025-01-17,1.38,1.41,1.34,1.36,1359600
2025-01-16,1.41,1.45,1.32,1.36,1293900
2025-01-15,1.55,1.55,1.38,1.38,1153100
2025-01-14,1.71,1.77,1.45,1.51,1538200
2025-01-13,2.04,2.08,1.61,1.72,1518900
2025-01-10,2.71,2.74,1.97,2.0,2238700
2025-01-08,2.79,2.84,2.64,2.8,379600
2025-01-07,2.93,3.05,2.74,2.82,580100
2025-01-06,3.09,3.09,2.87,2.89,487500
2025-01-03,2.85,3.18,2.82,3.07,699700
2025-01-02,2.81,2.96,2.79,2.85,525400
2024-12-31,2.86,2.86,2.68,2.77,364100
2024-12-30,2.89,2.89,2.78,2.82,273700
2024-12-27,3.09,3.09,2.86,2.92,418500
2024-12-26,2.89,3.08,2.86,3.05,291000
2024-12-24,3.0,3.0,2.86,2.93,292600
2024-12-23,3.01,3.04,2.83,3.01,361900
2024-12-20,2.77,3.03,2.75,2.99,932200
