Date,Open,High,Low,Close,Volume
2025-03-13,0.31,0.31,0.31,0.31,300
2025-03-12,0.34,0.34,0.34,0.34,0
2025-03-11,0.34,0.34,0.33,0.34,8300
2025-03-10,0.35,0.35,0.35,0.35,2600
2025-03-07,0.36,0.36,0.35,0.35,1900
2025-03-06,0.34,0.34,0.34,0.34,3900
2025-03-05,0.34,0.36,0.34,0.36,16600
2025-03-04,0.34,0.35,0.34,0.34,71000
2025-03-03,0.33,0.34,0.33,0.34,19100
2025-02-28,0.32,0.32,0.3,0.32,6200
2025-02-27,0.33,0.33,0.3,0.32,49200
2025-02-26,0.34,0.34,0.34,0.34,300
2025-02-25,0.35,0.36,0.33,0.36,10000
2025-02-24,0.35,0.35,0.32,0.32,43600
2025-02-21,0.35,0.35,0.35,0.35,800
2025-02-20,0.4,0.4,0.35,0.35,44500
2025-02-19,0.49,0.49,0.37,0.37,47600
2025-02-18,0.47,0.51,0.47,0.51,500
2025-02-14,0.5,0.5,0.5,0.5,300
2025-02-13,0.49,0.49,0.49,0.49,100
2025-02-12,0.47,0.49,0.47,0.49,1200
2025-02-11,0.48,0.48,0.48,0.48,100
2025-02-10,0.5,0.5,0.46,0.46,59100
2025-02-07,0.5,0.5,0.48,0.48,21600
2025-02-06,0.46,0.46,0.46,0.46,5800
2025-02-05,0.48,0.48,0.46,0.46,2800
2025-02-04,0.5,0.5,0.46,0.46,24400
2025-02-03,0.48,0.48,0.47,0.47,24000
2025-01-31,0.48,0.48,0.47,0.48,3200
2025-01-30,0.47,0.47,0.47,0.47,300
2025-01-29,0.48,0.48,0.47,0.47,7300
2025-01-28,0.46,0.46,0.46,0.46,0
2025-01-27,0.44,0.49,0.44,0.46,20200
2025-01-24,0.46,0.49,0.46,0.46,17300
2025-01-23,0.42,0.45,0.42,0.43,21700
2025-01-22,0.39,0.39,0.39,0.39,0
2025-01-21,0.38,0.4,0.38,0.39,1700
2025-01-17,0.4,0.4,0.4,0.4,2100
2025-01-16,0.44,0.46,0.4,0.4,21600
2025-01-15,0.44,0.45,0.44,0.44,8100
2025-01-14,0.43,0.43,0.43,0.43,3400
2025-01-13,0.42,0.43,0.42,0.43,400
2025-01-10,0.39,0.45,0.39,0.42,7500
2025-01-08,0.42,0.48,0.42,0.42,3000
2025-01-07,0.37,0.37,0.35,0.35,4000
2025-01-06,0.34,0.42,0.34,0.42,4200
2025-01-03,0.4,0.4,0.4,0.4,100
2025-01-02,0.35,0.43,0.35,0.38,800
2024-12-31,0.4,0.4,0.35,0.35,28100
2024-12-30,0.4,0.4,0.35,0.38,9400
2024-12-27,0.4,0.45,0.4,0.4,51700
2024-12-26,0.4,0.47,0.38,0.45,14000
2024-12-24,0.35,0.39,0.35,0.39,3600
2024-12-23,0.4,0.44,0.38,0.38,16600
2024-12-20,0.4,0.43,0.38,0.41,17800
2024-12-19,0.5,0.5,0.41,0.42,48200
2024-12-18,0.52,0.53,0.46,0.48,63600
2024-12-17,0.6,0.62,0.51,0.51,47600
2024-12-16,0.75,0.76,0.6,0.6,88700
2024-12-13,0.8,0.82,0.74,0.76,22700
2024-12-12,0.67,1.15,0.66,0.81,834800
2024-12-11,0.62,0.66,0.59,0.59,22600
2024-12-10,0.61,0.64,0.58,0.6,31400
2024-12-09,0.6,0.66,0.58,0.61,20500
2024-12-06,0.62,0.68,0.62,0.65,43900
2024-12-05,0.45,0.67,0.45,0.61,26900
2024-12-04,0.4,0.47,0.4,0.45,32800
2024-12-03,0.4,0.43,0.4,0.4,4600
2024-12-02,0.38,0.44,0.34,0.44,28600
2024-11-29,0.35,0.4,0.35,0.37,23300
2024-11-27,0.31,0.35,0.3,0.33,21400
2024-11-26,0.32,0.34,0.26,0.3,118800
2024-11-25,0.4,0.4,0.31,0.37,50500
2024-11-22,0.38,0.43,0.33,0.4,57000
2024-11-21,0.47,0.5,0.4,0.45,18300
2024-11-20,0.52,0.52,0.48,0.48,4700
2024-11-19,0.55,0.55,0.52,0.52,9300
2024-11-18,0.58,0.6,0.56,0.56,4100
2024-11-15,0.59,0.61,0.59,0.59,9100
2024-11-14,0.59,0.62,0.59,0.59,4800
2024-11-13,0.62,0.62,0.6,0.6,13800
2024-11-12,0.7,0.7,0.62,0.62,2200
2024-11-11,0.64,0.65,0.62,0.64,35500
2024-11-08,0.66,0.67,0.66,0.67,7200
2024-11-07,0.69,0.7,0.62,0.67,40100
2024-11-06,0.69,0.73,0.68,0.73,9900
2024-11-05,0.68,0.73,0.68,0.72,5500
2024-11-04,0.73,0.75,0.67,0.73,8500
2024-11-01,0.67,0.71,0.66,0.71,41100
2024-10-31,0.67,0.67,0.67,0.67,100
2024-10-30,0.7,0.7,0.67,0.68,7300
2024-10-29,0.71,0.73,0.67,0.7,41600
2024-10-28,0.69,0.7,0.69,0.7,4600
2024-10-25,0.69,0.69,0.69,0.69,4500
2024-10-24,0.69,0.69,0.69,0.69,6800
2024-10-23,0.72,0.72,0.68,0.72,9400
2024-10-22,0.72,0.72,0.66,0.7,3300
2024-10-21,0.68,0.75,0.64,0.71,85800
2024-10-18,0.7,0.72,0.7,0.7,12600
2024-10-17,0.74,0.8,0.7,0.74,11100
2024-10-16,0.66,0.74,0.66,0.74,28900
2024-10-15,0.62,0.67,0.62,0.67,41800
2024-10-14,0.6,0.63,0.6,0.62,2700
2024-10-11,0.59,0.62,0.59,0.61,39000
2024-10-10,0.59,0.59,0.59,0.59,0
2024-10-09,0.61,0.65,0.58,0.59,51900
2024-10-08,0.64,0.64,0.61,0.61,3100
2024-10-07,0.59,0.65,0.59,0.61,9500
2024-10-04,0.58,0.6,0.58,0.58,2400
2024-10-03,0.67,0.7,0.59,0.6,38100
2024-10-02,0.6,0.65,0.6,0.6,10500
2024-10-01,0.6,0.69,0.57,0.6,12600
2024-09-30,0.57,0.69,0.56,0.69,78000
2024-09-27,0.56,0.61,0.53,0.56,30100
2024-09-26,0.56,0.6,0.56,0.6,16000
2024-09-25,0.58,0.61,0.56,0.6,55100
2024-09-24,0.57,0.65,0.57,0.63,44600
2024-09-23,0.77,0.82,0.6,0.7,376000
2024-09-20,0.71,0.87,0.63,0.86,245700
2024-09-19,0.5,0.8,0.39,0.7,322800
2024-09-18,0.78,0.82,0.56,0.57,518500
2024-09-17,0.8,0.83,0.75,0.83,34100
2024-09-16,0.8,0.89,0.75,0.81,154600
2024-09-13,0.78,0.81,0.7,0.77,180000
2024-09-12,0.79,0.8,0.75,0.75,27900
2024-09-11,0.71,0.8,0.71,0.77,158200
2024-09-10,0.68,0.77,0.68,0.74,87300
2024-09-09,0.67,0.72,0.66,0.69,199200
2024-09-06,0.64,0.67,0.61,0.66,11900
2024-09-05,0.65,0.67,0.64,0.66,68900
2024-09-04,0.67,0.67,0.61,0.61,8400
2024-09-03,0.67,0.7,0.64,0.64,18300
2024-08-30,0.65,0.69,0.62,0.64,91100
2024-08-29,0.63,0.65,0.63,0.64,12500
2024-08-28,0.59,0.68,0.58,0.65,57200
2024-08-27,0.65,0.65,0.57,0.6,97800
2024-08-26,0.63,0.68,0.61,0.64,24200
2024-08-23,0.69,0.69,0.62,0.63,39500
2024-08-22,0.67,0.7,0.64,0.66,15800
2024-08-21,0.7,0.72,0.64,0.69,40500
2024-08-20,0.62,0.72,0.62,0.7,138600
2024-08-19,0.64,0.67,0.61,0.64,78200
2024-08-16,0.58,0.63,0.56,0.56,31000
2024-08-15,0.6,0.63,0.56,0.58,29100
2024-08-14,0.61,0.61,0.56,0.56,34400
2024-08-13,0.58,0.62,0.57,0.61,7800
2024-08-12,0.62,0.64,0.6,0.61,26500
2024-08-09,0.57,0.64,0.56,0.6,26600
2024-08-08,0.57,0.6,0.56,0.59,17900
2024-08-07,0.6,0.63,0.56,0.58,16100
2024-08-06,0.55,0.6,0.55,0.57,10800
2024-08-05,0.57,0.6,0.54,0.56,60600
2024-08-02,0.63,0.63,0.55,0.56,21600
2024-08-01,0.61,0.61,0.6,0.6,35700
