Date,Open,High,Low,Close,Volume
2025-03-19,1.32,1.34,1.28,1.34,43501
2025-03-18,1.35,1.42,1.29,1.3,75300
2025-03-17,1.31,1.37,1.29,1.35,228300
2025-03-14,1.32,1.36,1.24,1.28,144500
2025-03-13,1.22,1.4,1.2,1.27,341900
2025-03-12,1.14,1.21,1.12,1.2,145600
2025-03-11,1.12,1.15,1.1,1.12,84500
2025-03-10,1.19,1.19,1.1,1.1,198700
2025-03-07,1.23,1.25,1.17,1.19,126900
2025-03-06,1.29,1.32,1.22,1.23,204100
2025-03-05,1.3,1.31,1.25,1.29,321300
2025-03-04,1.31,1.32,1.23,1.3,196400
2025-03-03,1.4,1.41,1.31,1.33,140500
2025-02-28,1.42,1.43,1.37,1.37,146400
2025-02-27,1.42,1.45,1.38,1.38,126200
2025-02-26,1.42,1.45,1.42,1.42,58700
2025-02-25,1.44,1.5,1.4,1.45,112300
2025-02-24,1.47,1.47,1.4,1.42,123300
2025-02-21,1.53,1.54,1.46,1.46,130600
2025-02-20,1.48,1.53,1.48,1.52,77400
2025-02-19,1.5,1.53,1.47,1.52,149500
2025-02-18,1.55,1.55,1.47,1.48,433800
2025-02-14,1.55,1.56,1.53,1.55,70500
2025-02-13,1.57,1.58,1.53,1.56,79100
2025-02-12,1.54,1.57,1.53,1.55,130300
2025-02-11,1.56,1.58,1.51,1.56,97700
2025-02-10,1.56,1.6,1.52,1.54,164800
2025-02-07,1.59,1.62,1.56,1.57,185600
2025-02-06,1.71,1.71,1.57,1.58,425600
2025-02-05,1.55,1.67,1.55,1.65,1415100
2025-02-04,1.52,1.54,1.5,1.54,68700
2025-02-03,1.53,1.53,1.48,1.52,83100
2025-01-31,1.57,1.57,1.54,1.54,43500
2025-01-30,1.57,1.57,1.54,1.56,22100
2025-01-29,1.56,1.57,1.54,1.55,41800
2025-01-28,1.57,1.6,1.55,1.56,43100
2025-01-27,1.66,1.66,1.5,1.56,244700
2025-01-24,1.56,1.62,1.56,1.6,64500
2025-01-23,1.57,1.6,1.56,1.56,59000
2025-01-22,1.57,1.59,1.56,1.57,73000
2025-01-21,1.59,1.62,1.55,1.57,59300
2025-01-17,1.59,1.6,1.56,1.57,41700
2025-01-16,1.55,1.59,1.53,1.58,68100
