Date,Open,High,Low,Close,Volume
2025-03-19,0.1,0.1,0.09,0.1,61000
2025-03-18,0.11,0.11,0.1,0.1,98700
2025-03-17,0.1,0.1,0.09,0.1,88300
2025-03-14,0.1,0.1,0.1,0.1,47000
2025-03-13,0.11,0.11,0.09,0.1,90400
2025-03-12,0.1,0.11,0.09,0.1,65600
2025-03-11,0.11,0.11,0.09,0.11,79900
2025-03-10,0.11,0.11,0.1,0.11,75400
2025-03-07,0.12,0.12,0.1,0.1,94000
2025-03-06,0.11,0.12,0.1,0.12,325000
2025-03-05,0.1,0.11,0.09,0.11,297500
2025-03-04,0.1,0.1,0.09,0.1,53000
2025-03-03,0.1,0.1,0.09,0.1,56800
2025-02-28,0.1,0.1,0.09,0.1,117600
2025-02-27,0.1,0.11,0.1,0.11,52600
2025-02-26,0.1,0.1,0.1,0.1,36900
2025-02-25,0.1,0.11,0.1,0.1,77900
2025-02-24,0.12,0.12,0.1,0.1,67900
2025-02-21,0.11,0.11,0.1,0.11,57100
2025-02-20,0.11,0.12,0.1,0.11,63900
2025-02-19,0.12,0.12,0.11,0.11,59600
2025-02-18,0.1,0.11,0.1,0.11,39400
2025-02-14,0.12,0.12,0.11,0.11,61700
2025-02-13,0.11,0.12,0.1,0.12,371300
2025-02-12,0.12,0.12,0.11,0.11,36000
2025-02-11,0.12,0.12,0.12,0.12,4500
2025-02-10,0.11,0.12,0.11,0.11,19800
2025-02-07,0.11,0.12,0.11,0.12,15400
2025-02-06,0.12,0.12,0.12,0.12,20600
2025-02-05,0.12,0.12,0.11,0.12,89000
2025-02-04,0.12,0.12,0.1,0.12,35000
2025-02-03,0.12,0.13,0.1,0.11,37100
2025-01-31,0.13,0.13,0.11,0.11,34200
2025-01-30,0.12,0.12,0.12,0.12,47000
2025-01-29,0.13,0.13,0.12,0.12,48300
2025-01-28,0.13,0.15,0.13,0.13,197700
2025-01-27,0.13,0.13,0.12,0.13,83000
2025-01-24,0.13,0.13,0.12,0.13,15300
2025-01-23,0.13,0.13,0.12,0.13,10500
2025-01-22,0.12,0.13,0.12,0.12,36400
2025-01-21,0.12,0.12,0.12,0.12,34100
2025-01-17,0.12,0.13,0.11,0.13,89100
2025-01-16,0.11,0.12,0.11,0.12,2500
2025-01-15,0.11,0.12,0.11,0.12,42300
2025-01-14,0.12,0.12,0.1,0.11,154600
2025-01-13,0.1,0.12,0.1,0.12,48300
2025-01-10,0.13,0.13,0.11,0.11,28800
2025-01-08,0.11,0.12,0.11,0.12,22300
2025-01-07,0.13,0.13,0.11,0.12,13500
2025-01-06,0.12,0.13,0.1,0.1,210800
2025-01-03,0.1,0.12,0.1,0.12,22000
