Date,Open,High,Low,Close,Volume
2025-03-19,0.22,0.22,0.22,0.22,12000
2025-03-18,0.23,0.23,0.23,0.23,5000
2025-03-17,0.22,0.22,0.2,0.22,17000
2025-03-14,0.23,0.23,0.22,0.23,15479
2025-03-13,0.23,0.3,0.21,0.3,28550
2025-03-12,0.28,0.3,0.28,0.3,600
2025-03-11,0.25,0.3,0.25,0.28,10300
2025-03-10,0.25,0.27,0.19,0.27,17256
2025-03-07,0.19,0.25,0.19,0.25,15166
2025-03-06,0.24,0.24,0.22,0.22,11166
2025-03-05,0.17,0.17,0.17,0.17,0
2025-03-04,0.17,0.17,0.17,0.17,1000
2025-03-03,0.2,0.2,0.14,0.17,55700
2025-02-28,0.24,0.33,0.2,0.2,26200
2025-02-27,0.32,0.32,0.23,0.23,12600
2025-02-26,0.19,0.23,0.18,0.23,79786
2025-02-25,0.15,0.19,0.14,0.19,60192
2025-02-24,0.14,0.17,0.14,0.17,44400
2025-02-21,0.15,0.17,0.15,0.16,25700
2025-02-20,0.15,0.15,0.15,0.15,0
2025-02-19,0.1,0.15,0.1,0.15,87700
2025-02-18,0.1,0.1,0.1,0.1,12000
2025-02-14,0.1,0.1,0.1,0.1,0
2025-02-13,0.1,0.1,0.1,0.1,0
2025-02-12,0.1,0.1,0.1,0.1,0
2025-02-11,0.1,0.1,0.1,0.1,0
2025-02-10,0.1,0.1,0.1,0.1,0
2025-02-07,0.1,0.1,0.1,0.1,0
2025-02-06,0.11,0.11,0.1,0.1,7000
2025-02-05,0.07,0.07,0.07,0.07,0
2025-02-04,0.07,0.07,0.07,0.07,0
2025-02-03,0.08,0.08,0.07,0.07,25000
2025-01-31,0.11,0.11,0.11,0.11,0
2025-01-30,0.11,0.11,0.11,0.11,0
2025-01-29,0.11,0.11,0.11,0.11,101
2025-01-28,0.07,0.07,0.07,0.07,0
2025-01-27,0.07,0.07,0.07,0.07,20000
2025-01-24,0.07,0.07,0.07,0.07,15900
2025-01-23,0.06,0.06,0.06,0.06,5060
2025-01-22,0.08,0.08,0.07,0.07,16533
2025-01-21,0.08,0.08,0.08,0.08,0
2025-01-17,0.09,0.09,0.08,0.08,95000
2025-01-16,0.08,0.08,0.08,0.08,0
2025-01-15,0.08,0.08,0.08,0.08,0
2025-01-14,0.08,0.08,0.08,0.08,0
2025-01-13,0.08,0.08,0.08,0.08,0
2025-01-10,0.08,0.08,0.08,0.08,0
2025-01-08,0.08,0.08,0.08,0.08,0
2025-01-07,0.08,0.08,0.08,0.08,0
2025-01-06,0.08,0.08,0.08,0.08,300
2025-01-03,0.08,0.08,0.08,0.08,0
2025-01-02,0.08,0.08,0.08,0.08,119
2024-12-31,0.1,0.1,0.09,0.09,22258
2024-12-30,0.09,0.09,0.09,0.09,166
2024-12-27,0.09,0.09,0.09,0.09,23700
2024-12-26,0.1,0.1,0.1,0.1,0
2024-12-24,0.1,0.1,0.1,0.1,120
2024-12-23,0.09,0.09,0.09,0.09,0
2024-12-20,0.09,0.09,0.09,0.09,952
2024-12-19,0.08,0.08,0.08,0.08,0
2024-12-18,0.08,0.08,0.08,0.08,155
2024-12-17,0.08,0.08,0.08,0.08,133
2024-12-16,0.08,0.08,0.08,0.08,0
2024-12-13,0.08,0.08,0.08,0.08,0
2024-12-12,0.08,0.08,0.08,0.08,10000
2024-12-11,0.08,0.08,0.08,0.08,0
2024-12-10,0.08,0.08,0.08,0.08,0
2024-12-09,0.08,0.08,0.08,0.08,0
2024-12-06,0.08,0.08,0.08,0.08,0
2024-12-05,0.08,0.08,0.08,0.08,0
2024-12-04,0.08,0.08,0.08,0.08,645
2024-12-03,0.09,0.09,0.09,0.09,0
2024-12-02,0.09,0.09,0.09,0.09,0
2024-11-29,0.09,0.09,0.09,0.09,10000
2024-11-27,0.12,0.12,0.12,0.12,0
2024-11-26,0.12,0.12,0.12,0.12,0
2024-11-25,0.12,0.12,0.12,0.12,0
2024-11-22,0.12,0.12,0.12,0.12,0
2024-11-21,0.12,0.12,0.12,0.12,0
2024-11-20,0.12,0.12,0.12,0.12,0
2024-11-19,0.12,0.12,0.12,0.12,0
2024-11-18,0.12,0.12,0.12,0.12,2900
2024-11-15,0.12,0.12,0.12,0.12,0
2024-11-14,0.12,0.12,0.12,0.12,0
2024-11-13,0.12,0.12,0.12,0.12,150
2024-11-12,0.13,0.13,0.13,0.13,0
2024-11-11,0.13,0.13,0.13,0.13,0
2024-11-08,0.1,0.13,0.1,0.13,19730
2024-11-07,0.13,0.13,0.13,0.13,0
2024-11-06,0.13,0.13,0.13,0.13,0
2024-11-05,0.11,0.14,0.11,0.13,15000
2024-11-04,0.15,0.15,0.15,0.15,200
2024-11-01,0.13,0.13,0.13,0.13,0
2024-10-31,0.13,0.13,0.13,0.13,0
2024-10-30,0.13,0.13,0.13,0.13,0
2024-10-29,0.13,0.13,0.13,0.13,0
2024-10-28,0.14,0.14,0.13,0.13,5135
2024-10-25,0.15,0.15,0.15,0.15,0
2024-10-24,0.11,0.15,0.11,0.15,20100
2024-10-23,0.15,0.15,0.15,0.15,0
2024-10-22,0.15,0.15,0.15,0.15,0
2024-10-21,0.15,0.15,0.15,0.15,0
2024-10-18,0.12,0.15,0.12,0.15,2000
2024-10-17,0.12,0.12,0.12,0.12,0
2024-10-16,0.12,0.12,0.12,0.12,0
2024-10-15,0.12,0.12,0.12,0.12,10651
2024-10-14,0.13,0.13,0.13,0.13,0
2024-10-11,0.13,0.13,0.13,0.13,250
2024-10-10,0.16,0.16,0.16,0.16,0
2024-10-09,0.16,0.16,0.16,0.16,0
2024-10-08,0.16,0.16,0.16,0.16,0
2024-10-07,0.16,0.16,0.16,0.16,0
2024-10-04,0.12,0.16,0.12,0.16,8100
2024-10-03,0.15,0.15,0.15,0.15,5000
2024-10-02,0.12,0.12,0.12,0.12,0
2024-10-01,0.12,0.12,0.12,0.12,0
2024-09-30,0.12,0.12,0.12,0.12,0
2024-09-27,0.12,0.12,0.12,0.12,0
2024-09-26,0.12,0.12,0.12,0.12,0
2024-09-25,0.12,0.12,0.12,0.12,0
2024-09-24,0.12,0.12,0.12,0.12,0
2024-09-23,0.12,0.12,0.12,0.12,0
2024-09-20,0.12,0.12,0.12,0.12,0
2024-09-19,0.12,0.12,0.12,0.12,0
2024-09-18,0.12,0.12,0.12,0.12,0
2024-09-17,0.12,0.12,0.12,0.12,0
2024-09-16,0.12,0.12,0.12,0.12,1000
2024-09-13,0.12,0.12,0.12,0.12,0
2024-09-12,0.12,0.12,0.12,0.12,0
2024-09-11,0.12,0.12,0.12,0.12,0
2024-09-10,0.12,0.12,0.12,0.12,0
2024-09-09,0.12,0.12,0.12,0.12,0
2024-09-06,0.12,0.12,0.12,0.12,0
2024-09-05,0.12,0.12,0.12,0.12,0
2024-09-04,0.12,0.12,0.12,0.12,0
2024-09-03,0.12,0.12,0.12,0.12,0
2024-08-30,0.12,0.12,0.12,0.12,0
2024-08-29,0.12,0.12,0.12,0.12,8007
2024-08-28,0.13,0.13,0.13,0.13,0
2024-08-27,0.13,0.13,0.13,0.13,0
2024-08-26,0.13,0.13,0.13,0.13,100
2024-08-23,0.13,0.13,0.13,0.13,10000
2024-08-22,0.13,0.13,0.13,0.13,0
2024-08-21,0.13,0.13,0.13,0.13,0
2024-08-20,0.13,0.13,0.13,0.13,0
2024-08-19,0.13,0.13,0.13,0.13,0
2024-08-16,0.13,0.13,0.13,0.13,0
2024-08-15,0.13,0.13,0.13,0.13,0
2024-08-14,0.13,0.13,0.13,0.13,0
2024-08-13,0.13,0.13,0.13,0.13,0
2024-08-12,0.13,0.13,0.13,0.13,0
2024-08-09,0.13,0.13,0.13,0.13,0
2024-08-08,0.13,0.13,0.13,0.13,0
2024-08-07,0.14,0.14,0.13,0.13,216
2024-08-06,0.16,0.16,0.16,0.16,100
2024-08-05,0.16,0.16,0.16,0.16,0
2024-08-02,0.16,0.16,0.16,0.16,0
2024-08-01,0.16,0.16,0.16,0.16,0
2024-07-31,0.16,0.16,0.16,0.16,600
2024-07-30,0.14,0.14,0.14,0.14,0
2024-07-29,0.14,0.14,0.14,0.14,0
2024-07-26,0.14,0.14,0.14,0.14,0
2024-07-25,0.14,0.14,0.14,0.14,0
2024-07-24,0.14,0.14,0.14,0.14,0
2024-07-23,0.14,0.14,0.14,0.14,0
2024-07-22,0.13,0.14,0.13,0.14,10000
2024-07-19,0.14,0.14,0.14,0.14,0
2024-07-18,0.14,0.14,0.14,0.14,0
2024-07-17,0.14,0.14,0.14,0.14,0
2024-07-16,0.14,0.14,0.14,0.14,0
