Date,Open,High,Low,Close,Volume
2025-03-19,16.94,17.24,16.84,17.06,795373
2025-03-18,16.73,16.89,16.36,16.85,687500
2025-03-17,16.39,16.86,16.23,16.8,979700
2025-03-14,16.23,16.5,15.81,16.36,610700
2025-03-13,16.2,16.59,15.75,16.05,680800
2025-03-12,16.56,16.6,15.93,16.2,730800
2025-03-11,17.67,17.67,16.08,16.48,724000
2025-03-10,16.62,17.42,16.59,17.1,1301500
2025-03-07,16.77,17.1,16.64,16.73,981800
2025-03-06,16.22,16.87,16.08,16.81,1133100
2025-03-05,16.94,17.45,15.98,16.37,818900
2025-03-04,17.35,17.35,16.78,16.82,873900
2025-03-03,17.9,17.98,17.44,17.47,1135900
2025-02-28,17.65,17.85,17.49,17.81,980800
2025-02-27,18.3,18.41,17.65,17.67,1168600
2025-02-26,18.71,18.72,17.85,18.45,984800
2025-02-25,18.23,18.78,18.15,18.68,882400
2025-02-24,18.47,18.47,17.98,18.2,848000
2025-02-21,19.2,19.38,18.23,18.43,741300
2025-02-20,18.86,19.16,18.61,18.92,930800
2025-02-19,18.97,19.18,18.71,18.98,508500
2025-02-18,19.48,19.62,19.05,19.15,952000
2025-02-14,19.06,19.61,19.06,19.48,635600
2025-02-13,18.96,19.29,18.81,18.82,448300
2025-02-12,19.07,19.44,18.66,18.82,603500
2025-02-11,19.06,19.35,18.66,19.33,1027900
2025-02-10,18.84,19.28,18.72,19.21,718000
2025-02-07,19.33,19.47,18.46,18.63,937800
2025-02-06,19.14,19.83,19.14,19.45,895700
2025-02-05,18.59,18.91,18.42,18.88,727000
2025-02-04,18.2,18.77,18.01,18.57,822100
2025-02-03,18.96,19.08,18.19,18.29,1271600
2025-01-31,19.15,19.73,18.74,19.34,1580200
2025-01-30,20.0,20.04,18.66,19.3,1502900
2025-01-29,19.9,20.77,19.1,20.0,2321300
2025-01-28,21.52,21.78,21.09,21.68,875200
2025-01-27,21.66,22.12,21.47,21.57,940400
2025-01-24,21.36,21.79,21.18,21.67,673000
2025-01-23,21.16,21.54,21.06,21.27,544200
2025-01-22,21.45,21.46,20.84,21.34,652400
2025-01-21,21.32,21.83,21.2,21.58,721100
2025-01-17,21.78,21.81,21.23,21.31,589400
2025-01-16,21.78,21.78,21.3,21.51,516500
2025-01-15,22.2,22.28,21.75,21.78,350700
2025-01-14,21.69,21.8,21.38,21.57,329100
2025-01-13,21.35,21.61,21.17,21.54,453400
2025-01-10,21.47,21.85,21.24,21.64,525400
2025-01-08,22.36,22.36,21.85,21.88,556300
