Date,Open,High,Low,Close,Volume
2025-03-14,94.28,94.88,93.45,94.57,12680000
2025-03-13,93.4,96.34,93.4,94.71,16570100
2025-03-12,94.07,94.4,92.86,93.35,11896000
2025-03-11,94.98,95.38,93.58,94.73,21734800
2025-03-10,94.69,97.0,94.69,95.23,20897600
2025-03-07,94.26,97.37,93.85,94.65,24100900
2025-03-06,93.13,94.05,91.78,94.0,11300200
2025-03-05,91.08,93.45,90.5,93.19,13117100
2025-03-04,93.57,95.36,92.32,92.56,15073000
2025-03-03,91.78,93.21,91.78,93.15,13636100
2025-02-28,90.71,92.35,90.71,92.25,15482100
2025-02-27,89.35,90.97,89.25,90.58,10717500
2025-02-26,91.3,91.37,88.86,89.38,13534200
2025-02-25,91.75,93.06,90.44,91.43,18417300
2025-02-24,89.71,91.85,88.93,91.27,19452300
2025-02-21,88.0,89.53,87.01,89.5,15678900
2025-02-20,85.9,87.7,85.9,87.68,14851500
2025-02-19,83.24,85.63,82.85,85.6,17435100
2025-02-18,81.13,83.59,81.04,83.29,25897800
2025-02-14,84.42,84.78,82.09,83.01,26779000
2025-02-13,85.59,85.7,84.31,84.42,20415100
2025-02-12,86.07,86.67,85.61,85.67,14785300
2025-02-11,86.06,86.99,85.73,86.54,20922300
2025-02-10,87.2,87.98,86.27,86.4,21212100
2025-02-07,87.52,88.6,87.12,87.28,15815000
2025-02-06,89.41,89.57,87.84,88.05,19509700
2025-02-05,90.39,90.74,88.0,89.67,21670600
2025-02-04,89.0,91.23,87.33,90.74,50837600
2025-02-03,98.13,100.15,98.0,99.79,13363900
2025-01-31,99.1,100.06,98.58,98.82,11421600
2025-01-30,99.41,99.41,98.23,98.95,10164700
2025-01-29,97.42,99.15,97.39,98.28,10225500
2025-01-28,97.35,98.88,96.59,97.45,12840900
2025-01-27,96.63,98.62,95.98,97.94,15093400
2025-01-24,96.79,97.1,95.41,95.55,12244800
2025-01-23,96.11,97.16,95.22,96.63,11522800
2025-01-22,95.96,97.0,95.15,95.68,13070900
2025-01-21,98.08,98.27,95.76,96.24,17756100
2025-01-17,100.47,100.47,97.92,97.92,16182000
2025-01-16,100.44,100.9,99.95,100.7,7749600
2025-01-15,100.1,100.82,99.61,100.09,9170300
2025-01-14,101.26,101.49,99.01,99.65,10927400
2025-01-13,99.46,101.16,98.99,100.98,8168100
2025-01-10,99.21,100.41,98.81,99.25,11328500
2025-01-08,100.7,100.77,98.05,99.85,8654700
2025-01-07,100.13,102.97,100.05,101.02,10890900
2025-01-06,98.77,100.33,98.42,99.72,10111100
2025-01-03,99.34,99.75,98.69,99.14,6070300
2025-01-02,100.28,100.35,98.83,99.17,6153300
2024-12-31,98.5,99.53,98.43,99.48,6598200
2024-12-30,99.57,99.57,98.27,98.37,6848700
2024-12-27,99.5,100.35,99.24,99.7,6173600
2024-12-26,99.09,99.94,98.92,99.87,4760300
2024-12-24,99.22,99.64,98.8,99.45,3713500
2024-12-23,99.09,99.59,98.2,99.37,8460500
2024-12-20,98.83,99.68,97.9,98.05,29289700
2024-12-19,98.56,99.94,97.82,99.52,12110800
2024-12-18,100.19,101.5,98.27,98.34,11993400
2024-12-17,99.9,100.8,99.36,100.06,13975100
2024-12-16,101.25,102.28,100.05,100.06,11701100
2024-12-13,100.33,101.76,99.73,101.19,10118200
2024-12-12,100.88,102.18,99.32,100.45,9554400
2024-12-11,99.9,100.64,98.47,98.96,21613000
2024-12-10,102.95,102.95,99.94,100.2,11359400
2024-12-09,102.04,104.24,101.52,102.97,19162500
2024-12-06,102.79,103.12,101.87,102.27,11470700
2024-12-05,100.68,103.31,100.55,102.73,11062700
2024-12-04,101.22,101.28,100.25,100.57,11315000
2024-12-03,99.95,101.64,99.82,101.04,11395600
2024-12-02,100.92,101.04,99.66,99.81,13703100
2024-11-29,102.06,102.22,100.72,100.83,6081200
2024-11-27,100.84,102.63,100.83,102.3,9802200
2024-11-26,100.67,100.99,98.91,100.81,9324100
2024-11-25,99.3,100.93,98.72,100.36,34659100
2024-11-22,99.53,100.98,98.14,98.39,14031200
2024-11-21,96.94,99.68,96.18,99.07,15670300
2024-11-20,96.21,98.06,95.89,96.67,12136800
2024-11-19,95.96,96.78,94.5,95.77,13093100
2024-11-18,95.79,96.52,94.66,95.79,14139900
2024-11-15,97.14,97.14,93.73,95.55,16464500
2024-11-14,98.39,98.61,97.17,97.58,8704500
2024-11-13,97.73,98.66,97.12,97.72,8869700
2024-11-12,99.96,99.97,97.72,97.8,12282900
2024-11-11,101.72,102.58,99.66,99.93,10075300
2024-11-08,100.67,102.41,100.2,102.1,9208000
2024-11-07,100.63,100.88,100.05,100.37,8676100
2024-11-06,102.36,102.41,99.8,99.93,9551300
2024-11-05,100.56,100.92,99.72,100.84,6741400
2024-11-04,101.19,101.72,100.15,101.06,9182600
2024-11-01,100.97,101.9,100.41,101.07,10180600
2024-10-31,100.13,102.41,97.82,101.51,17413100
2024-10-30,102.64,104.17,102.08,104.0,13897200
2024-10-29,103.49,104.28,102.88,102.91,9296200
2024-10-28,103.77,104.17,103.1,103.4,6968900
2024-10-25,105.64,105.64,103.04,103.15,9625500
2024-10-24,105.21,105.77,104.42,105.04,8295900
2024-10-23,105.89,106.51,105.36,105.54,8271700
2024-10-22,105.07,106.05,104.87,105.79,11576100
2024-10-21,108.21,108.3,105.34,105.5,11444900
2024-10-18,109.03,109.05,107.7,107.84,9523000
2024-10-17,109.27,109.31,108.63,108.88,8541700
2024-10-16,110.12,110.32,108.15,109.54,8729200
2024-10-15,109.09,110.69,109.02,110.64,9109500
2024-10-14,108.56,109.2,107.82,108.82,8130700
2024-10-11,108.23,109.05,107.04,108.86,8578400
2024-10-10,109.82,109.95,108.3,108.53,6006700
2024-10-09,107.55,109.42,107.34,109.39,8627800
2024-10-08,107.11,107.89,106.95,107.66,8832400
2024-10-07,108.83,110.1,107.32,107.73,8654800
2024-10-04,108.62,109.42,108.52,108.9,9704700
2024-10-03,110.93,111.19,108.96,109.31,10280600
2024-10-02,113.64,113.69,111.09,111.19,9041800
2024-10-01,113.06,113.88,112.21,113.83,7715500
2024-09-30,112.71,113.1,111.81,112.66,10936900
2024-09-27,112.27,113.43,112.1,112.79,11920100
2024-09-26,112.98,113.09,112.03,112.19,11132100
2024-09-25,114.38,115.1,113.71,113.82,7902300
2024-09-24,114.93,115.34,113.41,114.05,9840400
2024-09-23,116.27,117.22,114.6,114.71,6665300
2024-09-20,116.34,116.57,115.49,116.24,21200900
2024-09-19,117.96,118.25,115.37,116.3,9963000
2024-09-18,117.26,118.43,116.93,117.7,11135600
2024-09-17,118.03,118.19,116.8,117.35,7914900
2024-09-16,114.88,117.43,114.88,117.02,7846100
2024-09-13,114.4,115.07,113.33,114.18,6709600
2024-09-12,112.81,113.83,112.38,113.57,8330900
2024-09-11,113.27,114.21,112.61,113.04,7836600
2024-09-10,113.54,114.4,111.68,113.65,12734500
2024-09-09,111.51,115.2,110.78,113.73,14880200
2024-09-06,117.37,118.55,115.94,116.13,8577300
2024-09-05,114.92,118.32,114.66,116.87,12009700
2024-09-04,114.96,115.03,112.81,114.12,7693400
2024-09-03,116.54,117.11,114.73,114.89,7640300
2024-08-30,115.57,117.02,115.45,116.73,8876500
2024-08-29,116.22,116.68,115.09,115.75,7202500
